Tissue,Mean,SEM,N
All,24.103622191655205,0.20600205541919292,23991
v12_lymphnode,19.913555992141454,0.41767691757533926,2545
v17_adipose,23.064566929133857,0.7855610103444742,1270
v1_cerebrum,25.074825006034274,0.4214828720398383,4143
v22_prostate,21.21773399014778,0.4798168934174697,2030
v23_ovary,26.7818096135721,0.6926080247832305,2122
v24_testis,26.521964285714287,0.36565063012118004,5600
v25_heart,31.006600660066006,1.5706159647567195,1212
v26_muscle,30.22737686139748,1.160135101211106,1746
v30_colon,22.581710414902624,0.9434837428547999,1181
v31_liver_hepato,18.449944382647384,0.45357678228948295,1798
v32_lung,19.97931276297335,0.4479979574020969,2852
v34_kidney,21.2077549066539,0.40963913886481057,2089
v36_thyroid_parathyroid,27.35734635734636,0.9488713626087185,2457
v37_adrenal_gland,20.406700593723496,0.44215542700235916,2358
v39_breast,21.338441039307128,0.6934707298068442,1501
