Tissue,Mean,SEM,N
All,14.373640115043141,0.14610079218162175,23991
v12_lymphnode,11.396463654223968,0.26949709637738245,2545
v17_adipose,13.082677165354331,0.4899252543366219,1270
v1_cerebrum,14.748974173304369,0.2761842051254996,4143
v22_prostate,12.098029556650246,0.3047370461228385,2030
v23_ovary,15.66258246936852,0.43244727538249017,2122
v24_testis,16.303392857142857,0.24844845099592996,5600
v25_heart,18.988448844884488,1.0974675539301457,1212
v26_muscle,17.68270332187858,0.7804583899083846,1746
v30_colon,13.306519898391194,0.7242912584265369,1181
v31_liver_hepato,10.619577308120133,0.2973946813192805,1798
v32_lung,11.388849929873773,0.2773532524255219,2852
v34_kidney,12.327429392053615,0.258434632232825,2089
v36_thyroid_parathyroid,16.409035409035408,0.6366610244557018,2457
v37_adrenal_gland,11.653519932145887,0.26756462140793286,2358
v39_breast,12.487008660892737,0.4535971639575078,1501
