ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000339381,46,11,852,0.00028,0.52302,0.38156,v12_lymphnode
ENST00000673477,43,14,648,0.0005,0.41333,0.51323,v12_lymphnode
ENST00000378755,47,17,634,0.00057,0.45795,0.41436,v12_lymphnode
ENST00000520777,51,11,951,0.00023,0.50605,0.65233,v12_lymphnode
ENST00000378625,34,15,591,0.00075,0.43341,0.44117,v12_lymphnode
ENST00000378288,39,13,587,0.00057,0.53318,0.43297,v12_lymphnode
ENST00000337907,94,31,1566,0.00021,0.55304,0.55232,v12_lymphnode
ENST00000377346,56,13,1044,0.00022,0.44574,0.40716,v12_lymphnode
ENST00000374280,37,12,676,0.00048,0.45614,0.51048,v12_lymphnode
ENST00000647103,32,19,601,0.00099,0.53655,0.52255,v12_lymphnode
ENST00000373797,42,28,720,0.00093,0.4502,0.38229,v12_lymphnode
ENST00000246314,51,33,626,0.00103,0.49568,0.49564,v12_lymphnode
ENST00000373087,33,10,599,0.00051,0.56038,0.48881,v12_lymphnode
ENST00000373106,52,18,836,0.00041,0.47898,0.4782,v12_lymphnode
ENST00000373103,56,20,863,0.00041,0.49485,0.5011,v12_lymphnode
ENST00000372718,37,17,429,0.00107,0.55837,0.48375,v12_lymphnode
ENST00000372708,35,16,399,0.00115,0.55639,0.47556,v12_lymphnode
ENST00000427410,69,20,297,0.00098,0.60182,0.64663,v12_lymphnode
ENST00000439569,34,6,407,0.00043,0.59387,0.59459,v12_lymphnode
ENST00000236040,42,18,804,0.00053,0.47154,0.41107,v12_lymphnode
ENST00000456914,49,14,521,0.00055,0.49156,0.55511,v12_lymphnode
ENST00000355498,49,14,521,0.00055,0.49156,0.55511,v12_lymphnode
ENST00000710952,49,14,549,0.00052,0.51489,0.57598,v12_lymphnode
ENST00000371975,42,18,747,0.00057,0.48199,0.43619,v12_lymphnode
ENST00000371568,57,23,861,0.00047,0.54551,0.472,v12_lymphnode
ENST00000306052,35,11,963,0.00033,0.49304,0.47522,v12_lymphnode
ENST00000341517,39,18,736,0.00063,0.50007,0.47117,v12_lymphnode
ENST00000370459,53,29,586,0.00093,0.65754,0.65282,v12_lymphnode
ENST00000370459,53,29,586,0.00093,0.65754,0.65282,v12_lymphnode
ENST00000337338,40,24,858,0.0007,0.53377,0.54385,v12_lymphnode
ENST00000370161,67,47,1516,0.00046,0.467,0.42671,v12_lymphnode
ENST00000512756,87,46,1690,0.00031,0.49557,0.51744,v12_lymphnode
ENST00000369784,46,23,977,0.00051,0.59741,0.59797,v12_lymphnode
ENST00000359785,36,23,807,0.00079,0.47752,0.47314,v12_lymphnode
ENST00000369464,32,9,562,0.0005,0.47904,0.49802,v12_lymphnode
ENST00000682167,64,32,1021,0.00049,0.41747,0.45666,v12_lymphnode
ENST00000682167,64,32,1021,0.00049,0.41747,0.45666,v12_lymphnode
ENST00000369304,69,29,1167,0.00036,0.49144,0.45442,v12_lymphnode
ENST00000431239,47,24,825,0.00062,0.47701,0.45747,v12_lymphnode
ENST00000682118,95,49,865,0.0006,0.40946,0.45905,v12_lymphnode
ENST00000618040,64,17,746,0.00036,0.32251,0.42888,v12_lymphnode
ENST00000334634,49,12,759,0.00032,0.4251,0.454,v12_lymphnode
ENST00000368236,48,16,582,0.00057,0.43331,0.39551,v12_lymphnode
ENST00000708590,48,16,582,0.00057,0.43331,0.39551,v12_lymphnode
ENST00000368184,33,13,734,0.00054,0.41949,0.32666,v12_lymphnode
ENST00000361835,32,9,977,0.00029,0.38738,0.20948,v12_lymphnode
ENST00000263285,33,12,655,0.00056,0.54129,0.71056,v12_lymphnode
ENST00000368013,55,22,1101,0.00036,0.54899,0.5959,v12_lymphnode
ENST00000367763,39,25,369,0.00174,0.41929,0.46406,v12_lymphnode
ENST00000709532,63,39,1135,0.00055,0.47551,0.46969,v12_lymphnode
ENST00000294725,63,39,1135,0.00055,0.47551,0.46969,v12_lymphnode
ENST00000367350,94,55,1648,0.00036,0.5431,0.54208,v12_lymphnode
ENST00000348564,57,36,1145,0.00055,0.6127,0.62931,v12_lymphnode
ENST00000442510,61,39,1306,0.00049,0.62047,0.62981,v12_lymphnode
ENST00000360529,110,37,1610,0.00021,0.48353,0.48852,v12_lymphnode
ENST00000332129,111,37,1624,0.00021,0.48398,0.48431,v12_lymphnode
ENST00000367279,36,17,399,0.00118,0.51915,0.52794,v12_lymphnode
ENST00000309017,32,16,360,0.00139,0.53394,0.51111,v12_lymphnode
ENST00000691036,32,16,360,0.00139,0.53394,0.51111,v12_lymphnode
ENST00000403080,33,13,619,0.00064,0.47506,0.48304,v12_lymphnode
ENST00000581977,48,20,716,0.00058,0.56436,0.6361,v12_lymphnode
ENST00000367058,49,24,1033,0.00047,0.56793,0.51565,v12_lymphnode
