Gene,OptionalDataColumns
ENST00000328596,255
ENST00000378821,163
ENST00000400929,207
ENST00000419704,499
ENST00000378585,452
ENST00000400921,409
ENST00000461106,488
ENST00000378191,411
ENST00000617400,192
ENST00000537325,161
ENST00000378097,367
ENST00000164247,367
ENST00000378083,415
ENST00000458166,300
ENST00000377842,329
ENST00000377855,380
ENST00000604479,540
ENST00000294485,349
ENST00000376667,211
ENST00000377049,105
ENST00000354287,296
ENST00000376762,224
ENST00000329454,169
ENST00000375662,280
ENST00000400798,327
ENST00000251296,467
ENST00000420770,505
ENST00000400548,226
ENST00000375078,78
ENST00000332947,329
ENST00000375031,339
ENST00000444387,423
ENST00000322753,78
ENST00000602662,181
ENST00000374619,377
ENST00000315554,191
ENST00000246151,211
ENST00000374399,406
ENST00000436439,254
ENST00000003583,287
ENST00000374395,241
ENST00000412742,173
ENST00000346452,266
ENST00000340849,267
ENST00000294413,417
ENST00000426559,174
ENST00000455785,149
ENST00000374300,292
ENST00000374024,330
ENST00000234549,312
ENST00000010299,341
ENST00000373791,297
ENST00000373736,207
ENST00000609129,495
ENST00000373467,193
ENST00000373471,212
ENST00000373235,442
ENST00000270815,229
ENST00000373237,201
ENST00000373012,451
ENST00000319637,295
ENST00000372990,303
ENST00000397631,250
ENST00000329006,235
ENST00000446189,147
ENST00000372844,191
ENST00000621281,110
ENST00000372809,543
ENST00000361584,534
ENST00000372684,308
ENST00000431473,391
ENST00000539317,349
ENST00000413844,252
ENST00000545417,170
ENST00000625766,66
ENST00000354383,522
ENST00000404795,542
ENST00000371839,503
ENST00000371827,366
ENST00000357083,402
ENST00000371655,219
ENST00000536120,244
ENST00000414851,555
ENST00000371513,322
ENST00000650283,60
ENST00000357692,529
ENST00000371016,450
ENST00000477717,336
ENST00000354567,562
ENST00000344720,536
ENST00000370688,257
ENST00000610703,339
ENST00000436133,355
ENST00000394839,321
ENST00000614872,357
ENST00000370544,165
ENST00000482504,386
ENST00000370383,362
ENST00000315713,236
ENST00000370207,238
ENST00000613047,403
ENST00000370203,263
ENST00000370202,267
ENST00000263177,321
ENST00000370188,316
ENST00000315033,384
ENST00000370103,458
ENST00000370066,480
ENST00000357155,354
