Gene,OptionalDataColumns
ENST00000378891,670
ENST00000378756,586
ENST00000505820,955
ENST00000520777,951
ENST00000355826,955
ENST00000378712,753
ENST00000378466,773
ENST00000615291,773
ENST00000378251,583
ENST00000377658,597
ENST00000377004,823
ENST00000343090,1302
ENST00000377093,1153
ENST00000361445,2549
ENST00000674817,757
ENST00000375799,1019
ENST00000345034,617
ENST00000707396,665
ENST00000375486,665
ENST00000375254,5183
ENST00000404138,1239
ENST00000634561,903
ENST00000336689,903
ENST00000374434,1437
ENST00000374343,664
ENST00000252992,762
ENST00000361771,676
ENST00000373779,1436
ENST00000642937,655
ENST00000372856,631
ENST00000372858,660
ENST00000509682,641
ENST00000372572,622
ENST00000361776,588
ENST00000372343,963
ENST00000361297,1798
ENST00000396153,650
ENST00000371586,858
ENST00000294353,744
ENST00000294383,2620
ENST00000539524,1087
ENST00000352171,1151
ENST00000371083,580
ENST00000674203,862
ENST00000334785,675
ENST00000271234,605
ENST00000465892,850
ENST00000294724,1532
ENST00000487146,969
ENST00000369538,743
ENST00000520113,747
ENST00000393274,928
ENST00000261443,767
ENST00000369530,813
ENST00000610726,844
ENST00000369356,2362
ENST00000618462,2240
ENST00000369354,2346
ENST00000369349,969
ENST00000368969,1290
ENST00000368913,962
ENST00000368820,593
ENST00000271915,731
ENST00000360674,772
ENST00000361831,739
ENST00000295566,796
ENST00000368081,1029
ENST00000368074,597
ENST00000361200,1158
ENST00000312263,860
ENST00000432587,920
ENST00000367840,951
ENST00000367607,3117
ENST00000367500,900
ENST00000331314,619
ENST00000362061,1873
ENST00000335211,3708
ENST00000608999,982
ENST00000366993,948
ENST00000366923,1512
ENST00000366777,647
ENST00000284548,6620
ENST00000422127,7968
ENST00000258243,1524
ENST00000366647,680
ENST00000366661,860
ENST00000366578,894
ENST00000224949,1037
ENST00000355029,596
ENST00000397176,643
ENST00000263125,706
ENST00000376454,1943
ENST00000342386,840
ENST00000355867,2214
ENST00000452305,818
ENST00000374794,1244
ENST00000346874,1319
ENST00000374788,1353
ENST00000340077,1031
ENST00000374144,1435
ENST00000618804,585
ENST00000337910,696
ENST00000309334,945
ENST00000682758,895
ENST00000354393,1045
ENST00000613327,1320
ENST00000358913,1320
ENST00000372873,753
ENST00000394810,977
ENST00000623056,732
ENST00000429277,617
ENST00000265997,698
ENST00000265986,1019
ENST00000370992,1297
ENST00000371247,1292
ENST00000677240,1856
ENST00000676993,1855
ENST00000369519,1227
ENST00000263054,1168
ENST00000360478,1695
ENST00000359988,1730
ENST00000369144,1382
ENST00000513429,1094
ENST00000369005,2948
ENST00000260733,1026
ENST00000359653,708
ENST00000389989,811
ENST00000397111,748
ENST00000633248,748
ENST00000380525,831
ENST00000612826,831
ENST00000380525,831
ENST00000612826,831
ENST00000300737,685
ENST00000526601,610
ENST00000359518,744
ENST00000379719,1038
ENST00000397004,920
ENST00000396553,767
ENST00000339865,1287
ENST00000256194,1124
ENST00000528252,801
ENST00000396356,808
ENST00000324559,913
ENST00000378623,1905
ENST00000311764,720
ENST00000454345,1117
ENST00000395336,1581
ENST00000300146,770
ENST00000339997,1013
ENST00000377432,754
ENST00000164139,842
ENST00000377387,673
ENST00000270176,808
ENST00000420247,791
ENST00000513398,901
ENST00000316924,622
ENST00000530165,707
ENST00000532504,583
ENST00000672685,583
ENST00000393324,604
ENST00000433060,956
ENST00000393094,780
ENST00000278590,883
ENST00000200135,779
ENST00000003302,1077
ENST00000392996,673
ENST00000300650,703
ENST00000260187,605
ENST00000340908,2634
ENST00000642583,2146
ENST00000399591,2146
ENST00000399466,808
ENST00000229268,858
ENST00000672694,639
ENST00000455147,639
ENST00000261201,1549
ENST00000350437,856
ENST00000547587,780
ENST00000312352,780
ENST00000421952,711
ENST00000394023,1152
ENST00000550952,925
ENST00000347140,976
ENST00000537215,737
ENST00000330891,668
ENST00000266674,907
ENST00000550746,691
ENST00000551310,1176
ENST00000436874,779
ENST00000434735,1068
ENST00000308664,997
ENST00000457474,681
ENST00000314045,882
ENST00000392561,960
ENST00000618760,1468
ENST00000300648,2671
ENST00000319080,919
ENST00000629738,919
ENST00000620786,1438
ENST00000308736,1157
ENST00000321867,1050
ENST00000541932,733
ENST00000379561,655
ENST00000458659,1073
ENST00000376065,1249
ENST00000627024,1253
ENST00000375440,759
ENST00000448790,621
ENST00000646647,2581
ENST00000324366,637
ENST00000405093,1939
ENST00000355349,1935
ENST00000324103,1072
ENST00000647495,1072
ENST00000644840,636
ENST00000267425,636
ENST00000399332,2610
ENST00000280979,2319
ENST00000355683,713
ENST00000396165,775
ENST00000396165,775
ENST00000556148,729
ENST00000013125,846
ENST00000395168,1203
ENST00000395311,1306
ENST00000395314,1357
ENST00000216513,781
ENST00000389722,2328
ENST00000341516,942
ENST00000356921,921
ENST00000528359,925
ENST00000381269,927
ENST00000629617,587
ENST00000315988,587
ENST00000555019,635
ENST00000612647,635
ENST00000360184,4646
ENST00000379937,650
ENST00000619401,1023
ENST00000558589,1141
ENST00000304330,1393
ENST00000399518,868
ENST00000263805,1883
ENST00000357568,815
ENST00000397163,821
ENST00000360135,1406
ENST00000338963,1247
ENST00000435532,900
ENST00000267811,682
ENST00000306917,627
ENST00000322954,1416
ENST00000268059,829
ENST00000395135,633
ENST00000409931,914
ENST00000334574,749
ENST00000286760,809
ENST00000258888,1705
ENST00000441037,1112
ENST00000559717,1150
ENST00000335968,802
ENST00000568546,808
ENST00000709263,808
ENST00000219476,1807
ENST00000423118,4302
ENST00000246957,704
ENST00000294016,1353
ENST00000287667,1222
ENST00000619292,1222
ENST00000611106,1222
ENST00000399336,1222
ENST00000622306,1222
ENST00000639550,708
ENST00000299853,708
ENST00000382686,1044
