ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000304952,5,2,221,0.00181,0.49955,0.3371,v32_lung
ENST00000428771,7,4,247,0.00231,0.46154,0.32085,v32_lung
ENST00000379268,15,9,241,0.00249,0.56957,0.51452,v32_lung
ENST00000377507,14,13,255,0.00364,0.52913,0.49653,v32_lung
ENST00000054668,4,4,139,0.00719,0.58094,0.58094,v32_lung
ENST00000354437,30,19,499,0.00127,0.53995,0.56671,v32_lung
ENST00000376753,19,11,293,0.00198,0.68996,0.69438,v32_lung
ENST00000614859,10,9,194,0.00464,0.48247,0.50974,v32_lung
ENST00000361144,33,23,415,0.00168,0.46499,0.50498,v32_lung
ENST00000400797,26,20,327,0.00235,0.43707,0.44755,v32_lung
ENST00000375534,17,14,182,0.00452,0.38849,0.36264,v32_lung
ENST00000375105,11,7,145,0.00439,0.58809,0.5803,v32_lung
ENST00000289749,10,9,216,0.00417,0.55509,0.51646,v32_lung
ENST00000615215,12,8,215,0.0031,0.47248,0.575,v32_lung
ENST00000566855,4,2,121,0.00413,0.49587,0.54958,v32_lung
ENST00000617979,17,12,348,0.00203,0.59179,0.61949,v32_lung
ENST00000374421,22,16,491,0.00148,0.44918,0.41497,v32_lung
ENST00000308873,17,9,415,0.00128,0.545,0.56439,v32_lung
ENST00000328664,11,8,417,0.00174,0.4371,0.45204,v32_lung
ENST00000618490,6,3,116,0.00431,0.51437,0.58046,v32_lung
ENST00000374395,16,10,241,0.00259,0.48885,0.44647,v32_lung
ENST00000346452,9,7,266,0.00292,0.45614,0.45972,v32_lung
ENST00000349438,12,10,354,0.00235,0.50494,0.53927,v32_lung
ENST00000339276,11,5,248,0.00183,0.49707,0.43226,v32_lung
ENST00000374027,8,6,173,0.00434,0.4711,0.57322,v32_lung
ENST00000374024,8,5,330,0.00189,0.76856,0.77758,v32_lung
ENST00000354982,11,8,288,0.00253,0.50947,0.41406,v32_lung
ENST00000270879,12,8,299,0.00223,0.5014,0.42642,v32_lung
ENST00000362020,2,2,134,0.00746,0.3806,0.3806,v32_lung
ENST00000361157,2,2,130,0.00769,0.37692,0.37692,v32_lung
ENST00000399173,24,16,529,0.00126,0.61256,0.67084,v32_lung
ENST00000374005,24,16,529,0.00126,0.61256,0.67084,v32_lung
ENST00000373888,13,10,373,0.00206,0.57393,0.54022,v32_lung
ENST00000234549,29,23,312,0.00254,0.51857,0.52996,v32_lung
ENST00000539896,14,9,342,0.00188,0.55806,0.5653,v32_lung
ENST00000373765,23,16,496,0.0014,0.48545,0.50416,v32_lung
ENST00000398958,21,10,421,0.00113,0.53489,0.5772,v32_lung
ENST00000373831,24,12,452,0.00111,0.50913,0.52415,v32_lung
ENST00000409358,24,20,349,0.00239,0.57032,0.56905,v32_lung
ENST00000336890,26,16,509,0.00121,0.51368,0.52284,v32_lung
ENST00000526031,16,10,335,0.00187,0.36735,0.43075,v32_lung
ENST00000339480,5,4,266,0.00301,0.32181,0.17669,v32_lung
ENST00000373362,12,9,270,0.00278,0.5179,0.4321,v32_lung
ENST00000207457,34,24,430,0.00164,0.43523,0.46589,v32_lung
ENST00000615459,16,11,236,0.00291,0.68035,0.74538,v32_lung
ENST00000372587,11,7,178,0.00358,0.57712,0.74238,v32_lung
ENST00000372565,26,19,365,0.002,0.52487,0.56799,v32_lung
ENST00000335282,8,7,134,0.00653,0.34888,0.31876,v32_lung
ENST00000523677,3,1,113,0.00295,0.68142,0.84071,v32_lung
ENST00000431635,32,25,361,0.00216,0.56934,0.55978,v32_lung
ENST00000414809,8,3,228,0.00164,0.47149,0.25146,v32_lung
ENST00000372359,7,3,220,0.00195,0.51493,0.24848,v32_lung
ENST00000621943,12,12,279,0.00358,0.57497,0.57497,v32_lung
ENST00000372372,11,10,413,0.0022,0.63746,0.62905,v32_lung
ENST00000675259,7,3,221,0.00194,0.39431,0.43288,v32_lung
ENST00000262746,9,7,199,0.00391,0.64154,0.60732,v32_lung
ENST00000271139,9,9,216,0.00463,0.4748,0.4748,v32_lung
ENST00000691006,10,5,331,0.00151,0.54713,0.61027,v32_lung
ENST00000528077,7,7,106,0.00943,0.72642,0.72642,v32_lung
