ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378891,24,0,670,0.0,0.58812,,v26_muscle
ENST00000378756,43,2,586,8e-05,0.45273,0.14249,v26_muscle
ENST00000505820,52,5,955,0.0001,0.50284,0.49445,v26_muscle
ENST00000520777,51,4,951,8e-05,0.50605,0.54101,v26_muscle
ENST00000355826,52,5,955,0.0001,0.50284,0.49445,v26_muscle
ENST00000378712,47,5,753,0.00014,0.50708,0.55803,v26_muscle
ENST00000378466,26,2,773,0.0001,0.48751,0.4185,v26_muscle
ENST00000615291,26,2,773,0.0001,0.48751,0.4185,v26_muscle
ENST00000378251,25,2,583,0.00014,0.48734,0.7916,v26_muscle
ENST00000377658,25,0,597,0.0,0.43745,,v26_muscle
ENST00000377004,47,4,823,0.0001,0.51614,0.39277,v26_muscle
ENST00000343090,80,13,1302,0.00012,0.49915,0.41859,v26_muscle
ENST00000377093,69,12,1153,0.00015,0.61704,0.58673,v26_muscle
ENST00000361445,167,17,2549,4e-05,0.49263,0.48074,v26_muscle
ENST00000674817,51,3,757,8e-05,0.57513,0.47072,v26_muscle
ENST00000375799,52,3,1019,6e-05,0.56211,0.36834,v26_muscle
ENST00000345034,40,14,617,0.00057,0.45389,0.37451,v26_muscle
ENST00000707396,24,1,665,6e-05,0.49066,0.91128,v26_muscle
ENST00000375486,24,1,665,6e-05,0.49066,0.91128,v26_muscle
ENST00000375254,286,41,5183,3e-05,0.48541,0.48178,v26_muscle
ENST00000404138,72,10,1239,0.00011,0.53994,0.4226,v26_muscle
ENST00000634561,57,5,903,0.0001,0.41837,0.3763,v26_muscle
ENST00000336689,57,5,903,0.0001,0.41837,0.3763,v26_muscle
ENST00000374434,67,4,1437,4e-05,0.47925,0.51531,v26_muscle
ENST00000374343,45,14,664,0.00047,0.57855,0.52614,v26_muscle
ENST00000252992,81,13,762,0.00021,0.62229,0.64254,v26_muscle
ENST00000361771,34,3,676,0.00013,0.55956,0.63215,v26_muscle
ENST00000373779,74,3,1436,3e-05,0.44566,0.35979,v26_muscle
ENST00000642937,34,6,655,0.00027,0.52802,0.52443,v26_muscle
ENST00000372856,39,8,631,0.00033,0.63156,0.66561,v26_muscle
ENST00000372858,42,8,660,0.00029,0.62789,0.65284,v26_muscle
ENST00000509682,27,2,641,0.00012,0.52233,0.51404,v26_muscle
ENST00000372572,63,18,622,0.00046,0.58041,0.56333,v26_muscle
ENST00000361776,63,18,588,0.00049,0.56625,0.55093,v26_muscle
ENST00000372343,75,12,963,0.00017,0.46009,0.53886,v26_muscle
ENST00000361297,96,15,1798,9e-05,0.49667,0.4436,v26_muscle
ENST00000396153,40,14,650,0.00054,0.50473,0.49396,v26_muscle
ENST00000371586,65,6,858,0.00011,0.53369,0.48873,v26_muscle
ENST00000294353,48,13,744,0.00036,0.52316,0.53743,v26_muscle
ENST00000294383,153,30,2620,7e-05,0.5609,0.51784,v26_muscle
ENST00000539524,47,8,1087,0.00016,0.49837,0.53921,v26_muscle
ENST00000352171,47,10,1151,0.00018,0.51866,0.47402,v26_muscle
ENST00000371083,22,1,580,8e-05,0.56724,0.18448,v26_muscle
ENST00000674203,46,12,862,0.0003,0.51445,0.43078,v26_muscle
ENST00000334785,44,21,675,0.00071,0.46754,0.47055,v26_muscle
ENST00000271234,41,21,605,0.00085,0.44499,0.40032,v26_muscle
ENST00000465892,36,7,850,0.00023,0.51307,0.50571,v26_muscle
ENST00000294724,70,15,1532,0.00014,0.45267,0.3876,v26_muscle
ENST00000487146,46,2,969,4e-05,0.60237,0.89164,v26_muscle
ENST00000369538,30,2,743,9e-05,0.49157,0.85128,v26_muscle
ENST00000520113,31,2,747,9e-05,0.47882,0.85208,v26_muscle
ENST00000393274,49,14,928,0.00031,0.5616,0.47552,v26_muscle
ENST00000261443,40,10,767,0.00033,0.51004,0.44537,v26_muscle
ENST00000369530,42,11,813,0.00032,0.51447,0.43744,v26_muscle
ENST00000610726,43,11,844,0.0003,0.51598,0.44474,v26_muscle
ENST00000369356,237,44,2362,8e-05,0.4429,0.35527,v26_muscle
ENST00000618462,228,43,2240,8e-05,0.43462,0.34427,v26_muscle
ENST00000369354,233,43,2346,8e-05,0.43639,0.34276,v26_muscle
ENST00000369349,125,32,969,0.00026,0.47503,0.48936,v26_muscle
ENST00000368969,64,12,1290,0.00015,0.45924,0.34328,v26_muscle
ENST00000368913,43,1,962,2e-05,0.42122,0.31185,v26_muscle
ENST00000368820,23,1,593,7e-05,0.35956,0.18044,v26_muscle
ENST00000271915,63,3,731,7e-05,0.31855,0.36936,v26_muscle
ENST00000360674,52,4,772,0.0001,0.54031,0.45207,v26_muscle
ENST00000361831,49,10,739,0.00028,0.40797,0.35102,v26_muscle
ENST00000295566,51,10,796,0.00025,0.44775,0.41005,v26_muscle
ENST00000368081,48,7,1029,0.00014,0.49119,0.45856,v26_muscle
ENST00000368074,28,4,597,0.00024,0.49294,0.52554,v26_muscle
ENST00000361200,50,6,1158,0.0001,0.48434,0.42271,v26_muscle
ENST00000312263,44,8,860,0.00021,0.49302,0.41352,v26_muscle
ENST00000432587,58,13,920,0.00024,0.47198,0.42952,v26_muscle
ENST00000367840,58,13,951,0.00024,0.48863,0.44811,v26_muscle
ENST00000367607,29,5,3117,6e-05,0.0961,0.12429,v26_muscle
ENST00000367500,51,6,900,0.00013,0.54227,0.48833,v26_muscle
ENST00000331314,42,14,619,0.00054,0.55758,0.57466,v26_muscle
ENST00000362061,73,7,1873,5e-05,0.56142,0.51041,v26_muscle
ENST00000335211,126,17,3708,4e-05,0.52513,0.33628,v26_muscle
ENST00000608999,56,3,982,5e-05,0.48038,0.71249,v26_muscle
ENST00000366993,76,19,948,0.00026,0.60285,0.51921,v26_muscle
ENST00000366923,73,13,1512,0.00012,0.54196,0.43351,v26_muscle
ENST00000366777,35,1,647,4e-05,0.46531,0.29985,v26_muscle
ENST00000284548,395,26,6620,1e-05,0.49432,0.58115,v26_muscle
ENST00000422127,471,35,7968,1e-05,0.48939,0.58575,v26_muscle
ENST00000258243,105,12,1524,7e-05,0.47891,0.36953,v26_muscle
ENST00000366647,26,6,680,0.00034,0.53971,0.45784,v26_muscle
ENST00000366661,52,6,860,0.00013,0.42616,0.48798,v26_muscle
ENST00000366578,57,0,894,0.0,0.53364,,v26_muscle
ENST00000224949,62,10,1037,0.00016,0.49001,0.42768,v26_muscle
ENST00000355029,43,5,596,0.0002,0.56247,0.50571,v26_muscle
ENST00000397176,30,4,643,0.00021,0.40622,0.37325,v26_muscle
ENST00000263125,33,4,706,0.00017,0.4178,0.33994,v26_muscle
ENST00000376454,107,23,1943,0.00011,0.51302,0.5302,v26_muscle
ENST00000342386,38,8,840,0.00025,0.56498,0.48691,v26_muscle
ENST00000355867,113,14,2214,6e-05,0.45111,0.40715,v26_muscle
ENST00000452305,46,9,818,0.00024,0.48942,0.49674,v26_muscle
ENST00000374794,87,7,1244,6e-05,0.59799,0.54513,v26_muscle
ENST00000346874,94,9,1319,7e-05,0.58529,0.47233,v26_muscle
ENST00000374788,99,10,1353,7e-05,0.59063,0.4986,v26_muscle
ENST00000340077,54,6,1031,0.00011,0.46478,0.35532,v26_muscle
ENST00000374144,78,14,1435,0.00013,0.4863,0.41424,v26_muscle
ENST00000618804,44,10,585,0.00039,0.47405,0.67521,v26_muscle
ENST00000337910,37,3,696,0.00012,0.50516,0.65374,v26_muscle
ENST00000309334,50,10,945,0.00021,0.5128,0.25524,v26_muscle
ENST00000682758,46,7,895,0.00017,0.4958,0.65379,v26_muscle
ENST00000354393,62,14,1045,0.00022,0.46919,0.40889,v26_muscle
ENST00000613327,85,17,1320,0.00015,0.45435,0.46725,v26_muscle
ENST00000358913,85,17,1320,0.00015,0.45435,0.46725,v26_muscle
ENST00000372873,45,3,753,9e-05,0.50179,0.37672,v26_muscle
ENST00000394810,63,4,977,6e-05,0.46807,0.39764,v26_muscle
ENST00000623056,37,1,732,4e-05,0.43424,0.86202,v26_muscle
ENST00000429277,32,1,617,5e-05,0.40392,0.8363,v26_muscle
ENST00000265997,55,3,698,8e-05,0.3758,0.40831,v26_muscle
