"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
6.11858925987096e-05,4,5,57.926582278481,"GO:0038098 sequestering of BMP from receptor via BMP binding "," http://amigo.geneontology.org/amigo/term/GO:0038098"," NBL1  GREM1"
0.00179007049083746,3,4,54.306170886076,"GO:0090291 negative reg. of osteoclast proliferation "," http://amigo.geneontology.org/amigo/term/GO:0090291"," GREM1"
4.34756922751607e-06,6,12,36.2041139240506,"GO:0035581 sequestering of extracellular ligand from receptor "," http://amigo.geneontology.org/amigo/term/GO:0035581"," NBL1  GREM1  DAND5  CD46"
0.00065127277030504,4,8,36.2041139240506,"GO:0090027 negative reg. of monocyte chemotaxis "," http://amigo.geneontology.org/amigo/term/GO:0090027"," NBL1  GREM1"
8.62730560624949e-06,6,14,31.0320976491863,"GO:1900115 extracellular reg. of signal transduction "," http://amigo.geneontology.org/amigo/term/GO:1900115"," NBL1  GREM1  DAND5  CD46"
1.05850354232501e-09,12,42,20.6880650994575,"GO:0095500 acetylcholine receptor signaling pathway "," http://amigo.geneontology.org/amigo/term/GO:0095500"," HRH4  LYPD1  LY6G6D  RGS10  SLURP2  GNAI2"
0.000857312896296129,5,18,20.1133966244726,"GO:0006978 DNA damage response signal transduction by p53 class mediator resulting in transcription "," http://amigo.geneontology.org/amigo/term/GO:0006978"," ING4  RBM38  TP53  RPS27L  MUC1"
1.05850354232501e-09,12,44,19.7476985040276,"GO:1905145 cellular response to acetylcholine "," http://amigo.geneontology.org/amigo/term/GO:1905145"," HRH4  LYPD1  LY6G6D  RGS10  SLURP2  GNAI2"
0.00108269659811214,5,19,19.0547968021319,"GO:0042772 DNA damage response signal transduction resulting in transcription "," http://amigo.geneontology.org/amigo/term/GO:0042772"," ING4  RBM38  TP53  RPS27L  MUC1"
1.6847725854165e-09,12,47,18.4872071101535,"GO:1905144 response to acetylcholine "," http://amigo.geneontology.org/amigo/term/GO:1905144"," HRH4  LYPD1  LY6G6D  RGS10  SLURP2  GNAI2"
0.00134801340290878,5,20,18.1020569620253,"GO:0007171 activation of transmembrane receptor protein tyrosine kinase activity "," http://amigo.geneontology.org/amigo/term/GO:0007171"," EREG  GREM1  BTC"
4.69241710199125e-09,12,52,16.7095910418695,"GO:0098926 postsynaptic signal transduction "," http://amigo.geneontology.org/amigo/term/GO:0098926"," HRH4  LYPD1  LY6G6D  RGS10  SLURP2  GNAI2"
9.87579527345524e-06,10,66,10.9709436133487,"GO:2000272 negative reg. of signaling receptor activity "," http://amigo.geneontology.org/amigo/term/GO:2000272"," LYPD1  DKK2  LY6G6D  SLURP2"
5.02097424884091e-06,16,187,6.19535639342043,"GO:0010469 reg. of signaling receptor activity "," http://amigo.geneontology.org/amigo/term/GO:0010469"," EREG  BTC  SLURP2  LYPD1  DKK2  TAFA4  GREM1  LY6G6D"
0.00179007049083746,16,315,3.67787823990356,"GO:0051047 positive reg. of secretion "," http://amigo.geneontology.org/amigo/term/GO:0051047"," NNAT  SCT  VIP  ANXA2  GAL  EDN3  PLA2G10  SRI  GNAI2  SLC30A8  GRP  ADCYAP1  P2RX4  GDNF"
0.000140838592417977,22,456,3.49337941372418,"GO:0051051 negative reg. of transport "," http://amigo.geneontology.org/amigo/term/GO:0051051"," GPM6B  SCT  RAP1A  RAP1B  VIP  PID1  ARHGAP8  SRI  GSTO1  ANXA2  FAM3D  PLA2G10  FOXF1  GNAI2  ACVR1C  GRP  NDUFAF2  RAB23  UBAC2  ANXA13"
0.000559740372351515,22,498,3.19875705353058,"GO:0023061 signal release "," http://amigo.geneontology.org/amigo/term/GO:0023061"," NNAT  SCT  RAP1A  RAP1B  SLC30A8  STX19  GAL  EDN3  FAM3D  SRI  ACVR1C  ADCYAP1  NDUFAF2  CHRNA5  PLA2G10  GRP  VIP  CHRNB4  P2RX4  GDNF"
0.000753993859959458,24,593,2.93051849638184,"GO:1903530 reg. of secretion by cell "," http://amigo.geneontology.org/amigo/term/GO:1903530"," NNAT  SCT  RAP1A  RAP1B  VIP  ANXA2  GAL  EDN3  FAM3D  SRI  FOXF1  GNAI2  ACVR1C  NDUFAF2  SLC30A8  CHRNA5  PLA2G10  GRP  ADCYAP1  CHRNB4  P2RX4  GDNF"
1.2250486419889e-05,54,1777,2.20036257951461,"GO:0007267 cell-cell signaling "," http://amigo.geneontology.org/amigo/term/GO:0007267"," NNAT  SCT  GNAI2  RAP1A  CHRNB4  RAP1B  HRH4  LYPD1  GABRA2  DKK2  SLC30A8  CHRNA5  STX19  LY6G6D  GAL  EDN3  EREG  RGS10  GREM1  GDNF  FAM3D  SLURP2  TAC1  SRI  CCN4  MAPK14  RNF146  ACVR1C  BARX1  UBAC2  P2RX4  ADCYAP1  CBLN2  NDUFAF2  MITF  PLA2G10  HMGA2  GRP  VIP  ATXN3  IL7  TNFSF10  FGF5  SST"
