Gene,OptionalDataColumns
ENST00000378891,0.0
ENST00000378756,8e-05
ENST00000505820,0.0001
ENST00000520777,8e-05
ENST00000355826,0.0001
ENST00000378712,0.00014
ENST00000310991,0.00043
ENST00000378466,0.0001
ENST00000615291,0.0001
ENST00000378251,0.00014
ENST00000377658,0.0
ENST00000377411,0.0
ENST00000340305,0.0001
ENST00000377004,0.0001
ENST00000343090,0.00012
ENST00000377093,0.00015
ENST00000361445,4e-05
ENST00000674817,8e-05
ENST00000376085,0.0
ENST00000375799,6e-05
ENST00000294454,0.00025
ENST00000480945,0.0003
ENST00000707396,6e-05
ENST00000375486,6e-05
ENST00000420770,0.00013
ENST00000375254,3e-05
ENST00000404138,0.00011
ENST00000450454,0.00026
ENST00000635035,0.00026
ENST00000634561,0.0001
ENST00000336689,0.0001
ENST00000374434,4e-05
ENST00000327575,0.00032
ENST00000374272,0.0002
ENST00000374266,0.0
ENST00000252992,0.00021
ENST00000374278,0.0
ENST00000361547,0.0
ENST00000361771,0.00013
ENST00000373779,3e-05
ENST00000536384,0.00022
ENST00000642937,0.00027
ENST00000373602,0.0
ENST00000291416,0.00012
ENST00000373471,0.00043
ENST00000373471,0.00043
ENST00000409190,0.00029
ENST00000373129,9e-05
ENST00000373016,0.00038
ENST00000235628,0.00027
ENST00000372856,0.00033
ENST00000372858,0.00029
ENST00000509682,0.00012
ENST00000372343,0.00017
ENST00000413844,0.00033
ENST00000347631,0.00022
ENST00000372372,0.0
ENST00000361297,9e-05
ENST00000672818,0.00022
ENST00000341183,0.0
ENST00000371586,0.00011
ENST00000294353,0.00036
ENST00000360840,0.00011
ENST00000294383,7e-05
ENST00000371244,0.00024
ENST00000539524,0.00016
ENST00000352171,0.00018
ENST00000371084,7e-05
ENST00000371083,8e-05
ENST00000674203,0.0003
ENST00000370976,0.0003
ENST00000411986,0.00027
ENST00000465892,0.00023
ENST00000260563,0.00042
ENST00000294724,0.00014
ENST00000369872,0.00023
ENST00000310611,0.0
ENST00000487146,4e-05
ENST00000369538,9e-05
ENST00000520113,9e-05
ENST00000393274,0.00031
ENST00000207157,0.00012
ENST00000475797,0.00031
ENST00000497365,0.00031
ENST00000357836,0.00016
ENST00000336751,0.0001
ENST00000261443,0.00033
ENST00000369530,0.00032
ENST00000610726,0.0003
ENST00000369356,8e-05
ENST00000618462,8e-05
ENST00000369354,8e-05
ENST00000369349,0.00026
ENST00000606888,8e-05
ENST00000368969,0.00015
ENST00000368892,0.00039
ENST00000368884,0.00014
ENST00000368913,2e-05
ENST00000368820,7e-05
ENST00000318247,0.00036
ENST00000368485,0.0
ENST00000651641,0.00022
ENST00000361147,0.00013
ENST00000271915,7e-05
ENST00000245564,0.00028
ENST00000368336,0.00038
ENST00000368336,0.00038
ENST00000368396,0.0
ENST00000368396,0.0
ENST00000360674,0.0001
ENST00000361831,0.00028
ENST00000295566,0.00025
ENST00000368081,0.00014
ENST00000368074,0.00024
ENST00000458050,0.00015
ENST00000358671,0.00025
ENST00000342310,0.00038
ENST00000361200,0.0001
ENST00000359842,0.00024
ENST00000312263,0.00021
ENST00000432587,0.00024
ENST00000367840,0.00024
ENST00000367607,6e-05
ENST00000367500,0.00013
ENST00000417584,0.00019
ENST00000362061,5e-05
ENST00000335211,4e-05
ENST00000367249,0.00044
ENST00000241651,0.0
ENST00000255416,8e-05
ENST00000608999,5e-05
ENST00000367079,0.00044
ENST00000442471,0.00022
ENST00000322918,0.00032
ENST00000366993,0.00026
ENST00000366923,0.00012
ENST00000408911,0.0
ENST00000366938,0.0
ENST00000366777,4e-05
ENST00000284548,1e-05
ENST00000422127,1e-05
ENST00000258243,7e-05
ENST00000366641,0.00026
ENST00000366647,0.00034
ENST00000366661,0.00013
ENST00000391858,0.0
ENST00000366578,0.0
ENST00000602682,0.00025
ENST00000277517,0.00044
ENST00000224949,0.00016
ENST00000355029,0.0002
ENST00000397176,0.00021
ENST00000263125,0.00017
ENST00000379775,0.00017
ENST00000417956,0.00039
ENST00000396913,0.0
ENST00000263038,0.00037
ENST00000465530,0.0
ENST00000378757,0.00039
ENST00000378747,0.00039
ENST00000378748,0.00039
ENST00000376454,0.00011
ENST00000342386,0.00025
ENST00000355867,6e-05
ENST00000452305,0.00024
ENST00000374794,6e-05
ENST00000346874,7e-05
ENST00000374788,7e-05
ENST00000340077,0.00011
ENST00000374144,0.00013
ENST00000618804,0.00039
ENST00000337910,0.00012
ENST00000309334,0.00021
ENST00000682758,0.00017
ENST00000354393,0.00022
ENST00000613327,0.00015
ENST00000358913,0.00015
ENST00000355790,0.0
ENST00000357631,0.0
ENST00000299432,0.0003
ENST00000372873,9e-05
ENST00000394810,6e-05
ENST00000394829,0.00036
ENST00000713561,0.0
ENST00000713560,0.0
ENST00000472493,0.0
ENST00000623056,4e-05
ENST00000372066,0.0
ENST00000429277,5e-05
ENST00000265997,8e-05
ENST00000265986,0.00016
ENST00000492756,0.0
ENST00000630152,0.00043
ENST00000370992,7e-05
ENST00000307518,0.00014
ENST00000543964,0.00019
ENST00000371247,0.00013
ENST00000370162,0.00017
ENST00000369905,0.0
ENST00000677240,4e-05
ENST00000676993,4e-05
ENST00000369780,0.0
ENST00000369519,0.00011
ENST00000263054,0.0001
ENST00000542051,0.0
ENST00000360478,9e-05
ENST00000359988,8e-05
ENST00000425699,0.0
ENST00000369085,0.00015
ENST00000369144,0.00011
ENST00000369043,0.00027
ENST00000513429,9e-05
ENST00000369005,4e-05
ENST00000260733,0.00011
ENST00000359653,0.0003
ENST00000673157,0.00025
ENST00000381558,0.00025
ENST00000250699,0.0
ENST00000389989,0.00013
ENST00000397068,0.00021
ENST00000359918,0.00021
ENST00000397111,0.00015
ENST00000633248,0.00015
ENST00000380525,0.00014
ENST00000612826,0.00014
ENST00000380525,0.00014
ENST00000612826,0.00014
ENST00000300737,0.00012
ENST00000526601,0.00021
ENST00000359518,0.00019
ENST00000335790,0.0
ENST00000379719,0.00028
ENST00000397004,0.00028
ENST00000396553,7e-05
ENST00000339865,0.0002
ENST00000256194,7e-05
ENST00000528848,0.0
ENST00000528252,0.00035
ENST00000396356,0.00037
ENST00000250003,0.0
ENST00000339994,0.0
ENST00000528731,0.0
ENST00000672712,0.0
ENST00000405158,0.0
ENST00000672418,0.0
ENST00000532858,0.0
ENST00000324559,0.00018
ENST00000241041,0.00026
ENST00000378623,7e-05
ENST00000311764,0.0002
ENST00000454345,6e-05
ENST00000298852,0.00028
ENST00000539589,0.0003
ENST00000298838,0.0003
ENST00000528494,0.00023
ENST00000352508,0.0
ENST00000298854,0.0
ENST00000395336,4e-05
ENST00000358597,0.00041
ENST00000532048,0.00039
ENST00000527972,0.0002
ENST00000302731,0.00015
ENST00000300146,0.00038
ENST00000316059,0.00011
ENST00000309318,0.0
ENST00000339997,0.00028
ENST00000377432,0.00013
ENST00000164139,0.00014
ENST00000317459,0.00042
ENST00000377387,0.00022
ENST00000270176,0.00013
ENST00000420247,0.00013
ENST00000357440,0.00023
ENST00000513398,5e-05
ENST00000316924,9e-05
ENST00000421552,8e-05
ENST00000425825,0.00041
ENST00000530165,0.00014
ENST00000393877,0.0
ENST00000393597,0.0
ENST00000393596,0.0
ENST00000294064,0.00036
ENST00000314032,0.0
ENST00000426995,0.0
ENST00000393324,0.0
ENST00000433060,0.00011
ENST00000305991,0.0
ENST00000393094,0.00029
ENST00000278590,0.00027
ENST00000200135,0.00038
ENST00000003302,0.00015
ENST00000526088,0.00037
ENST00000392996,0.00016
ENST00000300650,0.00017
ENST00000359862,0.00031
ENST00000330775,0.00019
ENST00000710542,0.00019
ENST00000710540,0.00018
ENST00000357590,0.00018
ENST00000525735,0.00013
ENST00000260187,5e-05
ENST00000453788,0.00019
ENST00000618733,0.00033
ENST00000298317,0.00026
ENST00000358409,0.00012
ENST00000359864,0.00018
ENST00000397122,0.00039
ENST00000340908,9e-05
ENST00000642583,3e-05
ENST00000399591,3e-05
ENST00000399466,0.00011
ENST00000229239,0.0
ENST00000229268,6e-05
ENST00000672694,0.00014
ENST00000455147,0.00014
ENST00000279550,0.00044
ENST00000261201,0.00013
ENST00000350437,6e-05
ENST00000447411,0.0
ENST00000266579,0.0
ENST00000317697,0.0
ENST00000547587,8e-05
ENST00000312352,8e-05
ENST00000421952,0.00015
ENST00000550311,0.0003
ENST00000303460,0.00037
ENST00000695999,0.0
ENST00000308197,0.00034
ENST00000394023,0.0002
ENST00000550952,0.00031
ENST00000332782,0.00034
ENST00000347140,0.00018
ENST00000537215,0.00017
ENST00000308259,0.0
ENST00000488961,0.00024
ENST00000330891,0.00025
ENST00000266674,0.00014
ENST00000550746,0.00038
ENST00000228641,0.00028
ENST00000551310,0.0002
ENST00000358678,0.0
ENST00000228318,0.00042
ENST00000434735,0.00013
ENST00000308664,0.00024
ENST00000457474,0.00036
ENST00000397655,0.00023
ENST00000314045,0.0001
ENST00000392561,9e-05
ENST00000618760,7e-05
ENST00000426426,0.0
ENST00000300648,3e-05
ENST00000319080,0.00015
ENST00000629738,0.00015
ENST00000620786,0.00013
ENST00000526639,0.0
ENST00000308736,0.00013
ENST00000321867,7e-05
ENST00000443358,0.00017
ENST00000541932,0.00032
ENST00000379561,0.00017
ENST00000458659,0.00029
ENST00000376065,9e-05
ENST00000627024,9e-05
ENST00000680254,0.00018
ENST00000375440,0.00018
ENST00000375418,0.00028
ENST00000344581,0.00014
ENST00000708773,0.00014
ENST00000448790,0.00041
ENST00000646647,8e-05
ENST00000397851,0.00035
ENST00000397858,0.00035
ENST00000298687,0.00035
ENST00000324366,5e-05
ENST00000361611,0.0
ENST00000405093,4e-05
ENST00000355349,3e-05
ENST00000267426,0.00034
ENST00000644407,0.00034
ENST00000324103,0.0001
ENST00000647495,0.0001
ENST00000644840,0.00029
ENST00000267425,0.00029
ENST00000399332,0.0001
ENST00000280979,7e-05
ENST00000013125,0.00038
ENST00000557185,0.00025
ENST00000395168,0.00022
ENST00000395311,0.00028
ENST00000395314,0.00028
ENST00000645694,0.0
ENST00000216513,0.00015
ENST00000389722,2e-05
ENST00000458046,0.00039
ENST00000341516,8e-05
ENST00000381216,0.00037
ENST00000356921,0.00014
ENST00000528359,0.00014
ENST00000381269,0.00014
ENST00000394234,0.0
ENST00000266126,0.00026
ENST00000361786,0.00042
ENST00000419727,0.0
ENST00000418736,9e-05
ENST00000629617,0.00014
ENST00000315988,0.00014
ENST00000555019,0.0001
ENST00000612647,0.0001
ENST00000329331,0.00034
ENST00000360184,4e-05
ENST00000286918,0.0
ENST00000351691,0.00022
ENST00000330877,0.0002
ENST00000379937,0.00028
ENST00000619401,0.00029
ENST00000558589,0.00014
ENST00000397573,0.00021
ENST00000617768,0.00025
ENST00000444189,0.0
ENST00000304330,6e-05
ENST00000399518,0.00013
ENST00000290497,0.0
ENST00000263805,0.00014
ENST00000357568,0.00012
ENST00000397163,0.00012
ENST00000360135,8e-05
ENST00000458412,0.0
ENST00000338963,0.00027
ENST00000435532,0.00036
ENST00000267811,0.00034
