ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000379116,38,11,802,0.00036,0.46975,0.47427,v36_thyroid_parathyroid
ENST00000401095,72,7,1079,9e-05,0.50441,0.63087,v36_thyroid_parathyroid
ENST00000378378,51,6,709,0.00017,0.50842,0.4631,v36_thyroid_parathyroid
ENST00000270722,51,3,1276,5e-05,0.53441,0.1826,v36_thyroid_parathyroid
ENST00000378567,25,7,592,0.00047,0.51426,0.56998,v36_thyroid_parathyroid
ENST00000378156,92,19,1426,0.00014,0.48348,0.54444,v36_thyroid_parathyroid
ENST00000377093,69,29,1153,0.00036,0.61704,0.62344,v36_thyroid_parathyroid
ENST00000613099,250,104,4363,0.0001,0.48334,0.48651,v36_thyroid_parathyroid
ENST00000375692,27,4,686,0.00022,0.55183,0.76859,v36_thyroid_parathyroid
ENST00000495204,35,7,727,0.00028,0.48512,0.53547,v36_thyroid_parathyroid
ENST00000374765,31,6,663,0.00029,0.49706,0.57919,v36_thyroid_parathyroid
ENST00000542643,30,6,681,0.00029,0.47954,0.58933,v36_thyroid_parathyroid
ENST00000374434,67,12,1437,0.00012,0.47925,0.56193,v36_thyroid_parathyroid
ENST00000361530,53,15,713,0.0004,0.4952,0.62347,v36_thyroid_parathyroid
ENST00000374168,30,8,735,0.00036,0.61116,0.50272,v36_thyroid_parathyroid
ENST00000629832,30,8,735,0.00036,0.61116,0.50272,v36_thyroid_parathyroid
ENST00000373480,55,13,1035,0.00023,0.49284,0.46057,v36_thyroid_parathyroid
ENST00000453908,39,4,756,0.00014,0.52798,0.4494,v36_thyroid_parathyroid
ENST00000373104,49,15,783,0.00039,0.47934,0.44462,v36_thyroid_parathyroid
ENST00000372583,120,25,2406,9e-05,0.46924,0.43007,v36_thyroid_parathyroid
ENST00000371528,51,21,759,0.00054,0.52109,0.56603,v36_thyroid_parathyroid
ENST00000357206,62,34,1366,0.0004,0.51524,0.41652,v36_thyroid_parathyroid
ENST00000354412,27,3,700,0.00016,0.46831,0.69714,v36_thyroid_parathyroid
ENST00000347547,28,4,793,0.00018,0.49248,0.814,v36_thyroid_parathyroid
ENST00000371454,33,4,904,0.00013,0.49249,0.73673,v36_thyroid_parathyroid
ENST00000343744,34,4,594,0.0002,0.49634,0.4899,v36_thyroid_parathyroid
ENST00000371316,33,5,607,0.00025,0.47481,0.58254,v36_thyroid_parathyroid
ENST00000421030,65,14,1323,0.00016,0.57221,0.38095,v36_thyroid_parathyroid
ENST00000425300,25,10,652,0.00061,0.60429,0.43067,v36_thyroid_parathyroid
ENST00000710932,26,14,632,0.00085,0.52605,0.56035,v36_thyroid_parathyroid
ENST00000370768,61,38,644,0.00097,0.55776,0.55153,v36_thyroid_parathyroid
ENST00000334785,44,25,675,0.00084,0.46754,0.48308,v36_thyroid_parathyroid
ENST00000370425,68,50,1435,0.00051,0.52295,0.52138,v36_thyroid_parathyroid
ENST00000436063,39,21,756,0.00071,0.50254,0.47531,v36_thyroid_parathyroid
ENST00000294724,70,36,1532,0.00034,0.45267,0.42035,v36_thyroid_parathyroid
ENST00000353414,89,56,1767,0.00036,0.50311,0.50325,v36_thyroid_parathyroid
ENST00000307546,82,42,1481,0.00035,0.52187,0.5092,v36_thyroid_parathyroid
ENST00000369483,76,12,1214,0.00013,0.43439,0.42868,v36_thyroid_parathyroid
ENST00000295598,44,13,1023,0.00029,0.52997,0.40672,v36_thyroid_parathyroid
ENST00000369496,43,12,992,0.00028,0.52759,0.42171,v36_thyroid_parathyroid
ENST00000369530,42,26,813,0.00076,0.51447,0.486,v36_thyroid_parathyroid
ENST00000610726,43,27,844,0.00074,0.51598,0.48398,v36_thyroid_parathyroid
ENST00000369356,237,85,2362,0.00015,0.4429,0.40137,v36_thyroid_parathyroid
ENST00000618462,228,82,2240,0.00016,0.43462,0.39459,v36_thyroid_parathyroid
ENST00000369349,125,51,969,0.00042,0.47503,0.48287,v36_thyroid_parathyroid
ENST00000368913,43,10,962,0.00024,0.42122,0.32339,v36_thyroid_parathyroid
ENST00000368799,724,324,4061,0.00011,0.56482,0.58178,v36_thyroid_parathyroid
ENST00000531094,99,28,1348,0.00021,0.44544,0.41079,v36_thyroid_parathyroid
ENST00000368382,48,9,736,0.00025,0.41607,0.49351,v36_thyroid_parathyroid
ENST00000356955,57,12,863,0.00024,0.52142,0.39938,v36_thyroid_parathyroid
ENST00000313667,70,10,985,0.00015,0.55063,0.52234,v36_thyroid_parathyroid
ENST00000368285,37,6,761,0.00021,0.4987,0.44547,v36_thyroid_parathyroid
ENST00000309758,30,3,643,0.00016,0.5494,0.64541,v36_thyroid_parathyroid
ENST00000361200,50,10,1158,0.00017,0.48434,0.4551,v36_thyroid_parathyroid
ENST00000367862,82,36,755,0.00058,0.32037,0.36512,v36_thyroid_parathyroid
ENST00000538366,34,15,714,0.00062,0.54585,0.59225,v36_thyroid_parathyroid
ENST00000367840,58,26,951,0.00047,0.48863,0.5269,v36_thyroid_parathyroid
ENST00000294848,60,29,981,0.00049,0.52955,0.53773,v36_thyroid_parathyroid
ENST00000344730,48,20,1064,0.00039,0.59461,0.63609,v36_thyroid_parathyroid
ENST00000493293,78,35,1111,0.0004,0.5396,0.58907,v36_thyroid_parathyroid
ENST00000362061,73,10,1873,7e-05,0.56142,0.56455,v36_thyroid_parathyroid
ENST00000335211,126,37,3708,8e-05,0.52513,0.40976,v36_thyroid_parathyroid
ENST00000367478,238,157,2363,0.00028,0.50309,0.49508,v36_thyroid_parathyroid
ENST00000361565,70,25,1041,0.00034,0.5508,0.50951,v36_thyroid_parathyroid
ENST00000367278,41,12,967,0.0003,0.43267,0.46605,v36_thyroid_parathyroid
ENST00000439764,37,13,828,0.00042,0.39039,0.37542,v36_thyroid_parathyroid
ENST00000367157,28,6,628,0.00034,0.57393,0.5629,v36_thyroid_parathyroid
ENST00000367135,36,5,791,0.00018,0.55454,0.52415,v36_thyroid_parathyroid
ENST00000581977,48,7,716,0.0002,0.56436,0.78053,v36_thyroid_parathyroid
ENST00000343410,32,6,724,0.00026,0.49758,0.45534,v36_thyroid_parathyroid
ENST00000391878,87,42,1005,0.00048,0.35201,0.32758,v36_thyroid_parathyroid
ENST00000284548,395,49,6620,2e-05,0.49432,0.52512,v36_thyroid_parathyroid
ENST00000422127,471,62,7968,2e-05,0.48939,0.53072,v36_thyroid_parathyroid
ENST00000366578,57,11,894,0.00022,0.53364,0.53579,v36_thyroid_parathyroid
ENST00000316157,48,19,738,0.00054,0.48439,0.46491,v36_thyroid_parathyroid
ENST00000263125,33,12,706,0.00052,0.4178,0.40179,v36_thyroid_parathyroid
ENST00000397053,72,35,1272,0.00038,0.54523,0.51193,v36_thyroid_parathyroid
ENST00000378278,30,9,692,0.00043,0.55597,0.63231,v36_thyroid_parathyroid
ENST00000326799,37,18,773,0.00063,0.44215,0.43208,v36_thyroid_parathyroid
ENST00000436087,47,21,828,0.00054,0.48507,0.4449,v36_thyroid_parathyroid
ENST00000452305,46,21,818,0.00056,0.48942,0.43812,v36_thyroid_parathyroid
ENST00000350537,49,14,1310,0.00022,0.34089,0.35894,v36_thyroid_parathyroid
ENST00000374773,51,14,1001,0.00027,0.45472,0.47438,v36_thyroid_parathyroid
ENST00000374391,37,1,674,4e-05,0.50533,0.2092,v36_thyroid_parathyroid
ENST00000610656,37,1,674,4e-05,0.50533,0.2092,v36_thyroid_parathyroid
ENST00000540872,61,30,1279,0.00038,0.4775,0.52385,v36_thyroid_parathyroid
ENST00000374144,78,28,1435,0.00025,0.4863,0.46147,v36_thyroid_parathyroid
ENST00000374103,45,6,1010,0.00013,0.49943,0.28482,v36_thyroid_parathyroid
ENST00000579039,45,20,630,0.00071,0.42533,0.41762,v36_thyroid_parathyroid
ENST00000613657,73,42,1790,0.00032,0.45815,0.49475,v36_thyroid_parathyroid
ENST00000503366,93,35,1868,0.0002,0.47954,0.497,v36_thyroid_parathyroid
ENST00000354393,62,28,1045,0.00043,0.46919,0.49713,v36_thyroid_parathyroid
ENST00000688812,60,28,857,0.00054,0.48493,0.56559,v36_thyroid_parathyroid
ENST00000358913,85,37,1320,0.00033,0.45435,0.48866,v36_thyroid_parathyroid
ENST00000399169,73,39,989,0.00054,0.53865,0.59641,v36_thyroid_parathyroid
ENST00000372873,45,6,753,0.00018,0.50179,0.49447,v36_thyroid_parathyroid
ENST00000394810,63,12,977,0.00019,0.46807,0.36174,v36_thyroid_parathyroid
ENST00000286628,43,13,1236,0.00024,0.58964,0.61159,v36_thyroid_parathyroid
ENST00000334512,83,15,1067,0.00017,0.42607,0.48016,v36_thyroid_parathyroid
ENST00000327946,48,9,1009,0.00019,0.50917,0.42077,v36_thyroid_parathyroid
ENST00000260762,59,31,804,0.00065,0.51764,0.5264,v36_thyroid_parathyroid
ENST00000371380,141,56,2302,0.00017,0.5523,0.56795,v36_thyroid_parathyroid
ENST00000370397,43,26,745,0.00081,0.53791,0.62122,v36_thyroid_parathyroid
ENST00000370584,33,11,778,0.00043,0.47048,0.35476,v36_thyroid_parathyroid
ENST00000612478,33,11,792,0.00042,0.46805,0.35009,v36_thyroid_parathyroid
ENST00000371247,70,22,1292,0.00024,0.5719,0.63928,v36_thyroid_parathyroid
ENST00000370269,52,25,1186,0.00041,0.53663,0.59706,v36_thyroid_parathyroid
ENST00000370033,28,7,689,0.00036,0.53841,0.33983,v36_thyroid_parathyroid
ENST00000263054,59,20,1168,0.00029,0.51918,0.52547,v36_thyroid_parathyroid
ENST00000348367,46,15,828,0.00039,0.55156,0.5401,v36_thyroid_parathyroid
ENST00000360478,110,39,1695,0.00021,0.50693,0.40414,v36_thyroid_parathyroid
ENST00000304129,39,11,818,0.00034,0.41928,0.35585,v36_thyroid_parathyroid
ENST00000369271,39,11,814,0.00035,0.42122,0.35761,v36_thyroid_parathyroid
ENST00000513429,61,14,1094,0.00021,0.56905,0.44091,v36_thyroid_parathyroid
ENST00000260733,54,12,1026,0.00022,0.61508,0.47864,v36_thyroid_parathyroid
ENST00000357555,23,3,707,0.00018,0.56952,0.65818,v36_thyroid_parathyroid
ENST00000457416,32,7,822,0.00027,0.55079,0.63608,v36_thyroid_parathyroid
ENST00000360144,26,4,680,0.00023,0.5448,0.61397,v36_thyroid_parathyroid
ENST00000368642,26,5,586,0.00033,0.48687,0.68771,v36_thyroid_parathyroid
ENST00000155840,28,1,676,5e-05,0.6456,0.55473,v36_thyroid_parathyroid
ENST00000380525,42,15,831,0.00043,0.45877,0.53951,v36_thyroid_parathyroid
ENST00000612826,42,15,831,0.00043,0.45877,0.53951,v36_thyroid_parathyroid
ENST00000527275,23,5,630,0.00035,0.56356,0.50032,v36_thyroid_parathyroid
ENST00000299492,55,20,876,0.00042,0.46218,0.5161,v36_thyroid_parathyroid
ENST00000528883,50,19,764,0.0005,0.42681,0.47169,v36_thyroid_parathyroid
ENST00000397004,43,19,920,0.00048,0.49861,0.50126,v36_thyroid_parathyroid
ENST00000396553,38,6,767,0.00021,0.47825,0.77336,v36_thyroid_parathyroid
ENST00000423302,49,14,912,0.00031,0.51128,0.56775,v36_thyroid_parathyroid
ENST00000401424,23,8,582,0.0006,0.47445,0.45812,v36_thyroid_parathyroid
ENST00000389817,81,17,1581,0.00013,0.51223,0.41154,v36_thyroid_parathyroid
ENST00000349880,123,28,2429,9e-05,0.4294,0.47128,v36_thyroid_parathyroid
ENST00000396087,125,30,2488,0.0001,0.42496,0.44764,v36_thyroid_parathyroid
ENST00000415148,27,8,699,0.00042,0.58385,0.62697,v36_thyroid_parathyroid
ENST00000428726,29,9,742,0.00042,0.58128,0.61575,v36_thyroid_parathyroid
ENST00000622142,70,8,1177,0.0001,0.50152,0.53706,v36_thyroid_parathyroid
ENST00000311764,49,12,720,0.00034,0.44963,0.47222,v36_thyroid_parathyroid
ENST00000418331,51,25,1337,0.00037,0.51629,0.45041,v36_thyroid_parathyroid
ENST00000406482,79,19,1479,0.00016,0.48095,0.55044,v36_thyroid_parathyroid
ENST00000674617,35,15,611,0.0007,0.4881,0.61331,v36_thyroid_parathyroid
ENST00000426142,40,14,832,0.00042,0.54189,0.59083,v36_thyroid_parathyroid
ENST00000528621,43,16,879,0.00042,0.52864,0.53847,v36_thyroid_parathyroid
ENST00000530748,43,16,885,0.00042,0.52789,0.53778,v36_thyroid_parathyroid
ENST00000526357,46,16,908,0.00038,0.54262,0.52127,v36_thyroid_parathyroid
ENST00000415361,43,14,867,0.00038,0.5553,0.57044,v36_thyroid_parathyroid
ENST00000532844,46,16,914,0.00038,0.54205,0.52072,v36_thyroid_parathyroid
ENST00000361332,50,18,962,0.00037,0.52545,0.49105,v36_thyroid_parathyroid
ENST00000399050,50,18,968,0.00037,0.52479,0.49042,v36_thyroid_parathyroid
ENST00000402010,37,5,788,0.00017,0.51993,0.44772,v36_thyroid_parathyroid
ENST00000334944,42,14,638,0.00052,0.58266,0.59393,v36_thyroid_parathyroid
ENST00000601538,83,16,1849,0.0001,0.46125,0.50128,v36_thyroid_parathyroid
ENST00000278550,116,20,2769,6e-05,0.58377,0.59596,v36_thyroid_parathyroid
ENST00000526033,30,17,645,0.00088,0.50682,0.52358,v36_thyroid_parathyroid
ENST00000315765,40,11,1159,0.00024,0.56997,0.42968,v36_thyroid_parathyroid
ENST00000524871,46,25,1100,0.00049,0.54405,0.56858,v36_thyroid_parathyroid
ENST00000524871,46,25,1100,0.00049,0.54405,0.56858,v36_thyroid_parathyroid
ENST00000650373,272,162,4314,0.00014,0.47402,0.49364,v36_thyroid_parathyroid
ENST00000529221,32,10,705,0.00044,0.44131,0.41376,v36_thyroid_parathyroid
ENST00000426998,34,19,603,0.00093,0.55385,0.60705,v36_thyroid_parathyroid
ENST00000392996,38,8,673,0.00031,0.44936,0.42775,v36_thyroid_parathyroid
ENST00000431736,77,31,1073,0.00038,0.47876,0.53642,v36_thyroid_parathyroid
ENST00000392793,92,16,2155,8e-05,0.52215,0.53959,v36_thyroid_parathyroid
ENST00000260187,32,6,605,0.00031,0.50956,0.51846,v36_thyroid_parathyroid
ENST00000343164,16,3,602,0.00031,0.48349,0.64618,v36_thyroid_parathyroid
ENST00000359674,21,3,614,0.00023,0.44967,0.77687,v36_thyroid_parathyroid
ENST00000684302,21,3,614,0.00023,0.44967,0.77687,v36_thyroid_parathyroid
ENST00000361953,39,13,748,0.00045,0.46462,0.44776,v36_thyroid_parathyroid
ENST00000399601,95,19,2138,9e-05,0.55833,0.67089,v36_thyroid_parathyroid
ENST00000644660,95,19,2138,9e-05,0.55833,0.67089,v36_thyroid_parathyroid
ENST00000360168,41,5,728,0.00017,0.49213,0.49203,v36_thyroid_parathyroid
ENST00000228916,37,4,669,0.00016,0.49909,0.57399,v36_thyroid_parathyroid
ENST00000544040,95,29,1912,0.00016,0.59062,0.63817,v36_thyroid_parathyroid
ENST00000261167,42,18,641,0.00067,0.43362,0.43526,v36_thyroid_parathyroid
ENST00000318304,64,29,1011,0.00045,0.47516,0.46263,v36_thyroid_parathyroid
ENST00000548696,52,26,831,0.0006,0.50685,0.54142,v36_thyroid_parathyroid
ENST00000344862,25,14,701,0.0008,0.49837,0.49124,v36_thyroid_parathyroid
ENST00000452445,43,24,816,0.00068,0.50744,0.49295,v36_thyroid_parathyroid
ENST00000547587,31,5,780,0.00021,0.50161,0.4718,v36_thyroid_parathyroid
ENST00000421952,46,7,711,0.00021,0.46453,0.45389,v36_thyroid_parathyroid
ENST00000332411,36,6,638,0.00026,0.50832,0.39237,v36_thyroid_parathyroid
ENST00000327443,91,36,785,0.0005,0.43326,0.41415,v36_thyroid_parathyroid
ENST00000300134,66,17,847,0.0003,0.48544,0.52358,v36_thyroid_parathyroid
ENST00000379141,48,23,1059,0.00045,0.43101,0.55085,v36_thyroid_parathyroid
ENST00000320743,49,23,1119,0.00042,0.45275,0.57493,v36_thyroid_parathyroid
ENST00000398016,54,25,1076,0.00043,0.5622,0.61305,v36_thyroid_parathyroid
ENST00000330891,24,6,668,0.00037,0.54479,0.61552,v36_thyroid_parathyroid
ENST00000550746,42,23,691,0.00079,0.548,0.54357,v36_thyroid_parathyroid
ENST00000644991,85,50,2299,0.00026,0.56573,0.59167,v36_thyroid_parathyroid
ENST00000261207,55,33,1030,0.00058,0.55388,0.599,v36_thyroid_parathyroid
ENST00000392934,36,16,1139,0.00039,0.43384,0.38691,v36_thyroid_parathyroid
ENST00000547405,39,19,1120,0.00043,0.47241,0.47716,v36_thyroid_parathyroid
ENST00000553190,35,17,1123,0.00043,0.43529,0.439,v36_thyroid_parathyroid
ENST00000536007,38,18,1127,0.00042,0.48709,0.50192,v36_thyroid_parathyroid
ENST00000541119,39,19,1134,0.00043,0.47893,0.48362,v36_thyroid_parathyroid
ENST00000550270,36,18,1141,0.00044,0.4404,0.4497,v36_thyroid_parathyroid
ENST00000545503,39,19,1146,0.00043,0.48438,0.48902,v36_thyroid_parathyroid
ENST00000361685,35,17,1148,0.00042,0.44759,0.45122,v36_thyroid_parathyroid
ENST00000547776,58,25,1248,0.00035,0.54247,0.51612,v36_thyroid_parathyroid
