ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000537325,6,1,161,0.00104,0.60352,0.96273,v30_colon
ENST00000377627,10,5,175,0.00286,0.488,0.65371,v30_colon
ENST00000376637,6,4,111,0.00601,0.53303,0.66441,v30_colon
ENST00000375121,11,3,227,0.0012,0.4121,0.39501,v30_colon
ENST00000289749,10,3,216,0.00139,0.55509,0.32562,v30_colon
ENST00000354361,8,3,201,0.00187,0.51182,0.41459,v30_colon
ENST00000419687,23,7,227,0.00134,0.50469,0.52989,v30_colon
ENST00000414241,15,7,424,0.0011,0.49355,0.56671,v30_colon
ENST00000446189,14,8,147,0.00389,0.57532,0.63946,v30_colon
ENST00000370668,6,3,102,0.0049,0.5866,0.58823,v30_colon
ENST00000370689,14,6,351,0.00122,0.46703,0.36515,v30_colon
ENST00000538610,11,3,183,0.00149,0.5847,0.52459,v30_colon
ENST00000369709,15,8,184,0.0029,0.46377,0.45516,v30_colon
ENST00000393316,11,4,163,0.00223,0.53319,0.49693,v30_colon
ENST00000369516,9,3,221,0.00151,0.70639,0.64404,v30_colon
ENST00000369426,19,10,220,0.00239,0.54211,0.58682,v30_colon
ENST00000256585,9,3,158,0.00211,0.66596,0.51266,v30_colon
ENST00000438413,12,5,229,0.00182,0.42176,0.41747,v30_colon
ENST00000567140,18,3,142,0.00117,0.70696,0.56338,v30_colon
ENST00000452291,11,5,199,0.00228,0.55825,0.72663,v30_colon
ENST00000530507,8,2,185,0.00135,0.52568,0.81351,v30_colon
ENST00000486220,6,3,72,0.00694,0.67824,0.76389,v30_colon
ENST00000444639,5,1,99,0.00202,0.62828,0.84848,v30_colon
ENST00000367139,12,3,203,0.00123,0.42816,0.58292,v30_colon
ENST00000360212,8,3,355,0.00106,0.62394,0.64132,v30_colon
ENST00000366890,11,6,336,0.00162,0.47944,0.38343,v30_colon
ENST00000366615,9,5,155,0.00358,0.5276,0.59871,v30_colon
ENST00000479214,4,1,121,0.00207,0.60951,0.19835,v30_colon
ENST00000538630,26,16,484,0.00127,0.49936,0.4375,v30_colon
ENST00000684501,4,2,197,0.00254,0.51142,0.3731,v30_colon
ENST00000342105,23,7,245,0.00124,0.57019,0.49971,v30_colon
ENST00000395098,8,4,251,0.00199,0.48556,0.58665,v30_colon
ENST00000644591,10,4,196,0.00204,0.55765,0.62882,v30_colon
ENST00000645440,5,2,131,0.00305,0.40458,0.14886,v30_colon
ENST00000371930,10,3,191,0.00157,0.39476,0.11693,v30_colon
ENST00000322191,9,4,314,0.00142,0.40941,0.55414,v30_colon
ENST00000652046,15,7,335,0.00139,0.58985,0.69211,v30_colon
ENST00000265992,34,15,372,0.00119,0.55716,0.63011,v30_colon
ENST00000539281,6,3,213,0.00235,0.53756,0.47574,v30_colon
ENST00000361248,15,4,182,0.00147,0.41978,0.4272,v30_colon
ENST00000423273,6,4,67,0.00995,0.80597,0.77612,v30_colon
ENST00000392865,11,2,167,0.00109,0.57267,0.73054,v30_colon
ENST00000176195,5,1,121,0.00165,0.44132,0.41322,v30_colon
ENST00000622382,5,1,121,0.00165,0.44132,0.41322,v30_colon
ENST00000329957,11,5,268,0.0017,0.34905,0.49627,v30_colon
ENST00000707570,11,5,268,0.0017,0.34905,0.49627,v30_colon
ENST00000650601,5,3,147,0.00408,0.69252,0.77778,v30_colon
ENST00000529942,6,3,151,0.00331,0.42494,0.66446,v30_colon
ENST00000324229,9,2,127,0.00175,0.49081,0.77166,v30_colon
ENST00000443524,8,3,242,0.00155,0.43905,0.4022,v30_colon
ENST00000537076,11,8,221,0.00329,0.31345,0.22511,v30_colon
ENST00000016913,12,8,267,0.0025,0.29588,0.18633,v30_colon
ENST00000278893,17,7,287,0.00143,0.60894,0.76406,v30_colon
ENST00000294117,2,1,75,0.00667,0.23334,0.28,v30_colon
ENST00000409738,2,1,119,0.0042,0.53361,0.29412,v30_colon
ENST00000535129,5,1,189,0.00106,0.32381,0.0582,v30_colon
ENST00000446862,3,2,124,0.00538,0.70161,0.59678,v30_colon
ENST00000280352,10,7,292,0.0024,0.45068,0.43591,v30_colon
ENST00000424261,12,4,260,0.00128,0.60769,0.84423,v30_colon
ENST00000530272,13,5,202,0.0019,0.37928,0.44554,v30_colon
ENST00000539526,4,1,95,0.00263,0.70263,0.69474,v30_colon
ENST00000260282,4,1,95,0.00263,0.70263,0.69474,v30_colon
ENST00000438015,20,12,476,0.00126,0.57448,0.58333,v30_colon
ENST00000444704,9,3,225,0.00148,0.4637,0.35852,v30_colon
ENST00000266434,18,6,252,0.00132,0.60891,0.70635,v30_colon
ENST00000631251,18,6,252,0.00132,0.60891,0.70635,v30_colon
ENST00000354662,6,2,145,0.0023,0.57931,0.73793,v30_colon
ENST00000441439,6,2,145,0.0023,0.57931,0.73793,v30_colon
ENST00000539744,23,13,291,0.00194,0.57119,0.60349,v30_colon
ENST00000310791,12,6,236,0.00212,0.3577,0.45127,v30_colon
