Gene,OptionalDataColumns
ENST00000505820,5
ENST00000355826,5
ENST00000378712,5
ENST00000343090,13
ENST00000377093,12
ENST00000361445,17
ENST00000345034,14
ENST00000375254,41
ENST00000404138,10
ENST00000634561,5
ENST00000336689,5
ENST00000374343,14
ENST00000252992,13
ENST00000642937,6
ENST00000409190,8
ENST00000373014,5
ENST00000372856,8
ENST00000372858,8
ENST00000372572,18
ENST00000361776,18
ENST00000372343,12
ENST00000361297,15
ENST00000672818,6
ENST00000396153,14
ENST00000371586,6
ENST00000294353,13
ENST00000294383,30
ENST00000539524,8
ENST00000352171,10
ENST00000407246,6
ENST00000674203,12
ENST00000334785,21
ENST00000370665,7
ENST00000370558,5
ENST00000482504,5
ENST00000271234,21
ENST00000465892,7
ENST00000294724,15
ENST00000393274,14
ENST00000261443,10
ENST00000369530,11
ENST00000610726,11
ENST00000369356,44
ENST00000618462,43
ENST00000369354,43
ENST00000369349,32
ENST00000368969,12
ENST00000295314,6
ENST00000318247,8
ENST00000245564,5
ENST00000348159,12
ENST00000708596,12
ENST00000361831,10
ENST00000295566,10
ENST00000368081,7
ENST00000342310,5
ENST00000361200,6
ENST00000312263,8
ENST00000432587,13
ENST00000367840,13
ENST00000367607,5
ENST00000367500,6
ENST00000331314,14
ENST00000362061,7
ENST00000335211,17
ENST00000367443,7
ENST00000367079,5
ENST00000452621,6
ENST00000419091,10
ENST00000366993,19
ENST00000366923,13
ENST00000284548,26
ENST00000422127,35
ENST00000258243,12
ENST00000366647,6
ENST00000366661,6
ENST00000366639,5
ENST00000602682,5
ENST00000224949,10
ENST00000355029,5
ENST00000417956,9
ENST00000378757,9
ENST00000378747,9
ENST00000378748,9
ENST00000376454,23
ENST00000342386,8
ENST00000355867,14
ENST00000452305,9
ENST00000374794,7
ENST00000346874,9
ENST00000374788,10
ENST00000340077,6
ENST00000374144,14
ENST00000618804,10
ENST00000309334,10
ENST00000682758,7
ENST00000354393,14
ENST00000613327,17
ENST00000358913,17
ENST00000394890,10
ENST00000372919,9
ENST00000265986,8
ENST00000630152,5
ENST00000430368,6
ENST00000370992,5
ENST00000371247,12
ENST00000677240,7
ENST00000676993,7
