ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000379116,38,16,802,0.00053,0.46975,0.51948,v36_thyroid_parathyroid
ENST00000401095,72,17,1079,0.00022,0.50441,0.4466,v36_thyroid_parathyroid
ENST00000378378,51,15,709,0.00041,0.50842,0.51942,v36_thyroid_parathyroid
ENST00000270722,51,11,1276,0.00017,0.53441,0.43353,v36_thyroid_parathyroid
ENST00000378567,25,13,592,0.00088,0.51426,0.52586,v36_thyroid_parathyroid
ENST00000378156,92,36,1426,0.00027,0.48348,0.45101,v36_thyroid_parathyroid
ENST00000377093,69,34,1153,0.00043,0.61704,0.5864,v36_thyroid_parathyroid
ENST00000613099,250,137,4363,0.00013,0.48334,0.48892,v36_thyroid_parathyroid
ENST00000375692,27,8,686,0.00043,0.55183,0.62609,v36_thyroid_parathyroid
ENST00000495204,35,16,727,0.00063,0.48512,0.45994,v36_thyroid_parathyroid
ENST00000374765,31,12,663,0.00058,0.49706,0.55782,v36_thyroid_parathyroid
ENST00000542643,30,11,681,0.00054,0.47954,0.52476,v36_thyroid_parathyroid
ENST00000374434,67,29,1437,0.0003,0.47925,0.57896,v36_thyroid_parathyroid
ENST00000361530,53,20,713,0.00053,0.4952,0.50673,v36_thyroid_parathyroid
ENST00000374168,30,10,735,0.00045,0.61116,0.53619,v36_thyroid_parathyroid
ENST00000629832,30,10,735,0.00045,0.61116,0.53619,v36_thyroid_parathyroid
ENST00000373480,55,13,1035,0.00023,0.49284,0.45544,v36_thyroid_parathyroid
ENST00000453908,39,8,756,0.00027,0.52798,0.47239,v36_thyroid_parathyroid
ENST00000373104,49,19,783,0.0005,0.47934,0.53485,v36_thyroid_parathyroid
ENST00000372583,120,32,2406,0.00011,0.46924,0.4684,v36_thyroid_parathyroid
ENST00000371528,51,27,759,0.0007,0.52109,0.57425,v36_thyroid_parathyroid
ENST00000357206,62,42,1366,0.0005,0.51524,0.45177,v36_thyroid_parathyroid
ENST00000354412,27,7,700,0.00037,0.46831,0.32245,v36_thyroid_parathyroid
ENST00000347547,28,8,793,0.00036,0.49248,0.50268,v36_thyroid_parathyroid
ENST00000371454,33,9,904,0.0003,0.49249,0.38926,v36_thyroid_parathyroid
ENST00000343744,34,11,594,0.00054,0.49634,0.40419,v36_thyroid_parathyroid
ENST00000371316,33,11,607,0.00055,0.47481,0.40392,v36_thyroid_parathyroid
ENST00000421030,65,14,1323,0.00016,0.57221,0.60793,v36_thyroid_parathyroid
ENST00000425300,25,6,652,0.00037,0.60429,0.53579,v36_thyroid_parathyroid
ENST00000710932,26,20,632,0.00122,0.52605,0.5818,v36_thyroid_parathyroid
ENST00000370768,61,41,644,0.00104,0.55776,0.49076,v36_thyroid_parathyroid
ENST00000334785,44,31,675,0.00104,0.46754,0.46968,v36_thyroid_parathyroid
ENST00000370425,68,52,1435,0.00053,0.52295,0.50851,v36_thyroid_parathyroid
ENST00000436063,39,25,756,0.00085,0.50254,0.5245,v36_thyroid_parathyroid
ENST00000294724,70,49,1532,0.00046,0.45267,0.41545,v36_thyroid_parathyroid
ENST00000353414,89,47,1767,0.0003,0.50311,0.5226,v36_thyroid_parathyroid
ENST00000307546,82,51,1481,0.00042,0.52187,0.50939,v36_thyroid_parathyroid
ENST00000369483,76,19,1214,0.00021,0.43439,0.42925,v36_thyroid_parathyroid
ENST00000295598,44,17,1023,0.00038,0.52997,0.4979,v36_thyroid_parathyroid
ENST00000369496,43,16,992,0.00038,0.52759,0.51323,v36_thyroid_parathyroid
ENST00000369530,42,29,813,0.00085,0.51447,0.49892,v36_thyroid_parathyroid
ENST00000610726,43,29,844,0.0008,0.51598,0.50592,v36_thyroid_parathyroid
ENST00000369356,237,111,2362,0.0002,0.4429,0.40793,v36_thyroid_parathyroid
ENST00000618462,228,108,2240,0.00021,0.43462,0.41204,v36_thyroid_parathyroid
ENST00000369349,125,65,969,0.00054,0.47503,0.44785,v36_thyroid_parathyroid
ENST00000368913,43,14,962,0.00034,0.42122,0.45634,v36_thyroid_parathyroid
ENST00000368799,724,306,4061,0.0001,0.56482,0.57428,v36_thyroid_parathyroid
ENST00000531094,99,46,1348,0.00034,0.44544,0.43706,v36_thyroid_parathyroid
ENST00000368382,48,12,736,0.00034,0.41607,0.43693,v36_thyroid_parathyroid
ENST00000356955,57,15,863,0.0003,0.52142,0.51827,v36_thyroid_parathyroid
ENST00000313667,70,25,985,0.00036,0.55063,0.50879,v36_thyroid_parathyroid
ENST00000368285,37,8,761,0.00028,0.4987,0.40785,v36_thyroid_parathyroid
ENST00000309758,30,6,643,0.00031,0.5494,0.5705,v36_thyroid_parathyroid
ENST00000361200,50,18,1158,0.00031,0.48434,0.45577,v36_thyroid_parathyroid
ENST00000367862,82,40,755,0.00065,0.32037,0.35758,v36_thyroid_parathyroid
ENST00000538366,34,22,714,0.00091,0.54585,0.57385,v36_thyroid_parathyroid
ENST00000367840,58,36,951,0.00065,0.48863,0.50038,v36_thyroid_parathyroid
ENST00000294848,60,35,981,0.00059,0.52955,0.51743,v36_thyroid_parathyroid
