ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000377507,14,5,255,0.0014,0.52913,0.56863,v37_adrenal_gland
ENST00000354437,30,5,499,0.00033,0.53995,0.53988,v37_adrenal_gland
ENST00000378285,28,5,450,0.0004,0.52992,0.48978,v37_adrenal_gland
ENST00000340850,44,6,1006,0.00014,0.59583,0.51425,v37_adrenal_gland
ENST00000304457,68,18,860,0.00031,0.52396,0.6449,v37_adrenal_gland
ENST00000235372,84,19,1718,0.00013,0.52804,0.52224,v37_adrenal_gland
ENST00000318249,53,9,633,0.00027,0.45641,0.42619,v37_adrenal_gland
ENST00000374271,17,5,341,0.00086,0.47162,0.6305,v37_adrenal_gland
ENST00000373797,42,9,720,0.0003,0.4502,0.31049,v37_adrenal_gland
ENST00000372718,37,6,429,0.00038,0.55837,0.58081,v37_adrenal_gland
ENST00000372708,35,6,399,0.00043,0.55639,0.54929,v37_adrenal_gland
ENST00000539317,29,5,349,0.00049,0.60429,0.58395,v37_adrenal_gland
ENST00000372584,119,11,2405,4e-05,0.46588,0.39796,v37_adrenal_gland
ENST00000372653,60,8,301,0.00044,0.63206,0.63289,v37_adrenal_gland
ENST00000355498,49,6,521,0.00024,0.49156,0.66475,v37_adrenal_gland
ENST00000371877,74,16,1288,0.00017,0.55467,0.6382,v37_adrenal_gland
ENST00000371568,57,9,861,0.00018,0.54551,0.44819,v37_adrenal_gland
ENST00000371568,57,9,861,0.00018,0.54551,0.44819,v37_adrenal_gland
ENST00000610401,19,8,388,0.00109,0.41793,0.35502,v37_adrenal_gland
ENST00000414851,43,10,555,0.00042,0.53082,0.63874,v37_adrenal_gland
ENST00000371509,21,7,503,0.00066,0.58071,0.51548,v37_adrenal_gland
ENST00000342203,50,16,614,0.00052,0.49762,0.41205,v37_adrenal_gland
ENST00000317336,38,12,636,0.0005,0.59177,0.61701,v37_adrenal_gland
ENST00000616170,19,5,394,0.00067,0.4817,0.47056,v37_adrenal_gland
ENST00000370459,53,14,586,0.00045,0.65754,0.8057,v37_adrenal_gland
ENST00000347652,25,5,647,0.00031,0.54046,0.72983,v37_adrenal_gland
ENST00000359785,36,6,807,0.00021,0.47752,0.48906,v37_adrenal_gland
ENST00000682167,64,9,1021,0.00014,0.41747,0.51855,v37_adrenal_gland
ENST00000682167,64,9,1021,0.00014,0.41747,0.51855,v37_adrenal_gland
ENST00000369259,42,7,693,0.00024,0.43953,0.60895,v37_adrenal_gland
ENST00000369049,44,9,567,0.00036,0.43218,0.4174,v37_adrenal_gland
ENST00000368888,26,6,562,0.00041,0.57158,0.56643,v37_adrenal_gland
ENST00000368863,88,10,1315,9e-05,0.47967,0.4581,v37_adrenal_gland
ENST00000292180,33,5,587,0.00026,0.47525,0.50596,v37_adrenal_gland
ENST00000529168,62,6,1200,8e-05,0.37633,0.2475,v37_adrenal_gland
ENST00000368445,26,5,583,0.00033,0.6425,0.66621,v37_adrenal_gland
ENST00000245564,31,5,570,0.00028,0.5103,0.63228,v37_adrenal_gland
ENST00000368236,48,6,582,0.00021,0.43331,0.29696,v37_adrenal_gland
