Gene,OptionalDataColumns
ENST00000379288,11
ENST00000378531,17
ENST00000611612,18
ENST00000378190,15
ENST00000378191,15
ENST00000604074,16
ENST00000354437,19
ENST00000378285,19
ENST00000348333,15
ENST00000376590,15
ENST00000376667,8
ENST00000614859,9
ENST00000359621,5
ENST00000375910,6
ENST00000333868,14
ENST00000376014,9
ENST00000375534,14
ENST00000618761,8
ENST00000615215,8
ENST00000290167,10
ENST00000356046,13
ENST00000538532,10
ENST00000675840,16
ENST00000374027,6
ENST00000645231,16
ENST00000253063,16
ENST00000234549,23
ENST00000373826,9
ENST00000409358,20
ENST00000373471,10
ENST00000621781,3
ENST00000356545,11
ENST00000615459,11
ENST00000356545,11
ENST00000331593,17
ENST00000296380,9
ENST00000347132,21
ENST00000335282,7
ENST00000372207,18
ENST00000307089,10
ENST00000371655,9
ENST00000313334,8
ENST00000371494,9
ENST00000534324,12
ENST00000312553,19
ENST00000495776,2
ENST00000371080,11
ENST00000282670,6
ENST00000646789,5
ENST00000371016,20
ENST00000477717,23
ENST00000534056,12
ENST00000370867,10
ENST00000370756,12
ENST00000370689,13
ENST00000545708,18
ENST00000315033,10
ENST00000287474,23
ENST00000370109,13
ENST00000370083,15
ENST00000330330,15
ENST00000370083,15
ENST00000622339,15
ENST00000369949,7
ENST00000442650,7
ENST00000369868,4
ENST00000361066,12
ENST00000271331,1
ENST00000369732,17
ENST00000437429,11
ENST00000369781,8
ENST00000369779,13
ENST00000393614,22
ENST00000359172,22
ENST00000369686,13
ENST00000369684,10
ENST00000360743,18
ENST00000358039,18
ENST00000369630,3
ENST00000610222,9
ENST00000369512,8
ENST00000606888,16
ENST00000369167,3
ENST00000331491,8
ENST00000414276,2
ENST00000369109,5
ENST00000414276,2
ENST00000368755,10
ENST00000368750,11
ENST00000468739,10
ENST00000324978,9
ENST00000368432,19
ENST00000532414,16
ENST00000368347,16
ENST00000537040,16
ENST00000537040,16
ENST00000537040,16
ENST00000613460,3
ENST00000368273,14
ENST00000368222,4
ENST00000337428,20
ENST00000368166,9
ENST00000368156,18
ENST00000368072,18
ENST00000432287,2
ENST00000294796,11
ENST00000481278,8
ENST00000367838,13
ENST00000367833,10
ENST00000344529,9
ENST00000333279,14
ENST00000540564,9
ENST00000367579,12
ENST00000308641,14
ENST00000367510,20
ENST00000462677,3
ENST00000391985,9
ENST00000367387,13
ENST00000367470,19
ENST00000533432,5
ENST00000614750,8
ENST00000491855,20
ENST00000272190,12
ENST00000367155,12
ENST00000243611,8
ENST00000367076,8
ENST00000391923,8
ENST00000361322,12
ENST00000367028,5
ENST00000367028,5
ENST00000469606,3
ENST00000350027,17
ENST00000366878,21
ENST00000272134,15
ENST00000366820,15
ENST00000420304,13
ENST00000693095,2
ENST00000647549,2
ENST00000617596,12
ENST00000456946,14
ENST00000391867,6
ENST00000391854,2
ENST00000366598,2
ENST00000450593,2
ENST00000366503,13
ENST00000447569,1
ENST00000379562,18
ENST00000407572,6
ENST00000327347,17
ENST00000377799,22
ENST00000378331,0
ENST00000313519,18
ENST00000320152,5
ENST00000331161,7
ENST00000419761,13
ENST00000682389,3
ENST00000684501,4
ENST00000346832,23
ENST00000374160,2
ENST00000513156,12
ENST00000511769,20
ENST00000419399,7
ENST00000417247,22
ENST00000395348,10
ENST00000316629,8
ENST00000373644,19
ENST00000441259,20
ENST00000644088,4
ENST00000398786,2
ENST00000394890,20
ENST00000372524,10
ENST00000256039,9
ENST00000355843,13
ENST00000652046,14
ENST00000427197,11
ENST00000299353,13
ENST00000369729,13
ENST00000351270,18
ENST00000369312,19
ENST00000369310,22
ENST00000423273,5
ENST00000341276,22
ENST00000538897,20
ENST00000442245,5
ENST00000369060,22
ENST00000360144,21
ENST00000368896,1
ENST00000368808,20
ENST00000368642,17
ENST00000325980,15
ENST00000304477,12
ENST00000357296,11
ENST00000613221,2
ENST00000595228,2
ENST00000633287,19
ENST00000438658,19
ENST00000429789,17
ENST00000397408,8
ENST00000397068,9
ENST00000300773,7
ENST00000379936,20
ENST00000305253,23
ENST00000300730,6
ENST00000309377,8
ENST00000326053,17
ENST00000338965,22
ENST00000280706,6
ENST00000278187,8
ENST00000530998,18
ENST00000379079,18
ENST00000531120,20
ENST00000395983,8
ENST00000531794,16
ENST00000317811,17
ENST00000378867,16
ENST00000342935,9
ENST00000241041,17
ENST00000359803,4
ENST00000395566,4
ENST00000395565,4
ENST00000302514,9
ENST00000642567,6
ENST00000426530,7
ENST00000340573,3
ENST00000300226,7
ENST00000335613,23
ENST00000378075,5
ENST00000334888,2
ENST00000350997,17
ENST00000005286,22
ENST00000426130,3
ENST00000244930,3
ENST00000278282,3
ENST00000433688,10
ENST00000301459,23
ENST00000255695,1
ENST00000425825,14
ENST00000309099,6
ENST00000349767,10
ENST00000339764,11
ENST00000398492,2
ENST00000354190,2
ENST00000313578,10
ENST00000278568,21
ENST00000332349,23
ENST00000334289,14
ENST00000534360,4
ENST00000302251,14
ENST00000447913,1
ENST00000613512,3
ENST00000398035,4
ENST00000375618,10
ENST00000332814,15
ENST00000398006,13
ENST00000532984,6
ENST00000392937,14
ENST00000359862,12
ENST00000442938,12
ENST00000503566,15
ENST00000375095,4
ENST00000529187,3
ENST00000529187,3
ENST00000392678,9
ENST00000525704,23
ENST00000530591,10
ENST00000532243,10
ENST00000529694,13
ENST00000458238,4
ENST00000203629,22
ENST00000229264,9
ENST00000311268,12
ENST00000443597,14
ENST00000540085,13
ENST00000229332,11
ENST00000359151,9
ENST00000575008,3
ENST00000537503,3
ENST00000614274,3
ENST00000538986,9
ENST00000570941,9
ENST00000634193,9
ENST00000571879,7
ENST00000531678,7
ENST00000457134,9
ENST00000674388,22
ENST00000282881,21
ENST00000445693,23
ENST00000539780,8
ENST00000395901,23
ENST00000337682,10
ENST00000617411,10
ENST00000344862,23
ENST00000344862,23
ENST00000552761,15
ENST00000266581,9
ENST00000229003,12
ENST00000316554,9
ENST00000448928,21
ENST00000228468,18
ENST00000228515,17
ENST00000301466,21
ENST00000444623,22
ENST00000338561,13
ENST00000425354,12
ENST00000439541,3
ENST00000508394,11
ENST00000243108,13
ENST00000312492,10
ENST00000303406,14
ENST00000430889,14
ENST00000340913,13
ENST00000553100,3
ENST00000547167,13
ENST00000293502,6
ENST00000556825,3
ENST00000257848,12
ENST00000540550,8
ENST00000403681,12
ENST00000575847,1
ENST00000392989,13
ENST00000361483,2
ENST00000242607,11
ENST00000202831,8
ENST00000392542,15
ENST00000327554,22
ENST00000534951,5
ENST00000257552,16
ENST00000308366,3
ENST00000392509,5
ENST00000339777,13
ENST00000339777,13
ENST00000433877,5
ENST00000442833,18
ENST00000324038,3
ENST00000360564,15
ENST00000350048,10
ENST00000643471,11
ENST00000542711,6
ENST00000541211,12
ENST00000403372,14
ENST00000315190,2
ENST00000423210,13
ENST00000313851,12
ENST00000400405,10
ENST00000682523,4
ENST00000312942,15
ENST00000376143,9
ENST00000257336,22
ENST00000309957,14
ENST00000351487,16
ENST00000358932,17
ENST00000708739,17
ENST00000250383,8
ENST00000710588,6
ENST00000543805,1
ENST00000556015,7
ENST00000356300,20
ENST00000397118,20
ENST00000644025,13
ENST00000554050,13
ENST00000250373,16
ENST00000642302,16
ENST00000553879,16
ENST00000643468,16
ENST00000337334,5
ENST00000216445,18
ENST00000541264,17
ENST00000261249,15
ENST00000555278,15
ENST00000353772,16
ENST00000341099,17
ENST00000460526,16
ENST00000487270,21
ENST00000246166,23
ENST00000617124,7
ENST00000555042,18
ENST00000394026,13
ENST00000673765,21
ENST00000303575,4
ENST00000419727,6
ENST00000556222,10
ENST00000626058,10
ENST00000341267,8
ENST00000557378,15
ENST00000355173,15
ENST00000359366,7
ENST00000510508,4
ENST00000556511,14
ENST00000451127,9
ENST00000539711,8
ENST00000455693,14
ENST00000454250,14
ENST00000632335,15
ENST00000557796,20
ENST00000340545,20
ENST00000416165,22
ENST00000479013,12
ENST00000617768,13
ENST00000559596,22
ENST00000458412,2
ENST00000389425,19
ENST00000355997,22
ENST00000396402,14
ENST00000396307,9
ENST00000321149,20
ENST00000616065,15
ENST00000569896,7
ENST00000288840,10
ENST00000261861,13
ENST00000540068,13
ENST00000543950,13
ENST00000621098,10
ENST00000672913,14
ENST00000358632,14
ENST00000672385,20
ENST00000268053,20
ENST00000616000,18
ENST00000673414,18
ENST00000322177,10
ENST00000569035,21
ENST00000388988,15
ENST00000286732,10
ENST00000339465,21
ENST00000379403,16
ENST00000451195,3
ENST00000557837,5
ENST00000399953,19
ENST00000540585,4
ENST00000262318,21
ENST00000569417,12
ENST00000319500,15
ENST00000396878,21
ENST00000612491,7
ENST00000433375,7
ENST00000299866,8
ENST00000339430,6
ENST00000289416,21
ENST00000300087,7
ENST00000300797,13
