ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000376667,12,8,211,0.00316,0.39613,0.29384,v23_ovary
ENST00000614859,10,9,194,0.00464,0.48247,0.50974,v23_ovary
ENST00000376014,13,9,253,0.00274,0.53846,0.63724,v23_ovary
ENST00000375534,17,14,182,0.00452,0.38849,0.36264,v23_ovary
ENST00000618761,9,8,181,0.00491,0.53837,0.49516,v23_ovary
ENST00000615215,12,8,215,0.0031,0.47248,0.575,v23_ovary
ENST00000538532,16,10,241,0.00259,0.48885,0.44647,v23_ovary
ENST00000374027,8,6,173,0.00434,0.4711,0.57322,v23_ovary
ENST00000234549,29,23,312,0.00254,0.51857,0.52996,v23_ovary
ENST00000373826,10,9,105,0.00857,0.57619,0.56825,v23_ovary
ENST00000373471,11,10,212,0.00429,0.53345,0.53726,v23_ovary
ENST00000621781,4,3,84,0.00893,0.65774,0.62699,v23_ovary
ENST00000356545,16,11,263,0.00261,0.71269,0.77152,v23_ovary
ENST00000615459,16,11,236,0.00291,0.68035,0.74538,v23_ovary
ENST00000356545,16,11,263,0.00261,0.71269,0.77152,v23_ovary
ENST00000335282,8,7,134,0.00653,0.34888,0.31876,v23_ovary
ENST00000307089,11,10,151,0.00602,0.58519,0.56887,v23_ovary
ENST00000371655,11,9,219,0.00374,0.59485,0.5723,v23_ovary
ENST00000313334,8,8,158,0.00633,0.37816,0.37816,v23_ovary
ENST00000495776,2,2,19,0.05263,0.55264,0.55264,v23_ovary
ENST00000282670,9,6,179,0.00372,0.49597,0.47859,v23_ovary
ENST00000646789,6,5,229,0.00364,0.57715,0.50655,v23_ovary
ENST00000534056,14,12,340,0.00252,0.32206,0.31912,v23_ovary
ENST00000370867,14,10,259,0.00276,0.38803,0.39189,v23_ovary
ENST00000370756,13,12,297,0.00311,0.55115,0.53114,v23_ovary
ENST00000370689,14,13,351,0.00265,0.46703,0.44686,v23_ovary
ENST00000370109,14,13,285,0.00326,0.6188,0.65911,v23_ovary
ENST00000369949,8,7,157,0.00557,0.49841,0.48954,v23_ovary
ENST00000442650,10,7,191,0.00366,0.61937,0.58041,v23_ovary
ENST00000361066,13,12,225,0.0041,0.57641,0.54407,v23_ovary
ENST00000271331,3,1,105,0.00317,0.25079,0.28571,v23_ovary
ENST00000437429,11,11,382,0.00262,0.48786,0.48786,v23_ovary
ENST00000369781,8,8,319,0.00313,0.40792,0.40792,v23_ovary
ENST00000369630,7,3,169,0.00254,0.44548,0.66667,v23_ovary
ENST00000369512,9,8,241,0.00369,0.37437,0.40405,v23_ovary
ENST00000369167,3,3,126,0.00794,0.43386,0.43386,v23_ovary
ENST00000331491,8,8,136,0.00735,0.48346,0.48346,v23_ovary
ENST00000414276,4,2,195,0.00256,0.88077,0.88718,v23_ovary
ENST00000369109,7,5,265,0.0027,0.66361,0.56604,v23_ovary
ENST00000414276,4,2,195,0.00256,0.88077,0.88718,v23_ovary
ENST00000368755,12,10,72,0.01157,0.39352,0.31944,v23_ovary
ENST00000368750,12,11,72,0.01273,0.39352,0.34975,v23_ovary
ENST00000468739,12,10,72,0.01157,0.39352,0.31944,v23_ovary
ENST00000324978,11,9,301,0.00272,0.48656,0.48284,v23_ovary
ENST00000613460,3,3,97,0.01031,0.15807,0.15807,v23_ovary
ENST00000368273,19,14,207,0.00356,0.72591,0.66701,v23_ovary
ENST00000368222,5,4,138,0.0058,0.52609,0.63768,v23_ovary
ENST00000368166,11,9,187,0.00438,0.57073,0.6221,v23_ovary
ENST00000368156,23,18,286,0.00274,0.48054,0.51942,v23_ovary
ENST00000368072,21,18,299,0.00287,0.5743,0.60071,v23_ovary
ENST00000432287,5,2,135,0.00296,0.53185,0.78889,v23_ovary
ENST00000412844,30,24,315,0.00254,0.55037,0.51931,v23_ovary
ENST00000294796,13,11,225,0.00376,0.46564,0.49131,v23_ovary
ENST00000481278,9,8,143,0.00622,0.53768,0.54021,v23_ovary
ENST00000367833,10,10,272,0.00368,0.58015,0.58015,v23_ovary
ENST00000344529,12,9,297,0.00253,0.29798,0.24168,v23_ovary
ENST00000333279,16,14,266,0.00329,0.49507,0.54055,v23_ovary
ENST00000367510,21,20,336,0.00283,0.4093,0.4064,v23_ovary
ENST00000462677,3,3,137,0.0073,0.60098,0.60098,v23_ovary
ENST00000391985,10,9,269,0.00335,0.51227,0.51838,v23_ovary
ENST00000533432,8,5,193,0.00324,0.51166,0.42798,v23_ovary
ENST00000614750,9,8,147,0.00605,0.64626,0.625,v23_ovary
ENST00000243611,10,8,252,0.00317,0.61508,0.70337,v23_ovary
ENST00000367076,10,8,251,0.00319,0.61394,0.70219,v23_ovary
