ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378785,27,3,411,0.00027,0.4722,0.33982,v36_thyroid_parathyroid
ENST00000378531,25,9,497,0.00072,0.50849,0.41829,v36_thyroid_parathyroid
ENST00000288774,18,2,346,0.00032,0.49534,0.55925,v36_thyroid_parathyroid
ENST00000377411,10,3,335,0.0009,0.63284,0.88756,v36_thyroid_parathyroid
ENST00000240185,26,10,414,0.00093,0.56763,0.51184,v36_thyroid_parathyroid
ENST00000359621,9,1,269,0.00041,0.53697,0.82528,v36_thyroid_parathyroid
ENST00000329454,7,1,169,0.00085,0.52409,0.20118,v36_thyroid_parathyroid
ENST00000375667,16,2,517,0.00024,0.55416,0.46034,v36_thyroid_parathyroid
ENST00000375375,31,8,520,0.0005,0.53362,0.65048,v36_thyroid_parathyroid
ENST00000400661,31,8,518,0.0005,0.53294,0.6501,v36_thyroid_parathyroid
ENST00000420770,30,6,505,0.0004,0.53122,0.55545,v36_thyroid_parathyroid
ENST00000375031,16,3,339,0.00055,0.42017,0.27335,v36_thyroid_parathyroid
ENST00000374392,3,0,102,0.0,0.92157,,v36_thyroid_parathyroid
ENST00000436717,11,1,183,0.0005,0.48783,0.85792,v36_thyroid_parathyroid
ENST00000374395,16,3,241,0.00078,0.48885,0.57815,v36_thyroid_parathyroid
ENST00000412742,15,4,173,0.00154,0.60694,0.7052,v36_thyroid_parathyroid
ENST00000374272,28,4,353,0.0004,0.54745,0.56516,v36_thyroid_parathyroid
ENST00000374276,21,3,372,0.00038,0.50423,0.66667,v36_thyroid_parathyroid
ENST00000374269,17,8,341,0.00138,0.47162,0.62683,v36_thyroid_parathyroid
ENST00000320567,16,2,398,0.00031,0.63772,0.43593,v36_thyroid_parathyroid
ENST00000373943,31,11,276,0.00129,0.4349,0.46476,v36_thyroid_parathyroid
ENST00000373888,13,3,373,0.00062,0.57393,0.78731,v36_thyroid_parathyroid
ENST00000373894,19,2,455,0.00023,0.59549,0.55055,v36_thyroid_parathyroid
ENST00000373925,25,8,260,0.00123,0.62292,0.73029,v36_thyroid_parathyroid
ENST00000645794,8,2,208,0.0012,0.46875,0.67308,v36_thyroid_parathyroid
ENST00000373842,8,2,208,0.0012,0.46875,0.67308,v36_thyroid_parathyroid
ENST00000465645,5,1,60,0.00333,0.59,0.46667,v36_thyroid_parathyroid
ENST00000647380,5,1,60,0.00333,0.59,0.46667,v36_thyroid_parathyroid
ENST00000403528,14,2,425,0.00034,0.57697,0.19765,v36_thyroid_parathyroid
ENST00000536384,20,3,459,0.00033,0.57941,0.52941,v36_thyroid_parathyroid
ENST00000536384,20,3,459,0.00033,0.57941,0.52941,v36_thyroid_parathyroid
ENST00000537469,44,21,546,0.00087,0.45459,0.50715,v36_thyroid_parathyroid
ENST00000414241,15,7,424,0.0011,0.49355,0.56671,v36_thyroid_parathyroid
ENST00000354267,16,3,223,0.00084,0.54596,0.5157,v36_thyroid_parathyroid
ENST00000331593,23,3,402,0.00032,0.46626,0.55141,v36_thyroid_parathyroid
ENST00000372815,4,1,236,0.00106,0.49046,0.95339,v36_thyroid_parathyroid
ENST00000324379,11,3,301,0.00091,0.59982,0.46623,v36_thyroid_parathyroid
ENST00000372827,22,3,402,0.00034,0.47659,0.55141,v36_thyroid_parathyroid
ENST00000372653,60,14,301,0.00078,0.63206,0.60726,v36_thyroid_parathyroid
ENST00000523677,3,2,113,0.0059,0.68142,0.76549,v36_thyroid_parathyroid
ENST00000450269,16,1,291,0.00021,0.43729,0.12371,v36_thyroid_parathyroid
ENST00000372372,11,1,413,0.00022,0.63746,0.4092,v36_thyroid_parathyroid
ENST00000262915,13,2,444,0.00035,0.57502,0.29842,v36_thyroid_parathyroid
ENST00000334815,27,6,371,0.0006,0.67465,0.86433,v36_thyroid_parathyroid
ENST00000672818,49,11,546,0.00041,0.51278,0.63203,v36_thyroid_parathyroid
ENST00000262746,9,4,199,0.00223,0.64154,0.48995,v36_thyroid_parathyroid
ENST00000319248,9,4,199,0.00223,0.64154,0.48995,v36_thyroid_parathyroid
ENST00000424390,9,4,199,0.00223,0.64154,0.48995,v36_thyroid_parathyroid
ENST00000536120,17,2,244,0.00048,0.55882,0.49796,v36_thyroid_parathyroid
ENST00000322679,6,1,125,0.00133,0.592,0.816,v36_thyroid_parathyroid
ENST00000388876,14,2,201,0.00071,0.5732,0.57462,v36_thyroid_parathyroid
ENST00000361921,6,1,125,0.00133,0.592,0.816,v36_thyroid_parathyroid
ENST00000371250,12,3,311,0.0008,0.51072,0.59486,v36_thyroid_parathyroid
ENST00000430330,7,7,140,0.00714,0.67653,0.67653,v36_thyroid_parathyroid
ENST00000403491,36,12,509,0.00065,0.48903,0.70072,v36_thyroid_parathyroid
ENST00000370938,21,5,405,0.00059,0.41293,0.65383,v36_thyroid_parathyroid
ENST00000294638,17,9,356,0.00149,0.62525,0.65824,v36_thyroid_parathyroid
ENST00000357692,23,11,529,0.0009,0.4984,0.46657,v36_thyroid_parathyroid
ENST00000370894,13,7,169,0.00319,0.47246,0.59341,v36_thyroid_parathyroid
ENST00000417775,14,7,329,0.00152,0.54472,0.52757,v36_thyroid_parathyroid
ENST00000394834,6,3,102,0.0049,0.5866,0.58823,v36_thyroid_parathyroid
ENST00000370589,32,12,553,0.00068,0.41478,0.46233,v36_thyroid_parathyroid
ENST00000545708,22,10,491,0.00093,0.43779,0.50204,v36_thyroid_parathyroid
ENST00000260506,39,25,551,0.00116,0.44418,0.38461,v36_thyroid_parathyroid
ENST00000370137,19,9,335,0.00141,0.50338,0.5194,v36_thyroid_parathyroid
ENST00000370137,19,9,335,0.00141,0.50338,0.5194,v36_thyroid_parathyroid
ENST00000370138,20,11,339,0.00162,0.52065,0.59292,v36_thyroid_parathyroid
ENST00000370083,18,6,511,0.00065,0.41313,0.19537,v36_thyroid_parathyroid
ENST00000369872,16,1,272,0.00023,0.71783,0.88603,v36_thyroid_parathyroid
ENST00000527748,22,4,451,0.0004,0.64281,0.56153,v36_thyroid_parathyroid
ENST00000310611,2,0,133,0.0,0.48872,,v36_thyroid_parathyroid
ENST00000369801,29,10,438,0.00079,0.547,0.62626,v36_thyroid_parathyroid
ENST00000359172,27,9,483,0.00069,0.42896,0.43133,v36_thyroid_parathyroid
ENST00000343210,23,12,555,0.00094,0.4857,0.51607,v36_thyroid_parathyroid
ENST00000369442,25,8,496,0.00065,0.47718,0.54335,v36_thyroid_parathyroid
ENST00000369347,17,4,173,0.00136,0.51377,0.3974,v36_thyroid_parathyroid
ENST00000369347,17,4,173,0.00136,0.51377,0.3974,v36_thyroid_parathyroid
ENST00000582693,15,7,304,0.00154,0.64978,0.62876,v36_thyroid_parathyroid
ENST00000313835,22,8,455,0.0008,0.5005,0.45384,v36_thyroid_parathyroid
ENST00000579512,2,1,103,0.00485,0.58252,0.26214,v36_thyroid_parathyroid
ENST00000369158,8,0,136,0.0,0.48346,,v36_thyroid_parathyroid
ENST00000578186,2,1,103,0.00485,0.58252,0.26214,v36_thyroid_parathyroid
ENST00000331128,6,0,130,0.0,0.46026,,v36_thyroid_parathyroid
ENST00000312210,34,9,327,0.00081,0.60425,0.50968,v36_thyroid_parathyroid
ENST00000493834,40,12,374,0.0008,0.56223,0.43895,v36_thyroid_parathyroid
ENST00000368890,22,5,500,0.00045,0.58873,0.7088,v36_thyroid_parathyroid
ENST00000361631,8,2,133,0.00188,0.5968,0.57519,v36_thyroid_parathyroid
ENST00000339643,11,3,137,0.00199,0.45853,0.40146,v36_thyroid_parathyroid
ENST00000503241,10,3,133,0.00226,0.4188,0.41354,v36_thyroid_parathyroid
ENST00000295314,26,9,345,0.001,0.53623,0.39936,v36_thyroid_parathyroid
ENST00000360379,12,4,72,0.00463,0.39352,0.33334,v36_thyroid_parathyroid
ENST00000392653,12,4,72,0.00463,0.39352,0.33334,v36_thyroid_parathyroid
ENST00000368750,12,4,72,0.00463,0.39352,0.33334,v36_thyroid_parathyroid
ENST00000331860,17,7,169,0.00244,0.33693,0.25866,v36_thyroid_parathyroid
ENST00000368718,1,0,92,0.0,0.69565,,v36_thyroid_parathyroid
