Gene,OptionalDataColumns
ENST00000379289,0.50413
ENST00000379265,0.48504
ENST00000377263,0.4537
ENST00000355096,0.46145
ENST00000697200,0.46145
ENST00000400797,0.44755
ENST00000375448,0.48739
ENST00000628229,0.48739
ENST00000357071,0.40983
ENST00000656825,0.45625
ENST00000328664,0.45204
ENST00000354982,0.41406
ENST00000270879,0.42642
ENST00000373921,0.43504
ENST00000373797,0.4462
ENST00000271064,0.46146
ENST00000246314,0.4945
ENST00000373106,0.48151
ENST00000372539,0.36764
ENST00000296387,0.3463
ENST00000312553,0.44707
ENST00000534056,0.31912
ENST00000370792,0.43075
ENST00000369805,0.46254
ENST00000369464,0.46345
ENST00000256646,0.50595
ENST00000431239,0.49358
ENST00000346569,0.39798
ENST00000368825,0.39802
ENST00000388718,0.46842
ENST00000392653,0.36995
ENST00000368750,0.34975
ENST00000331860,0.34874
ENST00000368738,0.30877
ENST00000368474,0.36885
ENST00000529168,0.36649
ENST00000355499,0.3817
ENST00000643759,0.49771
ENST00000650385,0.44587
ENST00000271450,0.41535
ENST00000367972,0.41414
ENST00000489294,0.43481
ENST00000367862,0.32924
ENST00000344529,0.24168
ENST00000239462,0.47604
ENST00000417584,0.4051
ENST00000367324,0.4521
ENST00000391911,0.50469
ENST00000366942,0.45549
ENST00000391895,0.37729
ENST00000272091,0.4487
ENST00000357246,0.3102
ENST00000366584,0.35618
ENST00000366512,0.47989
ENST00000497571,0.25745
ENST00000459912,0.28439
ENST00000455190,0.5036
ENST00000397145,0.46667
ENST00000484800,0.49005
ENST00000378714,0.48965
ENST00000378165,0.40598
ENST00000642324,0.50451
ENST00000617711,0.50451
ENST00000490841,0.34061
ENST00000376170,0.41434
ENST00000376140,0.42029
ENST00000452305,0.47468
ENST00000544000,0.40803
ENST00000540872,0.47211
ENST00000373218,0.50208
ENST00000372687,0.4476
ENST00000339284,0.45816
ENST00000484444,0.34466
ENST00000370584,0.46179
ENST00000343195,0.42603
ENST00000277900,0.4173
ENST00000392955,0.48929
ENST00000368990,0.49505
ENST00000368654,0.46396
ENST00000672629,0.4987
ENST00000381589,0.4987
ENST00000672349,0.45797
ENST00000406638,0.45797
ENST00000313407,0.44536
ENST00000440480,0.44536
ENST00000477358,0.02469
ENST00000299596,0.48828
ENST00000532814,0.44094
ENST00000672413,0.47099
ENST00000396253,0.47099
ENST00000349880,0.44614
ENST00000396085,0.44588
ENST00000378852,0.44563
ENST00000227163,0.46095
ENST00000406482,0.49609
ENST00000257264,0.36381
ENST00000395032,0.26374
ENST00000711440,0.26374
ENST00000358152,0.35476
ENST00000711439,0.35476
ENST00000540857,0.43247
ENST00000279263,0.5
ENST00000312562,0.26476
ENST00000341318,0.46325
ENST00000393955,0.4457
ENST00000671849,0.42998
ENST00000376561,0.42998
ENST00000298223,0.48663
ENST00000444035,0.45303
ENST00000356136,0.46664
ENST00000531380,0.40666
ENST00000315274,0.43191
ENST00000299855,0.4887
ENST00000302783,0.46473
ENST00000534087,0.48628
ENST00000319397,0.42084
ENST00000299164,0.47194
ENST00000011684,0.4464
ENST00000412586,0.42055
ENST00000299663,0.43105
ENST00000357529,0.4286
ENST00000304361,0.4717
ENST00000261195,0.46599
ENST00000261201,0.48204
ENST00000538118,0.43754
ENST00000342945,0.42038
ENST00000613694,0.49607
ENST00000427314,0.46418
ENST00000293662,0.32336
ENST00000340970,0.39265
ENST00000262052,0.47326
ENST00000252244,0.42994
ENST00000551956,0.46603
ENST00000549732,0.42122
ENST00000444623,0.46635
ENST00000257895,0.49004
ENST00000548493,0.43774
ENST00000261233,0.46141
ENST00000462788,0.4133
ENST00000548586,0.45536
ENST00000551662,0.4772
ENST00000361483,0.47138
ENST00000359949,0.50445
ENST00000538733,0.45464
ENST00000328963,0.50581
ENST00000536435,0.48818
ENST00000282397,0.46025
ENST00000355779,0.30158
ENST00000389797,0.48056
ENST00000376460,0.48511
ENST00000627024,0.45434
ENST00000535094,0.43283
ENST00000426073,0.25473
ENST00000304639,0.34375
ENST00000710588,0.31322
ENST00000335125,0.31322
ENST00000554970,0.50397
ENST00000554970,0.50397
ENST00000418030,0.48614
ENST00000646612,0.48614
ENST00000554068,0.48614
ENST00000646612,0.48614
ENST00000555449,0.50551
ENST00000318317,0.29623
ENST00000341653,0.41365
ENST00000509153,0.39505
ENST00000286523,0.37959
ENST00000216484,0.45793
ENST00000682763,0.46716
ENST00000448921,0.47847
ENST00000614317,0.47847
ENST00000454394,0.40983
ENST00000441366,0.44149
ENST00000450115,0.44719
ENST00000261889,0.50628
ENST00000321147,0.47508
ENST00000568176,0.50582
ENST00000395135,0.43801
ENST00000300055,0.40906
ENST00000430628,0.40906
ENST00000328850,0.45998
ENST00000394232,0.44452
ENST00000356815,0.46809
ENST00000345988,0.49113
ENST00000646100,0.46569
ENST00000302312,0.4902
ENST00000290552,0.46921
ENST00000379486,0.42991
ENST00000345436,0.45625
ENST00000336328,0.28448
ENST00000355860,0.36719
ENST00000315906,0.44567
ENST00000347925,0.45944
ENST00000640199,0.32944
ENST00000329099,0.44444
ENST00000570182,0.45816
ENST00000268676,0.48828
ENST00000333813,0.50094
ENST00000572940,0.48758
ENST00000416307,0.23529
ENST00000571451,0.50537
ENST00000643221,0.50039
ENST00000447110,0.47371
ENST00000426905,0.48859
ENST00000444455,0.34384
ENST00000467111,0.34933
ENST00000612272,0.49034
ENST00000622522,0.49034
ENST00000468300,0.40011
ENST00000319977,0.48988
ENST00000629368,0.41096
ENST00000618029,0.41096
ENST00000415613,0.41096
ENST00000507896,0.50121
ENST00000300900,0.45907
ENST00000435607,0.50463
ENST00000418105,0.4505
ENST00000579687,0.4505
ENST00000335793,0.47873
ENST00000392619,0.4361
ENST00000392711,0.43058
ENST00000433559,0.42971
ENST00000321617,0.42463
ENST00000336509,0.44623
ENST00000326724,0.48542
ENST00000436233,0.48744
ENST00000400721,0.36406
ENST00000392341,0.39754
ENST00000329197,0.42719
ENST00000420687,0.49298
ENST00000399499,0.49627
ENST00000257189,0.474
ENST00000257197,0.48111
ENST00000536736,0.47828
ENST00000312828,0.3984
ENST00000457692,0.3862
ENST00000397985,0.35776
ENST00000327305,0.49923
ENST00000494131,0.2483
ENST00000355994,0.4625
ENST00000620695,0.50272
ENST00000233997,0.50272
ENST00000234347,0.45833
ENST00000612112,0.45833
ENST00000333598,0.43678
ENST00000341500,0.4707
ENST00000393962,0.46386
