ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000377507,14,5,255,0.0014,0.52913,0.56863,v32_lung
ENST00000303635,105,17,1673,0.0001,0.59187,0.71678,v32_lung
ENST00000354437,30,5,499,0.00033,0.53995,0.53988,v32_lung
ENST00000378295,41,6,636,0.00023,0.54268,0.48769,v32_lung
ENST00000378288,39,6,587,0.00026,0.53318,0.44492,v32_lung
ENST00000378290,38,6,565,0.00028,0.52892,0.4233,v32_lung
ENST00000304457,68,18,860,0.00031,0.52396,0.6449,v32_lung
ENST00000358897,125,16,1412,9e-05,0.51705,0.42338,v32_lung
ENST00000342104,50,8,621,0.00026,0.45192,0.40841,v32_lung
ENST00000302291,53,8,1076,0.00014,0.48234,0.43831,v32_lung
ENST00000308182,92,8,1661,5e-05,0.48484,0.57586,v32_lung
ENST00000361530,53,10,713,0.00026,0.4952,0.60589,v32_lung
ENST00000374168,30,5,735,0.00023,0.61116,0.60082,v32_lung
ENST00000629832,30,5,735,0.00023,0.61116,0.60082,v32_lung
ENST00000360482,75,11,1216,0.00012,0.52811,0.37612,v32_lung
ENST00000373106,52,5,836,0.00012,0.47898,0.36986,v32_lung
ENST00000373103,56,7,863,0.00014,0.49485,0.48303,v32_lung
ENST00000361689,512,101,5430,4e-05,0.49881,0.49736,v32_lung
ENST00000372565,26,5,365,0.00053,0.52487,0.83397,v32_lung
ENST00000372583,120,11,2406,4e-05,0.46924,0.39779,v32_lung
ENST00000236040,42,5,804,0.00015,0.47154,0.3806,v32_lung
ENST00000610710,97,11,1283,9e-05,0.5646,0.48019,v32_lung
ENST00000359947,102,11,1907,6e-05,0.54563,0.64656,v32_lung
ENST00000528266,48,9,622,0.0003,0.42283,0.39353,v32_lung
ENST00000537798,34,12,724,0.00049,0.52547,0.47042,v32_lung
ENST00000302118,31,5,692,0.00023,0.56368,0.49942,v32_lung
ENST00000347310,31,9,629,0.00046,0.46418,0.62551,v32_lung
ENST00000371026,40,11,848,0.00032,0.47385,0.59466,v32_lung
ENST00000616738,33,5,896,0.00017,0.50971,0.45647,v32_lung
ENST00000326665,61,15,1530,0.00016,0.52388,0.55412,v32_lung
ENST00000319517,63,16,1403,0.00018,0.45841,0.48811,v32_lung
ENST00000294664,42,11,891,0.00029,0.49086,0.49668,v32_lung
ENST00000370565,48,10,943,0.00022,0.48131,0.40361,v32_lung
ENST00000370481,49,13,595,0.00045,0.63166,0.67589,v32_lung
ENST00000370473,50,13,592,0.00044,0.63625,0.65631,v32_lung
ENST00000294671,40,10,638,0.00039,0.59753,0.68558,v32_lung
ENST00000355754,38,6,640,0.00025,0.60576,0.81979,v32_lung
ENST00000370456,46,9,633,0.00031,0.55983,0.5775,v32_lung
ENST00000370459,53,14,586,0.00045,0.65754,0.8057,v32_lung
ENST00000370459,53,14,586,0.00045,0.65754,0.8057,v32_lung
ENST00000234626,34,9,574,0.00046,0.44087,0.46516,v32_lung
ENST00000370152,22,7,490,0.00065,0.56744,0.69417,v32_lung
ENST00000358392,90,17,1818,0.0001,0.5094,0.49521,v32_lung
ENST00000359785,36,6,807,0.00021,0.47752,0.48906,v32_lung
ENST00000336338,132,23,2223,8e-05,0.46148,0.46436,v32_lung
ENST00000682167,64,9,1021,0.00014,0.41747,0.51855,v32_lung
ENST00000369304,69,8,1167,0.0001,0.49144,0.34704,v32_lung
ENST00000534502,21,6,430,0.00066,0.49524,0.47248,v32_lung
ENST00000368969,64,12,1290,0.00015,0.45924,0.34328,v32_lung
ENST00000368474,63,7,1226,9e-05,0.37693,0.30715,v32_lung
ENST00000620103,20,5,475,0.00053,0.55379,0.47663,v32_lung
ENST00000620103,20,5,475,0.00053,0.55379,0.47663,v32_lung
ENST00000361831,49,10,739,0.00028,0.40797,0.35102,v32_lung
ENST00000337428,26,5,559,0.00034,0.54376,0.6576,v32_lung
ENST00000368168,25,5,333,0.0006,0.46366,0.4012,v32_lung
ENST00000358292,21,7,366,0.00091,0.56284,0.62607,v32_lung
ENST00000643759,194,33,2419,7e-05,0.50385,0.51825,v32_lung
ENST00000368099,58,9,551,0.00028,0.52406,0.61948,v32_lung
ENST00000392254,21,5,461,0.00052,0.63609,0.64599,v32_lung
ENST00000368140,22,6,492,0.00055,0.61151,0.66057,v32_lung
ENST00000263285,33,7,655,0.00032,0.54129,0.66936,v32_lung
ENST00000368034,29,5,365,0.00047,0.47652,0.31781,v32_lung
ENST00000367996,43,5,837,0.00014,0.55083,0.5859,v32_lung
ENST00000367910,25,6,302,0.00079,0.3355,0.42274,v32_lung
ENST00000367758,31,7,573,0.00039,0.53797,0.59611,v32_lung
ENST00000512653,53,12,1167,0.00019,0.58785,0.6646,v32_lung
