Gene,OptionalDataColumns
ENST00000412742,0.00154
ENST00000374269,0.00138
ENST00000373943,0.00129
ENST00000373925,0.00123
ENST00000645794,0.0012
ENST00000373842,0.0012
ENST00000465645,0.00333
ENST00000647380,0.00333
ENST00000414241,0.0011
ENST00000372815,0.00106
ENST00000523677,0.0059
ENST00000262746,0.00223
ENST00000319248,0.00223
ENST00000424390,0.00223
ENST00000322679,0.00133
ENST00000361921,0.00133
ENST00000430330,0.00714
ENST00000294638,0.00149
ENST00000370894,0.00319
ENST00000417775,0.00152
ENST00000394834,0.0049
ENST00000260506,0.00116
ENST00000370137,0.00141
ENST00000370137,0.00141
ENST00000370138,0.00162
ENST00000369347,0.00136
ENST00000369347,0.00136
ENST00000582693,0.00154
ENST00000579512,0.00485
ENST00000578186,0.00485
ENST00000361631,0.00188
ENST00000339643,0.00199
ENST00000503241,0.00226
ENST00000360379,0.00463
ENST00000392653,0.00463
ENST00000368750,0.00463
ENST00000331860,0.00244
ENST00000440685,0.00255
ENST00000476133,0.00255
ENST00000368431,0.00128
ENST00000438413,0.00182
ENST00000359751,0.00194
ENST00000427683,0.00181
ENST00000326786,0.00262
ENST00000368165,0.00131
ENST00000612311,0.00167
ENST00000367762,0.00244
ENST00000367396,0.00124
ENST00000340006,0.0013
ENST00000614750,0.00378
ENST00000446390,0.00112
ENST00000367093,0.0018
ENST00000294984,0.00146
ENST00000472886,0.00115
ENST00000472886,0.00115
ENST00000367019,0.00109
ENST00000366997,0.0018
ENST00000367006,0.00125
ENST00000358170,0.00128
ENST00000332912,0.00816
ENST00000391894,0.00114
ENST00000444842,0.0011
ENST00000350027,0.00105
ENST00000391867,0.00156
ENST00000642610,0.00108
ENST00000642610,0.00108
ENST00000359362,0.00305
ENST00000602634,0.0029
ENST00000602962,0.00269
ENST00000646525,0.0029
ENST00000542957,0.00105
ENST00000313519,0.00157
ENST00000684501,0.00254
ENST00000374446,0.00119
ENST00000374734,0.00132
ENST00000473940,0.00119
ENST00000395098,0.00199
ENST00000440381,0.00129
ENST00000394890,0.00125
ENST00000615507,0.00392
ENST00000673027,0.00122
ENST00000238983,0.00126
ENST00000394375,0.00123
ENST00000371697,0.00114
ENST00000282728,0.00165
ENST00000410012,0.00145
ENST00000339834,0.00508
ENST00000450629,0.00179
ENST00000369707,0.00233
ENST00000463452,0.00197
ENST00000278243,0.00136
ENST00000533723,0.00315
ENST00000309377,0.00265
ENST00000324229,0.00175
ENST00000526063,0.00656
ENST00000396394,0.00224
ENST00000251968,0.00128
ENST00000265968,0.00193
ENST00000532081,0.00376
ENST00000455601,0.00171
ENST00000527569,0.0023
ENST00000529533,0.00173
ENST00000448418,0.00194
ENST00000358117,0.00204
ENST00000527033,0.00139
ENST00000532616,0.00139
ENST00000415002,0.00391
ENST00000437761,0.00391
ENST00000445143,0.00391
ENST00000651785,0.00391
ENST00000537076,0.00329
ENST00000356000,0.00218
