ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000379198,8,0,329,0.0,0.78533,,v37_adrenal_gland
ENST00000379268,15,2,241,0.00055,0.56957,0.21162,v37_adrenal_gland
ENST00000338660,4,0,64,0.0,0.61328,,v37_adrenal_gland
ENST00000620829,24,0,502,0.0,0.58972,,v37_adrenal_gland
ENST00000288774,18,2,346,0.00032,0.49534,0.55925,v37_adrenal_gland
ENST00000378427,10,0,183,0.0,0.6765,,v37_adrenal_gland
ENST00000628389,7,1,123,0.00116,0.47735,0.12195,v37_adrenal_gland
ENST00000352527,17,1,353,0.00017,0.55941,0.91501,v37_adrenal_gland
ENST00000164247,19,2,367,0.00029,0.52359,0.50545,v37_adrenal_gland
ENST00000377507,14,5,255,0.0014,0.52913,0.56863,v37_adrenal_gland
ENST00000604074,26,4,403,0.00038,0.60594,0.58623,v37_adrenal_gland
ENST00000354437,30,5,499,0.00033,0.53995,0.53988,v37_adrenal_gland
ENST00000378285,28,5,450,0.0004,0.52992,0.48978,v37_adrenal_gland
ENST00000348333,21,0,372,0.0,0.58436,,v37_adrenal_gland
ENST00000377414,9,2,244,0.00091,0.31375,0.10246,v37_adrenal_gland
ENST00000376637,6,0,111,0.0,0.53303,,v37_adrenal_gland
ENST00000441801,18,1,374,0.00015,0.57175,0.3877,v37_adrenal_gland
ENST00000330263,10,3,239,0.00126,0.63264,0.53556,v37_adrenal_gland
ENST00000375535,17,4,183,0.00129,0.39184,0.47268,v37_adrenal_gland
ENST00000375105,11,0,145,0.0,0.58809,,v37_adrenal_gland
ENST00000374472,8,0,360,0.0,0.48785,,v37_adrenal_gland
ENST00000374497,17,2,348,0.00034,0.59179,0.47845,v37_adrenal_gland
ENST00000308873,17,0,415,0.0,0.545,,v37_adrenal_gland
ENST00000399916,17,0,429,0.0,0.55985,,v37_adrenal_gland
ENST00000354361,8,2,201,0.00124,0.51182,0.55472,v37_adrenal_gland
ENST00000454452,8,0,321,0.0,0.35942,,v37_adrenal_gland
ENST00000436717,11,1,183,0.0005,0.48783,0.85792,v37_adrenal_gland
ENST00000412742,15,3,173,0.00116,0.60694,0.7842,v37_adrenal_gland
ENST00000374268,11,1,271,0.00034,0.48943,0.14022,v37_adrenal_gland
ENST00000340849,8,0,267,0.0,0.4368,,v37_adrenal_gland
ENST00000374271,17,5,341,0.00086,0.47162,0.6305,v37_adrenal_gland
ENST00000399173,24,3,529,0.00024,0.61256,0.93384,v37_adrenal_gland
ENST00000236412,3,0,127,0.0,0.22047,,v37_adrenal_gland
