ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000520296,6,1,65,0.00256,0.5718,0.23077,v39_breast
ENST00000307786,9,3,181,0.00184,0.37446,0.04972,v39_breast
ENST00000470413,10,3,77,0.0039,0.42987,0.50216,v39_breast
ENST00000375534,17,6,182,0.00194,0.38849,0.37271,v39_breast
ENST00000618761,9,2,181,0.00123,0.53837,0.37016,v39_breast
ENST00000360009,28,4,334,0.00043,0.65654,0.43488,v39_breast
ENST00000236342,27,4,333,0.00044,0.6531,0.43619,v39_breast
ENST00000263702,25,2,373,0.00021,0.61844,0.35925,v39_breast
ENST00000373791,23,2,297,0.00029,0.58469,0.19528,v39_breast
ENST00000313334,8,6,158,0.00475,0.37816,0.29747,v39_breast
ENST00000371714,31,16,723,0.00071,0.40396,0.43759,v39_breast
ENST00000371153,60,19,995,0.00032,0.47864,0.4959,v39_breast
ENST00000371083,22,3,580,0.00024,0.56724,0.37011,v39_breast
ENST00000370565,48,21,943,0.00046,0.48131,0.43716,v39_breast
ENST00000263174,32,16,551,0.00091,0.41408,0.42604,v39_breast
ENST00000370096,90,57,1806,0.00035,0.50707,0.50481,v39_breast
ENST00000520113,31,8,747,0.00035,0.47882,0.45884,v39_breast
ENST00000207157,34,12,496,0.00071,0.54762,0.48572,v39_breast
ENST00000682167,64,27,1021,0.00041,0.41747,0.47089,v39_breast
ENST00000539893,7,2,187,0.00153,0.4026,0.44652,v39_breast
ENST00000369458,10,3,282,0.00106,0.48156,0.50355,v39_breast
ENST00000369458,10,3,282,0.00106,0.48156,0.50355,v39_breast
ENST00000369458,10,3,282,0.00106,0.48156,0.50355,v39_breast
ENST00000369041,66,16,877,0.00028,0.46643,0.3755,v39_breast
ENST00000368912,40,10,922,0.00027,0.42522,0.31139,v39_breast
ENST00000368849,33,9,390,0.0007,0.53675,0.49345,v39_breast
ENST00000295314,26,9,345,0.001,0.53623,0.39936,v39_breast
ENST00000368863,88,22,1315,0.00019,0.47967,0.49139,v39_breast
ENST00000368603,24,10,395,0.00105,0.54747,0.44937,v39_breast
ENST00000611010,17,8,248,0.0019,0.48885,0.46422,v39_breast
ENST00000368276,18,3,220,0.00076,0.58889,0.30455,v39_breast
ENST00000368222,5,1,138,0.00145,0.52609,0.32609,v39_breast
ENST00000454449,17,4,361,0.00065,0.42659,0.50623,v39_breast
ENST00000289429,18,6,327,0.00102,0.54043,0.44342,v39_breast
ENST00000368170,23,9,333,0.00118,0.44536,0.4995,v39_breast
ENST00000368168,25,10,333,0.0012,0.46366,0.43964,v39_breast
ENST00000643759,194,76,2419,0.00016,0.50385,0.50239,v39_breast
ENST00000368161,24,7,290,0.00101,0.46236,0.43104,v39_breast
ENST00000368092,12,2,198,0.00084,0.48148,0.36364,v39_breast
ENST00000368093,14,2,289,0.00049,0.39348,0.24914,v39_breast
ENST00000368054,17,6,328,0.00108,0.51148,0.5061,v39_breast
ENST00000619224,16,4,340,0.00074,0.50662,0.37794,v39_breast
ENST00000367696,72,29,1133,0.00036,0.33457,0.36047,v39_breast
ENST00000239462,71,16,1299,0.00017,0.49095,0.35186,v39_breast
ENST00000439764,37,13,828,0.00042,0.39039,0.37542,v39_breast
ENST00000391911,108,20,1172,0.00016,0.5257,0.4436,v39_breast
ENST00000356082,108,20,1172,0.00016,0.5257,0.4436,v39_breast
ENST00000361525,20,6,435,0.00069,0.59264,0.5069,v39_breast
ENST00000380872,18,4,323,0.00069,0.58325,0.50309,v39_breast
ENST00000263126,19,5,323,0.00081,0.55825,0.3356,v39_breast
ENST00000542957,8,2,237,0.00105,0.3001,0.40506,v39_breast
ENST00000439082,18,4,323,0.00069,0.57379,0.47214,v39_breast
ENST00000446108,22,10,401,0.00113,0.34607,0.33067,v39_breast
ENST00000379328,14,3,444,0.00048,0.41248,0.5045,v39_breast
ENST00000346208,14,3,443,0.00048,0.41245,0.50414,v39_breast
ENST00000397145,37,6,702,0.00023,0.46135,0.49786,v39_breast
ENST00000357447,58,16,1039,0.00027,0.5304,0.3685,v39_breast
ENST00000378165,25,6,498,0.00048,0.36072,0.41031,v39_breast
ENST00000396432,109,46,1958,0.00022,0.42572,0.36578,v39_breast
ENST00000536334,17,8,393,0.0012,0.35115,0.389,v39_breast
ENST00000376170,24,11,451,0.00102,0.42369,0.45132,v39_breast
ENST00000376140,27,13,481,0.001,0.43898,0.47369,v39_breast
ENST00000436087,47,21,828,0.00054,0.48507,0.4449,v39_breast
ENST00000560721,74,41,1104,0.0005,0.50345,0.50696,v39_breast
ENST00000537177,48,27,758,0.00074,0.53177,0.48998,v39_breast
ENST00000417912,35,8,714,0.00032,0.41288,0.36292,v39_breast
ENST00000435790,34,8,704,0.00033,0.42392,0.3624,v39_breast
ENST00000613657,73,42,1790,0.00032,0.45815,0.49475,v39_breast
ENST00000609923,13,3,332,0.0007,0.53753,0.46385,v39_breast
ENST00000299366,32,8,1061,0.00024,0.41435,0.47809,v39_breast
ENST00000359322,17,5,299,0.00098,0.50049,0.3204,v39_breast
ENST00000372263,3,1,97,0.00344,0.37114,0.35052,v39_breast
ENST00000484444,4,1,103,0.00243,0.55097,0.4466,v39_breast
ENST00000543964,26,10,402,0.00096,0.43685,0.44851,v39_breast
ENST00000370549,27,4,534,0.00028,0.54501,0.4691,v39_breast
ENST00000347978,16,3,215,0.00087,0.45901,0.15969,v39_breast
ENST00000320185,19,4,244,0.00086,0.45988,0.24693,v39_breast
ENST00000370005,11,2,270,0.00067,0.54781,0.44074,v39_breast
