ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000377939,44,8,634,0.00029,0.52352,0.64629,v25_heart
ENST00000428161,19,2,367,0.00029,0.52359,0.50545,v25_heart
ENST00000376480,6,2,151,0.00221,0.47903,0.26821,v25_heart
ENST00000294454,26,4,304,0.00051,0.47723,0.62665,v25_heart
ENST00000696689,4,0,91,0.0,0.37912,,v25_heart
ENST00000375662,18,4,280,0.00079,0.50496,0.58304,v25_heart
ENST00000375499,14,2,280,0.00051,0.42041,0.55536,v25_heart
ENST00000375108,5,2,138,0.0029,0.59275,0.76087,v25_heart
ENST00000374395,16,3,241,0.00078,0.48885,0.57815,v25_heart
ENST00000374272,28,4,353,0.0004,0.54745,0.56516,v25_heart
ENST00000374300,8,2,292,0.00086,0.497,0.86986,v25_heart
ENST00000373713,3,0,133,0.0,0.56642,,v25_heart
ENST00000373471,11,2,212,0.00086,0.53345,0.60849,v25_heart
ENST00000496770,8,2,153,0.00163,0.39052,0.35294,v25_heart
ENST00000235628,20,7,368,0.00095,0.49035,0.65411,v25_heart
ENST00000431473,22,4,391,0.00047,0.3562,0.5876,v25_heart
ENST00000372597,27,6,591,0.00038,0.53456,0.46813,v25_heart
ENST00000311672,4,0,91,0.0,0.37912,,v25_heart
ENST00000532925,18,8,240,0.00185,0.52199,0.46198,v25_heart
ENST00000343744,34,4,594,0.0002,0.49634,0.4899,v25_heart
ENST00000371244,23,9,552,0.00071,0.45038,0.44344,v25_heart
ENST00000371204,25,8,502,0.00064,0.51434,0.57968,v25_heart
ENST00000371083,22,3,580,0.00024,0.56724,0.37011,v25_heart
ENST00000446538,14,6,358,0.0012,0.47745,0.37756,v25_heart
ENST00000370137,19,9,335,0.00141,0.50338,0.5194,v25_heart
ENST00000370137,19,9,335,0.00141,0.50338,0.5194,v25_heart
ENST00000370137,19,9,335,0.00141,0.50338,0.5194,v25_heart
ENST00000357155,21,3,354,0.0004,0.43274,0.24953,v25_heart
ENST00000369722,21,7,256,0.0013,0.64174,0.78851,v25_heart
ENST00000369697,16,2,636,0.0002,0.60859,0.65566,v25_heart
ENST00000630362,18,7,500,0.00078,0.57522,0.52371,v25_heart
ENST00000369626,18,7,500,0.00078,0.57522,0.52371,v25_heart
ENST00000261448,11,3,399,0.00068,0.3568,0.5731,v25_heart
ENST00000475797,16,7,200,0.00219,0.38875,0.42,v25_heart
ENST00000357836,20,7,313,0.00112,0.51502,0.62939,v25_heart
ENST00000336751,24,8,426,0.00078,0.55419,0.64701,v25_heart
ENST00000369347,17,4,173,0.00136,0.51377,0.3974,v25_heart
ENST00000369347,17,4,173,0.00136,0.51377,0.3974,v25_heart
ENST00000582693,15,7,304,0.00154,0.64978,0.62876,v25_heart
ENST00000579774,23,5,358,0.00061,0.60432,0.64413,v25_heart
ENST00000545683,3,0,134,0.0,0.40796,,v25_heart
ENST00000368921,3,0,90,0.0,0.41852,,v25_heart
ENST00000427500,21,6,487,0.00059,0.50699,0.51746,v25_heart
ENST00000613861,21,6,487,0.00059,0.50699,0.51746,v25_heart
ENST00000368304,7,0,95,0.0,0.52632,,v25_heart
ENST00000342751,3,1,150,0.00222,0.34222,0.13333,v25_heart
ENST00000545495,21,2,318,0.0003,0.54313,0.72956,v25_heart
ENST00000512372,26,5,267,0.00072,0.552,0.44869,v25_heart
ENST00000511676,32,5,319,0.00049,0.55897,0.4,v25_heart
ENST00000426197,14,4,315,0.00091,0.53038,0.65714,v25_heart
ENST00000367889,6,1,152,0.0011,0.56908,0.375,v25_heart
ENST00000530507,8,2,185,0.00135,0.52568,0.81351,v25_heart
ENST00000367661,36,9,827,0.0003,0.4341,0.32393,v25_heart
ENST00000412633,17,1,285,0.00021,0.6194,0.78596,v25_heart
ENST00000422165,17,1,295,0.0002,0.63031,0.79322,v25_heart
ENST00000367318,19,1,288,0.00018,0.62262,0.78819,v25_heart
ENST00000491336,13,2,208,0.00074,0.52145,0.65625,v25_heart
ENST00000290419,20,4,224,0.00089,0.62299,0.7221,v25_heart
ENST00000429964,25,2,474,0.00017,0.493,0.23524,v25_heart
ENST00000506784,27,3,504,0.00022,0.48053,0.26455,v25_heart
ENST00000360066,25,2,474,0.00017,0.493,0.23524,v25_heart
ENST00000367137,15,0,513,0.0,0.49877,,v25_heart
ENST00000367135,36,5,791,0.00018,0.55454,0.52415,v25_heart
ENST00000367079,24,8,471,0.00071,0.54016,0.45409,v25_heart
ENST00000367093,18,5,154,0.0018,0.42172,0.31558,v25_heart
ENST00000366957,16,7,433,0.00101,0.51848,0.50676,v25_heart
ENST00000408911,20,6,458,0.00066,0.6131,0.53166,v25_heart
ENST00000391890,20,6,435,0.00069,0.59264,0.5069,v25_heart
ENST00000493603,20,6,435,0.00069,0.59264,0.5069,v25_heart
ENST00000493603,20,6,435,0.00069,0.59264,0.5069,v25_heart
ENST00000359162,20,6,435,0.00069,0.59264,0.5069,v25_heart
ENST00000450372,11,4,359,0.00101,0.33578,0.33217,v25_heart
ENST00000335698,14,2,297,0.00048,0.37975,0.22222,v25_heart
ENST00000361271,6,3,288,0.00174,0.61921,0.74884,v25_heart
ENST00000377602,14,7,398,0.00126,0.5271,0.48062,v25_heart
ENST00000376510,5,1,182,0.0011,0.4945,0.90659,v25_heart
ENST00000376495,19,4,481,0.00044,0.5796,0.77443,v25_heart
ENST00000419399,8,3,953,0.00039,0.08919,0.04267,v25_heart
ENST00000373910,7,6,147,0.00583,0.44121,0.47733,v25_heart
ENST00000355790,7,1,184,0.00078,0.48602,0.40217,v25_heart
ENST00000372873,45,6,753,0.00018,0.50179,0.49447,v25_heart
ENST00000394936,23,4,524,0.00033,0.52332,0.5897,v25_heart
ENST00000707120,23,6,291,0.0009,0.49903,0.22852,v25_heart
ENST00000472493,16,1,198,0.00032,0.48359,0.19192,v25_heart
ENST00000225174,3,0,207,0.0,0.74074,,v25_heart
ENST00000464716,5,2,132,0.00303,0.40151,0.14772,v25_heart
ENST00000623056,37,3,732,0.00011,0.43424,0.62523,v25_heart
ENST00000372066,21,0,283,0.0,0.51557,,v25_heart
ENST00000623007,20,1,330,0.00015,0.525,0.63939,v25_heart
ENST00000361373,33,3,727,0.00013,0.42849,0.62494,v25_heart
ENST00000429277,32,2,617,0.0001,0.40392,0.75527,v25_heart
ENST00000371947,22,8,315,0.00115,0.5316,0.49087,v25_heart
ENST00000371697,11,4,319,0.00114,0.40068,0.22649,v25_heart
ENST00000307534,17,6,461,0.00077,0.38152,0.55387,v25_heart
ENST00000298808,19,3,327,0.00048,0.49815,0.46076,v25_heart
ENST00000307518,20,3,360,0.00042,0.48861,0.44907,v25_heart
ENST00000467928,9,1,257,0.00043,0.58625,0.75097,v25_heart
ENST00000370033,28,7,689,0.00036,0.53841,0.33983,v25_heart
ENST00000370002,14,2,302,0.00047,0.40113,0.57285,v25_heart
ENST00000348850,14,2,225,0.00063,0.36318,0.66666,v25_heart
ENST00000343195,13,2,220,0.0007,0.37762,0.65909,v25_heart
ENST00000353068,14,2,227,0.00063,0.37571,0.6696,v25_heart
ENST00000358038,16,2,252,0.0005,0.37723,0.70238,v25_heart
ENST00000356640,16,2,270,0.00046,0.39375,0.72222,v25_heart
ENST00000461105,16,2,285,0.00044,0.40592,0.73684,v25_heart
ENST00000309579,2,0,58,0.0,0.15517,,v25_heart
ENST00000542051,26,3,534,0.00022,0.44548,0.36017,v25_heart
ENST00000369060,25,5,705,0.00028,0.57175,0.68227,v25_heart
ENST00000338492,23,7,572,0.00053,0.46762,0.61938,v25_heart
ENST00000382743,13,1,399,0.00019,0.51089,0.07769,v25_heart
ENST00000707536,28,2,674,0.00011,0.52708,0.36054,v25_heart
ENST00000531197,28,2,674,0.00011,0.52708,0.36054,v25_heart
ENST00000182290,22,3,320,0.00043,0.47244,0.48021,v25_heart
ENST00000456145,5,1,178,0.00112,0.66404,0.41573,v25_heart
ENST00000527275,23,5,630,0.00035,0.56356,0.50032,v25_heart
ENST00000278243,7,3,315,0.00136,0.58957,0.83175,v25_heart
ENST00000309357,7,4,183,0.00312,0.44262,0.63934,v25_heart
ENST00000396505,18,1,350,0.00016,0.4927,0.35429,v25_heart
ENST00000326932,18,1,350,0.00016,0.4927,0.35429,v25_heart
ENST00000265968,8,3,194,0.00193,0.55928,0.77148,v25_heart
ENST00000358540,32,7,565,0.00039,0.61222,0.34387,v25_heart
ENST00000448418,13,7,277,0.00194,0.48209,0.57349,v25_heart
ENST00000525528,11,2,247,0.00074,0.57637,0.25506,v25_heart
ENST00000227868,21,5,501,0.00048,0.63929,0.53373,v25_heart
ENST00000545968,44,7,1274,0.00012,0.50184,0.57199,v25_heart
ENST00000359513,22,8,517,0.0007,0.52427,0.56117,v25_heart
ENST00000332539,8,0,395,0.0,0.37437,,v25_heart
ENST00000361128,34,5,719,0.0002,0.52135,0.47566,v25_heart
ENST00000541278,17,3,216,0.00082,0.43355,0.67747,v25_heart
ENST00000436757,61,8,1243,0.00011,0.49737,0.55974,v25_heart
ENST00000322776,15,2,464,0.00029,0.71451,0.86422,v25_heart
ENST00000393375,6,6,200,0.005,0.48667,0.48667,v25_heart
ENST00000444749,14,5,376,0.00095,0.57846,0.64308,v25_heart
ENST00000509359,5,1,32,0.00625,0.63125,0.84375,v25_heart
ENST00000621128,41,5,726,0.00017,0.47023,0.40909,v25_heart
ENST00000621850,40,5,761,0.00016,0.44708,0.39028,v25_heart
ENST00000316851,46,6,858,0.00015,0.44046,0.45726,v25_heart
ENST00000236850,20,2,267,0.00037,0.41442,0.2809,v25_heart
ENST00000525735,20,4,396,0.00051,0.4673,0.37563,v25_heart
ENST00000375095,6,2,245,0.00136,0.3932,0.4796,v25_heart
ENST00000529187,5,0,148,0.0,0.42432,,v25_heart
ENST00000453788,21,9,493,0.00087,0.51029,0.524,v25_heart
ENST00000529694,18,4,419,0.00053,0.51286,0.53938,v25_heart
ENST00000266544,14,6,377,0.00114,0.36851,0.41247,v25_heart
ENST00000537971,6,0,239,0.0,0.65481,,v25_heart
ENST00000536844,7,0,191,0.0,0.59761,,v25_heart
ENST00000390677,8,3,303,0.00124,0.73309,0.76128,v25_heart
ENST00000613662,8,3,303,0.00124,0.73309,0.76128,v25_heart
ENST00000574870,8,3,303,0.00124,0.73309,0.76128,v25_heart
ENST00000228938,7,1,128,0.00112,0.55357,0.55469,v25_heart
ENST00000261192,13,8,386,0.00159,0.49203,0.45725,v25_heart
ENST00000534854,11,6,180,0.00303,0.43232,0.56111,v25_heart
ENST00000547587,31,5,780,0.00021,0.50161,0.4718,v25_heart
