NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_198317,ENST00000338591,24,3,642,0.00019,0.3332,0.29232
NM_017891,ENST00000421241,3,1,198,0.00168,0.57407,0.82828
NM_152486,ENST00000342066,39,9,681,0.00034,0.49652,0.46043
NM_001014980,ENST00000330388,21,4,302,0.00063,0.54415,0.5654
NM_001029885,ENST00000343938,8,0,214,0.0,0.61098,
NM_152228,ENST00000339381,46,4,852,0.0001,0.52302,0.55164
NM_001130045,ENST00000379289,33,4,673,0.00018,0.48404,0.28529
NM_153254,ENST00000379288,18,3,404,0.00041,0.47731,0.40924
NM_148901,ENST00000328596,15,4,255,0.00105,0.54484,0.35882
NR_037668,ENST00000379116,38,11,802,0.00036,0.46975,0.47427
NM_194458,ENST00000347370,11,5,207,0.0022,0.65876,0.57295
NM_058167,ENST00000349431,14,5,259,0.00138,0.59349,0.65869
NM_001242659,ENST00000422725,4,0,226,0.0,0.53429,
NM_017900,ENST00000338338,11,2,199,0.00091,0.56693,0.62312
NM_001256456,ENST00000540437,32,0,606,0.0,0.52965,
NM_000815,ENST00000378585,16,0,452,0.0,0.48106,
NM_024848,ENST00000378531,25,9,497,0.00072,0.50849,0.41829
NM_001010926,ENST00000612705,10,0,166,0.0,0.49096,
NM_001010926,ENST00000378453,10,0,166,0.0,0.49096,
NM_152492,ENST00000294600,60,13,656,0.00033,0.60579,0.58138
NM_001163724,ENST00000444870,3,0,78,0.0,0.18376,
NM_015557,ENST00000262450,85,10,1954,6e-05,0.60167,0.64089
NM_018836,ENST00000378191,23,6,411,0.00063,0.46144,0.2425
NM_033467,ENST00000611357,49,8,779,0.00021,0.52152,0.44977
NM_033467,ENST00000378412,49,8,779,0.00021,0.52152,0.44977
NM_031475,ENST00000645284,44,6,854,0.00016,0.57994,0.79196
NM_005341,ENST00000377674,44,10,688,0.00033,0.48368,0.43198
NM_153812,ENST00000377648,10,1,300,0.00033,0.56167,0.62333
NM_177540,ENST00000351136,21,2,587,0.00016,0.45948,0.67888
NM_138697,ENST00000333172,39,4,841,0.00012,0.44544,0.5648
NM_181866,ENST00000377842,15,3,329,0.00061,0.60993,0.92806
NM_001242701,ENST00000557126,2,1,101,0.00495,0.55446,0.93069
NM_001204187,ENST00000603362,44,9,555,0.00037,0.59115,0.5952
NM_001204192,ENST00000378290,38,7,565,0.00033,0.52892,0.43514
NM_148967,ENST00000348333,21,0,372,0.0,0.58436,
NM_012102,ENST00000337907,94,21,1566,0.00014,0.55304,0.46226
NM_003039,ENST00000377424,22,6,501,0.00054,0.45618,0.33633
NM_001135585,ENST00000377414,9,3,244,0.00137,0.31375,0.07514
NM_032368,ENST00000377223,14,8,190,0.00301,0.38572,0.40329
NM_001130924,ENST00000340381,34,3,666,0.00013,0.42011,0.60811
NM_020780,ENST00000294484,70,10,1392,0.0001,0.45457,0.23254
NM_004958,ENST00000361445,167,37,2549,9e-05,0.49263,0.47876
NM_198545,ENST00000294485,17,2,349,0.00034,0.4716,0.38396
NM_199294,ENST00000309048,13,5,138,0.00279,0.39409,0.48116
NR_036462,ENST00000477755,5,2,78,0.00513,0.68462,0.76282
NM_198544,ENST00000400900,14,3,164,0.00131,0.38545,0.23577
