ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000347370,11,4,207,0.00176,0.65876,0.53502,v12_lymphnode
ENST00000520777,51,4,951,8e-05,0.50605,0.54101,v12_lymphnode
ENST00000611123,13,1,405,0.00019,0.69668,0.98272,v12_lymphnode
ENST00000352527,17,1,353,0.00017,0.55941,0.91501,v12_lymphnode
ENST00000377507,14,5,255,0.0014,0.52913,0.56863,v12_lymphnode
ENST00000054668,4,2,139,0.0036,0.58094,0.6295,v12_lymphnode
ENST00000377627,10,2,175,0.00114,0.488,0.68572,v12_lymphnode
ENST00000251546,14,1,224,0.00032,0.58578,0.90625,v12_lymphnode
ENST00000487038,4,2,120,0.00417,0.6,0.52916,v12_lymphnode
ENST00000375111,4,1,144,0.00174,0.6059,0.6875,v12_lymphnode
ENST00000375111,4,1,144,0.00174,0.6059,0.6875,v12_lymphnode
ENST00000374338,18,2,308,0.00036,0.57323,0.63798,v12_lymphnode
ENST00000374395,16,2,241,0.00052,0.48885,0.69917,v12_lymphnode
ENST00000374393,10,2,115,0.00174,0.63478,0.73478,v12_lymphnode
ENST00000314675,25,2,400,0.0002,0.5198,0.53,v12_lymphnode
ENST00000531382,31,4,744,0.00017,0.5963,0.7463,v12_lymphnode
ENST00000628256,31,4,744,0.00017,0.5963,0.7463,v12_lymphnode
ENST00000374005,24,3,529,0.00024,0.61256,0.93384,v12_lymphnode
ENST00000373949,28,2,278,0.00026,0.49705,0.6277,v12_lymphnode
ENST00000373925,25,5,260,0.00077,0.62292,0.78923,v12_lymphnode
ENST00000373832,21,4,421,0.00045,0.53489,0.67399,v12_lymphnode
ENST00000419121,18,3,374,0.00045,0.38013,0.57665,v12_lymphnode
ENST00000246314,51,13,626,0.00041,0.49568,0.53269,v12_lymphnode
ENST00000373087,33,3,599,0.00015,0.56038,0.77574,v12_lymphnode
ENST00000372827,22,1,402,0.00011,0.47659,0.60697,v12_lymphnode
ENST00000372718,37,6,429,0.00038,0.55837,0.58081,v12_lymphnode
ENST00000372708,35,6,399,0.00043,0.55639,0.54929,v12_lymphnode
ENST00000539317,29,5,349,0.00049,0.60429,0.58395,v12_lymphnode
ENST00000427410,69,10,297,0.00049,0.60182,0.63872,v12_lymphnode
ENST00000372362,4,2,155,0.00323,0.56452,0.6,v12_lymphnode
ENST00000456914,49,6,521,0.00024,0.49156,0.66475,v12_lymphnode
ENST00000355498,49,6,521,0.00024,0.49156,0.66475,v12_lymphnode
ENST00000710952,49,6,549,0.00022,0.51489,0.68184,v12_lymphnode
ENST00000371975,42,2,747,6e-05,0.48199,0.68942,v12_lymphnode
ENST00000528077,7,2,106,0.0027,0.72642,0.59906,v12_lymphnode
ENST00000517870,7,1,190,0.00075,0.59399,0.54737,v12_lymphnode
ENST00000306052,35,2,963,6e-05,0.49304,0.65732,v12_lymphnode
