ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000338591,24,3,642,0.00019,0.3332,0.29232,v12_lymphnode
ENST00000379407,31,7,576,0.00039,0.46948,0.48685,v12_lymphnode
ENST00000673477,43,5,648,0.00018,0.41333,0.47438,v12_lymphnode
ENST00000378755,47,6,634,0.0002,0.45795,0.34516,v12_lymphnode
ENST00000378625,34,11,591,0.00055,0.43341,0.37656,v12_lymphnode
ENST00000378209,23,5,338,0.00064,0.44417,0.48343,v12_lymphnode
ENST00000377627,10,5,175,0.00286,0.488,0.65371,v12_lymphnode
ENST00000510563,9,0,181,0.0,0.47882,,v12_lymphnode
ENST00000377414,9,3,244,0.00137,0.31375,0.07514,v12_lymphnode
ENST00000377346,56,5,1044,9e-05,0.44574,0.37394,v12_lymphnode
ENST00000376819,19,6,346,0.00091,0.38059,0.39114,v12_lymphnode
ENST00000263932,29,5,595,0.00029,0.43379,0.24034,v12_lymphnode
ENST00000375535,17,6,183,0.00193,0.39184,0.37614,v12_lymphnode
ENST00000400548,8,1,226,0.00055,0.46571,0.60177,v12_lymphnode
ENST00000375153,11,1,291,0.00031,0.45798,0.69072,v12_lymphnode
ENST00000374472,8,1,360,0.00035,0.48785,0.60278,v12_lymphnode
ENST00000374421,22,5,491,0.00046,0.44918,0.46069,v12_lymphnode
ENST00000374395,16,3,241,0.00078,0.48885,0.57815,v12_lymphnode
ENST00000374280,37,6,676,0.00024,0.45614,0.4184,v12_lymphnode
ENST00000373949,28,9,278,0.00116,0.49705,0.50759,v12_lymphnode
ENST00000236412,3,0,127,0.0,0.22047,,v12_lymphnode
ENST00000373797,42,23,720,0.00076,0.4502,0.39251,v12_lymphnode
ENST00000373582,16,0,163,0.0,0.45782,,v12_lymphnode
ENST00000373534,13,1,268,0.00029,0.49627,0.43284,v12_lymphnode
ENST00000419121,18,4,374,0.00059,0.38013,0.5254,v12_lymphnode
ENST00000246314,51,26,626,0.00081,0.49568,0.50479,v12_lymphnode
