Gene,OptionalDataColumns
ENST00000338591,3
ENST00000379407,7
ENST00000339381,4
ENST00000379268,4
ENST00000673477,5
ENST00000347370,5
ENST00000378755,6
ENST00000520777,7
ENST00000378209,5
ENST00000627654,1
ENST00000537325,1
ENST00000611123,3
ENST00000352527,1
ENST00000428161,2
ENST00000377507,9
ENST00000054668,4
ENST00000377627,5
ENST00000378288,7
ENST00000351748,0
ENST00000377782,0
ENST00000356876,0
ENST00000510563,0
ENST00000377414,3
ENST00000377346,5
ENST00000376819,6
ENST00000251546,1
ENST00000263932,5
ENST00000487038,2
ENST00000375535,6
ENST00000400548,1
ENST00000375153,1
ENST00000375105,0
ENST00000375111,2
ENST00000375111,2
ENST00000634683,1
ENST00000361729,1
ENST00000374472,1
ENST00000374392,0
ENST00000374421,5
ENST00000308873,0
ENST00000399916,0
ENST00000374338,3
ENST00000374395,3
ENST00000374393,2
ENST00000374280,6
ENST00000314675,3
ENST00000531382,6
ENST00000628256,6
ENST00000526219,2
ENST00000374005,7
ENST00000373888,3
ENST00000373894,2
ENST00000373949,9
ENST00000373925,8
ENST00000236412,0
ENST00000373826,1
ENST00000465518,1
ENST00000465645,1
ENST00000647380,1
ENST00000373832,5
ENST00000373582,0
ENST00000373534,1
ENST00000336890,4
ENST00000336890,4
ENST00000419121,4
ENST00000373087,7
ENST00000454994,8
ENST00000372827,3
ENST00000439569,2
ENST00000539749,2
ENST00000236040,9
ENST00000372359,0
ENST00000372362,3
ENST00000271139,2
ENST00000528077,6
ENST00000334793,0
ENST00000517870,1
ENST00000072644,2
ENST00000306052,5
ENST00000371274,2
ENST00000371116,5
ENST00000371092,3
ENST00000370976,5
ENST00000346806,5
ENST00000370871,7
ENST00000457880,5
ENST00000370662,6
ENST00000370685,8
ENST00000370332,1
ENST00000427103,1
ENST00000616709,8
ENST00000263893,3
ENST00000369868,0
ENST00000369769,5
ENST00000369784,6
ENST00000316361,6
ENST00000648608,1
ENST00000271324,1
ENST00000472422,7
ENST00000545121,6
ENST00000369744,5
ENST00000466741,5
ENST00000369717,2
ENST00000369510,5
ENST00000369489,4
ENST00000313835,8
ENST00000414276,1
ENST00000360244,2
ENST00000369109,2
ENST00000680288,6
ENST00000295294,2
ENST00000357235,1
ENST00000368910,1
ENST00000602841,3
ENST00000368738,0
ENST00000618040,7
ENST00000334634,9
ENST00000618489,6
ENST00000428024,6
ENST00000339922,1
ENST00000295694,3
ENST00000368284,4
ENST00000368279,3
ENST00000368276,3
ENST00000368174,4
ENST00000289429,6
ENST00000368170,9
ENST00000361835,5
ENST00000358292,9
ENST00000491942,6
ENST00000368176,6
ENST00000368199,8
ENST00000392306,8
ENST00000368106,9
ENST00000289707,3
ENST00000368093,2
ENST00000302101,0
ENST00000302035,4
ENST00000368043,2
ENST00000368046,3
ENST00000613788,6
ENST00000368039,3
ENST00000368055,9
ENST00000534968,5
ENST00000368054,6
ENST00000311224,6
ENST00000622395,3
ENST00000309758,3
ENST00000392179,7
ENST00000650385,4
ENST00000367948,3
ENST00000368007,5
ENST00000367961,2
ENST00000358671,2
ENST00000504010,5
ENST00000350710,1
ENST00000236938,5
ENST00000367953,5
ENST00000367868,5
ENST00000392122,3
ENST00000362089,3
ENST00000367819,1
ENST00000367818,1
ENST00000236147,8
ENST00000236147,8
ENST00000367755,5
ENST00000367721,5
ENST00000682279,7
ENST00000434571,5
ENST00000614012,8
ENST00000367554,7
ENST00000391985,7
ENST00000304244,0
ENST00000573477,8
ENST00000573679,9
ENST00000367262,1
ENST00000367279,8
ENST00000309017,7
ENST00000691036,7
ENST00000356764,3
ENST00000255427,8
ENST00000367229,9
ENST00000491855,7
ENST00000367167,6
ENST00000264515,5
ENST00000367183,6
ENST00000403080,3
ENST00000659997,4
ENST00000581977,7
ENST00000580449,4
ENST00000577571,4
ENST00000611909,2
ENST00000628511,4
ENST00000367091,3
ENST00000399639,7
ENST00000680073,0
ENST00000366998,7
ENST00000360212,3
ENST00000537898,4
