ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000377939,44,35,634,0.00125,0.52352,0.55128,v25_heart
ENST00000343090,80,68,1302,0.00065,0.49915,0.50632,v25_heart
ENST00000377093,69,55,1153,0.00069,0.61704,0.60965,v25_heart
ENST00000235329,51,38,757,0.00098,0.57513,0.58399,v25_heart
ENST00000613099,250,200,4363,0.00018,0.48334,0.48287,v25_heart
ENST00000374434,67,49,1437,0.00051,0.47925,0.53024,v25_heart
ENST00000252992,81,63,762,0.00102,0.62229,0.62509,v25_heart
ENST00000343744,34,27,594,0.00134,0.49634,0.47936,v25_heart
ENST00000343433,35,28,728,0.0011,0.38442,0.35597,v25_heart
ENST00000371158,106,94,1801,0.00049,0.50918,0.49551,v25_heart
ENST00000370899,42,36,843,0.00102,0.46823,0.44237,v25_heart
ENST00000326637,40,35,835,0.00105,0.50219,0.48373,v25_heart
ENST00000334785,44,39,675,0.00131,0.46754,0.47054,v25_heart
ENST00000465892,36,27,850,0.00088,0.51307,0.53608,v25_heart
ENST00000370163,70,57,1532,0.00053,0.45267,0.42873,v25_heart
ENST00000294724,70,57,1532,0.00053,0.45267,0.42873,v25_heart
ENST00000369530,42,38,813,0.00111,0.51447,0.50019,v25_heart
ENST00000610726,43,39,844,0.00107,0.51598,0.50091,v25_heart
ENST00000369356,237,184,2362,0.00033,0.4429,0.44314,v25_heart
ENST00000618462,228,178,2240,0.00035,0.43462,0.43806,v25_heart
ENST00000369349,125,96,969,0.00079,0.47503,0.47026,v25_heart
ENST00000368914,42,27,930,0.00069,0.42314,0.40283,v25_heart
ENST00000541576,69,58,947,0.00089,0.50555,0.46841,v25_heart
ENST00000295566,51,41,796,0.00101,0.44775,0.42187,v25_heart
ENST00000511676,32,27,319,0.00264,0.55897,0.5537,v25_heart
ENST00000361200,50,36,1158,0.00062,0.48434,0.48534,v25_heart
ENST00000367797,119,98,2224,0.00037,0.5262,0.53534,v25_heart
ENST00000367843,47,39,880,0.00094,0.49321,0.49088,v25_heart
ENST00000367840,58,48,951,0.00087,0.48863,0.48703,v25_heart
ENST00000367661,36,26,827,0.00087,0.4341,0.41861,v25_heart
ENST00000251507,43,39,815,0.00111,0.56978,0.55369,v25_heart
ENST00000367589,34,32,631,0.00149,0.44672,0.44721,v25_heart
ENST00000608999,56,41,982,0.00075,0.48038,0.45969,v25_heart
ENST00000367135,36,25,791,0.00088,0.55454,0.51742,v25_heart
ENST00000328205,36,33,558,0.00164,0.51006,0.52107,v25_heart
ENST00000284548,395,221,6620,8e-05,0.49432,0.54725,v25_heart
ENST00000422127,471,269,7968,7e-05,0.48939,0.5326,v25_heart
ENST00000674635,92,72,1722,0.00045,0.49431,0.49622,v25_heart
ENST00000366578,57,40,894,0.00078,0.53364,0.53683,v25_heart
ENST00000366574,233,196,4967,0.00017,0.49337,0.50551,v25_heart
ENST00000602873,29,27,201,0.00463,0.52376,0.49991,v25_heart
ENST00000439617,56,48,854,0.001,0.56988,0.5728,v25_heart
ENST00000407071,90,63,2108,0.00033,0.4845,0.4641,v25_heart
ENST00000282343,32,27,632,0.00134,0.55192,0.5647,v25_heart
ENST00000377329,31,26,606,0.00138,0.55078,0.5681,v25_heart
ENST00000377122,62,52,1014,0.00083,0.55049,0.54777,v25_heart
ENST00000436985,130,123,1709,0.00055,0.55731,0.55653,v25_heart
ENST00000396271,33,28,525,0.00162,0.62072,0.61177,v25_heart
ENST00000376140,27,25,481,0.00193,0.43898,0.42029,v25_heart
ENST00000452305,46,35,818,0.00093,0.48942,0.47468,v25_heart
ENST00000345491,29,25,300,0.00287,0.54081,0.51547,v25_heart
ENST00000374144,78,61,1435,0.00054,0.4863,0.44751,v25_heart
ENST00000579039,45,37,630,0.00131,0.42533,0.41347,v25_heart
ENST00000583565,44,37,614,0.00137,0.42016,0.39819,v25_heart
ENST00000395433,83,73,1932,0.00046,0.47529,0.48041,v25_heart
ENST00000373827,94,77,1861,0.00044,0.47279,0.48947,v25_heart
ENST00000337910,37,31,696,0.0012,0.50516,0.5298,v25_heart
ENST00000433211,46,39,895,0.00095,0.4958,0.54574,v25_heart
ENST00000354393,62,54,1045,0.00083,0.46919,0.48178,v25_heart
ENST00000613327,85,70,1320,0.00062,0.45435,0.48075,v25_heart
ENST00000358913,85,70,1320,0.00062,0.45435,0.48075,v25_heart
ENST00000298596,73,57,989,0.00079,0.53865,0.5613,v25_heart
ENST00000372919,40,38,488,0.00195,0.53735,0.5275,v25_heart
ENST00000372873,45,27,753,0.0008,0.50179,0.52083,v25_heart
ENST00000394810,63,41,977,0.00067,0.46807,0.44889,v25_heart
ENST00000357947,35,25,1015,0.0007,0.48341,0.48043,v25_heart
ENST00000356016,35,32,433,0.00211,0.41966,0.40921,v25_heart
ENST00000453258,31,29,517,0.00181,0.48718,0.4969,v25_heart
ENST00000371247,70,54,1292,0.0006,0.5719,0.58454,v25_heart
ENST00000299206,40,27,575,0.00117,0.4833,0.47723,v25_heart
ENST00000370033,28,25,689,0.0013,0.53841,0.53898,v25_heart
ENST00000369519,69,58,1227,0.00069,0.39394,0.41558,v25_heart
