Gene,OptionalDataColumns
ENST00000520296,1
ENST00000620829,6
ENST00000307786,5
ENST00000288774,3
ENST00000333172,10
ENST00000378285,11
ENST00000356876,7
ENST00000377728,14
ENST00000470413,5
ENST00000359318,11
ENST00000400797,8
ENST00000375534,8
ENST00000375341,5
ENST00000375153,3
ENST00000618761,3
ENST00000360009,9
ENST00000236342,8
ENST00000373925,6
ENST00000539896,4
ENST00000465518,5
ENST00000263702,7
ENST00000373791,7
ENST00000354267,5
ENST00000446189,10
ENST00000494695,1
ENST00000372517,7
ENST00000413844,8
ENST00000396148,7
ENST00000371761,7
ENST00000313334,3
ENST00000430330,6
ENST00000371083,10
ENST00000370894,8
ENST00000628037,5
ENST00000460330,5
ENST00000479353,5
ENST00000370931,5
ENST00000306666,5
ENST00000370924,7
ENST00000529992,8
ENST00000370138,13
ENST00000310611,0
ENST00000539893,4
ENST00000328189,2
ENST00000369458,5
ENST00000369458,5
ENST00000369458,5
ENST00000360244,3
ENST00000368912,14
ENST00000368849,13
ENST00000440685,1
ENST00000476133,1
ENST00000368603,10
ENST00000368439,1
ENST00000368406,6
ENST00000245564,14
ENST00000611010,11
ENST00000368276,6
ENST00000368222,2
ENST00000454449,6
ENST00000289429,9
ENST00000368170,13
ENST00000326786,3
ENST00000444681,8
ENST00000368161,11
ENST00000368092,3
ENST00000368093,4
ENST00000368072,9
ENST00000368012,9
ENST00000368054,6
ENST00000426197,4
ENST00000545294,9
ENST00000354775,9
ENST00000619224,6
ENST00000527988,2
ENST00000361379,1
ENST00000366997,14
ENST00000360212,6
ENST00000613104,1
ENST00000366910,5
ENST00000361525,10
ENST00000272167,5
ENST00000470540,6
ENST00000366618,2
ENST00000339986,11
ENST00000380872,9
ENST00000263126,12
ENST00000315238,2
ENST00000542957,2
ENST00000380753,7
ENST00000380753,7
ENST00000455190,2
ENST00000439082,9
ENST00000446108,13
ENST00000379328,4
ENST00000346208,4
ENST00000379775,10
ENST00000397145,10
ENST00000378165,7
ENST00000536334,11
ENST00000376170,12
ENST00000376140,14
ENST00000374822,14
ENST00000417912,14
ENST00000435790,14
ENST00000316629,7
ENST00000242480,6
ENST00000637191,6
ENST00000609923,7
ENST00000307864,2
ENST00000307864,2
ENST00000373241,2
ENST00000642044,13
ENST00000359322,10
ENST00000372734,9
ENST00000372263,1
ENST00000606162,4
ENST00000484444,1
ENST00000371464,3
ENST00000371481,6
ENST00000307450,3
ENST00000370575,12
ENST00000543964,12
ENST00000370549,11
ENST00000370546,11
ENST00000370355,2
ENST00000347978,7
ENST00000320185,8
ENST00000370005,4
ENST00000348850,3
ENST00000343195,3
ENST00000356640,4
ENST00000461105,4
ENST00000619563,12
ENST00000369312,12
ENST00000447005,4
ENST00000369315,9
ENST00000369023,12
ENST00000368547,6
ENST00000451590,4
ENST00000610977,4
ENST00000322028,0
ENST00000336615,4
ENST00000381968,2
ENST00000672195,2
ENST00000322008,6
ENST00000381911,3
ENST00000673526,3
ENST00000672632,3
ENST00000381906,3
ENST00000381905,3
ENST00000672155,3
ENST00000672629,5
ENST00000381589,5
ENST00000336906,1
ENST00000330597,1
ENST00000506134,8
ENST00000526063,10
ENST00000396275,4
ENST00000524555,1
ENST00000414546,0
ENST00000256733,1
ENST00000356524,2
ENST00000672662,2
ENST00000672712,2
ENST00000405158,2
ENST00000672418,2
ENST00000532858,2
ENST00000443524,6
ENST00000336930,14
ENST00000672078,5
ENST00000227157,5
ENST00000303459,9
ENST00000429939,6
ENST00000257832,9
ENST00000531794,8
ENST00000622144,11
ENST00000652299,10
ENST00000278386,7
