ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000328596,15,6,255,0.00157,0.54484,0.4732,v1_cerebrum
ENST00000378585,16,4,452,0.00055,0.48106,0.29646,v1_cerebrum
ENST00000378486,78,17,1416,0.00015,0.48739,0.42124,v1_cerebrum
ENST00000620687,78,17,1416,0.00015,0.48739,0.42124,v1_cerebrum
ENST00000378191,23,10,411,0.00106,0.46144,0.36302,v1_cerebrum
ENST00000617400,6,1,192,0.00087,0.66406,0.47917,v1_cerebrum
ENST00000537325,6,1,161,0.00104,0.60352,0.38509,v1_cerebrum
ENST00000604479,37,11,540,0.00055,0.56862,0.49141,v1_cerebrum
ENST00000378288,39,13,587,0.00057,0.53318,0.43297,v1_cerebrum
ENST00000263934,87,43,1770,0.00028,0.50166,0.49485,v1_cerebrum
ENST00000294484,70,21,1392,0.00022,0.45457,0.36652,v1_cerebrum
ENST00000376667,12,5,211,0.00197,0.39613,0.26256,v1_cerebrum
ENST00000354287,15,4,296,0.0009,0.42477,0.4679,v1_cerebrum
ENST00000346436,38,9,869,0.00027,0.54012,0.42386,v1_cerebrum
ENST00000329454,7,2,169,0.00169,0.52409,0.3639,v1_cerebrum
ENST00000707396,24,8,665,0.0005,0.49066,0.47594,v1_cerebrum
ENST00000375486,24,8,665,0.0005,0.49066,0.47594,v1_cerebrum
ENST00000251296,15,7,467,0.001,0.44511,0.42643,v1_cerebrum
ENST00000420770,30,9,505,0.00059,0.53122,0.42684,v1_cerebrum
ENST00000341676,61,11,1158,0.00016,0.50296,0.47715,v1_cerebrum
ENST00000400548,8,2,226,0.00111,0.46571,0.06637,v1_cerebrum
ENST00000375031,16,4,339,0.00074,0.42017,0.24778,v1_cerebrum
ENST00000444387,24,6,423,0.00059,0.39096,0.30851,v1_cerebrum
ENST00000495204,35,16,727,0.00063,0.48512,0.45994,v1_cerebrum
ENST00000602662,9,3,181,0.00184,0.53837,0.34622,v1_cerebrum
ENST00000374619,10,3,377,0.0008,0.45995,0.49956,v1_cerebrum
ENST00000003583,11,5,287,0.00158,0.52075,0.42788,v1_cerebrum
ENST00000374395,16,5,241,0.0013,0.48885,0.48216,v1_cerebrum
ENST00000346452,9,4,266,0.00167,0.45614,0.4032,v1_cerebrum
ENST00000340849,8,4,267,0.00187,0.4368,0.40637,v1_cerebrum
ENST00000294413,12,5,417,0.001,0.44704,0.38945,v1_cerebrum
ENST00000345512,74,26,1446,0.00024,0.44539,0.44587,v1_cerebrum
ENST00000460170,74,27,1440,0.00025,0.44192,0.45342,v1_cerebrum
ENST00000373467,9,3,193,0.00173,0.46632,0.19689,v1_cerebrum
ENST00000373347,54,24,979,0.00045,0.53486,0.50119,v1_cerebrum
ENST00000373388,153,66,3487,0.00012,0.48269,0.48386,v1_cerebrum
ENST00000373235,18,7,442,0.00088,0.47499,0.48739,v1_cerebrum
