ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378486,78,1,1416,1e-05,0.48739,0.32415,v1_cerebrum
ENST00000620687,78,1,1416,1e-05,0.48739,0.32415,v1_cerebrum
ENST00000262450,85,7,1954,4e-05,0.60167,0.65214,v1_cerebrum
ENST00000303635,105,17,1673,0.0001,0.59187,0.71678,v1_cerebrum
ENST00000604479,37,5,540,0.00025,0.56862,0.50481,v1_cerebrum
ENST00000378288,39,6,587,0.00026,0.53318,0.44492,v1_cerebrum
ENST00000263934,87,14,1770,9e-05,0.50166,0.4519,v1_cerebrum
ENST00000294484,70,4,1392,4e-05,0.45457,0.20204,v1_cerebrum
ENST00000346436,38,3,869,9e-05,0.54012,0.2102,v1_cerebrum
ENST00000235372,84,19,1718,0.00013,0.52804,0.52224,v1_cerebrum
ENST00000376030,54,4,775,0.0001,0.42167,0.53516,v1_cerebrum
ENST00000341676,61,3,1158,4e-05,0.50296,0.41105,v1_cerebrum
ENST00000495204,35,3,727,0.00012,0.48512,0.56809,v1_cerebrum
ENST00000374280,37,2,676,8e-05,0.45614,0.43344,v1_cerebrum
ENST00000345512,74,3,1446,3e-05,0.44539,0.35731,v1_cerebrum
ENST00000460170,74,3,1440,3e-05,0.44192,0.3588,v1_cerebrum
ENST00000373347,54,8,979,0.00015,0.53486,0.46706,v1_cerebrum
ENST00000373388,153,12,3487,2e-05,0.48269,0.596,v1_cerebrum
ENST00000373253,38,4,712,0.00015,0.55866,0.58357,v1_cerebrum
ENST00000373243,39,5,729,0.00018,0.55471,0.47737,v1_cerebrum
ENST00000356090,39,5,729,0.00018,0.55471,0.47737,v1_cerebrum
ENST00000373091,38,4,919,0.00011,0.47775,0.2802,v1_cerebrum
ENST00000373048,50,2,1008,4e-05,0.56264,0.6126,v1_cerebrum
ENST00000372748,41,6,689,0.00021,0.55007,0.6091,v1_cerebrum
ENST00000354383,49,6,522,0.00023,0.49234,0.66539,v1_cerebrum
ENST00000493793,37,10,582,0.00046,0.34471,0.26409,v1_cerebrum
ENST00000357206,62,16,1366,0.00019,0.51524,0.27915,v1_cerebrum
ENST00000371454,33,1,904,3e-05,0.49249,0.36947,v1_cerebrum
ENST00000371316,33,1,607,5e-05,0.47481,0.17463,v1_cerebrum
ENST00000414851,43,10,555,0.00042,0.53082,0.63874,v1_cerebrum
ENST00000395325,55,12,913,0.00024,0.55163,0.52629,v1_cerebrum
ENST00000329654,39,5,736,0.00017,0.50007,0.32282,v1_cerebrum
ENST00000341517,39,5,736,0.00017,0.50007,0.32282,v1_cerebrum
ENST00000423207,37,3,721,0.00011,0.51228,0.4785,v1_cerebrum
ENST00000326665,61,15,1530,0.00016,0.52388,0.55412,v1_cerebrum
ENST00000557284,47,9,936,0.0002,0.47891,0.48991,v1_cerebrum
ENST00000260505,58,7,887,0.00014,0.48029,0.68497,v1_cerebrum
ENST00000437941,49,16,587,0.00056,0.48444,0.38501,v1_cerebrum
ENST00000342203,50,16,614,0.00052,0.49762,0.41205,v1_cerebrum
ENST00000342203,50,16,614,0.00052,0.49762,0.41205,v1_cerebrum
ENST00000370563,36,9,919,0.00027,0.47564,0.47963,v1_cerebrum
ENST00000370563,36,9,919,0.00027,0.47564,0.47963,v1_cerebrum
ENST00000640258,38,12,803,0.00039,0.49082,0.46648,v1_cerebrum
ENST00000640258,38,12,803,0.00039,0.49082,0.46648,v1_cerebrum
ENST00000428239,34,9,574,0.00046,0.44087,0.46516,v1_cerebrum
ENST00000637221,78,22,1279,0.00022,0.5131,0.46258,v1_cerebrum
ENST00000271234,41,21,605,0.00085,0.44499,0.40032,v1_cerebrum
ENST00000358392,90,17,1818,0.0001,0.5094,0.49521,v1_cerebrum
ENST00000370096,90,18,1806,0.00011,0.50707,0.47438,v1_cerebrum
ENST00000271332,138,15,2923,4e-05,0.47761,0.40148,v1_cerebrum
ENST00000369962,57,15,919,0.00029,0.50175,0.54726,v1_cerebrum
ENST00000400794,58,15,927,0.00028,0.50339,0.55102,v1_cerebrum
ENST00000369965,58,15,920,0.00028,0.50039,0.54761,v1_cerebrum
ENST00000256578,39,4,825,0.00012,0.44566,0.26485,v1_cerebrum
ENST00000369615,63,13,1125,0.00018,0.54962,0.63296,v1_cerebrum
ENST00000369146,32,2,742,8e-05,0.40174,0.19474,v1_cerebrum
ENST00000290585,51,4,415,0.00019,0.60364,0.43675,v1_cerebrum
ENST00000290583,53,4,465,0.00016,0.60272,0.44355,v1_cerebrum
