ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000338591,24,15,642,0.00097,0.3332,0.23499,v24_testis
ENST00000421241,3,1,198,0.00168,0.57407,0.82828,v24_testis
ENST00000342066,39,21,681,0.00079,0.49652,0.46955,v24_testis
ENST00000330388,21,15,302,0.00237,0.54415,0.53091,v24_testis
ENST00000343938,8,6,214,0.0035,0.61098,0.66744,v24_testis
ENST00000339381,46,20,852,0.00051,0.52302,0.42447,v24_testis
ENST00000379289,33,18,673,0.00081,0.48404,0.50413,v24_testis
ENST00000379288,18,11,404,0.00151,0.47731,0.57021,v24_testis
ENST00000328596,15,9,255,0.00235,0.54484,0.49499,v24_testis
ENST00000347370,11,10,207,0.00439,0.65876,0.64348,v24_testis
ENST00000349431,14,12,259,0.00331,0.59349,0.60618,v24_testis
ENST00000422725,4,3,226,0.00332,0.53429,0.4941,v24_testis
ENST00000338338,11,6,199,0.00274,0.56693,0.51926,v24_testis
ENST00000540437,32,21,606,0.00108,0.52965,0.57135,v24_testis
ENST00000378585,16,9,452,0.00124,0.48106,0.40978,v24_testis
ENST00000378531,25,17,497,0.00137,0.50849,0.44715,v24_testis
ENST00000612705,10,6,166,0.00361,0.49096,0.42771,v24_testis
ENST00000378453,10,6,166,0.00361,0.49096,0.42771,v24_testis
ENST00000444870,3,2,78,0.00855,0.18376,0.25641,v24_testis
ENST00000378191,23,15,411,0.00159,0.46144,0.45839,v24_testis
ENST00000377648,10,7,300,0.00233,0.56167,0.58381,v24_testis
ENST00000351136,21,16,587,0.0013,0.45948,0.47093,v24_testis
ENST00000377842,15,10,329,0.00203,0.60993,0.60122,v24_testis
ENST00000557126,2,2,101,0.0099,0.55446,0.55446,v24_testis
ENST00000348333,21,15,372,0.00192,0.58436,0.66004,v24_testis
ENST00000377424,22,15,501,0.00136,0.45618,0.43407,v24_testis
ENST00000377414,9,7,244,0.00319,0.31375,0.20258,v24_testis
ENST00000377223,14,14,190,0.00526,0.38572,0.38572,v24_testis
ENST00000294485,17,9,349,0.00152,0.4716,0.54537,v24_testis
ENST00000309048,13,10,138,0.00557,0.39409,0.33406,v24_testis
ENST00000477755,5,4,78,0.01026,0.68462,0.69231,v24_testis
ENST00000400900,14,10,164,0.00436,0.38545,0.30732,v24_testis
ENST00000602296,6,3,143,0.0035,0.65035,0.58508,v24_testis
ENST00000377049,6,3,105,0.00476,0.57619,0.53968,v24_testis
ENST00000251546,14,8,224,0.00255,0.58578,0.69922,v24_testis
ENST00000376637,6,4,111,0.00601,0.53303,0.60135,v24_testis
ENST00000614859,10,9,194,0.00464,0.48247,0.50974,v24_testis
ENST00000359318,16,15,407,0.0023,0.52165,0.54513,v24_testis
ENST00000334600,22,15,474,0.00144,0.40526,0.46034,v24_testis
ENST00000602960,20,19,475,0.002,0.48463,0.47247,v24_testis
ENST00000616484,27,22,474,0.00172,0.4632,0.46145,v24_testis
ENST00000357367,27,22,474,0.00172,0.4632,0.46145,v24_testis
ENST00000632222,27,22,474,0.00172,0.4632,0.46145,v24_testis
ENST00000636073,27,22,474,0.00172,0.4632,0.46145,v24_testis
ENST00000359621,9,5,269,0.00207,0.53697,0.60966,v24_testis
ENST00000375910,10,6,269,0.00223,0.45056,0.5632,v24_testis
ENST00000375471,27,20,663,0.00112,0.54539,0.53152,v24_testis
ENST00000631074,27,20,663,0.00112,0.54539,0.53152,v24_testis
ENST00000375121,11,5,227,0.002,0.4121,0.35859,v24_testis
ENST00000444387,24,18,423,0.00177,0.39096,0.41752,v24_testis
ENST00000566855,4,2,121,0.00413,0.49587,0.54958,v24_testis
ENST00000374619,10,5,377,0.00133,0.45995,0.51247,v24_testis
ENST00000634683,29,21,437,0.00166,0.51811,0.53176,v24_testis
ENST00000361729,29,21,437,0.00166,0.51811,0.53176,v24_testis
ENST00000236255,19,14,607,0.00121,0.58216,0.60861,v24_testis
ENST00000003583,11,9,287,0.00285,0.52075,0.51762,v24_testis
ENST00000337248,16,14,334,0.00262,0.43245,0.40847,v24_testis
ENST00000003583,11,9,287,0.00285,0.52075,0.51762,v24_testis
ENST00000374409,16,14,334,0.00262,0.43245,0.40847,v24_testis
ENST00000374298,27,23,357,0.00239,0.58253,0.58312,v24_testis
ENST00000294413,12,10,417,0.002,0.44704,0.47986,v24_testis
ENST00000326279,12,9,209,0.00359,0.60247,0.5949,v24_testis
ENST00000426559,12,11,174,0.00527,0.52299,0.56165,v24_testis
ENST00000357865,9,8,149,0.00597,0.48397,0.5302,v24_testis
ENST00000374221,37,18,520,0.00094,0.48259,0.51667,v24_testis
ENST00000674202,21,17,493,0.00164,0.53869,0.59504,v24_testis
ENST00000478104,4,4,154,0.00649,0.38149,0.38149,v24_testis
ENST00000373912,14,11,270,0.00291,0.47513,0.43906,v24_testis
ENST00000339145,2,2,138,0.00725,0.38406,0.38406,v24_testis
ENST00000335514,10,6,106,0.00566,0.51509,0.54874,v24_testis
ENST00000647074,10,6,106,0.00566,0.51509,0.54874,v24_testis
ENST00000373824,11,11,161,0.00621,0.52456,0.52456,v24_testis
ENST00000536859,19,16,459,0.00183,0.60842,0.59858,v24_testis
ENST00000373602,11,8,200,0.00364,0.55227,0.69062,v24_testis
ENST00000432622,3,1,127,0.00262,0.50131,0.62205,v24_testis
ENST00000373534,13,9,268,0.00258,0.49627,0.37313,v24_testis
ENST00000609129,21,17,495,0.00164,0.53285,0.52906,v24_testis
ENST00000294517,18,12,460,0.00145,0.49517,0.49384,v24_testis
ENST00000419121,18,11,374,0.00163,0.38013,0.4458,v24_testis
ENST00000455895,18,11,430,0.00142,0.42468,0.49429,v24_testis
ENST00000373475,25,20,408,0.00196,0.68353,0.68076,v24_testis
ENST00000373456,27,19,732,0.00096,0.55798,0.62511,v24_testis
ENST00000356990,18,11,587,0.00104,0.49073,0.55041,v24_testis
ENST00000339480,5,4,266,0.00301,0.32181,0.17669,v24_testis
ENST00000519684,13,8,186,0.00331,0.53226,0.58737,v24_testis
ENST00000417239,2,0,92,0.0,0.58152,,v24_testis
ENST00000505871,32,23,645,0.00111,0.56037,0.6,v24_testis
ENST00000327331,15,12,280,0.00286,0.51286,0.44286,v24_testis
ENST00000235532,25,20,379,0.00211,0.51937,0.57546,v24_testis
ENST00000354267,16,11,223,0.00308,0.54596,0.56625,v24_testis
ENST00000373012,21,14,451,0.00148,0.46078,0.43918,v24_testis
ENST00000372852,15,10,328,0.00203,0.29898,0.18476,v24_testis
