NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_004421,ENST00000378891,24,7,670,0.00044,0.58812,0.69254
NM_001170535,ENST00000378756,43,13,586,0.00052,0.45273,0.45629
NM_080875,ENST00000505820,52,12,955,0.00024,0.50284,0.62434
NM_001170686,ENST00000520777,51,11,951,0.00023,0.50605,0.65233
NM_001170687,ENST00000355826,52,12,955,0.00024,0.50284,0.62434
NM_001170689,ENST00000378712,47,14,753,0.0004,0.50708,0.72576
NM_178545,ENST00000310991,11,4,209,0.00174,0.50065,0.59809
NM_018216,ENST00000378466,26,11,773,0.00055,0.48751,0.3841
NM_018216,ENST00000615291,26,11,773,0.00055,0.48751,0.3841
NM_020710,ENST00000378251,25,3,583,0.00021,0.48734,0.6215
NM_014851,ENST00000377658,25,7,597,0.00047,0.43745,0.51304
NM_024980,ENST00000377411,10,5,335,0.00149,0.63284,0.72597
NM_001010866,ENST00000340305,25,7,392,0.00071,0.48918,0.40415
NM_001170754,ENST00000377004,47,16,823,0.00041,0.51614,0.41191
NM_001105562,ENST00000343090,80,41,1302,0.00039,0.49915,0.48955
NM_183416,ENST00000377093,69,34,1153,0.00043,0.61704,0.5864
NM_004958,ENST00000361445,167,66,2549,0.00016,0.49263,0.49391
NM_001127660,ENST00000674817,51,25,757,0.00065,0.57513,0.58684
NM_001010847,ENST00000376085,8,3,294,0.00128,0.5557,0.63038
NM_015164,ENST00000375799,52,16,1019,0.0003,0.56211,0.48442
NM_207348,ENST00000294454,26,6,304,0.00076,0.47723,0.53948
NM_032341,ENST00000480945,33,11,399,0.00084,0.49373,0.58008
NM_006511,ENST00000345034,40,26,617,0.00105,0.45389,0.44134
NM_007365,ENST00000707396,24,8,665,0.0005,0.49066,0.47594
NM_007365,ENST00000375486,24,8,665,0.0005,0.49066,0.47594
NM_001135254,ENST00000420770,30,9,505,0.00059,0.53122,0.42684
NM_001135247,ENST00000375534,17,8,182,0.00259,0.38849,0.37569
NM_020765,ENST00000375254,286,132,5183,9e-05,0.48541,0.43939
NM_001083621,ENST00000404138,72,35,1239,0.00039,0.53994,0.54627
NM_003196,ENST00000450454,11,3,348,0.00078,0.52247,0.55077
NM_003196,ENST00000635035,11,3,348,0.00078,0.52247,0.55077
NM_017707,ENST00000634561,57,26,903,0.00051,0.41837,0.39352
NM_017707,ENST00000336689,57,26,903,0.00051,0.41837,0.39352
NM_152372,ENST00000374434,67,29,1437,0.0003,0.47925,0.57896
NM_001166059,ENST00000436439,12,5,254,0.00164,0.54987,0.58347
NM_173065,ENST00000327575,13,4,244,0.00126,0.49622,0.49078
NM_018202,ENST00000374343,45,26,664,0.00087,0.57855,0.55763
NM_032588,ENST00000374272,28,12,353,0.00121,0.54745,0.57649
NM_015871,ENST00000374266,8,1,134,0.00093,0.38806,0.73134
NM_022778,ENST00000252992,81,28,762,0.00045,0.62229,0.62237
NM_032513,ENST00000374278,20,7,323,0.00108,0.49768,0.53118
NM_020451,ENST00000361547,8,1,126,0.00099,0.58929,0.95238
NM_015023,ENST00000361771,34,11,676,0.00048,0.55956,0.53967
NM_024522,ENST00000373736,11,4,207,0.00176,0.54238,0.61111
NM_133178,ENST00000373779,74,26,1436,0.00024,0.44566,0.44603
NM_018565,ENST00000536384,20,6,459,0.00065,0.57941,0.60675
NM_203342,ENST00000642937,34,21,655,0.00094,0.52802,0.52279
NM_024296,ENST00000373602,11,1,200,0.00045,0.55227,0.85
NM_018207,ENST00000291416,34,16,475,0.00099,0.47666,0.50763
NM_001171940,ENST00000373471,11,4,212,0.00172,0.53345,0.57194
NM_153756,ENST00000373471,11,4,212,0.00172,0.53345,0.57194
NM_030786,ENST00000409190,57,23,482,0.00084,0.63981,0.66273
NM_002794,ENST00000373237,11,7,201,0.00317,0.47671,0.41862
NM_032017,ENST00000373129,25,5,435,0.00046,0.59871,0.54161
NM_016037,ENST00000373014,25,15,253,0.00237,0.56759,0.62477
NM_004468,ENST00000373016,19,8,280,0.0015,0.57218,0.61741
NM_032526,ENST00000235628,20,8,368,0.00109,0.49035,0.69905
NM_001135654,ENST00000372856,39,19,631,0.00077,0.63156,0.60447
NM_001135653,ENST00000372858,42,19,660,0.00069,0.62789,0.58947
NM_172163,ENST00000509682,27,9,641,0.00052,0.52233,0.53493
NM_001198851,ENST00000372572,63,37,622,0.00094,0.58041,0.58582
NM_001198852,ENST00000361776,63,37,588,0.001,0.56625,0.56968
