ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000617400,6,0,192,0.0,0.66406,,v30_colon
ENST00000537325,6,0,161,0.0,0.60352,,v30_colon
ENST00000377845,15,1,350,0.00019,0.63391,0.97714,v30_colon
ENST00000377855,18,1,380,0.00015,0.56023,0.97895,v30_colon
ENST00000376637,6,0,111,0.0,0.53303,,v30_colon
ENST00000375375,31,4,520,0.00025,0.53362,0.71971,v30_colon
ENST00000400661,31,4,518,0.00025,0.53294,0.7196,v30_colon
ENST00000635198,56,4,894,8e-05,0.41914,0.42701,v30_colon
ENST00000437606,56,4,894,8e-05,0.41914,0.42701,v30_colon
ENST00000419687,23,1,227,0.00019,0.50469,0.86344,v30_colon
ENST00000373857,14,0,342,0.0,0.55806,,v30_colon
ENST00000345512,74,3,1446,3e-05,0.44539,0.35731,v30_colon
ENST00000536384,20,2,459,0.00022,0.57941,0.72113,v30_colon
ENST00000373484,54,6,476,0.00023,0.62842,0.67087,v30_colon
ENST00000373091,38,4,919,0.00011,0.47775,0.2802,v30_colon
ENST00000373048,50,2,1008,4e-05,0.56264,0.6126,v30_colon
ENST00000347132,28,2,695,0.0001,0.52045,0.51295,v30_colon
ENST00000355498,49,6,521,0.00024,0.49156,0.66475,v30_colon
ENST00000307089,11,0,151,0.0,0.58519,,v30_colon
ENST00000334793,8,0,495,0.0,0.6399,,v30_colon
ENST00000357083,21,1,402,0.00012,0.48105,0.29851,v30_colon
ENST00000306052,35,2,963,6e-05,0.49304,0.65732,v30_colon
ENST00000414150,67,4,1334,4e-05,0.57897,0.64712,v30_colon
ENST00000371116,24,3,478,0.00026,0.56224,0.59833,v30_colon
ENST00000498273,29,7,865,0.00028,0.43209,0.41305,v30_colon
ENST00000371060,33,5,896,0.00017,0.50971,0.45647,v30_colon
ENST00000357692,23,3,529,0.00025,0.4984,0.46503,v30_colon
ENST00000370931,14,0,390,0.0,0.67857,,v30_colon
ENST00000370563,36,9,919,0.00027,0.47564,0.47963,v30_colon
ENST00000370689,14,2,351,0.00041,0.46703,0.23219,v30_colon
ENST00000370103,29,2,458,0.00015,0.38692,0.21179,v30_colon
ENST00000512756,87,18,1690,0.00012,0.49557,0.44974,v30_colon
ENST00000370068,20,3,539,0.00028,0.46865,0.52628,v30_colon
ENST00000369909,19,1,333,0.00016,0.5358,0.66967,v30_colon
