NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_148901,ENST00000328596,15,9,255,0.00235,0.54484,0.49499
NM_001146685,ENST00000378821,3,2,163,0.00409,0.39059,0.57668
NM_194457,ENST00000400929,11,10,207,0.00439,0.65876,0.64348
NM_001256463,ENST00000419704,26,17,499,0.00131,0.54424,0.5893
NM_000815,ENST00000378585,16,9,452,0.00124,0.48106,0.40978
NM_014638,ENST00000378486,78,49,1416,0.00044,0.48739,0.47076
NM_014638,ENST00000620687,78,49,1416,0.00044,0.48739,0.47076
NM_001033581,ENST00000400921,17,15,409,0.00216,0.53301,0.48672
NM_001242874,ENST00000461106,20,18,488,0.00184,0.52982,0.48873
NM_015557,ENST00000262450,85,64,1954,0.00039,0.60167,0.63467
NM_018836,ENST00000378191,23,15,411,0.00159,0.46144,0.45839
NM_001195740,ENST00000617400,6,5,192,0.00434,0.66406,0.7125
NM_001195740,ENST00000537325,6,5,161,0.00518,0.60352,0.66087
NM_001199861,ENST00000378097,19,11,367,0.00158,0.52359,0.54843
NM_001199860,ENST00000164247,19,11,367,0.00158,0.52359,0.54843
NM_001199862,ENST00000378083,20,12,415,0.00145,0.5353,0.53233
NM_001199863,ENST00000458166,15,9,300,0.002,0.55511,0.57074
NM_181866,ENST00000377842,15,10,329,0.00203,0.60993,0.60122
NM_181864,ENST00000377855,18,10,380,0.00146,0.56023,0.65079
NM_015215,ENST00000303635,105,78,1673,0.00044,0.59187,0.62283
NM_001204188,ENST00000604479,37,26,540,0.0013,0.56862,0.61254
NM_001204191,ENST00000378288,39,29,587,0.00127,0.53318,0.5546
NM_015074,ENST00000263934,87,67,1770,0.00044,0.50166,0.49323
NM_020780,ENST00000294484,70,44,1392,0.00045,0.45457,0.46534
NM_198545,ENST00000294485,17,9,349,0.00152,0.4716,0.54537
NM_001127325,ENST00000376667,12,8,211,0.00316,0.39613,0.29384
NM_001302,ENST00000377049,6,3,105,0.00476,0.57619,0.53968
NM_012168,ENST00000354287,15,13,296,0.00293,0.42477,0.48207
NM_183413,ENST00000376762,14,8,224,0.00255,0.58578,0.69922
NM_001286,ENST00000346436,38,27,869,0.00082,0.54012,0.47368
NM_012231,ENST00000235372,84,58,1718,0.0004,0.52804,0.54972
NM_178840,ENST00000329454,7,4,169,0.00338,0.52409,0.42308
NM_182623,ENST00000375662,18,10,280,0.00198,0.50496,0.58393
NM_201628,ENST00000376030,54,42,775,0.001,0.42167,0.46402
NM_001018001,ENST00000400798,26,20,327,0.00235,0.43707,0.44755
NM_007365,ENST00000707396,24,18,665,0.00113,0.49066,0.53993
NM_007365,ENST00000375486,24,18,665,0.00113,0.49066,0.53993
NM_032880,ENST00000251296,15,11,467,0.00157,0.44511,0.42398
