ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378891,24,7,670,0.00044,0.58812,0.69254,v26_muscle
ENST00000378756,43,13,586,0.00052,0.45273,0.45629,v26_muscle
ENST00000505820,52,12,955,0.00024,0.50284,0.62434,v26_muscle
ENST00000520777,51,11,951,0.00023,0.50605,0.65233,v26_muscle
ENST00000355826,52,12,955,0.00024,0.50284,0.62434,v26_muscle
ENST00000378712,47,14,753,0.0004,0.50708,0.72576,v26_muscle
ENST00000378466,26,11,773,0.00055,0.48751,0.3841,v26_muscle
ENST00000615291,26,11,773,0.00055,0.48751,0.3841,v26_muscle
ENST00000378251,25,3,583,0.00021,0.48734,0.6215,v26_muscle
ENST00000377658,25,7,597,0.00047,0.43745,0.51304,v26_muscle
ENST00000340305,25,7,392,0.00071,0.48918,0.40415,v26_muscle
ENST00000377004,47,16,823,0.00041,0.51614,0.41191,v26_muscle
ENST00000343090,80,41,1302,0.00039,0.49915,0.48955,v26_muscle
ENST00000377093,69,34,1153,0.00043,0.61704,0.5864,v26_muscle
ENST00000361445,167,66,2549,0.00016,0.49263,0.49391,v26_muscle
ENST00000674817,51,25,757,0.00065,0.57513,0.58684,v26_muscle
ENST00000376085,8,3,294,0.00128,0.5557,0.63038,v26_muscle
ENST00000375799,52,16,1019,0.0003,0.56211,0.48442,v26_muscle
ENST00000294454,26,6,304,0.00076,0.47723,0.53948,v26_muscle
ENST00000480945,33,11,399,0.00084,0.49373,0.58008,v26_muscle
ENST00000345034,40,26,617,0.00105,0.45389,0.44134,v26_muscle
ENST00000707396,24,8,665,0.0005,0.49066,0.47594,v26_muscle
ENST00000375486,24,8,665,0.0005,0.49066,0.47594,v26_muscle
ENST00000420770,30,9,505,0.00059,0.53122,0.42684,v26_muscle
ENST00000375254,286,132,5183,9e-05,0.48541,0.43939,v26_muscle
ENST00000404138,72,35,1239,0.00039,0.53994,0.54627,v26_muscle
ENST00000450454,11,3,348,0.00078,0.52247,0.55077,v26_muscle
ENST00000635035,11,3,348,0.00078,0.52247,0.55077,v26_muscle
ENST00000634561,57,26,903,0.00051,0.41837,0.39352,v26_muscle
ENST00000336689,57,26,903,0.00051,0.41837,0.39352,v26_muscle
ENST00000374434,67,29,1437,0.0003,0.47925,0.57896,v26_muscle
ENST00000327575,13,4,244,0.00126,0.49622,0.49078,v26_muscle
ENST00000374343,45,26,664,0.00087,0.57855,0.55763,v26_muscle
ENST00000374272,28,12,353,0.00121,0.54745,0.57649,v26_muscle
ENST00000374266,8,1,134,0.00093,0.38806,0.73134,v26_muscle
ENST00000252992,81,28,762,0.00045,0.62229,0.62237,v26_muscle
ENST00000374278,20,7,323,0.00108,0.49768,0.53118,v26_muscle
ENST00000361547,8,1,126,0.00099,0.58929,0.95238,v26_muscle
ENST00000361771,34,11,676,0.00048,0.55956,0.53967,v26_muscle
ENST00000373779,74,26,1436,0.00024,0.44566,0.44603,v26_muscle
ENST00000536384,20,6,459,0.00065,0.57941,0.60675,v26_muscle
ENST00000642937,34,21,655,0.00094,0.52802,0.52279,v26_muscle
ENST00000373602,11,1,200,0.00045,0.55227,0.85,v26_muscle
ENST00000291416,34,16,475,0.00099,0.47666,0.50763,v26_muscle
ENST00000409190,57,23,482,0.00084,0.63981,0.66273,v26_muscle
ENST00000373129,25,5,435,0.00046,0.59871,0.54161,v26_muscle
ENST00000235628,20,8,368,0.00109,0.49035,0.69905,v26_muscle
ENST00000372856,39,19,631,0.00077,0.63156,0.60447,v26_muscle
ENST00000372858,42,19,660,0.00069,0.62789,0.58947,v26_muscle
ENST00000509682,27,9,641,0.00052,0.52233,0.53493,v26_muscle
ENST00000372572,63,37,622,0.00094,0.58041,0.58582,v26_muscle
ENST00000361776,63,37,588,0.001,0.56625,0.56968,v26_muscle
ENST00000372343,75,26,963,0.00036,0.46009,0.48123,v26_muscle
ENST00000347631,12,6,375,0.00133,0.57022,0.40844,v26_muscle
ENST00000372372,11,5,413,0.0011,0.63746,0.49443,v26_muscle
ENST00000361297,96,37,1798,0.00021,0.49667,0.37931,v26_muscle
ENST00000672818,49,14,546,0.00052,0.51278,0.57404,v26_muscle
ENST00000341183,19,4,329,0.00064,0.55447,0.60106,v26_muscle
ENST00000396153,40,27,650,0.00104,0.50473,0.49031,v26_muscle
ENST00000371586,65,21,858,0.00038,0.53369,0.53613,v26_muscle
ENST00000294353,48,31,744,0.00087,0.52316,0.517,v26_muscle
ENST00000360840,21,12,423,0.00135,0.57402,0.58865,v26_muscle
ENST00000294383,153,109,2620,0.00027,0.5609,0.54115,v26_muscle
ENST00000371244,23,16,552,0.00126,0.45038,0.46196,v26_muscle
ENST00000539524,47,31,1087,0.00061,0.49837,0.49292,v26_muscle
ENST00000352171,47,31,1151,0.00057,0.51866,0.5161,v26_muscle
ENST00000407246,22,12,523,0.00104,0.57527,0.64324,v26_muscle
ENST00000371084,26,11,562,0.00075,0.47481,0.49078,v26_muscle
ENST00000371083,22,10,580,0.00078,0.56724,0.55207,v26_muscle
ENST00000674203,46,29,862,0.00073,0.51445,0.43883,v26_muscle
ENST00000370976,15,8,450,0.00119,0.61467,0.61028,v26_muscle
ENST00000411986,20,9,373,0.00121,0.40523,0.52398,v26_muscle
