ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000379116,38,11,802,0.00036,0.46975,0.47427,v24_testis
ENST00000294600,60,13,656,0.00033,0.60579,0.58138,v24_testis
ENST00000337907,94,21,1566,0.00014,0.55304,0.46226,v24_testis
ENST00000361445,167,37,2549,9e-05,0.49263,0.47876,v24_testis
ENST00000358897,125,40,1412,0.00023,0.51705,0.44949,v24_testis
ENST00000264211,98,41,1585,0.00026,0.44721,0.40922,v24_testis
ENST00000400422,99,42,1621,0.00026,0.452,0.41147,v24_testis
ENST00000682284,36,19,515,0.00102,0.32762,0.28023,v24_testis
ENST00000454000,47,13,563,0.00049,0.44885,0.45047,v24_testis
ENST00000318249,53,16,633,0.00048,0.45641,0.43651,v24_testis
ENST00000404138,72,21,1239,0.00024,0.53994,0.47584,v24_testis
ENST00000356634,51,26,852,0.0006,0.53187,0.51431,v24_testis
ENST00000400181,54,27,876,0.00057,0.52281,0.51205,v24_testis
ENST00000374298,27,13,357,0.00135,0.58253,0.6699,v24_testis
ENST00000252992,81,25,762,0.00041,0.62229,0.62178,v24_testis
ENST00000308182,92,19,1661,0.00012,0.48484,0.51085,v24_testis
ENST00000360482,75,18,1216,0.0002,0.52811,0.41831,v24_testis
ENST00000642937,34,17,655,0.00076,0.52802,0.54423,v24_testis
ENST00000291358,39,19,466,0.00105,0.42066,0.47289,v24_testis
ENST00000373475,25,11,408,0.00108,0.68353,0.60205,v24_testis
ENST00000488417,42,15,598,0.0006,0.58198,0.54214,v24_testis
ENST00000373347,54,13,979,0.00025,0.53486,0.48142,v24_testis
ENST00000373388,153,39,3487,7e-05,0.48269,0.5325,v24_testis
ENST00000257118,91,26,858,0.00033,0.39705,0.38766,v24_testis
ENST00000314607,98,56,1548,0.00037,0.49635,0.44859,v24_testis
ENST00000318121,74,35,1339,0.00035,0.567,0.52389,v24_testis
ENST00000373036,57,22,753,0.00051,0.57454,0.59749,v24_testis
ENST00000373104,49,15,783,0.00039,0.47934,0.44462,v24_testis
ENST00000361584,29,12,534,0.00077,0.45945,0.49579,v24_testis
ENST00000528956,34,16,698,0.00067,0.36394,0.23236,v24_testis
ENST00000610710,97,32,1283,0.00026,0.5646,0.43029,v24_testis
ENST00000372299,33,13,389,0.00101,0.47464,0.50702,v24_testis
ENST00000372224,46,14,725,0.00042,0.55589,0.5264,v24_testis
ENST00000447098,69,17,1146,0.00021,0.43829,0.51181,v24_testis
ENST00000372192,70,17,1203,0.0002,0.42521,0.48756,v24_testis
ENST00000354383,49,11,522,0.00043,0.49234,0.61686,v24_testis
ENST00000350030,36,22,788,0.00078,0.53677,0.53588,v24_testis
ENST00000371975,42,12,747,0.00038,0.48199,0.45928,v24_testis
ENST00000442598,42,12,747,0.00038,0.48199,0.45928,v24_testis
ENST00000420542,31,15,461,0.00105,0.55475,0.54346,v24_testis
ENST00000360380,74,40,1287,0.00042,0.55483,0.56055,v24_testis
ENST00000396153,40,24,650,0.00092,0.50473,0.51083,v24_testis
ENST00000371568,57,17,861,0.00035,0.54551,0.51377,v24_testis
ENST00000371568,57,17,861,0.00035,0.54551,0.51377,v24_testis
ENST00000371528,51,21,759,0.00054,0.52109,0.56603,v24_testis
ENST00000357206,62,34,1366,0.0004,0.51524,0.41652,v24_testis
ENST00000371429,35,18,674,0.00076,0.59521,0.6262,v24_testis
ENST00000610401,19,11,388,0.00149,0.41793,0.40909,v24_testis
ENST00000539524,47,21,1087,0.00041,0.49837,0.46292,v24_testis
ENST00000421030,65,14,1323,0.00016,0.57221,0.38095,v24_testis
ENST00000421030,65,14,1323,0.00016,0.57221,0.38095,v24_testis
ENST00000414150,67,17,1334,0.00019,0.57897,0.48095,v24_testis
ENST00000371201,33,14,546,0.00078,0.44544,0.44519,v24_testis
ENST00000371218,31,12,575,0.00067,0.4478,0.57783,v24_testis
ENST00000371088,28,13,629,0.00074,0.43334,0.48942,v24_testis
ENST00000498273,29,16,865,0.00064,0.43209,0.40246,v24_testis
ENST00000498273,29,16,865,0.00064,0.43209,0.40246,v24_testis
ENST00000371146,35,24,785,0.00087,0.40593,0.35637,v24_testis
ENST00000371146,35,24,785,0.00087,0.40593,0.35637,v24_testis
ENST00000347310,31,17,629,0.00087,0.46418,0.47872,v24_testis
ENST00000371026,40,21,848,0.00062,0.47385,0.50949,v24_testis
ENST00000371023,25,12,545,0.00088,0.43471,0.46957,v24_testis
ENST00000456315,50,31,811,0.00076,0.52589,0.57265,v24_testis
ENST00000354431,31,20,624,0.00103,0.58385,0.56859,v24_testis
ENST00000326665,61,24,1530,0.00026,0.52388,0.4369,v24_testis
ENST00000401041,24,11,565,0.00081,0.50841,0.50056,v24_testis
ENST00000357692,23,11,529,0.0009,0.4984,0.46657,v24_testis
ENST00000371014,23,11,486,0.00098,0.56191,0.58193,v24_testis
ENST00000401042,21,11,433,0.00121,0.56208,0.53076,v24_testis
ENST00000263187,49,28,936,0.00061,0.50329,0.51763,v24_testis
ENST00000370859,32,17,717,0.00074,0.53626,0.55476,v24_testis
ENST00000370855,31,15,719,0.00067,0.52084,0.49606,v24_testis
ENST00000557284,47,22,936,0.0005,0.47891,0.49849,v24_testis
ENST00000370792,48,28,828,0.0007,0.44731,0.47434,v24_testis
ENST00000260505,58,28,887,0.00054,0.48029,0.44673,v24_testis
ENST00000294664,42,18,891,0.00048,0.49086,0.56111,v24_testis
ENST00000437941,49,29,587,0.00101,0.48444,0.39817,v24_testis
ENST00000342203,50,30,614,0.00098,0.49762,0.41156,v24_testis
ENST00000342203,50,30,614,0.00098,0.49762,0.41156,v24_testis
ENST00000342203,50,30,614,0.00098,0.49762,0.41156,v24_testis
ENST00000640258,38,19,803,0.00062,0.49082,0.54067,v24_testis
ENST00000370425,68,50,1435,0.00051,0.52295,0.52138,v24_testis
ENST00000234626,34,21,574,0.00108,0.44087,0.44218,v24_testis
ENST00000428239,34,21,574,0.00108,0.44087,0.44218,v24_testis
ENST00000637221,78,46,1279,0.00046,0.5131,0.54732,v24_testis
ENST00000394530,69,45,901,0.00072,0.48632,0.50164,v24_testis
ENST00000394530,69,45,901,0.00072,0.48632,0.50164,v24_testis
ENST00000399546,69,45,947,0.00069,0.50564,0.51937,v24_testis
ENST00000399546,69,45,947,0.00069,0.50564,0.51937,v24_testis
ENST00000362005,69,45,947,0.00069,0.50564,0.51937,v24_testis
ENST00000402388,69,45,947,0.00069,0.50564,0.51937,v24_testis
ENST00000401026,130,87,1299,0.00052,0.53947,0.53441,v24_testis
ENST00000370298,28,14,593,0.00084,0.4373,0.44965,v24_testis
ENST00000287482,61,37,657,0.00092,0.45704,0.46978,v24_testis
ENST00000370138,20,11,339,0.00162,0.52065,0.59292,v24_testis
ENST00000370161,67,34,1516,0.00033,0.467,0.43862,v24_testis
ENST00000353414,89,56,1767,0.00036,0.50311,0.50325,v24_testis
ENST00000415641,48,18,638,0.00059,0.48828,0.52055,v24_testis
ENST00000711667,48,18,638,0.00059,0.48828,0.52055,v24_testis
ENST00000370001,60,30,836,0.0006,0.47392,0.42927,v24_testis
ENST00000369962,57,31,919,0.00059,0.50175,0.48931,v24_testis
ENST00000361965,49,11,593,0.00038,0.46137,0.55005,v24_testis
ENST00000369763,50,27,769,0.0007,0.47657,0.41251,v24_testis
ENST00000490067,25,13,558,0.00093,0.49491,0.52082,v24_testis
ENST00000358039,25,13,575,0.0009,0.50866,0.53498,v24_testis
ENST00000343210,23,12,555,0.00094,0.4857,0.51607,v24_testis
ENST00000369604,35,18,762,0.00067,0.41747,0.45684,v24_testis
ENST00000369702,50,27,824,0.00066,0.5817,0.56756,v24_testis
ENST00000369615,63,32,1125,0.00045,0.54962,0.53858,v24_testis
ENST00000393276,46,21,871,0.00052,0.56387,0.45361,v24_testis
ENST00000393274,49,23,928,0.00051,0.5616,0.45216,v24_testis
ENST00000369483,76,12,1214,0.00013,0.43439,0.42868,v24_testis
ENST00000336338,132,62,2223,0.00021,0.46148,0.48433,v24_testis
ENST00000682167,64,27,1021,0.00041,0.41747,0.47089,v24_testis
ENST00000369354,233,84,2346,0.00015,0.43639,0.39701,v24_testis
ENST00000334163,34,11,534,0.00061,0.54076,0.5778,v24_testis
ENST00000369259,42,13,693,0.00045,0.43953,0.60761,v24_testis
ENST00000431239,47,16,825,0.00041,0.47701,0.56705,v24_testis
ENST00000322343,21,12,387,0.00148,0.50671,0.64147,v24_testis
ENST00000361824,21,12,394,0.00145,0.51124,0.64488,v24_testis
ENST00000271640,64,22,1291,0.00027,0.45889,0.42124,v24_testis
ENST00000614923,493,81,1943,8e-05,0.45353,0.67082,v24_testis
ENST00000271854,92,35,1736,0.00022,0.50886,0.52765,v24_testis
ENST00000368559,102,38,1888,0.0002,0.51528,0.52496,v24_testis
ENST00000368424,47,13,773,0.00036,0.56874,0.53786,v24_testis
ENST00000361170,134,29,1631,0.00013,0.51151,0.48904,v24_testis
ENST00000708577,134,29,1631,0.00013,0.51151,0.48904,v24_testis
ENST00000368330,50,22,750,0.00059,0.40853,0.33497,v24_testis
ENST00000295566,51,22,796,0.00054,0.44775,0.38825,v24_testis
ENST00000368195,59,14,1297,0.00018,0.51045,0.5798,v24_testis
