ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000304952,5,1,221,0.0009,0.49955,0.24887,v32_lung
ENST00000428771,7,2,247,0.00116,0.46154,0.27531,v32_lung
ENST00000379268,15,4,241,0.00111,0.56957,0.33299,v32_lung
ENST00000378567,25,7,592,0.00047,0.51426,0.56998,v32_lung
ENST00000377507,14,9,255,0.00252,0.52913,0.53943,v32_lung
ENST00000054668,4,4,139,0.00719,0.58094,0.58094,v32_lung
ENST00000354437,30,6,499,0.0004,0.53995,0.56914,v32_lung
ENST00000376753,19,3,293,0.00054,0.68996,0.85665,v32_lung
ENST00000614859,10,3,194,0.00155,0.48247,0.47423,v32_lung
ENST00000400797,26,5,327,0.00059,0.43707,0.65688,v32_lung
ENST00000375448,30,6,663,0.0003,0.50593,0.28482,v32_lung
ENST00000628229,30,6,663,0.0003,0.50593,0.28482,v32_lung
ENST00000375534,17,6,182,0.00194,0.38849,0.37271,v32_lung
ENST00000375105,11,0,145,0.0,0.58809,,v32_lung
ENST00000289749,10,3,216,0.00139,0.55509,0.32562,v32_lung
ENST00000615215,12,2,215,0.00078,0.47248,0.46976,v32_lung
ENST00000566855,4,1,121,0.00207,0.49587,0.61157,v32_lung
ENST00000617979,17,2,348,0.00034,0.59179,0.47845,v32_lung
ENST00000374421,22,5,491,0.00046,0.44918,0.46069,v32_lung
ENST00000308873,17,0,415,0.0,0.545,,v32_lung
ENST00000328664,11,3,417,0.00065,0.4371,0.22942,v32_lung
ENST00000618490,6,1,116,0.00144,0.51437,0.77586,v32_lung
ENST00000374395,16,3,241,0.00078,0.48885,0.57815,v32_lung
ENST00000346452,9,2,266,0.00084,0.45614,0.16542,v32_lung
ENST00000349438,12,6,354,0.00141,0.50494,0.60122,v32_lung
ENST00000339276,11,0,248,0.0,0.49707,,v32_lung
ENST00000374168,30,8,735,0.00036,0.61116,0.50272,v32_lung
ENST00000629832,30,8,735,0.00036,0.61116,0.50272,v32_lung
ENST00000374027,8,2,173,0.00145,0.4711,0.59827,v32_lung
ENST00000374024,8,1,330,0.00038,0.76856,0.69394,v32_lung
ENST00000354982,11,2,288,0.00063,0.50947,0.31771,v32_lung
ENST00000270879,12,2,299,0.00056,0.5014,0.32442,v32_lung
ENST00000362020,2,0,134,0.0,0.3806,,v32_lung
ENST00000361157,2,0,130,0.0,0.37692,,v32_lung
ENST00000399173,24,7,529,0.00055,0.61256,0.66676,v32_lung
ENST00000374005,24,7,529,0.00055,0.61256,0.66676,v32_lung
ENST00000373888,13,3,373,0.00062,0.57393,0.78731,v32_lung
ENST00000234549,29,9,312,0.00099,0.51857,0.54915,v32_lung
ENST00000539896,14,2,342,0.00042,0.55806,0.58626,v32_lung
ENST00000373765,23,1,496,9e-05,0.48545,0.60282,v32_lung
ENST00000398958,21,5,421,0.00057,0.53489,0.66746,v32_lung
ENST00000373831,24,5,452,0.00046,0.50913,0.69027,v32_lung
ENST00000409358,24,6,349,0.00072,0.57032,0.64565,v32_lung
ENST00000336890,26,4,509,0.0003,0.51368,0.63704,v32_lung
ENST00000526031,16,4,335,0.00075,0.36735,0.47015,v32_lung
ENST00000339480,5,1,266,0.00075,0.32181,0.29699,v32_lung
ENST00000373362,12,0,270,0.0,0.5179,,v32_lung
ENST00000615459,16,1,236,0.00026,0.68035,0.92797,v32_lung
ENST00000372587,11,4,178,0.00204,0.57712,0.68961,v32_lung
ENST00000372565,26,10,365,0.00105,0.52487,0.64822,v32_lung
ENST00000335282,8,2,134,0.00187,0.34888,0.37314,v32_lung
ENST00000523677,3,2,113,0.0059,0.68142,0.76549,v32_lung
ENST00000414809,8,0,228,0.0,0.47149,,v32_lung
ENST00000372359,7,0,220,0.0,0.51493,,v32_lung
ENST00000621943,12,3,279,0.0009,0.57497,0.78853,v32_lung
