ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000379116,38,6,802,0.0002,0.46975,0.41937,v36_thyroid_parathyroid
ENST00000378531,25,5,497,0.0004,0.50849,0.40966,v36_thyroid_parathyroid
ENST00000378378,51,5,709,0.00014,0.50842,0.46009,v36_thyroid_parathyroid
ENST00000378156,92,14,1426,0.00011,0.48348,0.53396,v36_thyroid_parathyroid
ENST00000377093,69,12,1153,0.00015,0.61704,0.58673,v36_thyroid_parathyroid
ENST00000240185,26,5,414,0.00046,0.56763,0.5,v36_thyroid_parathyroid
ENST00000613099,250,48,4363,4e-05,0.48334,0.51783,v36_thyroid_parathyroid
ENST00000361530,53,10,713,0.00026,0.4952,0.60589,v36_thyroid_parathyroid
ENST00000374269,17,5,341,0.00086,0.47162,0.6305,v36_thyroid_parathyroid
ENST00000374168,30,5,735,0.00023,0.61116,0.60082,v36_thyroid_parathyroid
ENST00000629832,30,5,735,0.00023,0.61116,0.60082,v36_thyroid_parathyroid
ENST00000373943,31,6,276,0.0007,0.4349,0.45652,v36_thyroid_parathyroid
ENST00000373925,25,5,260,0.00077,0.62292,0.78923,v36_thyroid_parathyroid
ENST00000537469,44,12,546,0.0005,0.45459,0.62698,v36_thyroid_parathyroid
ENST00000373480,55,5,1035,9e-05,0.49284,0.40831,v36_thyroid_parathyroid
ENST00000373104,49,5,783,0.00013,0.47934,0.39489,v36_thyroid_parathyroid
ENST00000372583,120,11,2406,4e-05,0.46924,0.39779,v36_thyroid_parathyroid
ENST00000372653,60,8,301,0.00044,0.63206,0.63289,v36_thyroid_parathyroid
ENST00000672818,49,6,546,0.00022,0.51278,0.6801,v36_thyroid_parathyroid
ENST00000371528,51,10,759,0.00026,0.52109,0.60738,v36_thyroid_parathyroid
ENST00000357206,62,16,1366,0.00019,0.51524,0.27915,v36_thyroid_parathyroid
ENST00000371218,31,6,575,0.00034,0.4478,0.53333,v36_thyroid_parathyroid
ENST00000403491,36,7,509,0.00038,0.48903,0.69773,v36_thyroid_parathyroid
ENST00000710932,26,11,632,0.00067,0.52605,0.55452,v36_thyroid_parathyroid
ENST00000370768,61,19,644,0.00048,0.55776,0.55974,v36_thyroid_parathyroid
ENST00000334785,44,21,675,0.00071,0.46754,0.47055,v36_thyroid_parathyroid
ENST00000370425,68,25,1435,0.00026,0.52295,0.53564,v36_thyroid_parathyroid
ENST00000436063,39,12,756,0.00041,0.50254,0.45745,v36_thyroid_parathyroid
ENST00000260506,39,20,551,0.00093,0.44418,0.39991,v36_thyroid_parathyroid
ENST00000370138,20,5,339,0.00074,0.52065,0.65015,v36_thyroid_parathyroid
ENST00000294724,70,15,1532,0.00014,0.45267,0.3876,v36_thyroid_parathyroid
ENST00000353414,89,17,1767,0.00011,0.50311,0.48404,v36_thyroid_parathyroid
ENST00000369801,29,5,438,0.00039,0.547,0.56119,v36_thyroid_parathyroid
ENST00000343210,23,5,555,0.00039,0.4857,0.53189,v36_thyroid_parathyroid
ENST00000307546,82,15,1481,0.00012,0.52187,0.52478,v36_thyroid_parathyroid
ENST00000369483,76,5,1214,5e-05,0.43439,0.50725,v36_thyroid_parathyroid
ENST00000369530,42,11,813,0.00032,0.51447,0.43744,v36_thyroid_parathyroid
ENST00000610726,43,11,844,0.0003,0.51598,0.44474,v36_thyroid_parathyroid
ENST00000369356,237,44,2362,8e-05,0.4429,0.35527,v36_thyroid_parathyroid
ENST00000618462,228,43,2240,8e-05,0.43462,0.34427,v36_thyroid_parathyroid
ENST00000369349,125,32,969,0.00026,0.47503,0.48936,v36_thyroid_parathyroid
ENST00000313835,22,6,455,0.0006,0.5005,0.50146,v36_thyroid_parathyroid
ENST00000493834,40,6,374,0.0004,0.56223,0.47772,v36_thyroid_parathyroid
ENST00000295314,26,6,345,0.00067,0.53623,0.41014,v36_thyroid_parathyroid
ENST00000368799,724,226,4061,8e-05,0.56482,0.58578,v36_thyroid_parathyroid
ENST00000531094,99,13,1348,0.0001,0.44544,0.37936,v36_thyroid_parathyroid
ENST00000313667,70,6,985,9e-05,0.55063,0.51303,v36_thyroid_parathyroid
ENST00000361200,50,6,1158,0.0001,0.48434,0.42271,v36_thyroid_parathyroid
ENST00000612311,15,5,239,0.00139,0.61562,0.54644,v36_thyroid_parathyroid
ENST00000367862,82,22,755,0.00036,0.32037,0.336,v36_thyroid_parathyroid
ENST00000367762,26,8,221,0.00139,0.39506,0.3767,v36_thyroid_parathyroid
ENST00000538366,34,7,714,0.00029,0.54585,0.45478,v36_thyroid_parathyroid
ENST00000367840,58,13,951,0.00024,0.48863,0.44811,v36_thyroid_parathyroid
ENST00000294848,60,15,981,0.00025,0.52955,0.36337,v36_thyroid_parathyroid
ENST00000344730,48,10,1064,0.0002,0.59461,0.69586,v36_thyroid_parathyroid
ENST00000493293,78,13,1111,0.00015,0.5396,0.64571,v36_thyroid_parathyroid
ENST00000367396,19,6,426,0.00074,0.52866,0.51252,v36_thyroid_parathyroid
ENST00000362061,73,7,1873,5e-05,0.56142,0.51041,v36_thyroid_parathyroid
ENST00000335211,126,17,3708,4e-05,0.52513,0.33628,v36_thyroid_parathyroid
ENST00000367478,238,74,2363,0.00013,0.50309,0.47292,v36_thyroid_parathyroid
ENST00000361565,70,16,1041,0.00022,0.5508,0.45005,v36_thyroid_parathyroid
ENST00000439764,37,5,828,0.00016,0.39039,0.19541,v36_thyroid_parathyroid
ENST00000367080,27,5,505,0.00037,0.55438,0.33861,v36_thyroid_parathyroid
ENST00000472886,22,6,555,0.00049,0.56806,0.47628,v36_thyroid_parathyroid
ENST00000472886,22,6,555,0.00049,0.56806,0.47628,v36_thyroid_parathyroid
ENST00000367019,24,7,574,0.00051,0.57948,0.51493,v36_thyroid_parathyroid
ENST00000366997,18,5,370,0.00075,0.51592,0.6,v36_thyroid_parathyroid
ENST00000367006,22,5,436,0.00052,0.55088,0.50642,v36_thyroid_parathyroid
ENST00000391878,87,24,1005,0.00027,0.35201,0.25887,v36_thyroid_parathyroid
ENST00000284548,395,26,6620,1e-05,0.49432,0.58115,v36_thyroid_parathyroid
ENST00000422127,471,35,7968,1e-05,0.48939,0.58575,v36_thyroid_parathyroid
ENST00000642610,28,7,527,0.00047,0.59664,0.68447,v36_thyroid_parathyroid
ENST00000642610,28,7,527,0.00047,0.59664,0.68447,v36_thyroid_parathyroid
ENST00000343381,20,5,464,0.00054,0.44224,0.61121,v36_thyroid_parathyroid
ENST00000316157,48,8,738,0.00023,0.48439,0.57707,v36_thyroid_parathyroid
ENST00000509513,39,5,567,0.00023,0.54366,0.45856,v36_thyroid_parathyroid
ENST00000397053,72,20,1272,0.00022,0.54523,0.56702,v36_thyroid_parathyroid
ENST00000313519,20,5,350,0.00071,0.44986,0.47657,v36_thyroid_parathyroid
ENST00000326799,37,10,773,0.00035,0.44215,0.4436,v36_thyroid_parathyroid
ENST00000436087,47,9,828,0.00023,0.48507,0.50282,v36_thyroid_parathyroid
ENST00000452305,46,9,818,0.00024,0.48942,0.49674,v36_thyroid_parathyroid
ENST00000350537,49,6,1310,9e-05,0.34089,0.27417,v36_thyroid_parathyroid
ENST00000374773,51,6,1001,0.00012,0.45472,0.36097,v36_thyroid_parathyroid
ENST00000374446,35,5,458,0.00031,0.47311,0.26026,v36_thyroid_parathyroid
ENST00000540872,61,17,1279,0.00022,0.4775,0.39949,v36_thyroid_parathyroid
ENST00000374144,78,14,1435,0.00013,0.4863,0.41424,v36_thyroid_parathyroid
ENST00000579039,45,7,630,0.00025,0.42533,0.56304,v36_thyroid_parathyroid
ENST00000613657,73,15,1790,0.00011,0.45815,0.4476,v36_thyroid_parathyroid
ENST00000503366,93,17,1868,0.0001,0.47954,0.44244,v36_thyroid_parathyroid
ENST00000354393,62,14,1045,0.00022,0.46919,0.40889,v36_thyroid_parathyroid
ENST00000688812,60,14,857,0.00027,0.48493,0.59452,v36_thyroid_parathyroid
ENST00000358913,85,17,1320,0.00015,0.45435,0.46725,v36_thyroid_parathyroid
ENST00000399169,73,15,989,0.00021,0.53865,0.69168,v36_thyroid_parathyroid
ENST00000642044,29,5,482,0.00036,0.52897,0.5751,v36_thyroid_parathyroid
ENST00000440381,24,10,516,0.00081,0.48837,0.57597,v36_thyroid_parathyroid
ENST00000394890,24,10,534,0.00078,0.47846,0.56891,v36_thyroid_parathyroid
ENST00000334512,83,9,1067,0.0001,0.42607,0.50557,v36_thyroid_parathyroid
ENST00000327946,48,6,1009,0.00012,0.50917,0.45606,v36_thyroid_parathyroid
ENST00000260762,59,14,804,0.0003,0.51764,0.55313,v36_thyroid_parathyroid
ENST00000371380,141,19,2302,6e-05,0.5523,0.57513,v36_thyroid_parathyroid
ENST00000630152,23,5,508,0.00043,0.3955,0.31024,v36_thyroid_parathyroid
ENST00000410012,31,10,401,0.0008,0.54364,0.54938,v36_thyroid_parathyroid
ENST00000370397,43,13,745,0.00041,0.53791,0.6666,v36_thyroid_parathyroid
ENST00000370584,33,7,778,0.00027,0.47048,0.4014,v36_thyroid_parathyroid
ENST00000612478,33,7,792,0.00027,0.46805,0.39683,v36_thyroid_parathyroid
ENST00000371247,70,12,1292,0.00013,0.5719,0.67079,v36_thyroid_parathyroid
ENST00000370269,52,15,1186,0.00024,0.53663,0.59668,v36_thyroid_parathyroid
ENST00000263054,59,7,1168,0.0001,0.51918,0.65362,v36_thyroid_parathyroid
ENST00000348367,46,9,828,0.00024,0.55156,0.64157,v36_thyroid_parathyroid
ENST00000360478,110,16,1695,9e-05,0.50693,0.38167,v36_thyroid_parathyroid
ENST00000304129,39,7,818,0.00022,0.41928,0.37338,v36_thyroid_parathyroid
ENST00000369271,39,7,814,0.00022,0.42122,0.37522,v36_thyroid_parathyroid
ENST00000369395,26,6,455,0.00051,0.53204,0.55604,v36_thyroid_parathyroid
ENST00000513429,61,6,1094,9e-05,0.56905,0.42764,v36_thyroid_parathyroid
ENST00000260733,54,6,1026,0.00011,0.61508,0.3897,v36_thyroid_parathyroid
ENST00000380525,42,5,831,0.00014,0.45877,0.53068,v36_thyroid_parathyroid
ENST00000612826,42,5,831,0.00014,0.45877,0.53068,v36_thyroid_parathyroid
ENST00000299492,55,10,876,0.00021,0.46218,0.6218,v36_thyroid_parathyroid
ENST00000528883,50,10,764,0.00026,0.42681,0.56636,v36_thyroid_parathyroid
ENST00000397004,43,11,920,0.00028,0.49861,0.4001,v36_thyroid_parathyroid
ENST00000423302,49,6,912,0.00013,0.51128,0.48922,v36_thyroid_parathyroid
ENST00000526063,12,6,127,0.00394,0.48097,0.37402,v36_thyroid_parathyroid
ENST00000396394,17,5,263,0.00112,0.41847,0.63574,v36_thyroid_parathyroid
ENST00000389817,81,10,1581,8e-05,0.51223,0.51094,v36_thyroid_parathyroid
ENST00000672527,37,7,548,0.00035,0.558,0.72054,v36_thyroid_parathyroid
ENST00000265963,37,7,548,0.00035,0.558,0.72054,v36_thyroid_parathyroid
ENST00000349880,123,10,2429,3e-05,0.4294,0.51284,v36_thyroid_parathyroid
ENST00000396087,125,10,2488,3e-05,0.42496,0.51455,v36_thyroid_parathyroid
ENST00000455725,36,11,513,0.0006,0.45257,0.44462,v36_thyroid_parathyroid
ENST00000622142,70,5,1177,6e-05,0.50152,0.52064,v36_thyroid_parathyroid
ENST00000311764,49,7,720,0.0002,0.44963,0.41746,v36_thyroid_parathyroid
ENST00000418331,51,11,1337,0.00016,0.51629,0.45754,v36_thyroid_parathyroid
ENST00000406482,79,5,1479,4e-05,0.48095,0.54348,v36_thyroid_parathyroid
ENST00000426142,40,7,832,0.00021,0.54189,0.51975,v36_thyroid_parathyroid
ENST00000528621,43,8,879,0.00021,0.52864,0.48052,v36_thyroid_parathyroid
ENST00000530748,43,8,885,0.00021,0.52789,0.4798,v36_thyroid_parathyroid
ENST00000526357,46,8,908,0.00019,0.54262,0.46517,v36_thyroid_parathyroid
ENST00000415361,43,7,867,0.00019,0.5553,0.50173,v36_thyroid_parathyroid
ENST00000532844,46,8,914,0.00019,0.54205,0.46458,v36_thyroid_parathyroid
