Gene,OptionalDataColumns
ENST00000377507,0.00364
ENST00000054668,0.00719
ENST00000614859,0.00464
ENST00000375534,0.00452
ENST00000375105,0.00439
ENST00000289749,0.00417
ENST00000615215,0.0031
ENST00000566855,0.00413
ENST00000618490,0.00431
ENST00000374395,0.00259
ENST00000346452,0.00292
ENST00000374027,0.00434
ENST00000354982,0.00253
ENST00000362020,0.00746
ENST00000361157,0.00769
ENST00000234549,0.00254
ENST00000339480,0.00301
ENST00000373362,0.00278
ENST00000615459,0.00291
ENST00000372587,0.00358
ENST00000335282,0.00653
ENST00000523677,0.00295
ENST00000621943,0.00358
ENST00000262746,0.00391
ENST00000271139,0.00463
ENST00000528077,0.00943
ENST00000495776,0.05263
ENST00000282670,0.00372
ENST00000361321,0.00952
ENST00000342173,0.00327
ENST00000369949,0.00557
ENST00000369642,0.00453
ENST00000369478,0.00271
ENST00000328189,0.00402
ENST00000616917,0.00455
ENST00000436748,0.00441
ENST00000414276,0.00256
ENST00000357235,0.00633
ENST00000392653,0.01273
ENST00000368762,0.00793
ENST00000368737,0.00906
ENST00000368738,0.00731
ENST00000368733,0.01075
ENST00000368713,0.00792
ENST00000368708,0.0102
ENST00000368706,0.00583
ENST00000324978,0.00272
ENST00000368406,0.00397
ENST00000490743,0.00866
ENST00000615517,0.00454
ENST00000338684,0.00383
ENST00000368393,0.00427
ENST00000368390,0.00366
ENST00000368392,0.00354
ENST00000337604,0.00321
ENST00000567140,0.00391
ENST00000368155,0.00361
ENST00000255030,0.00255
ENST00000368097,0.00371
ENST00000368092,0.00295
ENST00000368046,0.00412
ENST00000613788,0.00397
ENST00000368039,0.0037
ENST00000368029,0.00308
ENST00000650385,0.00351
ENST00000367964,0.00351
ENST00000367929,0.00606
ENST00000443193,0.00303
ENST00000367967,0.00303
ENST00000436743,0.00303
ENST00000538489,0.0027
ENST00000392122,0.00562
ENST00000367819,0.00731
ENST00000367818,0.00731
ENST00000271411,0.01754
ENST00000367721,0.00301
ENST00000444639,0.00808
ENST00000444639,0.00808
ENST00000367554,0.00277
ENST00000367460,0.00426
ENST00000543215,0.00629
ENST00000659997,0.00471
ENST00000577571,0.00294
ENST00000367093,0.00469
ENST00000391929,0.00362
ENST00000294984,0.00364
ENST00000366987,0.00467
ENST00000366983,0.00556
ENST00000341491,0.00467
ENST00000613104,0.00726
ENST00000336937,0.00708
ENST00000424254,0.00493
ENST00000272102,0.00552
ENST00000430433,0.00328
ENST00000391867,0.00469
ENST00000366488,0.00576
ENST00000528354,0.00342
ENST00000525219,0.00371
ENST00000407572,0.01136
ENST00000377275,0.00419
ENST00000417816,0.00312
ENST00000331161,0.00273
ENST00000395794,0.00536
ENST00000348787,0.00402
ENST00000473940,0.00714
ENST00000585281,0.00306
ENST00000619162,0.00306
ENST00000581478,0.01299
ENST00000242465,0.00633
ENST00000412663,0.01299
ENST00000372325,0.00282
ENST00000398636,0.00282
ENST00000398636,0.00282
ENST00000398636,0.00282
ENST00000256039,0.00363
ENST00000371852,0.00257
ENST00000479522,0.00775
ENST00000492756,0.00568
ENST00000357339,0.00297
ENST00000652046,0.00279
ENST00000652046,0.00279
ENST00000371481,0.00277
ENST00000357540,0.00262
ENST00000476766,0.00781
ENST00000369729,0.00374
ENST00000369707,0.00465
ENST00000369713,0.00346
ENST00000397404,0.00373
ENST00000182290,0.00256
ENST00000456145,0.00337
ENST00000336906,0.0034
ENST00000650601,0.0068
ENST00000330597,0.0034
ENST00000335295,0.0068
ENST00000288937,0.00343
ENST00000396993,0.0102
ENST00000299596,0.00344
ENST00000533723,0.00787
ENST00000278222,0.00769
ENST00000527569,0.00322
ENST00000672078,0.00332
ENST00000227157,0.00332
ENST00000356660,0.00294
ENST00000395833,0.00542
ENST00000257818,0.00264
ENST00000617612,0.00638
ENST00000415002,0.00781
ENST00000642928,0.00781
ENST00000651785,0.00781
ENST00000651785,0.00781
ENST00000227155,0.00328
ENST00000442151,0.01361
ENST00000311862,0.003
ENST00000337979,0.00305
ENST00000395032,0.01099
ENST00000711440,0.01099
ENST00000300226,0.00311
ENST00000308287,0.00325
ENST00000405633,0.00312
ENST00000300184,0.00385
ENST00000278282,0.00659
ENST00000377897,0.00256
ENST00000425950,0.00292
ENST00000312134,0.00336
ENST00000611028,0.00272
ENST00000675784,0.00311
ENST00000393676,0.00311
ENST00000393703,0.00436
ENST00000393705,0.00436
ENST00000620017,0.0046
ENST00000404792,0.00436
ENST00000533892,0.00271
ENST00000534360,0.00577
ENST00000418434,0.00274
ENST00000446862,0.00806
ENST00000673097,0.00619
ENST00000375618,0.00493
ENST00000332814,0.0045
ENST00000278949,0.00365
ENST00000361763,0.00351
ENST00000278937,0.00465
ENST00000300692,0.00532
ENST00000503566,0.0034
ENST00000314475,0.00268
ENST00000284292,0.01282
ENST00000284292,0.01282
ENST00000458238,0.00775
ENST00000531399,0.00576
ENST00000537971,0.00279
ENST00000423703,0.00503
ENST00000299665,0.00413
ENST00000345999,0.00545
ENST00000352620,0.00441
ENST00000229402,0.00317
ENST00000617889,0.00371
ENST00000228434,0.00431
ENST00000228438,0.00671
ENST00000315330,0.00357
ENST00000348658,0.00408
ENST00000304361,0.00348
ENST00000432556,0.00422
ENST00000309539,0.00308
ENST00000396439,0.00321
ENST00000240618,0.00427
ENST00000240618,0.00427
ENST00000309384,0.00403
ENST00000444971,0.0082
ENST00000290855,0.00524
ENST00000336164,0.00508
ENST00000347831,0.00296
ENST00000359151,0.00297
ENST00000396484,0.00595
ENST00000240636,0.00408
ENST00000576999,0.01538
ENST00000632373,0.01538
ENST00000544994,0.01538
ENST00000614435,0.00589
ENST00000574424,0.00589
ENST00000228811,0.00589
ENST00000396400,0.00519
ENST00000572141,0.00519
ENST00000622848,0.00519
ENST00000014914,0.00259
ENST00000445693,0.00262
ENST00000266594,0.00763
ENST00000309739,0.00287
ENST00000553100,0.02344
ENST00000266970,0.0031
ENST00000411731,0.00462
ENST00000551116,0.00484
ENST00000261267,0.00676
ENST00000532498,0.00403
ENST00000347404,0.00408
ENST00000547496,0.02
ENST00000397833,0.00405
ENST00000425043,0.00472
ENST00000329406,0.00606
ENST00000392807,0.00704
ENST00000449768,0.00436
ENST00000335621,0.00262
ENST00000541210,0.00475
ENST00000454402,0.00294
ENST00000308366,0.00507
ENST00000339275,0.00349
ENST00000541022,0.00521
ENST00000366329,0.00535
ENST00000337815,0.00383
ENST00000380473,0.00346
ENST00000380490,0.00543
ENST00000380139,0.00413
ENST00000379359,0.00365
ENST00000313851,0.00508
ENST00000282026,0.00292
ENST00000312942,0.00345
ENST00000376143,0.00304
ENST00000304639,0.00556
ENST00000304625,0.00512
ENST00000555345,0.01172
ENST00000216338,0.00271
ENST00000323944,0.00364
ENST00000216341,0.0031
ENST00000216797,0.00267
ENST00000280987,0.00347
ENST00000331299,0.00312
ENST00000318317,0.00457
ENST00000337334,0.00276
ENST00000536224,0.00313
ENST00000491895,0.00255
ENST00000394330,0.00282
ENST00000621525,0.00495
ENST00000542766,0.00333
ENST00000267569,0.00313
ENST00000556222,0.00263
ENST00000626058,0.00263
ENST00000503767,0.00267
ENST00000359366,0.01266
ENST00000336219,0.00267
ENST00000539711,0.00293
ENST00000431415,0.00491
ENST00000358005,0.00457
ENST00000220507,0.00303
ENST00000339624,0.00564
ENST00000409617,0.02
ENST00000344300,0.01205
ENST00000219919,0.00297
ENST00000334287,0.00391
ENST00000346495,0.00376
ENST00000267953,0.00524
ENST00000335661,0.00558
ENST00000564367,0.00541
ENST00000252951,0.00704
ENST00000356815,0.00532
ENST00000199708,0.00587
ENST00000540585,0.00465
ENST00000301712,0.00271
ENST00000634500,0.00323
ENST00000382280,0.00323
ENST00000005995,0.00255
ENST00000326577,0.00581
ENST00000396958,0.0051
ENST00000440815,0.00284
ENST00000440815,0.00284
ENST00000528163,0.00284
ENST00000382213,0.00298
ENST00000359543,0.00499
ENST00000621727,0.00269
ENST00000438167,0.00269
ENST00000622633,0.00532
ENST00000413364,0.00564
ENST00000452655,0.00636
ENST00000395461,0.0026
ENST00000395456,0.00307
ENST00000398841,0.00273
ENST00000302312,0.00735
ENST00000219244,0.00638
ENST00000539737,0.0028
ENST00000379486,0.00385
ENST00000417693,0.00354
ENST00000566756,0.00606
ENST00000290953,0.00673
ENST00000290942,0.00568
ENST00000328020,0.00309
ENST00000335325,0.0033
ENST00000306247,0.00291
ENST00000305904,0.01042
ENST00000431540,0.00526
ENST00000541206,0.00781
ENST00000536489,0.00258
ENST00000632545,0.00258
ENST00000328739,0.0033
ENST00000416307,0.00327
ENST00000593646,0.0034
ENST00000549393,0.00376
ENST00000673003,0.00517
ENST00000538261,0.00517
ENST00000360325,0.00415
ENST00000672443,0.00415
ENST00000250124,0.00289
ENST00000396542,0.00317
ENST00000317814,0.00333
ENST00000536323,0.00314
ENST00000395592,0.00269
ENST00000299610,0.0028
ENST00000225831,0.00722
ENST00000394620,0.0101
ENST00000462804,0.00339
ENST00000605140,0.01099
ENST00000613606,0.01099
ENST00000613922,0.00543
ENST00000616221,0.00543
ENST00000613396,0.00543
ENST00000617322,0.01087
ENST00000615863,0.01087
ENST00000621600,0.01087
ENST00000634014,0.01087
ENST00000612067,0.00806
ENST00000621940,0.00806
ENST00000619989,0.00806
ENST00000394148,0.00422
ENST00000331769,0.00316
ENST00000394149,0.00319
ENST00000225474,0.00314
ENST00000587209,0.00649
ENST00000615350,0.00253
ENST00000611188,0.00296
ENST00000290470,0.00296
ENST00000253410,0.00673
ENST00000310544,0.00272
ENST00000411890,0.00357
ENST00000507680,0.00966
ENST00000507382,0.00629
ENST00000325214,0.00563
ENST00000351388,0.00502
ENST00000577953,0.0068
