ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000377939,44,4,634,0.00014,0.52352,0.68888,v25_heart
ENST00000343090,80,13,1302,0.00012,0.49915,0.41859,v25_heart
ENST00000377093,69,12,1153,0.00015,0.61704,0.58673,v25_heart
ENST00000235329,51,3,757,8e-05,0.57513,0.47072,v25_heart
ENST00000613099,250,48,4363,4e-05,0.48334,0.51783,v25_heart
ENST00000374434,67,4,1437,4e-05,0.47925,0.51531,v25_heart
ENST00000252992,81,13,762,0.00021,0.62229,0.64254,v25_heart
ENST00000343744,34,1,594,5e-05,0.49634,0.17845,v25_heart
ENST00000343433,35,5,728,0.0002,0.38442,0.40962,v25_heart
ENST00000371158,106,23,1801,0.00012,0.50918,0.53688,v25_heart
ENST00000370899,42,8,843,0.00023,0.46823,0.48043,v25_heart
ENST00000326637,40,7,835,0.00021,0.50219,0.5675,v25_heart
ENST00000334785,44,21,675,0.00071,0.46754,0.47055,v25_heart
ENST00000465892,36,7,850,0.00023,0.51307,0.50571,v25_heart
ENST00000370163,70,15,1532,0.00014,0.45267,0.3876,v25_heart
ENST00000294724,70,15,1532,0.00014,0.45267,0.3876,v25_heart
ENST00000369530,42,11,813,0.00032,0.51447,0.43744,v25_heart
ENST00000610726,43,11,844,0.0003,0.51598,0.44474,v25_heart
ENST00000369356,237,44,2362,8e-05,0.4429,0.35527,v25_heart
ENST00000618462,228,43,2240,8e-05,0.43462,0.34427,v25_heart
ENST00000369349,125,32,969,0.00026,0.47503,0.48936,v25_heart
ENST00000368914,42,1,930,3e-05,0.42314,0.32258,v25_heart
ENST00000541576,69,7,947,0.00011,0.50555,0.40127,v25_heart
ENST00000295566,51,10,796,0.00025,0.44775,0.41005,v25_heart
ENST00000511676,32,3,319,0.00029,0.55897,0.372,v25_heart
ENST00000361200,50,6,1158,0.0001,0.48434,0.42271,v25_heart
ENST00000367797,119,15,2224,6e-05,0.5262,0.41649,v25_heart
ENST00000367843,47,10,880,0.00024,0.49321,0.43534,v25_heart
ENST00000367840,58,13,951,0.00024,0.48863,0.44811,v25_heart
ENST00000367661,36,3,827,0.0001,0.4341,0.32044,v25_heart
ENST00000251507,43,8,815,0.00023,0.56978,0.51089,v25_heart
ENST00000367589,34,5,631,0.00023,0.44672,0.40792,v25_heart
ENST00000608999,56,3,982,5e-05,0.48038,0.71249,v25_heart
ENST00000367135,36,4,791,0.00014,0.55454,0.4981,v25_heart
ENST00000328205,36,16,558,0.0008,0.51006,0.51243,v25_heart
ENST00000284548,395,26,6620,1e-05,0.49432,0.58115,v25_heart
ENST00000422127,471,35,7968,1e-05,0.48939,0.58575,v25_heart
ENST00000674635,92,16,1722,0.0001,0.49431,0.5269,v25_heart
ENST00000366578,57,0,894,0.0,0.53364,,v25_heart
ENST00000366574,233,49,4967,4e-05,0.49337,0.56741,v25_heart
ENST00000439617,56,11,854,0.00023,0.56988,0.60794,v25_heart
ENST00000407071,90,4,2108,2e-05,0.4845,0.53155,v25_heart
ENST00000282343,32,4,632,0.0002,0.55192,0.42682,v25_heart
ENST00000377122,62,6,1014,0.0001,0.55049,0.48603,v25_heart
ENST00000436985,130,46,1709,0.00021,0.55731,0.61282,v25_heart
ENST00000396271,33,6,525,0.00035,0.62072,0.65111,v25_heart
ENST00000452305,46,9,818,0.00024,0.48942,0.49674,v25_heart
ENST00000374144,78,14,1435,0.00013,0.4863,0.41424,v25_heart
ENST00000579039,45,7,630,0.00025,0.42533,0.56304,v25_heart
ENST00000583565,44,7,614,0.00026,0.42016,0.55165,v25_heart
ENST00000395433,83,20,1932,0.00012,0.47529,0.51876,v25_heart
ENST00000373827,94,16,1861,9e-05,0.47279,0.44445,v25_heart
ENST00000337910,37,3,696,0.00012,0.50516,0.65374,v25_heart
ENST00000433211,46,7,895,0.00017,0.4958,0.65379,v25_heart
ENST00000354393,62,14,1045,0.00022,0.46919,0.40889,v25_heart
ENST00000613327,85,17,1320,0.00015,0.45435,0.46725,v25_heart
ENST00000358913,85,17,1320,0.00015,0.45435,0.46725,v25_heart
ENST00000298596,73,15,989,0.00021,0.53865,0.69168,v25_heart
ENST00000372919,40,9,488,0.00046,0.53735,0.37136,v25_heart
ENST00000372873,45,3,753,9e-05,0.50179,0.37672,v25_heart
ENST00000394810,63,4,977,6e-05,0.46807,0.39764,v25_heart
ENST00000623056,37,1,732,4e-05,0.43424,0.86202,v25_heart
ENST00000361373,33,1,727,4e-05,0.42849,0.86107,v25_heart
ENST00000429277,32,1,617,5e-05,0.40392,0.8363,v25_heart
ENST00000357947,35,1,1015,3e-05,0.48341,0.22167,v25_heart
ENST00000356016,35,12,433,0.00079,0.41966,0.52925,v25_heart
ENST00000371247,70,12,1292,0.00013,0.5719,0.67079,v25_heart
ENST00000299206,40,4,575,0.00017,0.4833,0.52522,v25_heart
ENST00000369519,69,9,1227,0.00011,0.39394,0.58716,v25_heart
ENST00000263054,59,7,1168,0.0001,0.51918,0.65362,v25_heart
ENST00000277900,37,10,674,0.0004,0.44194,0.52255,v25_heart
ENST00000369301,33,9,726,0.00038,0.523,0.69192,v25_heart
ENST00000360478,110,16,1695,9e-05,0.50693,0.38167,v25_heart
ENST00000392955,36,7,718,0.00027,0.51389,0.52944,v25_heart
ENST00000513429,61,6,1094,9e-05,0.56905,0.42764,v25_heart
ENST00000369005,169,20,2948,4e-05,0.47563,0.42115,v25_heart
ENST00000260733,54,6,1026,0.00011,0.61508,0.3897,v25_heart
ENST00000527619,78,22,801,0.00035,0.45427,0.39831,v25_heart
ENST00000358540,32,4,565,0.00022,0.61222,0.17124,v25_heart
ENST00000620009,42,7,867,0.00019,0.56195,0.8232,v25_heart
ENST00000324559,42,7,913,0.00018,0.46164,0.58082,v25_heart
ENST00000324559,42,7,913,0.00018,0.46164,0.58082,v25_heart
ENST00000396087,125,10,2488,3e-05,0.42496,0.51455,v25_heart
ENST00000545968,44,2,1274,4e-05,0.50184,0.37323,v25_heart
ENST00000311027,89,6,1647,4e-05,0.47329,0.54483,v25_heart
ENST00000534579,43,8,879,0.00021,0.52864,0.48052,v25_heart
ENST00000361128,34,3,719,0.00012,0.52135,0.55447,v25_heart
ENST00000354024,36,7,609,0.00032,0.49521,0.47807,v25_heart
ENST00000436757,61,6,1243,8e-05,0.49737,0.57308,v25_heart
ENST00000325455,51,9,933,0.00019,0.59481,0.74038,v25_heart
ENST00000282441,57,9,504,0.00031,0.42927,0.49713,v25_heart
ENST00000003302,75,12,1077,0.00015,0.48707,0.50217,v25_heart
ENST00000621128,41,3,726,0.0001,0.47023,0.36088,v25_heart
ENST00000621850,40,3,761,0.0001,0.44708,0.34428,v25_heart
ENST00000316851,46,4,858,0.0001,0.44046,0.47931,v25_heart
ENST00000347735,64,12,948,0.0002,0.47065,0.48866,v25_heart
ENST00000315939,189,44,2382,0.0001,0.48672,0.42649,v25_heart
ENST00000647521,95,7,2146,3e-05,0.55867,0.64951,v25_heart
ENST00000399595,95,7,2146,3e-05,0.55867,0.64951,v25_heart
ENST00000399603,96,7,2138,3e-05,0.55433,0.64981,v25_heart
ENST00000647327,96,7,2138,3e-05,0.55433,0.64981,v25_heart
ENST00000644369,96,7,2138,3e-05,0.55433,0.64981,v25_heart
ENST00000399641,96,7,2138,3e-05,0.55433,0.64981,v25_heart
ENST00000399621,96,7,2157,3e-05,0.55869,0.64912,v25_heart
ENST00000645584,96,7,2157,3e-05,0.55869,0.64912,v25_heart
ENST00000399638,95,7,2166,3e-05,0.5571,0.64879,v25_heart
ENST00000644048,95,7,2166,3e-05,0.5571,0.64879,v25_heart
ENST00000011653,35,4,458,0.00025,0.49426,0.43941,v25_heart
ENST00000359062,46,10,1141,0.00019,0.564,0.56302,v25_heart
ENST00000359062,46,10,1141,0.00019,0.564,0.56302,v25_heart
ENST00000261201,60,12,1549,0.00013,0.48431,0.54896,v25_heart
ENST00000537927,53,14,858,0.00031,0.47691,0.49193,v25_heart
ENST00000318304,64,14,1011,0.00022,0.47516,0.56881,v25_heart
ENST00000228425,61,13,1005,0.00021,0.48629,0.58385,v25_heart
ENST00000298892,93,27,1077,0.00027,0.50781,0.4712,v25_heart
ENST00000340811,54,6,837,0.00013,0.4621,0.36977,v25_heart
ENST00000070846,47,5,881,0.00012,0.3704,0.2731,v25_heart
ENST00000361961,102,12,1661,7e-05,0.48964,0.40101,v25_heart
ENST00000361418,104,13,1674,7e-05,0.48848,0.39656,v25_heart
ENST00000357869,53,4,1168,6e-05,0.48142,0.71532,v25_heart
ENST00000327443,91,21,785,0.00029,0.43326,0.38884,v25_heart
ENST00000550952,46,13,925,0.00031,0.53774,0.67177,v25_heart
ENST00000536007,38,6,1127,0.00014,0.48709,0.53904,v25_heart
ENST00000308664,34,8,997,0.00024,0.4715,0.41449,v25_heart
ENST00000405440,32,3,518,0.00018,0.61854,0.75933,v25_heart
ENST00000612955,83,11,1369,0.0001,0.59633,0.52128,v25_heart
ENST00000380808,35,3,348,0.00025,0.50402,0.56322,v25_heart
ENST00000542859,156,17,3013,4e-05,0.49846,0.39285,v25_heart
ENST00000261491,59,11,1164,0.00016,0.52116,0.51851,v25_heart
ENST00000337343,64,12,1220,0.00015,0.5347,0.53654,v25_heart
ENST00000377865,54,9,1237,0.00013,0.55963,0.45361,v25_heart
ENST00000196169,40,10,651,0.00038,0.52888,0.39324,v25_heart
ENST00000375741,39,6,803,0.00019,0.46891,0.44085,v25_heart
ENST00000405093,131,9,1939,4e-05,0.57744,0.66575,v25_heart
ENST00000280979,121,19,2319,7e-05,0.42981,0.54116,v25_heart
ENST00000396165,38,14,775,0.00048,0.43976,0.40968,v25_heart
ENST00000453196,207,43,2046,0.0001,0.55584,0.58677,v25_heart
ENST00000395311,127,47,1306,0.00028,0.53074,0.58317,v25_heart
ENST00000389722,181,7,2328,2e-05,0.49924,0.44901,v25_heart
ENST00000337827,33,1,558,5e-05,0.61241,0.15591,v25_heart
ENST00000402788,33,9,437,0.00062,0.53318,0.56725,v25_heart
ENST00000553530,35,9,472,0.00054,0.5359,0.59934,v25_heart
ENST00000560611,45,7,1150,0.00014,0.58968,0.69217,v25_heart
ENST00000458406,43,7,1091,0.00015,0.59474,0.67553,v25_heart
ENST00000263805,122,33,1883,0.00014,0.47557,0.46665,v25_heart
ENST00000442196,58,16,807,0.00034,0.49714,0.53733,v25_heart
ENST00000380565,43,4,438,0.00021,0.48349,0.50742,v25_heart
ENST00000267853,47,6,466,0.00027,0.48973,0.60193,v25_heart
ENST00000261862,60,9,1018,0.00015,0.45951,0.39696,v25_heart
ENST00000261917,60,3,1203,4e-05,0.51149,0.4281,v25_heart
ENST00000538941,90,24,1154,0.00023,0.54765,0.44884,v25_heart
ENST00000258888,113,17,1705,9e-05,0.49839,0.48542,v25_heart
ENST00000394518,168,25,2813,5e-05,0.54072,0.46188,v25_heart
ENST00000361243,168,25,2817,5e-05,0.54067,0.46174,v25_heart
ENST00000355112,62,15,1417,0.00017,0.46285,0.416,v25_heart
ENST00000558812,40,6,437,0.00034,0.64783,0.52021,v25_heart
ENST00000350773,75,9,1784,7e-05,0.5156,0.63633,v25_heart
ENST00000617235,52,2,907,4e-05,0.50513,0.44928,v25_heart
ENST00000537233,52,2,907,4e-05,0.50513,0.44928,v25_heart
ENST00000251170,35,3,696,0.00012,0.49425,0.30891,v25_heart
ENST00000646100,69,5,1139,6e-05,0.47233,0.54346,v25_heart
ENST00000613509,33,3,618,0.00015,0.45945,0.26969,v25_heart
ENST00000394809,42,4,819,0.00012,0.45102,0.54243,v25_heart
ENST00000354436,223,54,1531,0.00016,0.6309,0.63512,v25_heart
ENST00000268613,32,6,760,0.00025,0.37064,0.40636,v25_heart
ENST00000613981,39,5,777,0.00017,0.41105,0.43835,v25_heart
ENST00000620619,41,5,813,0.00015,0.4167,0.46322,v25_heart
ENST00000544583,41,5,813,0.00015,0.4167,0.46322,v25_heart
ENST00000571272,33,1,569,5e-05,0.43553,0.53954,v25_heart
ENST00000632317,33,1,569,5e-05,0.43553,0.53954,v25_heart
ENST00000320785,69,5,1103,7e-05,0.51408,0.35521,v25_heart
ENST00000343344,80,15,938,0.0002,0.45893,0.44876,v25_heart
ENST00000226218,32,5,478,0.00033,0.52282,0.60544,v25_heart
ENST00000394570,56,7,929,0.00013,0.46926,0.54452,v25_heart
ENST00000620215,37,5,549,0.00025,0.51809,0.47869,v25_heart
ENST00000617279,37,6,549,0.0003,0.50962,0.54311,v25_heart
ENST00000293414,34,1,453,6e-05,0.41904,0.21854,v25_heart
ENST00000200557,41,2,769,6e-05,0.40981,0.41027,v25_heart
ENST00000362042,54,5,772,0.00012,0.54702,0.38161,v25_heart
ENST00000513964,91,5,2239,2e-05,0.53923,0.39017,v25_heart
ENST00000261606,71,11,1589,0.0001,0.44706,0.52011,v25_heart
ENST00000356443,77,12,1685,9e-05,0.4524,0.51839,v25_heart
ENST00000580170,79,13,1465,0.00011,0.50393,0.51305,v25_heart
ENST00000409402,36,7,756,0.00026,0.51676,0.55083,v25_heart
ENST00000269141,48,7,906,0.00016,0.50324,0.3264,v25_heart
ENST00000257198,53,13,894,0.00027,0.49289,0.39305,v25_heart
ENST00000257197,51,12,840,0.00028,0.50539,0.37034,v25_heart
ENST00000251081,35,9,847,0.0003,0.51469,0.52683,v25_heart
ENST00000257209,78,5,1439,4e-05,0.49532,0.57081,v25_heart
ENST00000597599,39,9,510,0.00045,0.57355,0.63399,v25_heart
ENST00000269192,34,9,452,0.00059,0.57613,0.55383,v25_heart
ENST00000353909,40,4,556,0.00018,0.48764,0.28642,v25_heart
ENST00000361673,120,25,2170,0.0001,0.52476,0.46289,v25_heart
ENST00000254442,75,21,1490,0.00019,0.4674,0.4023,v25_heart
ENST00000356462,43,9,911,0.00023,0.50642,0.50201,v25_heart
ENST00000360242,40,10,513,0.00049,0.54357,0.34328,v25_heart
ENST00000577538,77,20,1815,0.00014,0.46217,0.487,v25_heart
ENST00000253506,37,1,825,3e-05,0.64115,0.99758,v25_heart
ENST00000251287,36,1,889,3e-05,0.50506,0.036,v25_heart
ENST00000535915,33,2,819,7e-05,0.45773,0.91942,v25_heart
ENST00000447275,38,2,606,9e-05,0.4772,0.57096,v25_heart
