ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000379289,33,8,673,0.00036,0.48404,0.50594,v17_adipose
ENST00000379265,13,3,234,0.00099,0.54076,0.18091,v17_adipose
ENST00000520777,51,11,951,0.00023,0.50605,0.65233,v17_adipose
ENST00000452018,7,1,155,0.00092,0.61106,0.67097,v17_adipose
ENST00000355096,27,8,474,0.00063,0.4632,0.38634,v17_adipose
ENST00000697200,27,8,474,0.00063,0.4632,0.38634,v17_adipose
ENST00000480945,33,11,399,0.00084,0.49373,0.58008,v17_adipose
ENST00000400797,26,8,327,0.00094,0.43707,0.61812,v17_adipose
ENST00000375448,30,12,663,0.0006,0.50593,0.38952,v17_adipose
ENST00000628229,30,12,663,0.0006,0.50593,0.38952,v17_adipose
ENST00000357071,33,14,758,0.00056,0.42044,0.52818,v17_adipose
ENST00000374632,46,20,987,0.00044,0.56997,0.56895,v17_adipose
ENST00000328664,11,5,417,0.00109,0.4371,0.37362,v17_adipose
ENST00000374024,8,2,330,0.00076,0.76856,0.80303,v17_adipose
ENST00000354982,11,2,288,0.00063,0.50947,0.71007,v17_adipose
ENST00000270879,12,2,299,0.00056,0.5014,0.72074,v17_adipose
ENST00000399173,24,9,529,0.00071,0.61256,0.65764,v17_adipose
ENST00000374005,24,9,529,0.00071,0.61256,0.65764,v17_adipose
ENST00000373921,37,12,643,0.0005,0.49477,0.62273,v17_adipose
ENST00000539896,14,4,342,0.00084,0.55806,0.55848,v17_adipose
ENST00000373797,42,28,720,0.00093,0.4502,0.38229,v17_adipose
ENST00000457433,18,7,436,0.00089,0.41106,0.52916,v17_adipose
ENST00000271064,23,9,467,0.00084,0.3981,0.49679,v17_adipose
ENST00000246314,51,33,626,0.00103,0.49568,0.49564,v17_adipose
ENST00000373106,52,18,836,0.00041,0.47898,0.4782,v17_adipose
ENST00000296387,10,3,224,0.00134,0.3875,0.20238,v17_adipose
ENST00000262915,13,6,444,0.00104,0.57502,0.4542,v17_adipose
ENST00000262741,31,19,461,0.00133,0.55475,0.54664,v17_adipose
ENST00000312233,31,13,620,0.00068,0.50255,0.51228,v17_adipose
ENST00000371330,14,7,449,0.00111,0.59418,0.59497,v17_adipose
ENST00000312553,25,8,613,0.00052,0.48653,0.58728,v17_adipose
ENST00000370792,48,29,828,0.00073,0.44731,0.41604,v17_adipose
ENST00000628037,13,5,365,0.00105,0.70158,0.80438,v17_adipose
ENST00000460330,14,5,374,0.00095,0.70588,0.78502,v17_adipose
ENST00000306666,14,5,390,0.00092,0.67857,0.75282,v17_adipose
ENST00000370924,16,7,388,0.00113,0.7181,0.81848,v17_adipose
ENST00000370566,37,28,591,0.00128,0.60342,0.66316,v17_adipose
ENST00000212355,36,14,851,0.00046,0.51319,0.55406,v17_adipose
ENST00000400794,58,38,927,0.00071,0.50339,0.49886,v17_adipose
ENST00000369805,49,13,594,0.00045,0.46169,0.59195,v17_adipose
ENST00000369464,32,9,562,0.0005,0.47904,0.49802,v17_adipose
ENST00000207157,34,15,496,0.00089,0.54762,0.48105,v17_adipose
ENST00000256646,130,60,2471,0.00019,0.50994,0.47176,v17_adipose
ENST00000431239,47,24,825,0.00062,0.47701,0.45747,v17_adipose
ENST00000346569,33,17,415,0.00124,0.40453,0.34982,v17_adipose
