ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000328596,15,4,255,0.00105,0.54484,0.35882,v1_cerebrum
ENST00000378821,3,0,163,0.0,0.39059,,v1_cerebrum
ENST00000400929,11,5,207,0.0022,0.65876,0.57295,v1_cerebrum
ENST00000419704,26,0,499,0.0,0.54424,,v1_cerebrum
ENST00000378585,16,0,452,0.0,0.48106,,v1_cerebrum
ENST00000400921,17,5,409,0.00072,0.53301,0.5956,v1_cerebrum
ENST00000461106,20,6,488,0.00061,0.52982,0.56489,v1_cerebrum
ENST00000378191,23,6,411,0.00063,0.46144,0.2425,v1_cerebrum
ENST00000617400,6,1,192,0.00087,0.66406,0.96875,v1_cerebrum
ENST00000537325,6,1,161,0.00104,0.60352,0.96273,v1_cerebrum
ENST00000378097,19,2,367,0.00029,0.52359,0.50545,v1_cerebrum
ENST00000164247,19,2,367,0.00029,0.52359,0.50545,v1_cerebrum
ENST00000378083,20,1,415,0.00012,0.5353,0.92771,v1_cerebrum
ENST00000458166,15,1,300,0.00022,0.55511,0.9,v1_cerebrum
ENST00000377842,15,3,329,0.00061,0.60993,0.92806,v1_cerebrum
ENST00000377855,18,3,380,0.00044,0.56023,0.93772,v1_cerebrum
ENST00000604479,37,6,540,0.0003,0.56862,0.53086,v1_cerebrum
ENST00000294485,17,2,349,0.00034,0.4716,0.38396,v1_cerebrum
ENST00000376667,12,2,211,0.00079,0.39613,0.15877,v1_cerebrum
ENST00000377049,6,0,105,0.0,0.57619,,v1_cerebrum
ENST00000354287,15,2,296,0.00045,0.42477,0.63514,v1_cerebrum
ENST00000376762,14,1,224,0.00032,0.58578,0.90625,v1_cerebrum
ENST00000329454,7,1,169,0.00085,0.52409,0.20118,v1_cerebrum
ENST00000375662,18,4,280,0.00079,0.50496,0.58304,v1_cerebrum
ENST00000400798,26,5,327,0.00059,0.43707,0.65688,v1_cerebrum
ENST00000251296,15,3,467,0.00043,0.44511,0.63026,v1_cerebrum
ENST00000420770,30,6,505,0.0004,0.53122,0.55545,v1_cerebrum
ENST00000400548,8,1,226,0.00055,0.46571,0.60177,v1_cerebrum
ENST00000375078,4,0,78,0.0,0.4423,,v1_cerebrum
ENST00000332947,13,0,329,0.0,0.66799,,v1_cerebrum
ENST00000375031,16,3,339,0.00055,0.42017,0.27335,v1_cerebrum
ENST00000444387,24,4,423,0.00039,0.39096,0.35461,v1_cerebrum
ENST00000322753,4,1,78,0.00321,0.8718,0.74359,v1_cerebrum
ENST00000602662,9,2,181,0.00123,0.53837,0.37016,v1_cerebrum
ENST00000374619,10,2,377,0.00053,0.45995,0.7427,v1_cerebrum
ENST00000315554,8,5,191,0.00327,0.51833,0.69529,v1_cerebrum
ENST00000246151,7,4,211,0.00271,0.59919,0.76066,v1_cerebrum
ENST00000374399,12,4,406,0.00082,0.57389,0.62254,v1_cerebrum
ENST00000436439,12,6,254,0.00197,0.54987,0.64895,v1_cerebrum
ENST00000003583,11,3,287,0.00095,0.52075,0.79675,v1_cerebrum
ENST00000374395,16,3,241,0.00078,0.48885,0.57815,v1_cerebrum
ENST00000412742,15,4,173,0.00154,0.60694,0.7052,v1_cerebrum
ENST00000346452,9,2,266,0.00084,0.45614,0.16542,v1_cerebrum
ENST00000340849,8,3,267,0.0014,0.4368,0.43196,v1_cerebrum
ENST00000294413,12,3,417,0.0006,0.44704,0.22942,v1_cerebrum
ENST00000426559,12,4,174,0.00192,0.52299,0.5546,v1_cerebrum
ENST00000455785,9,3,149,0.00224,0.48397,0.55257,v1_cerebrum
ENST00000374300,8,2,292,0.00086,0.497,0.86986,v1_cerebrum
ENST00000374024,8,1,330,0.00038,0.76856,0.69394,v1_cerebrum
ENST00000234549,29,9,312,0.00099,0.51857,0.54915,v1_cerebrum
ENST00000010299,31,10,341,0.00095,0.51367,0.54897,v1_cerebrum
ENST00000373791,23,2,297,0.00029,0.58469,0.19528,v1_cerebrum
ENST00000373736,11,2,207,0.00088,0.54238,0.6884,v1_cerebrum
ENST00000609129,21,7,495,0.00067,0.53285,0.60924,v1_cerebrum
ENST00000373467,9,0,193,0.0,0.46632,,v1_cerebrum
ENST00000373471,11,2,212,0.00086,0.53345,0.60849,v1_cerebrum
ENST00000373235,18,5,442,0.00063,0.47499,0.55747,v1_cerebrum
ENST00000270815,23,3,229,0.00057,0.63281,0.53275,v1_cerebrum
ENST00000373237,11,3,201,0.00136,0.47671,0.51741,v1_cerebrum
ENST00000373012,21,0,451,0.0,0.46078,,v1_cerebrum
ENST00000319637,12,1,295,0.00028,0.46102,0.65085,v1_cerebrum
ENST00000372990,6,4,303,0.0022,0.40044,0.43564,v1_cerebrum
ENST00000397631,6,1,250,0.00067,0.65267,0.86,v1_cerebrum
ENST00000329006,6,2,235,0.00142,0.65035,0.25745,v1_cerebrum
ENST00000446189,14,8,147,0.00389,0.57532,0.63946,v1_cerebrum
