Gene,OptionalDataColumns
ENST00000379288,0.5
ENST00000378531,0.40966
ENST00000378190,0.22871
ENST00000378191,0.22871
ENST00000378295,0.48769
ENST00000378295,0.48769
ENST00000378288,0.44492
ENST00000378285,0.48978
ENST00000378288,0.44492
ENST00000378290,0.4233
ENST00000400913,0.51425
ENST00000376667,0.02844
ENST00000263932,0.15294
ENST00000614859,0.47423
ENST00000358897,0.42338
ENST00000430580,0.424
ENST00000375541,0.43689
ENST00000375534,0.46978
ENST00000618761,0.37016
ENST00000615215,0.46976
ENST00000342104,0.40841
ENST00000404138,0.4226
ENST00000374632,0.38399
ENST00000374630,0.38438
ENST00000635198,0.42701
ENST00000437606,0.42701
ENST00000634561,0.3763
ENST00000336689,0.3763
ENST00000314011,0.14965
ENST00000635400,0.14965
ENST00000356046,0.3693
ENST00000374011,0.48295
ENST00000645231,0.49167
ENST00000253063,0.49167
ENST00000373672,0.41633
ENST00000373480,0.40831
ENST00000314607,0.42768
ENST00000207457,0.43488
ENST00000296380,0.3874
ENST00000347132,0.51295
ENST00000528956,0.26848
ENST00000610710,0.48019
ENST00000421127,0.42006
ENST00000528266,0.39353
ENST00000371568,0.44819
ENST00000371494,0.17946
ENST00000534324,0.20635
ENST00000312553,0.02447
ENST00000371714,0.44288
ENST00000371201,0.43132
ENST00000646789,0.04367
ENST00000477717,0.13393
ENST00000534056,0.42157
ENST00000370867,0.46718
ENST00000370756,0.50084
ENST00000294664,0.49668
ENST00000370689,0.23219
ENST00000610020,0.34681
ENST00000545708,0.48744
ENST00000287474,0.2597
ENST00000370109,0.39415
ENST00000353414,0.48404
ENST00000370083,0.04208
ENST00000330330,0.04208
ENST00000370083,0.04208
ENST00000622339,0.04208
ENST00000342115,0.23998
ENST00000437429,0.42278
ENST00000393614,0.48499
ENST00000359172,0.48499
ENST00000369686,0.08602
ENST00000369512,0.38796
ENST00000336338,0.46436
ENST00000369109,0.30943
ENST00000368755,0.31944
ENST00000368750,0.31944
ENST00000468739,0.31944
ENST00000324978,0.4186
ENST00000368471,0.45972
ENST00000368347,0.39634
ENST00000368339,0.45991
ENST00000368222,0.32609
ENST00000368160,0.4984
ENST00000412844,0.37672
ENST00000481278,0.34091
ENST00000367763,0.42902
ENST00000344529,0.07071
ENST00000333279,0.43083
ENST00000361833,0.48867
ENST00000367661,0.32044
ENST00000367588,0.49757
ENST00000540564,0.42276
ENST00000339948,0.4284
ENST00000367589,0.40792
ENST00000367579,0.43074
ENST00000367510,0.44048
ENST00000709532,0.31101
ENST00000294725,0.31101
ENST00000391985,0.34015
ENST00000367470,0.50773
ENST00000691036,0.42685
ENST00000491855,0.48837
ENST00000272190,0.50164
ENST00000367177,0.34993
ENST00000573034,0.49113
ENST00000361322,0.19432
ENST00000367028,0.24315
ENST00000367028,0.24315
ENST00000469606,0.32758
ENST00000350027,0.45111
ENST00000366878,0.27551
ENST00000693095,0.1746
ENST00000647549,0.1746
ENST00000617596,0.49404
ENST00000258243,0.36953
ENST00000509513,0.45856
ENST00000379562,0.43936
ENST00000484800,0.49732
ENST00000407572,0.51136
ENST00000313519,0.47657
ENST00000282343,0.42682
ENST00000376624,0.41282
ENST00000320152,0.14222
ENST00000305242,0.26111
ENST00000684501,0.41117
ENST00000346832,0.1502
ENST00000436087,0.50282
ENST00000361085,0.47237
ENST00000537517,0.40113
ENST00000374201,0.48801
ENST00000419399,0.01364
ENST00000417247,0.50384
ENST00000373886,0.45138
ENST00000613657,0.4476
ENST00000373644,0.08193
ENST00000441259,0.17717
ENST00000335350,0.29259
ENST00000616684,0.43099
ENST00000224721,0.48128
ENST00000619887,0.48409
ENST00000334512,0.50557
ENST00000355843,0.37067
ENST00000298068,0.45103
ENST00000369729,0.49138
ENST00000369312,0.37541
ENST00000369310,0.34378
ENST00000369271,0.37522
ENST00000538897,0.3973
ENST00000522781,0.33194
ENST00000329962,0.48748
ENST00000429789,0.28729
ENST00000397408,0.15546
ENST00000527619,0.39831
ENST00000406071,0.49418
ENST00000650167,0.37359
ENST00000332351,0.37981
ENST00000452863,0.37612
ENST00000448076,0.37829
ENST00000335185,0.41887
ENST00000395983,0.11336
ENST00000531794,0.48137
ENST00000340573,0.46552
ENST00000529618,0.51369
ENST00000338608,0.47588
ENST00000005286,0.34106
ENST00000532787,0.5148
ENST00000361391,0.41201
ENST00000361332,0.40301
ENST00000301459,0.42906
ENST00000322147,0.24164
ENST00000398492,0.14423
ENST00000354190,0.12346
ENST00000313578,0.25461
ENST00000316398,0.49866
ENST00000298050,0.43353
ENST00000334289,0.29382
ENST00000398035,0.06494
ENST00000375618,0.50887
ENST00000332814,0.48469
ENST00000651296,0.48066
ENST00000534980,0.33425
ENST00000359862,0.15373
ENST00000442938,0.16176
ENST00000503566,0.34524
ENST00000527524,0.39644
ENST00000543440,0.32706
ENST00000392693,0.38262
ENST00000263577,0.38958
ENST00000392678,0.45248
ENST00000525704,0.4225
ENST00000310343,0.48051
ENST00000529694,0.06444
ENST00000575724,0.40254
ENST00000538872,0.43268
ENST00000645965,0.2318
ENST00000356654,0.40613
ENST00000540085,0.34616
ENST00000359151,0.49213
ENST00000571879,0.12298
ENST00000531678,0.12298
ENST00000457134,0.30909
ENST00000320267,0.42607
ENST00000539780,0.30086
ENST00000548411,0.31653
ENST00000652176,0.48451
ENST00000344862,0.45669
ENST00000344862,0.45669
ENST00000229003,0.07588
ENST00000337299,0.47978
ENST00000380518,0.50392
ENST00000448928,0.36777
ENST00000228468,0.47735
ENST00000228515,0.3849
ENST00000301466,0.15244
ENST00000444623,0.48682
ENST00000338561,0.21445
ENST00000425354,0.23348
ENST00000257863,0.51338
ENST00000439541,0.50785
ENST00000243108,0.45106
ENST00000303406,0.35606
ENST00000430889,0.35606
ENST00000340913,0.36559
ENST00000449260,0.5005
ENST00000394147,0.44535
ENST00000293502,0.22684
ENST00000540550,0.45509
ENST00000409445,0.45404
ENST00000393217,0.39315
ENST00000392979,0.48323
ENST00000392989,0.50782
ENST00000548884,0.46469
ENST00000392986,0.46639
ENST00000188403,0.4758
ENST00000551379,0.47737
ENST00000312777,0.49016
ENST00000335621,0.48918
ENST00000392542,0.09561
ENST00000327554,0.31864
ENST00000257552,0.27624
ENST00000392509,0.20225
ENST00000339777,0.46341
ENST00000339777,0.46341
ENST00000631855,0.4375
ENST00000638045,0.44366
ENST00000405201,0.38902
ENST00000432561,0.44904
ENST00000403372,0.24386
ENST00000423210,0.42198
ENST00000313851,0.16907
ENST00000492622,0.36185
ENST00000355568,0.47175
ENST00000312942,0.50981
ENST00000382554,0.39527
ENST00000553879,0.4988
ENST00000643468,0.4988
ENST00000548645,0.34108
ENST00000357798,0.32038
ENST00000396158,0.43405
ENST00000541264,0.29369
ENST00000261249,0.46365
ENST00000555278,0.48025
ENST00000353772,0.46667
ENST00000460526,0.46457
ENST00000246166,0.41953
ENST00000555042,0.07566
ENST00000556489,0.46549
ENST00000330753,0.17462
ENST00000554922,0.40744
ENST00000649591,0.40186
ENST00000423312,0.123
ENST00000673192,0.45028
ENST00000650528,0.45028
ENST00000455693,0.17331
ENST00000454250,0.21846
ENST00000632335,0.17331
ENST00000557796,0.48661
ENST00000340545,0.48661
ENST00000453182,0.29258
ENST00000559596,0.37018
ENST00000389425,0.43025
ENST00000355997,0.49485
ENST00000316364,0.48928
ENST00000251076,0.48823
ENST00000281282,0.48208
ENST00000333725,0.483
ENST00000261523,0.45782
ENST00000395898,0.47294
ENST00000261889,0.37782
ENST00000352385,0.3488
ENST00000288840,0.14718
ENST00000540068,0.51158
ENST00000543950,0.51158
ENST00000672913,0.47383
ENST00000358632,0.47383
ENST00000538941,0.44884
ENST00000286732,0.14452
ENST00000339465,0.30151
ENST00000610657,0.48989
ENST00000451195,0.44311
ENST00000268148,0.51418
ENST00000399953,0.18382
ENST00000293889,0.47945
ENST00000545450,0.47749
ENST00000563941,0.47749
ENST00000382862,0.51206
ENST00000426824,0.4623
ENST00000319500,0.24166
ENST00000396878,0.20624
ENST00000307493,0.35818
ENST00000289416,0.4861
ENST00000389398,0.39305
ENST00000328086,0.48138
ENST00000395216,0.29136
ENST00000262520,0.02551
ENST00000647211,0.39672
ENST00000299237,0.13378
ENST00000268603,0.41134
ENST00000562558,0.47598
ENST00000379344,0.3686
ENST00000264010,0.35611
ENST00000563169,0.28302
ENST00000539698,0.51339
