ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000617400,6,0,192,0.0,0.66406,,v30_colon
ENST00000537325,6,0,161,0.0,0.60352,,v30_colon
ENST00000377845,15,1,350,0.00019,0.63391,0.97714,v30_colon
ENST00000377855,18,1,380,0.00015,0.56023,0.97895,v30_colon
ENST00000377627,10,2,175,0.00114,0.488,0.68572,v30_colon
ENST00000376637,6,0,111,0.0,0.53303,,v30_colon
ENST00000375375,31,4,520,0.00025,0.53362,0.71971,v30_colon
ENST00000400661,31,4,518,0.00025,0.53294,0.7196,v30_colon
ENST00000375121,11,2,227,0.0008,0.4121,0.3282,v30_colon
ENST00000289749,10,2,216,0.00093,0.55509,0.47222,v30_colon
ENST00000354361,8,2,201,0.00124,0.51182,0.55472,v30_colon
ENST00000419687,23,1,227,0.00019,0.50469,0.86344,v30_colon
ENST00000373857,14,0,342,0.0,0.55806,,v30_colon
ENST00000536384,20,2,459,0.00022,0.57941,0.72113,v30_colon
ENST00000419121,18,3,374,0.00045,0.38013,0.57665,v30_colon
ENST00000414241,15,3,424,0.00047,0.49355,0.66588,v30_colon
ENST00000373484,54,6,476,0.00023,0.62842,0.67087,v30_colon
ENST00000446189,14,2,147,0.00097,0.57532,0.68708,v30_colon
ENST00000355498,49,6,521,0.00024,0.49156,0.66475,v30_colon
ENST00000307089,11,0,151,0.0,0.58519,,v30_colon
ENST00000334793,8,0,495,0.0,0.6399,,v30_colon
ENST00000357083,21,1,402,0.00012,0.48105,0.29851,v30_colon
ENST00000371116,24,3,478,0.00026,0.56224,0.59833,v30_colon
ENST00000357692,23,3,529,0.00025,0.4984,0.46503,v30_colon
ENST00000370931,14,0,390,0.0,0.67857,,v30_colon
ENST00000370668,6,1,102,0.00163,0.5866,0.52941,v30_colon
ENST00000370689,14,2,351,0.00041,0.46703,0.23219,v30_colon
ENST00000370103,29,2,458,0.00015,0.38692,0.21179,v30_colon
ENST00000370068,20,3,539,0.00028,0.46865,0.52628,v30_colon
ENST00000369909,19,1,333,0.00016,0.5358,0.66967,v30_colon
ENST00000538610,11,3,183,0.00149,0.5847,0.52459,v30_colon
ENST00000369709,15,5,184,0.00181,0.46377,0.58587,v30_colon
ENST00000393316,11,3,163,0.00167,0.53319,0.45603,v30_colon
ENST00000369516,9,1,221,0.0005,0.70639,0.71493,v30_colon
