Gene,OptionalDataColumns
ENST00000421241,0.82828
ENST00000330388,0.53091
ENST00000343938,0.66744
ENST00000379288,0.57021
ENST00000379116,0.51656
ENST00000347370,0.64348
ENST00000349431,0.60618
ENST00000338338,0.51926
ENST00000540437,0.57135
ENST00000294600,0.61245
ENST00000262450,0.63467
ENST00000611357,0.51341
ENST00000378412,0.51341
ENST00000645284,0.62345
ENST00000377648,0.58381
ENST00000377842,0.60122
ENST00000557126,0.55446
ENST00000603362,0.62778
ENST00000378290,0.53726
ENST00000348333,0.66004
ENST00000337907,0.51305
ENST00000294485,0.54537
ENST00000477755,0.69231
ENST00000602296,0.58508
ENST00000377049,0.53968
ENST00000251546,0.69922
ENST00000376637,0.60135
ENST00000614859,0.50974
ENST00000359318,0.54513
ENST00000359621,0.60966
ENST00000375910,0.5632
ENST00000537142,0.56756
ENST00000375471,0.53152
ENST00000631074,0.53152
ENST00000166244,0.58666
ENST00000404138,0.52283
ENST00000566855,0.54958
ENST00000374619,0.51247
ENST00000634683,0.53176
ENST00000361729,0.53176
ENST00000356634,0.53618
ENST00000400181,0.52523
ENST00000236255,0.60861
ENST00000003583,0.51762
ENST00000003583,0.51762
ENST00000374298,0.58312
ENST00000252992,0.62509
ENST00000326279,0.5949
ENST00000426559,0.56165
ENST00000357865,0.5302
ENST00000349618,0.53307
ENST00000349618,0.53307
ENST00000374221,0.51667
ENST00000674202,0.59504
ENST00000335514,0.54874
ENST00000647074,0.54874
ENST00000373824,0.52456
ENST00000536859,0.59858
ENST00000642937,0.53177
ENST00000373602,0.69062
ENST00000432622,0.62205
ENST00000609129,0.52906
ENST00000373475,0.68076
ENST00000373456,0.62511
ENST00000356990,0.55041
ENST00000488417,0.58307
ENST00000373347,0.52871
ENST00000519684,0.58737
ENST00000318121,0.55772
ENST00000505871,0.6
ENST00000235532,0.57546
ENST00000354267,0.56625
ENST00000373036,0.57736
ENST00000373048,0.53206
ENST00000454994,0.51525
ENST00000372565,0.56799
ENST00000372565,0.56799
ENST00000439569,0.63796
ENST00000302946,0.63796
ENST00000372521,0.68561
ENST00000431635,0.55978
ENST00000610710,0.55532
ENST00000372299,0.51015
ENST00000372224,0.52414
ENST00000372318,0.5741
ENST00000350030,0.54596
ENST00000371992,0.51847
ENST00000420542,0.54447
ENST00000537428,0.54866
ENST00000335071,0.63009
ENST00000360380,0.56387
ENST00000404795,0.63579
ENST00000396153,0.51667
ENST00000371568,0.54915
ENST00000371568,0.54915
ENST00000371528,0.54033
ENST00000312233,0.51865
ENST00000194214,0.55382
ENST00000371429,0.60483
ENST00000347547,0.52667
ENST00000371273,0.51944
ENST00000358193,0.52446
ENST00000421030,0.57573
ENST00000421030,0.57573
ENST00000425300,0.55053
ENST00000414150,0.5785
ENST00000456315,0.51946
ENST00000354431,0.59035
ENST00000326665,0.51246
ENST00000294638,0.62219
ENST00000371014,0.55291
ENST00000401042,0.55658
ENST00000263187,0.52375
ENST00000370859,0.54134
ENST00000370855,0.52403
ENST00000370673,0.6365
ENST00000394834,0.5866
ENST00000370668,0.5866
ENST00000370425,0.52832
ENST00000637221,0.52444
ENST00000399546,0.52334
ENST00000399546,0.52334
ENST00000362005,0.52334
ENST00000402388,0.52334
ENST00000401026,0.54332
ENST00000370203,0.68137
ENST00000361544,0.57063
ENST00000370138,0.51374
ENST00000651461,0.52824
ENST00000370032,0.52824
ENST00000369907,0.61971
ENST00000538610,0.5422
ENST00000538610,0.5422
ENST00000361066,0.54407
ENST00000334179,0.52166
ENST00000369784,0.62813
ENST00000369770,0.51304
ENST00000485275,0.59084
ENST00000369716,0.65034
ENST00000369684,0.58158
ENST00000309276,0.53577
ENST00000413052,0.61658
ENST00000358039,0.52299
