ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378821,3,2,163,0.00409,0.39059,0.57668,v1_cerebrum
ENST00000400929,11,6,207,0.00264,0.65876,0.59501,v1_cerebrum
ENST00000419704,26,6,499,0.00046,0.54424,0.62458,v1_cerebrum
ENST00000400921,17,8,409,0.00115,0.53301,0.64731,v1_cerebrum
ENST00000461106,20,10,488,0.00102,0.52982,0.57787,v1_cerebrum
ENST00000262450,85,35,1954,0.00021,0.60167,0.63151,v1_cerebrum
ENST00000378097,19,5,367,0.00072,0.52359,0.60817,v1_cerebrum
ENST00000164247,19,5,367,0.00072,0.52359,0.60817,v1_cerebrum
ENST00000378083,20,5,415,0.0006,0.5353,0.62313,v1_cerebrum
ENST00000458166,15,4,300,0.00089,0.55511,0.67834,v1_cerebrum
ENST00000377842,15,3,329,0.00061,0.60993,0.5998,v1_cerebrum
ENST00000377855,18,2,380,0.00029,0.56023,0.90921,v1_cerebrum
ENST00000303635,105,49,1673,0.00028,0.59187,0.64847,v1_cerebrum
ENST00000294485,17,4,349,0.00067,0.4716,0.74498,v1_cerebrum
ENST00000376762,14,5,224,0.00159,0.58578,0.75089,v1_cerebrum
ENST00000235372,84,38,1718,0.00026,0.52804,0.56916,v1_cerebrum
ENST00000375662,18,5,280,0.00099,0.50496,0.59786,v1_cerebrum
ENST00000376030,54,17,775,0.00041,0.42167,0.54755,v1_cerebrum
ENST00000400798,26,8,327,0.00094,0.43707,0.61812,v1_cerebrum
ENST00000332947,13,2,329,0.00047,0.66799,0.65046,v1_cerebrum
ENST00000542643,30,11,681,0.00054,0.47954,0.52476,v1_cerebrum
ENST00000322753,4,1,78,0.00321,0.8718,0.74359,v1_cerebrum
ENST00000315554,8,6,191,0.00393,0.51833,0.63787,v1_cerebrum
ENST00000246151,7,4,211,0.00271,0.59919,0.54502,v1_cerebrum
ENST00000374399,12,7,406,0.00144,0.57389,0.75405,v1_cerebrum
ENST00000436439,12,5,254,0.00164,0.54987,0.58347,v1_cerebrum
ENST00000361548,19,8,602,0.0007,0.57869,0.57164,v1_cerebrum
ENST00000412742,15,9,173,0.00347,0.60694,0.73539,v1_cerebrum
ENST00000426559,12,5,174,0.00239,0.52299,0.52988,v1_cerebrum
ENST00000455785,9,4,149,0.00298,0.48397,0.54027,v1_cerebrum
ENST00000374300,8,3,292,0.00128,0.497,0.69178,v1_cerebrum
ENST00000374024,8,2,330,0.00076,0.76856,0.80303,v1_cerebrum
ENST00000234549,29,13,312,0.00144,0.51857,0.52465,v1_cerebrum
ENST00000010299,31,14,341,0.00132,0.51367,0.52702,v1_cerebrum
ENST00000373791,23,7,297,0.00102,0.58469,0.51467,v1_cerebrum
ENST00000373736,11,4,207,0.00176,0.54238,0.61111,v1_cerebrum
ENST00000609129,21,8,495,0.00077,0.53285,0.57677,v1_cerebrum
ENST00000373471,11,4,212,0.00172,0.53345,0.57194,v1_cerebrum
ENST00000270815,23,8,229,0.00152,0.63281,0.76474,v1_cerebrum
ENST00000373253,38,12,712,0.00044,0.55866,0.57842,v1_cerebrum
ENST00000373243,39,13,729,0.00046,0.55471,0.54405,v1_cerebrum
ENST00000356090,39,13,729,0.00046,0.55471,0.54405,v1_cerebrum
ENST00000319637,12,7,295,0.00198,0.46102,0.53753,v1_cerebrum
ENST00000397631,6,2,250,0.00133,0.65267,0.88,v1_cerebrum
ENST00000446189,14,10,147,0.00486,0.57532,0.58572,v1_cerebrum
ENST00000372844,14,7,191,0.00262,0.54675,0.61032,v1_cerebrum
ENST00000621281,3,2,110,0.00606,0.66667,0.55454,v1_cerebrum
ENST00000372748,41,11,689,0.00039,0.55007,0.68202,v1_cerebrum
ENST00000361584,29,14,534,0.0009,0.45945,0.54855,v1_cerebrum
ENST00000539317,29,12,349,0.00119,0.60429,0.53892,v1_cerebrum
ENST00000413844,12,8,252,0.00265,0.55622,0.54613,v1_cerebrum
ENST00000357730,22,9,652,0.00063,0.5838,0.54328,v1_cerebrum
ENST00000360584,26,10,706,0.00054,0.53231,0.51771,v1_cerebrum
ENST00000545417,5,4,170,0.00471,0.52118,0.58088,v1_cerebrum
ENST00000354383,49,14,522,0.00055,0.49234,0.55583,v1_cerebrum
ENST00000536120,17,6,244,0.00145,0.55882,0.56557,v1_cerebrum
ENST00000395325,55,29,913,0.00058,0.55163,0.51611,v1_cerebrum
ENST00000371037,29,16,828,0.00067,0.64372,0.72804,v1_cerebrum
ENST00000423207,37,15,721,0.00056,0.51228,0.54119,v1_cerebrum
ENST00000710932,26,20,632,0.00122,0.52605,0.5818,v1_cerebrum
ENST00000370688,11,7,257,0.00248,0.51574,0.53752,v1_cerebrum
ENST00000370544,7,3,165,0.0026,0.54026,0.81818,v1_cerebrum
ENST00000370383,14,10,362,0.00197,0.59432,0.67735,v1_cerebrum
ENST00000637221,78,48,1279,0.00048,0.5131,0.55442,v1_cerebrum
ENST00000370203,5,4,263,0.00304,0.68137,0.64734,v1_cerebrum
ENST00000370202,11,7,267,0.00238,0.48485,0.59764,v1_cerebrum
ENST00000315033,17,4,384,0.00061,0.60187,0.52995,v1_cerebrum
ENST00000358392,90,48,1818,0.00029,0.5094,0.52417,v1_cerebrum
ENST00000370096,90,48,1806,0.0003,0.50707,0.52207,v1_cerebrum
ENST00000527748,22,8,451,0.00081,0.64281,0.7184,v1_cerebrum
ENST00000369904,22,8,310,0.00117,0.62625,0.74718,v1_cerebrum
ENST00000369907,19,6,333,0.00095,0.5358,0.62563,v1_cerebrum
ENST00000369909,19,6,333,0.00095,0.5358,0.62563,v1_cerebrum
ENST00000538610,11,4,183,0.00199,0.5847,0.54235,v1_cerebrum
ENST00000438661,13,3,626,0.00037,0.64389,0.62034,v1_cerebrum
ENST00000369799,30,11,530,0.00069,0.43786,0.59228,v1_cerebrum
ENST00000393614,27,10,483,0.00077,0.42896,0.6089,v1_cerebrum
ENST00000359172,27,10,483,0.00077,0.42896,0.6089,v1_cerebrum
ENST00000359172,27,10,483,0.00077,0.42896,0.6089,v1_cerebrum
ENST00000369717,9,5,266,0.00209,0.4244,0.5579,v1_cerebrum
ENST00000369697,16,7,636,0.00069,0.60859,0.65117,v1_cerebrum
ENST00000490067,25,15,558,0.00108,0.49491,0.51744,v1_cerebrum
ENST00000369615,63,39,1125,0.00055,0.54962,0.53981,v1_cerebrum
ENST00000607941,11,3,425,0.00064,0.37604,0.66981,v1_cerebrum
ENST00000610222,13,3,510,0.00045,0.41433,0.72484,v1_cerebrum
ENST00000369503,20,11,547,0.00101,0.50585,0.53515,v1_cerebrum
ENST00000530472,28,13,310,0.0015,0.55611,0.61241,v1_cerebrum
ENST00000369168,22,13,374,0.00158,0.52637,0.51645,v1_cerebrum
ENST00000369111,26,18,337,0.00205,0.5121,0.54517,v1_cerebrum
ENST00000436748,8,4,227,0.0022,0.57709,0.63216,v1_cerebrum
ENST00000368921,3,1,90,0.0037,0.41852,0.62222,v1_cerebrum
ENST00000290585,51,16,415,0.00076,0.60364,0.59608,v1_cerebrum
ENST00000290583,53,16,465,0.00065,0.60272,0.59247,v1_cerebrum
ENST00000368817,13,7,247,0.00218,0.65867,0.66107,v1_cerebrum
ENST00000614923,493,98,1943,0.0001,0.45353,0.65533,v1_cerebrum
ENST00000440685,4,1,98,0.00255,0.45408,0.67347,v1_cerebrum
ENST00000368476,15,6,502,0.0008,0.5579,0.55279,v1_cerebrum
ENST00000361147,18,7,426,0.00091,0.66654,0.67975,v1_cerebrum
ENST00000368406,11,6,183,0.00298,0.53701,0.59654,v1_cerebrum
ENST00000541576,69,27,947,0.00041,0.50555,0.51899,v1_cerebrum
ENST00000368318,12,1,374,0.00022,0.71992,0.76471,v1_cerebrum
ENST00000368396,7,2,159,0.0018,0.43307,0.51258,v1_cerebrum
ENST00000356657,27,16,419,0.00141,0.52391,0.56593,v1_cerebrum
ENST00000335852,10,5,351,0.00142,0.56154,0.54815,v1_cerebrum
ENST00000255039,14,5,340,0.00105,0.59223,0.65353,v1_cerebrum
ENST00000708583,14,5,340,0.00105,0.59223,0.65353,v1_cerebrum
ENST00000329117,42,9,911,0.00024,0.54043,0.62788,v1_cerebrum
ENST00000314485,32,7,613,0.00036,0.44,0.5155,v1_cerebrum
ENST00000614243,32,7,613,0.00036,0.44,0.5155,v1_cerebrum
ENST00000392169,3,1,116,0.00287,0.77011,0.82759,v1_cerebrum
ENST00000432287,5,1,135,0.00148,0.53185,0.85185,v1_cerebrum
ENST00000367950,6,1,165,0.00101,0.4303,0.75758,v1_cerebrum
ENST00000426740,13,4,253,0.00122,0.46215,0.63044,v1_cerebrum
ENST00000443193,13,4,254,0.00121,0.46396,0.63189,v1_cerebrum
