ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000379289,33,18,673,0.00081,0.48404,0.50413,v32_lung
ENST00000401095,72,43,1079,0.00055,0.50441,0.43057,v32_lung
ENST00000378567,25,21,592,0.00142,0.51426,0.51094,v32_lung
ENST00000303635,105,78,1673,0.00044,0.59187,0.62283,v32_lung
ENST00000378295,41,29,636,0.00111,0.54268,0.58892,v32_lung
ENST00000378288,39,29,587,0.00127,0.53318,0.5546,v32_lung
ENST00000344008,43,25,1166,0.0005,0.50985,0.55105,v32_lung
ENST00000304457,68,61,860,0.00104,0.52396,0.51918,v32_lung
ENST00000358897,125,106,1412,0.0006,0.51705,0.50074,v32_lung
ENST00000375448,30,21,663,0.00106,0.50593,0.48739,v32_lung
ENST00000628229,30,21,663,0.00106,0.50593,0.48739,v32_lung
ENST00000342104,50,43,621,0.00138,0.45192,0.47373,v32_lung
ENST00000302291,53,42,1076,0.00074,0.48234,0.42014,v32_lung
ENST00000308182,92,60,1661,0.00039,0.48484,0.47848,v32_lung
ENST00000361530,53,40,713,0.00106,0.4952,0.49197,v32_lung
ENST00000374168,30,15,735,0.00068,0.61116,0.58467,v32_lung
ENST00000629832,30,15,735,0.00068,0.61116,0.58467,v32_lung
ENST00000531382,31,15,744,0.00065,0.5963,0.5853,v32_lung
ENST00000628256,31,15,744,0.00065,0.5963,0.5853,v32_lung
ENST00000373921,37,26,643,0.00109,0.49477,0.43504,v32_lung
ENST00000360482,75,50,1216,0.00055,0.52811,0.47934,v32_lung
ENST00000373087,33,18,599,0.00091,0.56038,0.48108,v32_lung
ENST00000373106,52,37,836,0.00085,0.47898,0.48151,v32_lung
ENST00000373103,56,40,863,0.00083,0.49485,0.4987,v32_lung
ENST00000361689,512,435,5430,0.00016,0.49881,0.49921,v32_lung
ENST00000372583,120,75,2406,0.00026,0.46924,0.47424,v32_lung
ENST00000236040,42,34,804,0.00101,0.47154,0.47538,v32_lung
