ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000345034,40,14,617,0.00057,0.45389,0.37451,v26_muscle
ENST00000375534,17,4,182,0.00129,0.38849,0.46978,v26_muscle
ENST00000436439,12,2,254,0.00066,0.54987,0.47638,v26_muscle
ENST00000373736,11,2,207,0.00088,0.54238,0.6884,v26_muscle
ENST00000373237,11,2,201,0.0009,0.47671,0.62686,v26_muscle
ENST00000373014,25,5,253,0.00079,0.56759,0.49091,v26_muscle
ENST00000531451,3,1,139,0.0024,0.64269,0.86331,v26_muscle
ENST00000372362,4,2,155,0.00323,0.56452,0.6,v26_muscle
ENST00000545417,5,2,170,0.00235,0.52118,0.6353,v26_muscle
ENST00000396153,40,14,650,0.00054,0.50473,0.49396,v26_muscle
ENST00000407246,22,6,523,0.00052,0.57527,0.6007,v26_muscle
ENST00000370867,14,4,259,0.0011,0.38803,0.46718,v26_muscle
ENST00000334785,44,21,675,0.00071,0.46754,0.47055,v26_muscle
ENST00000370665,28,7,361,0.00069,0.60121,0.35932,v26_muscle
ENST00000370673,6,1,116,0.00144,0.6365,0.58621,v26_muscle
ENST00000394834,6,1,102,0.00163,0.5866,0.52941,v26_muscle
ENST00000370668,6,1,102,0.00163,0.5866,0.52941,v26_muscle
ENST00000370558,18,5,365,0.00076,0.4758,0.46027,v26_muscle
ENST00000482504,19,5,386,0.00068,0.48077,0.46788,v26_muscle
ENST00000271234,41,21,605,0.00085,0.44499,0.40032,v26_muscle
ENST00000370137,19,4,335,0.00063,0.50338,0.5791,v26_muscle
ENST00000370137,19,4,335,0.00063,0.50338,0.5791,v26_muscle
ENST00000342173,14,3,284,0.00075,0.62022,0.39554,v26_muscle
ENST00000369347,17,3,173,0.00102,0.51377,0.37379,v26_muscle
ENST00000369347,17,3,173,0.00102,0.51377,0.37379,v26_muscle
ENST00000582693,15,3,304,0.00066,0.64978,0.61294,v26_muscle
ENST00000583313,8,2,174,0.00144,0.60632,0.59482,v26_muscle
ENST00000271690,10,3,117,0.00256,0.42137,0.4245,v26_muscle
ENST00000295314,26,6,345,0.00067,0.53623,0.41014,v26_muscle
ENST00000421487,16,3,364,0.00052,0.46051,0.40934,v26_muscle
ENST00000368078,9,4,396,0.00112,0.36869,0.34091,v26_muscle
ENST00000392190,17,3,291,0.00061,0.51769,0.58648,v26_muscle
ENST00000482587,8,3,131,0.00286,0.48092,0.3486,v26_muscle
ENST00000540564,9,3,492,0.00068,0.521,0.42276,v26_muscle
ENST00000434571,14,2,214,0.00067,0.64553,0.70094,v26_muscle
ENST00000331314,42,14,619,0.00054,0.55758,0.57466,v26_muscle
ENST00000361379,6,1,187,0.00089,0.46702,0.99465,v26_muscle
ENST00000367443,22,7,518,0.00061,0.36881,0.42416,v26_muscle
ENST00000367064,14,3,381,0.00056,0.50581,0.51181,v26_muscle
ENST00000366639,18,5,290,0.00096,0.47931,0.54414,v26_muscle
ENST00000459912,9,1,173,0.00064,0.28581,0.20809,v26_muscle
ENST00000433779,10,1,152,0.00066,0.42829,0.35526,v26_muscle
ENST00000373910,7,3,147,0.00292,0.44121,0.51701,v26_muscle
ENST00000359322,17,3,299,0.00059,0.50049,0.27536,v26_muscle
ENST00000394890,24,10,534,0.00078,0.47846,0.56891,v26_muscle
ENST00000360830,5,1,131,0.00153,0.40458,0.16031,v26_muscle
ENST00000464716,5,1,132,0.00152,0.40151,0.15909,v26_muscle
ENST00000645440,5,1,131,0.00153,0.40458,0.16031,v26_muscle
ENST00000353979,15,4,338,0.00079,0.44596,0.51997,v26_muscle
ENST00000369889,25,5,342,0.00058,0.40772,0.26725,v26_muscle
ENST00000381911,9,1,182,0.00061,0.4188,0.36264,v26_muscle
ENST00000673526,9,1,182,0.00061,0.4188,0.36264,v26_muscle
ENST00000381905,10,1,182,0.00055,0.37802,0.36264,v26_muscle
ENST00000672155,10,1,182,0.00055,0.37802,0.36264,v26_muscle
ENST00000437761,4,2,128,0.00391,0.36132,0.60937,v26_muscle
ENST00000651785,4,2,128,0.00391,0.36132,0.60937,v26_muscle
ENST00000255681,10,2,325,0.00062,0.404,0.02308,v26_muscle
ENST00000356000,9,2,255,0.00087,0.56906,0.37451,v26_muscle
ENST00000532504,47,17,583,0.00062,0.54261,0.45223,v26_muscle
ENST00000672685,47,17,583,0.00062,0.54261,0.45223,v26_muscle
ENST00000529974,6,1,141,0.00118,0.49882,0.41844,v26_muscle
ENST00000432584,32,10,506,0.00062,0.49821,0.52214,v26_muscle
ENST00000547026,31,8,424,0.00061,0.48463,0.37058,v26_muscle
ENST00000394349,5,2,141,0.00284,0.46383,0.4539,v26_muscle
ENST00000293502,10,2,313,0.00064,0.37636,0.22684,v26_muscle
ENST00000551116,14,3,192,0.00112,0.66853,0.74826,v26_muscle
ENST00000540209,13,7,165,0.00326,0.50862,0.45368,v26_muscle
ENST00000551641,18,5,254,0.00109,0.52143,0.3874,v26_muscle
ENST00000541210,9,1,187,0.00059,0.45336,0.41711,v26_muscle
ENST00000538010,13,3,231,0.001,0.62771,0.69986,v26_muscle
ENST00000218867,15,3,291,0.00069,0.54135,0.57388,v26_muscle
ENST00000261667,36,10,521,0.00053,0.54569,0.59942,v26_muscle
ENST00000478244,12,2,259,0.00064,0.30502,0.31274,v26_muscle
ENST00000412779,8,1,156,0.0008,0.38542,0.41026,v26_muscle
ENST00000554970,14,3,140,0.00153,0.47602,0.79286,v26_muscle
ENST00000554970,14,3,140,0.00153,0.47602,0.79286,v26_muscle
ENST00000465357,30,9,483,0.00062,0.44431,0.54014,v26_muscle
ENST00000261479,11,5,246,0.00185,0.44124,0.51382,v26_muscle
ENST00000298159,5,2,166,0.00241,0.40723,0.21084,v26_muscle
ENST00000216568,5,1,298,0.00067,0.63624,0.74497,v26_muscle
ENST00000553530,35,9,472,0.00054,0.5359,0.59934,v26_muscle
ENST00000621494,30,8,477,0.00056,0.42131,0.58674,v26_muscle
ENST00000349555,16,2,174,0.00072,0.43104,0.42528,v26_muscle
ENST00000503767,40,10,346,0.00072,0.58829,0.55318,v26_muscle
ENST00000448395,15,2,241,0.00055,0.5527,0.47096,v26_muscle
ENST00000397200,20,4,309,0.00065,0.45663,0.4288,v26_muscle
ENST00000261868,11,6,258,0.00211,0.61275,0.61434,v26_muscle
ENST00000261854,14,4,520,0.00055,0.56772,0.58125,v26_muscle
ENST00000302000,24,6,419,0.0006,0.53481,0.3922,v26_muscle
ENST00000569896,10,2,155,0.00129,0.51355,0.6871,v26_muscle
ENST00000542035,12,2,212,0.00079,0.58373,0.79717,v26_muscle
ENST00000340912,12,2,212,0.00079,0.58373,0.79717,v26_muscle
ENST00000322347,4,1,150,0.00167,0.37667,0.3,v26_muscle
ENST00000346495,7,3,228,0.00188,0.53195,0.60526,v26_muscle
ENST00000618205,15,3,208,0.00096,0.4375,0.4984,v26_muscle
ENST00000378919,8,1,196,0.00064,0.45536,0.33163,v26_muscle
ENST00000535714,5,1,142,0.00141,0.46761,0.07746,v26_muscle
ENST00000709233,19,2,172,0.00061,0.60679,0.76744,v26_muscle
ENST00000268668,19,2,172,0.00061,0.60679,0.76744,v26_muscle
ENST00000262306,10,3,161,0.00186,0.62112,0.69565,v26_muscle
ENST00000616009,12,1,125,0.00067,0.51133,0.472,v26_muscle
ENST00000318059,12,1,125,0.00067,0.51133,0.472,v26_muscle
ENST00000381920,22,6,404,0.00068,0.48492,0.48638,v26_muscle
ENST00000396385,12,3,196,0.00128,0.49405,0.4932,v26_muscle
ENST00000617552,12,3,196,0.00128,0.49405,0.4932,v26_muscle
ENST00000396981,6,1,170,0.00098,0.28726,0.07059,v26_muscle
ENST00000354194,2,1,70,0.00714,0.65,0.34286,v26_muscle
ENST00000380728,39,10,327,0.00078,0.59068,0.40336,v26_muscle
ENST00000673265,39,10,327,0.00078,0.59068,0.40336,v26_muscle
ENST00000261643,12,3,443,0.00056,0.27803,0.24078,v26_muscle
ENST00000268717,34,12,423,0.00083,0.46266,0.46493,v26_muscle
ENST00000469257,9,2,113,0.00197,0.56834,0.5354,v26_muscle
ENST00000591247,19,3,195,0.00081,0.55493,0.73333,v26_muscle
ENST00000357146,27,10,436,0.00085,0.44784,0.47408,v26_muscle
ENST00000612294,16,7,360,0.00122,0.41181,0.22381,v26_muscle
ENST00000590474,22,6,334,0.00082,0.43073,0.54391,v26_muscle
ENST00000243457,16,5,427,0.00073,0.42242,0.42295,v26_muscle
ENST00000649141,15,3,340,0.00059,0.53647,0.76373,v26_muscle
ENST00000436190,29,8,315,0.00088,0.51965,0.47579,v26_muscle
ENST00000592875,10,3,220,0.00136,0.46273,0.36364,v26_muscle
ENST00000409746,30,12,334,0.0012,0.52475,0.48678,v26_muscle
ENST00000252288,6,1,236,0.00071,0.59605,0.95763,v26_muscle
ENST00000168977,15,2,230,0.00058,0.55797,0.56522,v26_muscle
ENST00000596148,6,1,188,0.00089,0.41844,0.19681,v26_muscle
ENST00000585933,16,4,150,0.00167,0.41792,0.66167,v26_muscle
ENST00000323670,9,2,141,0.00158,0.71474,0.54256,v26_muscle
ENST00000262631,5,1,218,0.00092,0.59266,0.88532,v26_muscle
ENST00000292907,7,1,79,0.00181,0.30561,0.36709,v26_muscle
ENST00000607714,23,5,353,0.00062,0.53024,0.53598,v26_muscle
ENST00000340192,17,3,273,0.00065,0.47813,0.42247,v26_muscle
ENST00000439096,11,3,193,0.00141,0.61187,0.75475,v26_muscle
ENST00000359342,6,1,163,0.00102,0.70041,0.99387,v26_muscle
ENST00000344175,9,2,256,0.00087,0.63064,0.50976,v26_muscle
ENST00000619817,17,3,270,0.00065,0.56318,0.84444,v26_muscle
ENST00000620357,17,3,270,0.00065,0.56318,0.84444,v26_muscle
ENST00000622097,17,3,270,0.00065,0.56318,0.84444,v26_muscle
ENST00000348231,17,3,270,0.00065,0.56318,0.84444,v26_muscle
ENST00000620077,17,3,270,0.00065,0.56318,0.84444,v26_muscle
ENST00000616438,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000622453,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000326321,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000621155,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000617666,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000618616,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000615147,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000639529,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000610296,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000613610,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000615208,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000617354,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000617398,20,5,455,0.00055,0.56165,0.79648,v26_muscle
ENST00000611608,20,5,455,0.00055,0.56165,0.79648,v26_muscle
