NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_021170,ENST00000304952,5,1,221,0.0009,0.49955,0.42534
NM_001142467,ENST00000428771,7,2,247,0.00116,0.46154,0.35425
NM_001130045,ENST00000379289,33,8,673,0.00036,0.48404,0.50594
NM_004195,ENST00000379268,15,3,241,0.00083,0.56957,0.17566
NM_001242672,ENST00000611612,41,7,566,0.0003,0.47445,0.45331
NM_001242672,ENST00000401095,72,17,1079,0.00022,0.50441,0.4466
NM_002744,ENST00000378567,25,13,592,0.00088,0.51426,0.52586
NM_001561,ENST00000377507,14,10,255,0.0028,0.52913,0.50431
NM_021995,ENST00000054668,4,4,139,0.00719,0.58094,0.58094
NM_015215,ENST00000303635,105,49,1673,0.00028,0.59187,0.64847
NM_001204184,ENST00000354437,30,11,499,0.00073,0.53995,0.51922
NM_005427,ENST00000378295,41,13,636,0.0005,0.54268,0.47666
NM_001126240,ENST00000378288,39,13,587,0.00057,0.53318,0.43297
NM_001204192,ENST00000378290,38,13,565,0.00061,0.52892,0.41089
NM_017766,ENST00000344008,43,13,1166,0.00026,0.50985,0.47592
NM_018438,ENST00000376753,19,6,293,0.00108,0.68996,0.82196
NM_002685,ENST00000304457,68,36,860,0.00062,0.52396,0.51095
NM_152290,ENST00000614859,10,6,194,0.00309,0.48247,0.49141
NM_052929,ENST00000358897,125,62,1412,0.00035,0.51705,0.52137
NM_001018000,ENST00000361144,33,9,415,0.00066,0.46499,0.6324
NM_001017999,ENST00000400797,26,8,327,0.00094,0.43707,0.61812
NM_012387,ENST00000375448,30,12,663,0.0006,0.50593,0.38952
NM_012387,ENST00000628229,30,12,663,0.0006,0.50593,0.38952
NM_001135248,ENST00000375534,17,8,182,0.00259,0.38849,0.37569
NM_012400,ENST00000375105,11,1,145,0.00063,0.58809,0.86897
NM_182744,ENST00000289749,10,4,216,0.00185,0.55509,0.34722
NM_001204086,ENST00000615215,12,3,215,0.00116,0.47248,0.44961
NM_001256416,ENST00000342104,50,27,621,0.00087,0.45192,0.5187
NM_001242521,ENST00000566855,4,1,121,0.00207,0.49587,0.61157
NM_001142546,ENST00000302291,53,26,1076,0.00046,0.48234,0.44552
NM_001127621,ENST00000617979,17,4,348,0.00068,0.59179,0.53161
NM_173064,ENST00000374421,22,7,491,0.00065,0.44918,0.42537
NM_004350,ENST00000308873,17,7,415,0.00099,0.545,0.58554
NM_016124,ENST00000328664,11,5,417,0.00109,0.4371,0.37362
NM_001251984,ENST00000618490,6,2,116,0.00287,0.51437,0.46552
NM_013441,ENST00000374395,16,5,241,0.0013,0.48885,0.48216
NM_138616,ENST00000346452,9,4,266,0.00167,0.45614,0.4032
NM_138618,ENST00000349438,12,6,354,0.00141,0.50494,0.50753
NM_001039775,ENST00000308182,92,26,1661,0.00017,0.48484,0.56222
NM_006314,ENST00000361530,53,20,713,0.00053,0.4952,0.50673
NM_006142,ENST00000339276,11,1,248,0.00037,0.49707,0.60887
NM_002953,ENST00000374168,30,10,735,0.00045,0.61116,0.53619
NM_002953,ENST00000629832,30,10,735,0.00045,0.61116,0.53619
NM_001006665,ENST00000531382,31,8,744,0.00035,0.5963,0.66499
NM_001006665,ENST00000628256,31,8,744,0.00035,0.5963,0.66499
NM_207397,ENST00000374027,8,3,173,0.00217,0.4711,0.7264
NM_005281,ENST00000374024,8,2,330,0.00076,0.76856,0.80303
NM_173452,ENST00000354982,11,2,288,0.00063,0.50947,0.71007
NM_003665,ENST00000270879,12,2,299,0.00056,0.5014,0.72074
NM_022872,ENST00000362020,2,0,134,0.0,0.3806,
NM_002038,ENST00000361157,2,0,130,0.0,0.37692,
NM_001042747,ENST00000399173,24,9,529,0.00071,0.61256,0.65764
NM_005248,ENST00000374005,24,9,529,0.00071,0.61256,0.65764
NM_001009568,ENST00000373888,13,6,373,0.00124,0.57393,0.64299
NM_001143913,ENST00000234549,29,13,312,0.00144,0.51857,0.52465
NM_001105556,ENST00000373921,37,12,643,0.0005,0.49477,0.62273
NM_001164721,ENST00000539896,14,4,342,0.00084,0.55806,0.55848
NM_002379,ENST00000373765,23,7,496,0.00061,0.48545,0.49769
NM_001048199,ENST00000398958,21,7,421,0.00079,0.53489,0.679
NM_001048194,ENST00000373831,24,8,452,0.00074,0.50913,0.62721
NM_144569,ENST00000360482,75,20,1216,0.00022,0.52811,0.50868
NM_001099434,ENST00000409358,24,8,349,0.00096,0.57032,0.6053
NM_005356,ENST00000336890,26,10,509,0.00076,0.51368,0.57957
NM_001143890,ENST00000526031,16,6,335,0.00112,0.36735,0.3786
NM_153212,ENST00000339480,5,1,266,0.00075,0.32181,0.29699
NM_001005752,ENST00000373362,12,2,270,0.00062,0.5179,0.50556
NM_014466,ENST00000207457,34,12,430,0.00082,0.43523,0.3876
