Tissue,Mean,SEM,N
All,0.5075883077630534,0.0006252887693569367,23921
v12_lymphnode,0.5155052105470288,0.002014762683996001,2541
v17_adipose,0.5143891561514196,0.002659760769328008,1268
v1_cerebrum,0.5051625060474118,0.001455163800947693,4134
v22_prostate,0.506780806930693,0.0022220338414776163,2020
v23_ovary,0.5044355,0.002007593534523079,2120
v24_testis,0.5035599285075961,0.001228222645828645,5595
v25_heart,0.50681690397351,0.002686209077655482,1208
v26_muscle,0.5087463793103448,0.0023373378770883356,1740
v30_colon,0.5082329406779661,0.0028695650557162295,1180
v31_liver_hepato,0.5061964550561797,0.002343264747994699,1780
v32_lung,0.5078744050544051,0.0019094337397466633,2849
v34_kidney,0.5078454597977853,0.002181788927570892,2077
v36_thyroid_parathyroid,0.5052465673469388,0.0017821135037928216,2450
v37_adrenal_gland,0.509667049319728,0.001995879224698766,2352
v39_breast,0.5102808902275769,0.002586268600346472,1494
