ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000338591,24,1,642,6e-05,0.3332,0.3676,v24_testis
ENST00000342066,39,2,681,8e-05,0.49652,0.6094,v24_testis
ENST00000379289,33,2,673,9e-05,0.48404,0.24368,v24_testis
ENST00000379288,18,1,404,0.00014,0.47731,0.5,v24_testis
ENST00000379116,38,6,802,0.0002,0.46975,0.41937,v24_testis
ENST00000378585,16,0,452,0.0,0.48106,,v24_testis
ENST00000612705,10,0,166,0.0,0.49096,,v24_testis
ENST00000378453,10,0,166,0.0,0.49096,,v24_testis
ENST00000444870,3,0,78,0.0,0.18376,,v24_testis
ENST00000378191,23,3,411,0.00032,0.46144,0.22871,v24_testis
ENST00000377674,44,4,688,0.00013,0.48368,0.57558,v24_testis
ENST00000351136,21,0,587,0.0,0.45948,,v24_testis
ENST00000333172,39,0,841,0.0,0.44544,,v24_testis
ENST00000377424,22,4,501,0.00036,0.45618,0.39122,v24_testis
ENST00000377414,9,2,244,0.00091,0.31375,0.10246,v24_testis
ENST00000377223,14,5,190,0.00188,0.38572,0.31579,v24_testis
ENST00000340381,34,2,666,9e-05,0.42011,0.55406,v24_testis
ENST00000294484,70,4,1392,4e-05,0.45457,0.20204,v24_testis
ENST00000361445,167,17,2549,4e-05,0.49263,0.48074,v24_testis
ENST00000294485,17,1,349,0.00017,0.4716,0.61891,v24_testis
ENST00000309048,13,4,138,0.00223,0.39409,0.41304,v24_testis
ENST00000400900,14,3,164,0.00131,0.38545,0.23577,v24_testis
ENST00000263932,29,4,595,0.00023,0.43379,0.15294,v24_testis
ENST00000614859,10,3,194,0.00155,0.48247,0.47423,v24_testis
ENST00000334600,22,3,474,0.00029,0.40526,0.40999,v24_testis
ENST00000602960,20,2,475,0.00021,0.48463,0.26105,v24_testis
ENST00000616484,27,0,474,0.0,0.4632,,v24_testis
ENST00000357367,27,0,474,0.0,0.4632,,v24_testis
ENST00000632222,27,0,474,0.0,0.4632,,v24_testis
ENST00000636073,27,0,474,0.0,0.4632,,v24_testis
ENST00000375910,10,0,269,0.0,0.45056,,v24_testis
ENST00000375121,11,2,227,0.0008,0.4121,0.3282,v24_testis
ENST00000444387,24,1,423,0.0001,0.39096,0.36643,v24_testis
ENST00000264211,98,20,1585,0.00013,0.44721,0.43908,v24_testis
ENST00000400422,99,21,1621,0.00013,0.452,0.44015,v24_testis
ENST00000682284,36,8,515,0.00043,0.32762,0.25146,v24_testis
