Gene,OptionalDataColumns
ENST00000288774,0.55925
ENST00000400915,0.53148
ENST00000359318,0.54873
ENST00000376030,0.53516
ENST00000400797,0.62895
ENST00000373925,0.78923
ENST00000354267,0.83857
ENST00000446189,0.68708
ENST00000372572,0.56333
ENST00000372517,0.69895
ENST00000413844,0.65079
ENST00000313334,0.74684
ENST00000430330,0.60715
ENST00000370924,0.97294
ENST00000529992,0.88321
ENST00000370138,0.65015
ENST00000520113,0.85208
ENST00000207157,0.57964
ENST00000539893,0.83422
ENST00000328189,0.81325
ENST00000369458,0.56737
ENST00000369458,0.56737
ENST00000369458,0.56737
ENST00000368406,0.75956
ENST00000245564,0.63228
ENST00000611010,0.55108
ENST00000368170,0.53604
ENST00000326786,0.76574
ENST00000444681,0.61707
ENST00000368072,0.7514
ENST00000368012,0.91667
ENST00000368054,0.62195
ENST00000426197,0.56402
ENST00000367922,0.65297
ENST00000354775,0.73552
ENST00000294816,0.6267
ENST00000619224,0.55588
ENST00000545172,0.54064
ENST00000344730,0.69586
ENST00000361379,0.99465
ENST00000367483,0.59776
ENST00000366997,0.6
ENST00000360212,0.66761
ENST00000613104,0.92742
ENST00000272167,0.7077
ENST00000470540,0.93426
ENST00000339986,0.68544
ENST00000336119,0.61871
ENST00000380872,0.83436
ENST00000263126,0.52786
ENST00000315238,0.90604
ENST00000380753,0.86068
ENST00000380753,0.86068
ENST00000439082,0.86068
ENST00000379328,0.66667
ENST00000346208,0.66591
ENST00000379775,0.59904
ENST00000378748,0.57712
ENST00000374822,0.59588
ENST00000316629,0.7375
ENST00000242480,0.88655
ENST00000637191,0.88655
ENST00000373241,0.78283
ENST00000299366,0.53252
ENST00000398788,0.58169
ENST00000642044,0.5751
ENST00000606162,0.79476
ENST00000371481,0.63989
ENST00000371027,0.64289
ENST00000370575,0.60757
ENST00000371241,0.68876
ENST00000348367,0.64157
ENST00000348367,0.64157
ENST00000447005,0.77143
ENST00000277945,0.57551
ENST00000369023,0.76234
ENST00000284694,0.6563
ENST00000368679,0.67584
ENST00000368547,0.55517
ENST00000322008,0.6581
ENST00000443524,0.59504
ENST00000256737,0.61002
ENST00000429939,0.64062
ENST00000257832,0.59314
ENST00000622144,0.6194
ENST00000278386,0.73921
ENST00000644402,0.8306
ENST00000538490,0.8306
ENST00000606794,0.95526
ENST00000257254,0.95526
ENST00000527972,0.65283
ENST00000287275,0.62018
ENST00000278400,0.69427
ENST00000257247,0.8255
ENST00000415826,0.98148
ENST00000415826,0.98148
ENST00000473690,0.99398
ENST00000377574,0.58318
ENST00000377432,0.56808
ENST00000278550,0.64166
ENST00000281030,0.97945
ENST00000393150,0.61916
ENST00000304987,0.61771
ENST00000426998,0.62023
ENST00000311129,0.65667
ENST00000341980,0.70015
ENST00000527614,0.69052
ENST00000419197,0.95454
ENST00000524993,0.77425
ENST00000445823,0.7097
ENST00000431736,0.60879
ENST00000525863,0.53529
ENST00000341846,0.69048
ENST00000408930,0.65909
ENST00000533628,0.65607
ENST00000281437,0.62276
ENST00000374791,0.68605
ENST00000425719,0.66479
ENST00000422000,0.58187
ENST00000342628,0.56374
ENST00000444971,0.86066
ENST00000352940,0.52463
ENST00000674388,0.73662
ENST00000545604,0.76393
ENST00000539744,0.67583
ENST00000396007,0.52874
ENST00000266503,0.65461
ENST00000308666,0.64768
ENST00000332700,0.58112
ENST00000547825,0.73268
ENST00000301190,0.94322
ENST00000327741,0.55446
ENST00000252252,0.78635
ENST00000252242,0.68644
ENST00000252250,0.86082
ENST00000534842,0.64991
ENST00000394313,0.53689
ENST00000352268,0.64262
ENST00000550412,0.7459
ENST00000257895,0.75786
ENST00000257895,0.75786
ENST00000448789,0.93103
ENST00000394048,0.57075
ENST00000546141,0.62958
ENST00000550465,0.89082
ENST00000571490,0.71138
ENST00000300145,0.71138
ENST00000261187,0.63529
ENST00000333012,0.74497
ENST00000258145,0.67174
ENST00000483530,0.5302
ENST00000362025,0.54849
ENST00000228641,0.70248
ENST00000308385,0.90638
ENST00000547405,0.53333
ENST00000541119,0.5391
ENST00000545503,0.54392
ENST00000310903,0.55705
ENST00000397655,0.62304
ENST00000439744,0.89427
ENST00000416293,0.54894
ENST00000261733,0.58994
ENST00000351677,0.6032
ENST00000445409,0.61232
ENST00000310346,0.75933
ENST00000543318,0.75676
ENST00000528880,0.77261
ENST00000328880,0.60055
ENST00000432564,0.74856
ENST00000435159,0.5828
ENST00000544181,0.54575
ENST00000542711,0.63
ENST00000403412,0.53214
ENST00000280056,0.78967
ENST00000376440,0.70828
ENST00000375604,0.61917
ENST00000622767,0.74923
ENST00000351487,0.66366
ENST00000451119,0.5741
ENST00000355349,0.55316
ENST00000554789,0.95238
ENST00000556015,0.95238
ENST00000013125,0.53583
ENST00000395606,0.65586
ENST00000395168,0.59595
ENST00000354886,0.56862
ENST00000341099,0.7151
ENST00000326303,0.52256
ENST00000311148,0.95012
ENST00000682763,0.73846
ENST00000261835,0.554
ENST00000644486,0.56759
ENST00000553488,0.78481
ENST00000536364,0.65774
ENST00000650110,0.54886
ENST00000619401,0.59651
ENST00000567348,0.53733
ENST00000349114,0.72531
ENST00000220420,0.7566
ENST00000357568,0.78344
ENST00000397163,0.78502
ENST00000359031,0.61542
ENST00000399231,0.54688
ENST00000380568,0.63034
ENST00000380258,0.78462
ENST00000542035,0.79717
ENST00000564777,0.71182
ENST00000541638,0.74874
ENST00000615374,0.85475
ENST00000394588,0.82792
ENST00000708236,0.82792
ENST00000360476,0.95868
ENST00000708237,0.95868
ENST00000557856,0.87087
ENST00000300055,0.86207
ENST00000430628,0.86207
ENST00000562238,0.82105
ENST00000205557,0.53027
ENST00000331849,0.77029
ENST00000381440,0.53084
ENST00000324344,0.57237
ENST00000563998,0.67105
ENST00000690258,0.80067
ENST00000539836,0.63032
ENST00000219197,0.65026
ENST00000356721,0.75878
ENST00000568943,0.58671
ENST00000219833,0.71019
ENST00000306560,0.71971
ENST00000379046,0.62076
ENST00000379047,0.61875
ENST00000320623,0.60402
ENST00000302628,0.87823
ENST00000635371,0.87823
ENST00000302628,0.87823
ENST00000635371,0.87823
ENST00000564085,0.94706
ENST00000710316,0.53452
ENST00000538234,0.83577
