NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_198317,ENST00000338591,24,15,642,0.00097,0.3332,0.23499
NM_001160184,ENST00000379407,31,18,576,0.00101,0.46948,0.4455
NM_032129,ENST00000379410,33,18,611,0.00089,0.47424,0.44272
NM_021170,ENST00000304952,5,2,221,0.00181,0.49955,0.3371
NM_001142467,ENST00000428771,7,4,247,0.00231,0.46154,0.32085
NM_001130413,ENST00000379116,38,25,802,0.00082,0.46975,0.51656
NM_001145210,ENST00000537107,20,10,399,0.00125,0.51579,0.43584
NM_022834,ENST00000476993,19,11,445,0.0013,0.47037,0.56609
NM_001256460,ENST00000545578,30,21,571,0.00123,0.53596,0.54508
NM_018188,ENST00000378755,47,30,634,0.00101,0.45795,0.44863
NM_014638,ENST00000378486,78,49,1416,0.00044,0.48739,0.47076
NM_014638,ENST00000620687,78,49,1416,0.00044,0.48739,0.47076
NM_001010926,ENST00000612705,10,6,166,0.00361,0.49096,0.42771
NM_001010926,ENST00000378453,10,6,166,0.00361,0.49096,0.42771
NM_001163724,ENST00000444870,3,2,78,0.00855,0.18376,0.25641
NM_014851,ENST00000377658,25,18,597,0.00121,0.43745,0.36683
NM_138350,ENST00000377627,10,8,175,0.00457,0.488,0.52071
NM_001204186,ENST00000604074,26,16,403,0.00153,0.60594,0.63136
NM_004565,ENST00000356607,34,21,377,0.00164,0.41801,0.35165
NM_001243768,ENST00000602296,6,3,143,0.0035,0.65035,0.58508
NM_001040194,ENST00000376629,5,4,152,0.00526,0.77237,0.7204
NM_001024661,ENST00000334600,22,15,474,0.00144,0.40526,0.46034
NM_001136216,ENST00000376014,13,9,253,0.00274,0.53846,0.63724
NM_001136218,ENST00000376008,13,9,253,0.00274,0.53846,0.63724
NM_001006624,ENST00000487038,4,3,120,0.00625,0.6,0.49167
NM_015209,ENST00000503743,34,24,421,0.00168,0.45759,0.49327
NM_013358,ENST00000375471,27,20,663,0.00112,0.54539,0.53152
NM_013358,ENST00000631074,27,20,663,0.00112,0.54539,0.53152
NM_032880,ENST00000251296,15,11,467,0.00157,0.44511,0.42398
NM_001135247,ENST00000375534,17,14,182,0.00452,0.38849,0.36264
NM_017459,ENST00000375535,17,14,183,0.0045,0.39184,0.36612
NM_001161728,ENST00000375111,4,4,144,0.00694,0.6059,0.6059
NM_002885,ENST00000374765,31,22,663,0.00107,0.49706,0.48732
NM_001204086,ENST00000615215,12,8,215,0.0031,0.47248,0.575
NM_004442,ENST00000374632,46,37,987,0.00081,0.56997,0.54963
NM_001143778,ENST00000635198,56,38,894,0.00076,0.41914,0.37722
NM_001143778,ENST00000437606,56,38,894,0.00076,0.41914,0.37722
NM_001010980,ENST00000374392,3,2,102,0.00654,0.92157,0.88726
NM_198173,ENST00000361548,19,14,602,0.00122,0.57869,0.60536
NM_001195010,ENST00000356046,18,13,556,0.0013,0.57664,0.62037
NM_021180,ENST00000236255,19,14,607,0.00121,0.58216,0.60861
NM_001251981,ENST00000436717,11,7,183,0.00348,0.48783,0.44028
NM_001251983,ENST00000616511,6,3,116,0.00431,0.51437,0.58046
NM_001251985,ENST00000374393,10,9,115,0.00783,0.63478,0.64638
NM_032513,ENST00000374278,20,12,323,0.00186,0.49768,0.50826
NM_001039775,ENST00000308182,92,60,1661,0.00039,0.48484,0.47848
NM_001099626,ENST00000374300,8,6,292,0.00257,0.497,0.57078
NM_032872,ENST00000318074,40,25,550,0.00114,0.4475,0.47469
NM_000952,ENST00000373857,14,9,342,0.00188,0.55806,0.5653
NM_018565,ENST00000536384,20,16,459,0.00174,0.57941,0.59858
NM_203342,ENST00000642937,34,32,655,0.00144,0.52802,0.53177
NM_001171868,ENST00000420504,10,5,307,0.00163,0.55993,0.58567
NM_001145720,ENST00000609129,21,17,495,0.00164,0.53285,0.52906
NM_153212,ENST00000339480,5,4,266,0.00301,0.32181,0.17669
NM_005268,ENST00000338513,7,4,273,0.00209,0.5573,0.56502
NM_024009,ENST00000373366,12,9,270,0.00278,0.5179,0.4321
NM_001005752,ENST00000373362,12,9,270,0.00278,0.5179,0.4321
NM_001161708,ENST00000373484,54,40,476,0.00156,0.62842,0.65037
NM_001199780,ENST00000621781,4,3,84,0.00893,0.65774,0.62699
NM_002699,ENST00000373012,21,14,451,0.00148,0.46078,0.43918
NR_037635,ENST00000621281,3,3,110,0.00909,0.66667,0.66667
NM_001033081,ENST00000372816,19,14,364,0.00202,0.71009,0.67484
NM_001033082,ENST00000397332,20,15,394,0.0019,0.69797,0.65618
NM_005376,ENST00000372815,4,4,236,0.00424,0.49046,0.49046
NM_001956,ENST00000372587,11,7,178,0.00358,0.57712,0.74238
NM_172163,ENST00000509682,27,20,641,0.00116,0.52233,0.51895
NM_004700,ENST00000347132,28,21,695,0.00108,0.52045,0.51559
NM_001142590,ENST00000372653,60,40,301,0.00221,0.63206,0.65216
NM_015911,ENST00000372508,14,10,284,0.00252,0.46202,0.40493
NM_001185117,ENST00000539749,13,7,218,0.00247,0.48377,0.35714
NM_001164829,ENST00000523677,3,1,113,0.00295,0.68142,0.84071
NM_057091,ENST00000372359,7,3,220,0.00195,0.51493,0.24848
NM_173484,ENST00000372299,33,29,389,0.00226,0.47464,0.51015
NM_002840,ENST00000359947,102,76,1907,0.00039,0.54563,0.56427
NM_174970,ENST00000531451,3,3,139,0.00719,0.64269,0.64269
NM_174967,ENST00000372362,4,4,155,0.00645,0.56452,0.56452
NM_174968,ENST00000351035,12,11,429,0.00214,0.60334,0.59165
NM_001048173,ENST00000355498,49,36,521,0.00141,0.49156,0.46732
NM_001048172,ENST00000354383,49,36,522,0.00141,0.49234,0.46812
NM_012222,ENST00000672818,49,36,546,0.00135,0.51278,0.48947
NR_024174,ENST00000528077,7,7,106,0.00943,0.72642,0.72642
NM_003684,ENST00000371946,26,21,453,0.00178,0.53124,0.51403
NM_002867,ENST00000371655,11,9,219,0.00374,0.59485,0.5723
NM_147193,ENST00000312233,31,23,620,0.0012,0.50255,0.51865
NR_037640,ENST00000414150,67,53,1334,0.00059,0.57897,0.5785
NM_012183,ENST00000371116,24,18,478,0.00157,0.56224,0.57938
NM_001017415,ENST00000371146,35,32,785,0.00116,0.40593,0.42197
NM_001206739,ENST00000371092,10,6,216,0.00278,0.41065,0.45293
NM_001002292,ENST00000354777,19,18,543,0.00174,0.56053,0.56528
NM_001193334,ENST00000370976,15,13,450,0.00193,0.61467,0.60376
NM_030965,ENST00000477717,28,23,336,0.00244,0.32749,0.31962
NM_001199328,ENST00000534056,14,12,340,0.00252,0.32206,0.31912
NM_015978,ENST00000326637,40,35,835,0.00105,0.50219,0.48373
NM_001162916,ENST00000457880,9,6,226,0.00295,0.37119,0.37463
NR_027962,ENST00000370867,14,10,259,0.00276,0.38803,0.39189
NM_001039585,ENST00000370756,13,12,297,0.00311,0.55115,0.53114
NM_005455,ENST00000254821,12,11,320,0.00286,0.57786,0.61335
NM_152890,ENST00000370571,96,87,1714,0.00053,0.52847,0.51015
NR_024602,ENST00000370563,36,34,919,0.00103,0.47564,0.48045
NM_012128,ENST00000370563,36,34,919,0.00103,0.47564,0.48045
NM_002731,ENST00000370689,14,13,351,0.00265,0.46703,0.44686
NM_001162536,ENST00000652648,10,8,390,0.00205,0.60051,0.56699
NM_001134479,ENST00000337338,40,33,858,0.00096,0.53377,0.51346
NM_001166252,ENST00000457765,29,23,657,0.00121,0.52947,0.4917
NM_001077395,ENST00000342173,14,13,284,0.00327,0.62022,0.66062
NM_080630,ENST00000512756,87,74,1690,0.0005,0.49557,0.48797
NM_001113226,ENST00000370068,20,15,539,0.00139,0.46865,0.42894
NM_015127,ENST00000686434,18,12,501,0.00133,0.609,0.56238
NM_001010985,ENST00000357155,21,14,354,0.00188,0.43274,0.44552
NM_146421,ENST00000349334,4,3,181,0.00414,0.45028,0.39963
NM_000850,ENST00000369836,6,6,218,0.00459,0.45872,0.45872
NM_172210,ENST00000369801,29,24,438,0.00189,0.547,0.51484
NM_001242676,ENST00000359172,27,22,483,0.00169,0.42896,0.46273
NM_002884,ENST00000369709,15,12,184,0.00435,0.46377,0.40625
NM_001010935,ENST00000687939,15,12,184,0.00435,0.46377,0.40625
NM_001193431,ENST00000359785,36,31,807,0.00107,0.47752,0.45313
NM_005725,ENST00000369516,9,8,221,0.00402,0.70639,0.74717
NM_152367,ENST00000369500,27,22,362,0.00225,0.47422,0.49548
NM_001172411,ENST00000369510,25,22,522,0.00169,0.59739,0.59674
NM_032044,ENST00000256585,9,6,158,0.00422,0.66596,0.62975
NR_036541,ENST00000313835,22,19,455,0.0019,0.5005,0.5262
NM_024568,ENST00000431239,47,39,825,0.00101,0.47701,0.49358
NM_016074,ENST00000369152,6,5,137,0.00608,0.63625,0.6
NM_181873,ENST00000369140,48,33,640,0.00107,0.45514,0.48059
NM_001136479,ENST00000616917,8,8,220,0.00455,0.54034,0.54034
NM_025008,ENST00000369041,66,38,877,0.00066,0.46643,0.46261
NM_001159642,ENST00000295294,12,7,275,0.00212,0.5897,0.58546
NM_012432,ENST00000368969,64,50,1290,0.00061,0.45924,0.43239
NM_001040217,ENST00000312210,34,26,327,0.00234,0.60425,0.65808
NM_001172648,ENST00000290583,53,37,465,0.0015,0.60272,0.62865
NM_001172649,ENST00000290585,51,37,415,0.00175,0.60364,0.62625
NM_212551,ENST00000368908,13,11,227,0.00373,0.53202,0.56067
NM_001199828,ENST00000368762,17,12,89,0.00793,0.3655,0.27622
NM_002962,ENST00000368718,1,1,92,0.01087,0.69565,0.69565
NM_005978,ENST00000368708,7,7,98,0.0102,0.62099,0.62099
NM_001255980,ENST00000368600,21,16,375,0.00203,0.58883,0.57817
NM_130898,ENST00000271889,24,19,395,0.002,0.54747,0.52259
NM_001255981,ENST00000368600,21,16,375,0.00203,0.58883,0.57817
NM_001256599,ENST00000368382,48,31,736,0.00088,0.41607,0.46963
