Gene,OptionalDataColumns
ENST00000379288,6
ENST00000378531,10
ENST00000611612,7
ENST00000378190,10
ENST00000378191,10
ENST00000604074,9
ENST00000354437,11
ENST00000378295,13
ENST00000378295,13
ENST00000378288,13
ENST00000378285,11
ENST00000378280,14
ENST00000378288,13
ENST00000378290,13
ENST00000348333,7
ENST00000400913,14
ENST00000376590,7
ENST00000376667,5
ENST00000263932,11
ENST00000614859,6
ENST00000359621,2
ENST00000375910,1
ENST00000333868,8
ENST00000376014,4
ENST00000375534,8
ENST00000618761,3
ENST00000615215,3
ENST00000290167,5
ENST00000356046,7
ENST00000538532,5
ENST00000675840,8
ENST00000374027,3
ENST00000645231,7
ENST00000253063,7
ENST00000234549,13
ENST00000373826,2
ENST00000409358,8
ENST00000373480,13
ENST00000373471,4
ENST00000207457,12
ENST00000621781,2
ENST00000356545,1
ENST00000615459,1
ENST00000356545,1
ENST00000331593,7
ENST00000296380,7
ENST00000347132,10
ENST00000335282,4
ENST00000372207,7
ENST00000355498,14
ENST00000710952,14
ENST00000307089,5
ENST00000371655,5
ENST00000313334,3
ENST00000371494,6
ENST00000534324,6
ENST00000312553,8
ENST00000495776,0
ENST00000421030,14
ENST00000371080,5
ENST00000282670,6
ENST00000646789,2
ENST00000477717,10
ENST00000534056,9
ENST00000370867,10
ENST00000370756,10
ENST00000370689,8
ENST00000315033,4
ENST00000370109,10
ENST00000370083,11
ENST00000330330,11
ENST00000370083,11
ENST00000622339,11
ENST00000369949,2
ENST00000442650,5
ENST00000342115,10
ENST00000369868,1
ENST00000361066,7
ENST00000271331,1
ENST00000437429,9
ENST00000369781,6
ENST00000369779,10
ENST00000393614,10
ENST00000359172,10
ENST00000369686,8
ENST00000369684,5
ENST00000369630,1
ENST00000610222,3
ENST00000369512,4
ENST00000606888,7
ENST00000369167,1
ENST00000331491,5
ENST00000414276,1
ENST00000369109,3
ENST00000414276,1
ENST00000368755,5
ENST00000368750,5
ENST00000468739,5
ENST00000324978,5
ENST00000368432,9
ENST00000368471,10
ENST00000368382,12
ENST00000532414,4
ENST00000368347,4
ENST00000682650,10
ENST00000537040,8
ENST00000537040,8
ENST00000537040,8
ENST00000613460,1
ENST00000368273,6
ENST00000368222,2
ENST00000337428,11
ENST00000368166,7
ENST00000361509,14
ENST00000368072,9
ENST00000432287,1
ENST00000412844,14
ENST00000294796,4
ENST00000481278,6
ENST00000367838,7
ENST00000367833,6
ENST00000344529,5
ENST00000333279,11
ENST00000540564,8
ENST00000339948,14
ENST00000367579,7
ENST00000308641,11
ENST00000367510,11
ENST00000462677,1
ENST00000391985,7
ENST00000367387,8
ENST00000533432,3
ENST00000614750,5
ENST00000491855,13
ENST00000272190,8
ENST00000367155,8
ENST00000367177,13
ENST00000243611,3
ENST00000367076,3
ENST00000391923,3
ENST00000361322,6
ENST00000367028,1
ENST00000367028,1
ENST00000469606,3
ENST00000350027,12
ENST00000366878,11
ENST00000272134,6
ENST00000366820,5
ENST00000420304,3
ENST00000693095,0
ENST00000647549,0
ENST00000617596,7
ENST00000456946,8
ENST00000391867,3
ENST00000391854,0
ENST00000366598,0
ENST00000450593,0
ENST00000366503,9
ENST00000447569,2
ENST00000379562,12
ENST00000407572,6
ENST00000327347,9
ENST00000378331,0
ENST00000313519,13
ENST00000282343,14
ENST00000320152,3
ENST00000331161,3
ENST00000419761,6
ENST00000682389,4
ENST00000684501,2
ENST00000346832,12
ENST00000374160,1
ENST00000513156,9
ENST00000419399,3
ENST00000417247,10
ENST00000395348,6
ENST00000316629,7
ENST00000373644,10
ENST00000354624,14
ENST00000441259,10
ENST00000335350,9
ENST00000644088,1
ENST00000398786,2
ENST00000372524,4
ENST00000256039,8
ENST00000355843,7
ENST00000652046,9
ENST00000427197,8
ENST00000299353,8
ENST00000369729,11
ENST00000351270,7
ENST00000369312,12
ENST00000423273,4
ENST00000538897,13
ENST00000442245,4
ENST00000369060,13
ENST00000358487,14
ENST00000360144,13
ENST00000368896,0
ENST00000368808,14
ENST00000368642,9
ENST00000325980,5
ENST00000304477,6
ENST00000357296,5
ENST00000613221,1
ENST00000595228,1
ENST00000329962,14
ENST00000633287,4
ENST00000438658,4
ENST00000429789,9
ENST00000397408,3
ENST00000397068,4
ENST00000300773,6
ENST00000379936,11
ENST00000305253,10
ENST00000300730,3
ENST00000309377,5
ENST00000326053,10
ENST00000280706,3
ENST00000278187,5
ENST00000530998,10
ENST00000379079,10
ENST00000395983,4
ENST00000531794,8
ENST00000317811,9
ENST00000378867,9
ENST00000342935,3
ENST00000241041,5
ENST00000359803,2
ENST00000395566,2
ENST00000395565,2
