ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000377507,14,5,255,0.0014,0.52913,0.56863,v12_lymphnode
ENST00000378288,39,6,587,0.00026,0.53318,0.44492,v12_lymphnode
ENST00000337907,94,10,1566,7e-05,0.55304,0.51769,v12_lymphnode
ENST00000376819,19,5,346,0.00076,0.38059,0.39942,v12_lymphnode
ENST00000373925,25,5,260,0.00077,0.62292,0.78923,v12_lymphnode
ENST00000647103,32,5,601,0.00026,0.53655,0.50882,v12_lymphnode
ENST00000373797,42,9,720,0.0003,0.4502,0.31049,v12_lymphnode
ENST00000246314,51,13,626,0.00041,0.49568,0.53269,v12_lymphnode
ENST00000373106,52,5,836,0.00012,0.47898,0.36986,v12_lymphnode
ENST00000373103,56,7,863,0.00014,0.49485,0.48303,v12_lymphnode
ENST00000372718,37,6,429,0.00038,0.55837,0.58081,v12_lymphnode
ENST00000372708,35,6,399,0.00043,0.55639,0.54929,v12_lymphnode
ENST00000539317,29,5,349,0.00049,0.60429,0.58395,v12_lymphnode
ENST00000427410,69,10,297,0.00049,0.60182,0.63872,v12_lymphnode
ENST00000236040,42,5,804,0.00015,0.47154,0.3806,v12_lymphnode
ENST00000456914,49,6,521,0.00024,0.49156,0.66475,v12_lymphnode
ENST00000355498,49,6,521,0.00024,0.49156,0.66475,v12_lymphnode
ENST00000710952,49,6,549,0.00022,0.51489,0.68184,v12_lymphnode
ENST00000371568,57,9,861,0.00018,0.54551,0.44819,v12_lymphnode
ENST00000407246,22,6,523,0.00052,0.57527,0.6007,v12_lymphnode
ENST00000347310,31,9,629,0.00046,0.46418,0.62551,v12_lymphnode
ENST00000341517,39,5,736,0.00017,0.50007,0.32282,v12_lymphnode
ENST00000431532,21,6,431,0.00066,0.61397,0.4826,v12_lymphnode
ENST00000370459,53,14,586,0.00045,0.65754,0.8057,v12_lymphnode
ENST00000370459,53,14,586,0.00045,0.65754,0.8057,v12_lymphnode
ENST00000337338,40,5,858,0.00015,0.53377,0.80839,v12_lymphnode
ENST00000370303,27,5,536,0.00035,0.44631,0.40037,v12_lymphnode
ENST00000370161,67,13,1516,0.00013,0.467,0.43982,v12_lymphnode
ENST00000512756,87,18,1690,0.00012,0.49557,0.44974,v12_lymphnode
ENST00000359785,36,6,807,0.00021,0.47752,0.48906,v12_lymphnode
ENST00000682167,64,9,1021,0.00014,0.41747,0.51855,v12_lymphnode
ENST00000682167,64,9,1021,0.00014,0.41747,0.51855,v12_lymphnode
ENST00000369304,69,8,1167,0.0001,0.49144,0.34704,v12_lymphnode
ENST00000313835,22,6,455,0.0006,0.5005,0.50146,v12_lymphnode
ENST00000431239,47,8,825,0.00021,0.47701,0.59803,v12_lymphnode
ENST00000682118,95,16,865,0.00019,0.40946,0.36799,v12_lymphnode
ENST00000368236,48,6,582,0.00021,0.43331,0.29696,v12_lymphnode
ENST00000708590,48,6,582,0.00021,0.43331,0.29696,v12_lymphnode
ENST00000361516,31,7,508,0.00044,0.44031,0.25225,v12_lymphnode
ENST00000358292,21,7,366,0.00091,0.56284,0.62607,v12_lymphnode
ENST00000392254,21,5,461,0.00052,0.63609,0.64599,v12_lymphnode
ENST00000392252,21,5,452,0.00053,0.62979,0.63894,v12_lymphnode
ENST00000368140,22,6,492,0.00055,0.61151,0.66057,v12_lymphnode
ENST00000263285,33,7,655,0.00032,0.54129,0.66936,v12_lymphnode
