ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000378083,20,12,415,0.00145,0.5353,0.53233,v34_kidney
ENST00000377845,15,10,350,0.0019,0.63391,0.626,v34_kidney
ENST00000234590,12,10,434,0.00192,0.70968,0.67673,v34_kidney
ENST00000376667,12,8,211,0.00316,0.39613,0.29384,v34_kidney
ENST00000251546,14,8,224,0.00255,0.58578,0.69922,v34_kidney
ENST00000376629,5,4,152,0.00526,0.77237,0.7204,v34_kidney
ENST00000375826,15,9,352,0.0017,0.46648,0.49337,v34_kidney
ENST00000294454,26,16,304,0.00202,0.47723,0.478,v34_kidney
ENST00000376014,13,9,253,0.00274,0.53846,0.63724,v34_kidney
ENST00000329454,7,4,169,0.00338,0.52409,0.42308,v34_kidney
ENST00000375662,18,10,280,0.00198,0.50496,0.58393,v34_kidney
ENST00000375679,24,17,687,0.00103,0.50328,0.49482,v34_kidney
ENST00000375667,16,10,517,0.00121,0.55416,0.57157,v34_kidney
ENST00000331433,28,20,687,0.00104,0.56353,0.56135,v34_kidney
ENST00000375692,27,19,686,0.00103,0.55183,0.54427,v34_kidney
ENST00000375471,27,20,663,0.00112,0.54539,0.53152,v34_kidney
ENST00000631074,27,20,663,0.00112,0.54539,0.53152,v34_kidney
ENST00000361640,16,13,331,0.00245,0.54513,0.62212,v34_kidney
ENST00000538309,21,14,503,0.00133,0.5488,0.48949,v34_kidney
ENST00000375341,24,17,563,0.00126,0.53241,0.46223,v34_kidney
ENST00000429712,6,3,105,0.00476,0.64127,0.74921,v34_kidney
ENST00000375121,11,5,227,0.002,0.4121,0.35859,v34_kidney
ENST00000332947,13,9,329,0.0021,0.66799,0.59946,v34_kidney
ENST00000542643,30,21,681,0.00103,0.47954,0.46339,v34_kidney
ENST00000374514,6,6,231,0.00433,0.70346,0.70346,v34_kidney
ENST00000617979,17,12,348,0.00203,0.59179,0.61949,v34_kidney
ENST00000617979,17,12,348,0.00203,0.59179,0.61949,v34_kidney
ENST00000354361,8,6,201,0.00373,0.51182,0.48839,v34_kidney
ENST00000374395,16,10,241,0.00259,0.48885,0.44647,v34_kidney
ENST00000374393,10,9,115,0.00783,0.63478,0.64638,v34_kidney
ENST00000374282,24,16,392,0.0017,0.47268,0.45998,v34_kidney
