Gene,OptionalDataColumns
ENST00000328596,255
ENST00000338660,64
ENST00000342348,414
ENST00000627654,191
ENST00000537325,161
ENST00000378083,415
ENST00000400898,185
ENST00000470413,77
ENST00000334600,474
ENST00000616484,474
ENST00000357367,474
ENST00000632222,474
ENST00000636073,474
ENST00000375826,352
ENST00000375499,280
ENST00000361640,331
ENST00000538309,503
ENST00000429712,105
ENST00000400548,226
ENST00000375111,144
ENST00000374490,325
ENST00000617979,348
ENST00000374421,491
ENST00000399916,429
ENST00000254227,257
ENST00000354982,288
ENST00000270879,299
ENST00000526031,335
ENST00000373237,201
ENST00000494695,56
ENST00000372809,543
ENST00000372811,530
ENST00000372699,378
ENST00000431635,361
ENST00000372237,277
ENST00000351035,429
ENST00000372070,325
ENST00000401061,282
ENST00000424390,199
ENST00000310638,519
ENST00000371891,519
ENST00000371946,453
ENST00000322679,125
ENST00000388876,201
ENST00000525202,61
ENST00000361921,125
ENST00000371269,516
ENST00000371273,418
ENST00000371509,503
ENST00000407246,523
ENST00000371514,547
ENST00000408941,59
ENST00000371204,502
ENST00000371129,460
ENST00000371212,463
ENST00000540265,365
ENST00000235345,355
ENST00000346806,361
ENST00000370938,405
ENST00000370872,192
ENST00000370871,295
ENST00000340866,329
ENST00000417775,329
ENST00000370630,385
ENST00000361321,105
ENST00000545708,491
ENST00000479918,193
ENST00000315713,236
ENST00000370203,263
ENST00000370202,267
ENST00000529992,396
ENST00000369716,347
ENST00000490067,558
ENST00000325945,351
ENST00000361035,364
ENST00000544913,466
ENST00000369406,508
ENST00000475797,200
ENST00000357836,313
ENST00000336751,426
ENST00000451928,408
ENST00000417171,519
ENST00000344770,519
ENST00000441068,464
ENST00000369272,285
ENST00000254090,533
ENST00000616917,220
ENST00000436748,227
ENST00000368954,380
ENST00000356728,497
ENST00000392414,543
ENST00000571194,543
ENST00000471283,149
ENST00000359751,193
ENST00000356657,419
ENST00000362007,406
ENST00000368174,347
ENST00000255040,223
ENST00000368092,198
ENST00000368093,289
ENST00000368072,299
ENST00000367990,100
ENST00000236937,291
ENST00000358671,310
ENST00000504010,280
ENST00000437437,306
ENST00000505005,296
ENST00000508740,311
ENST00000511676,319
ENST00000367984,309
ENST00000367981,324
ENST00000442691,339
ENST00000428574,340
ENST00000367982,352
ENST00000367980,357
ENST00000458626,272
ENST00000254521,341
ENST00000443193,254
ENST00000367967,254
ENST00000361897,506
ENST00000367749,558
ENST00000367755,532
ENST00000271373,127
ENST00000367698,464
ENST00000367612,470
ENST00000539888,485
ENST00000320493,330
ENST00000251424,331
ENST00000367425,330
ENST00000367393,145
ENST00000236914,495
ENST00000367443,518
ENST00000255409,383
ENST00000367202,386
ENST00000308302,132
ENST00000400962,265
ENST00000367078,252
ENST00000367076,251
ENST00000243611,252
ENST00000367076,251
ENST00000391923,252
ENST00000367027,292
ENST00000540251,388
ENST00000531963,240
ENST00000366913,335
ENST00000424254,179
ENST00000272167,455
ENST00000366837,455
ENST00000438896,401
ENST00000318160,168
ENST00000366560,510
ENST00000366559,486
ENST00000366514,396
ENST00000380872,323
ENST00000263126,323
ENST00000357700,278
ENST00000439082,323
ENST00000277570,435
ENST00000379033,454
ENST00000491614,219
ENST00000378325,230
ENST00000377091,126
ENST00000395794,140
ENST00000487763,121
ENST00000277746,287
ENST00000395255,333
ENST00000225171,198
ENST00000358769,288
ENST00000495025,280
ENST00000358141,134
ENST00000299299,104
ENST00000644591,196
ENST00000373189,475
ENST00000334011,545
ENST00000418483,278
ENST00000539909,362
ENST00000372734,345
ENST00000225174,207
ENST00000372213,395
ENST00000481124,147
ENST00000277865,558
ENST00000342512,373
ENST00000307534,461
ENST00000371531,428
ENST00000224356,497
ENST00000479522,86
ENST00000371464,201
ENST00000371321,490
ENST00000260682,490
ENST00000339022,431
ENST00000285979,490
ENST00000535898,388
ENST00000623108,420
ENST00000371270,490
ENST00000623108,420
ENST00000371176,433
ENST00000370647,164
ENST00000370646,327
ENST00000266066,317
ENST00000543964,402
ENST00000543964,402
ENST00000265992,372
ENST00000357540,318
ENST00000421367,348
ENST00000370483,388
ENST00000467928,257
ENST00000369713,241
ENST00000351270,560
ENST00000260723,506
ENST00000358776,432
ENST00000368839,210
ENST00000368671,226
ENST00000651593,207
ENST00000368547,290
ENST00000252945,493
ENST00000685335,151
ENST00000463201,142
ENST00000433452,151
ENST00000368552,134
ENST00000278025,154
ENST00000622100,373
ENST00000397583,373
ENST00000449825,393
ENST00000649076,424
ENST00000610526,424
ENST00000356578,200
ENST00000695541,180
ENST00000379965,498
ENST00000265983,462
ENST00000318881,491
ENST00000380027,326
ENST00000335425,187
ENST00000477358,81
ENST00000331587,141
ENST00000331587,141
ENST00000278222,130
ENST00000524555,208
ENST00000414546,83
ENST00000256733,122
ENST00000454584,313
ENST00000454584,313
ENST00000443524,242
ENST00000672996,274
ENST00000430553,274
ENST00000241051,511
ENST00000311388,502
ENST00000651785,128
ENST00000526817,351
ENST00000314134,364
ENST00000672073,423
ENST00000528450,559
ENST00000278426,559
ENST00000352187,491
ENST00000344743,296
ENST00000278400,163
ENST00000317391,302
ENST00000300079,333
ENST00000532726,302
ENST00000420732,178
ENST00000426738,253
ENST00000300184,240
ENST00000263846,403
ENST00000279178,553
ENST00000394546,255
ENST00000527043,421
ENST00000255082,319
ENST00000356135,439
ENST00000308946,313
ENST00000398536,165
ENST00000407721,475
ENST00000334805,291
ENST00000355693,87
ENST00000333090,353
ENST00000313578,271
ENST00000353172,255
ENST00000281030,146
ENST00000528288,265
ENST00000265838,427
ENST00000260270,184
ENST00000534497,263
ENST00000280362,145
ENST00000393055,474
ENST00000341980,556
ENST00000438022,545
ENST00000227667,99
ENST00000299964,264
ENST00000236850,267
ENST00000542499,366
ENST00000302783,189
ENST00000445823,457
ENST00000529790,37
ENST00000330775,429
ENST00000710542,429
ENST00000545985,429
ENST00000642844,429
ENST00000264027,299
ENST00000278903,340
ENST00000227474,481
ENST00000445055,510
ENST00000345598,522
ENST00000228918,435
ENST00000011653,458
ENST00000261407,487
ENST00000450991,102
ENST00000348658,196
ENST00000298527,229
ENST00000304361,265
ENST00000228936,314
ENST00000428559,318
ENST00000396207,155
ENST00000447411,547
ENST00000266579,547
ENST00000444214,99
ENST00000453172,146
ENST00000316299,340
ENST00000549441,341
ENST00000379846,346
ENST00000420353,483
ENST00000394252,244
ENST00000454355,540
ENST00000266980,540
ENST00000652304,263
ENST00000338146,207
ENST00000322165,317
ENST00000398138,317
ENST00000300098,404
ENST00000266646,350
ENST00000309668,352
ENST00000556825,86
ENST00000557348,65
ENST00000414700,483
ENST00000555116,65
ENST00000553474,483
ENST00000299178,418
ENST00000420120,250
ENST00000266736,426
ENST00000392989,539
ENST00000548884,472
ENST00000392986,476
ENST00000648861,476
ENST00000188403,482
ENST00000551379,486
ENST00000266744,236
ENST00000553106,452
ENST00000416293,470
ENST00000257549,328
ENST00000345635,329
ENST00000261313,187
ENST00000242592,412
ENST00000289004,393
ENST00000281703,266
ENST00000376608,159
ENST00000317479,195
ENST00000443358,399
ENST00000382848,226
ENST00000298248,319
ENST00000542711,100
ENST00000266943,461
ENST00000380814,463
ENST00000338625,301
ENST00000181383,423
ENST00000251108,514
ENST00000602402,504
ENST00000646948,442
ENST00000376440,309
ENST00000375547,400
ENST00000342783,422
ENST00000346342,444
ENST00000375581,466
ENST00000680505,347
ENST00000375431,336
ENST00000336811,147
ENST00000397990,147
ENST00000555597,147
ENST00000250383,280
ENST00000267426,292
ENST00000644407,292
ENST00000645709,441
ENST00000396973,441
ENST00000710584,278
ENST00000313250,278
ENST00000710588,232
ENST00000335125,232
ENST00000559115,546
ENST00000642239,546
ENST00000644602,71
ENST00000557802,71
ENST00000645200,137
ENST00000558914,137
ENST00000396941,520
ENST00000644566,520
ENST00000258807,219
ENST00000642223,219
ENST00000250448,472
ENST00000216410,184
ENST00000556766,71
ENST00000536224,213
ENST00000491895,250
ENST00000543643,233
ENST00000395514,250
ENST00000216445,296
ENST00000412908,248
ENST00000551171,316
ENST00000428130,248
ENST00000216540,349
ENST00000361956,435
ENST00000381280,434
ENST00000326303,421
ENST00000617124,152
ENST00000381139,207
ENST00000394234,395
ENST00000334696,428
ENST00000256319,140
ENST00000238667,526
ENST00000539311,321
ENST00000448935,444
ENST00000553888,493
ENST00000380656,515
ENST00000341584,405
ENST00000621384,405
ENST00000614630,444
ENST00000393096,444
ENST00000393078,423
ENST00000361529,308
ENST00000557311,150
ENST00000393287,310
ENST00000359366,79
ENST00000503767,346
ENST00000644486,361
ENST00000299155,453
ENST00000539711,341
ENST00000632478,143
ENST00000560830,143
ENST00000322805,143
ENST00000479013,393
ENST00000487418,423
ENST00000260447,84
ENST00000349777,158
ENST00000396659,423
ENST00000267814,357
ENST00000560031,458
ENST00000260442,204
ENST00000305901,465
ENST00000564609,221
ENST00000219919,295
ENST00000299022,499
ENST00000380290,102
ENST00000288840,496
ENST00000395205,347
ENST00000379727,512
ENST00000343932,516
ENST00000433983,284
ENST00000557943,333
ENST00000561421,419
ENST00000302824,213
ENST00000258874,203
ENST00000258874,203
ENST00000559722,232
ENST00000564367,148
ENST00000379403,385
ENST00000451195,167
ENST00000352732,425
ENST00000565973,425
ENST00000219481,292
ENST00000613476,292
ENST00000325437,158
ENST00000361871,94
ENST00000709225,94
ENST00000566435,165
ENST00000709296,165
ENST00000427358,221
ENST00000356120,371
ENST00000709271,371
ENST00000562238,285
ENST00000382450,325
ENST00000646147,559
ENST00000566198,226
ENST00000440815,188
ENST00000614397,453
ENST00000355296,453
ENST00000268251,500
ENST00000331808,95
ENST00000433677,172
ENST00000600761,99
ENST00000575728,99
ENST00000639229,417
ENST00000311620,417
ENST00000568663,122
ENST00000440284,438
ENST00000286096,416
ENST00000356897,243
ENST00000395630,295
ENST00000314752,295
ENST00000314752,295
ENST00000314752,295
ENST00000395384,297
ENST00000478753,59
ENST00000262520,196
ENST00000394975,163
ENST00000306061,61
ENST00000290705,61
ENST00000245185,61
ENST00000332374,61
ENST00000444837,61
ENST00000543856,210
ENST00000317091,559
ENST00000219139,422
ENST00000568146,219
ENST00000288025,240
ENST00000264005,440
ENST00000288022,243
ENST00000355962,454
ENST00000338482,386
ENST00000539698,386
ENST00000219240,395
ENST00000540303,348
ENST00000426362,149
ENST00000450168,484
ENST00000300051,507
ENST00000199936,387
ENST00000567951,305
ENST00000393306,477
ENST00000505473,272
ENST00000353379,360
ENST00000570182,441
ENST00000450523,427
ENST00000615103,427
ENST00000453066,491
ENST00000618883,491
ENST00000622842,491
ENST00000382061,491
ENST00000225519,478
ENST00000331264,291
ENST00000416307,102
ENST00000544061,263
ENST00000576951,296
ENST00000649488,493
ENST00000573648,522
ENST00000308027,426
ENST00000619926,252
ENST00000269299,291
ENST00000446679,292
ENST00000691900,306
ENST00000254850,287
ENST00000250124,247
ENST00000250124,247
ENST00000441599,287
ENST00000416273,293
ENST00000380450,402
ENST00000575903,384
ENST00000269298,170
ENST00000341871,160
ENST00000360954,390
ENST00000395783,199
ENST00000711531,444
ENST00000354098,444
ENST00000640392,483
ENST00000316694,483
ENST00000419071,329
ENST00000536323,283
ENST00000226218,478
ENST00000540200,368
ENST00000612814,459
ENST00000323372,390
ENST00000611905,120
ENST00000621559,120
ENST00000619040,109
ENST00000622526,109
ENST00000616694,113
ENST00000632206,113
ENST00000610751,113
ENST00000632208,113
ENST00000614050,113
ENST00000617897,113
ENST00000253801,357
ENST00000587209,154
ENST00000293404,534
ENST00000586346,341
