NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_153254,ENST00000379288,18,11,404,0.00151,0.47731,0.57021
NM_024848,ENST00000378531,25,17,497,0.00137,0.50849,0.44715
NM_001242672,ENST00000611612,41,18,566,0.00078,0.47445,0.50491
NM_001242672,ENST00000401095,72,43,1079,0.00055,0.50441,0.43057
NM_001042478,ENST00000378190,23,15,411,0.00159,0.46144,0.45839
NM_018836,ENST00000378191,23,15,411,0.00159,0.46144,0.45839
NM_001204186,ENST00000604074,26,16,403,0.00153,0.60594,0.63136
NM_001204184,ENST00000354437,30,19,499,0.00127,0.53995,0.56671
NM_001204185,ENST00000378295,41,29,636,0.00111,0.54268,0.58892
NM_005427,ENST00000378295,41,29,636,0.00111,0.54268,0.58892
NM_001204190,ENST00000378288,39,29,587,0.00127,0.53318,0.5546
NM_001126241,ENST00000378285,28,19,450,0.00151,0.52992,0.51953
NM_001126242,ENST00000378280,35,25,426,0.00168,0.6216,0.62488
NM_001126240,ENST00000378288,39,29,587,0.00127,0.53318,0.5546
NM_001204192,ENST00000378290,38,29,565,0.00135,0.52892,0.53726
NM_148967,ENST00000348333,21,15,372,0.00192,0.58436,0.66004
NM_001042665,ENST00000400913,44,30,1006,0.00068,0.59583,0.56776
NM_005957,ENST00000376590,23,15,656,0.00099,0.55567,0.49644
NM_001127325,ENST00000376667,12,8,211,0.00316,0.39613,0.29384
NM_001243,ENST00000263932,29,24,595,0.00139,0.43379,0.41688
NM_152290,ENST00000614859,10,9,194,0.00464,0.48247,0.50974
NM_052929,ENST00000358897,125,106,1412,0.0006,0.51705,0.50074
NM_033440,ENST00000359621,9,5,269,0.00207,0.53697,0.60966
NM_015849,ENST00000375910,10,6,269,0.00223,0.45056,0.5632
NM_001229,ENST00000333868,21,14,416,0.0016,0.44448,0.4569
NM_001136216,ENST00000376014,13,9,253,0.00274,0.53846,0.63724
NM_017940,ENST00000430580,191,166,1139,0.00076,0.38726,0.39515
NM_017940,ENST00000713538,284,249,1704,0.00051,0.46632,0.48219
NM_014675,ENST00000375541,232,138,2017,0.00029,0.48599,0.46199
NM_001135248,ENST00000375534,17,14,182,0.00452,0.38849,0.36264
NM_001204085,ENST00000618761,9,8,181,0.00491,0.53837,0.49516
NM_001204086,ENST00000615215,12,8,215,0.0031,0.47248,0.575
NM_001256416,ENST00000342104,50,43,621,0.00138,0.45192,0.47373
NM_030761,ENST00000290167,18,10,351,0.00158,0.52058,0.54017
NM_001083621,ENST00000404138,72,56,1239,0.00063,0.53994,0.52283
NM_004442,ENST00000374632,46,37,987,0.00081,0.56997,0.54963
NM_017449,ENST00000374630,46,37,986,0.00082,0.57011,0.54978
NM_001143778,ENST00000635198,56,38,894,0.00076,0.41914,0.37722
NM_001143778,ENST00000437606,56,38,894,0.00076,0.41914,0.37722
NM_017707,ENST00000634561,57,39,903,0.00076,0.41837,0.37567
NM_017707,ENST00000336689,57,39,903,0.00076,0.41837,0.37567
NM_001077195,ENST00000314011,29,25,470,0.00183,0.49707,0.4926
NM_001077195,ENST00000635400,29,25,470,0.00183,0.49707,0.4926
NM_001195010,ENST00000356046,18,13,556,0.0013,0.57664,0.62037
NM_001251978,ENST00000538532,16,10,241,0.00259,0.48885,0.44647
NM_178422,ENST00000675840,23,16,346,0.00201,0.46607,0.42106
NM_207397,ENST00000374027,8,6,173,0.00434,0.4711,0.57322
NM_001029882,ENST00000374011,72,39,1603,0.00034,0.48579,0.50276
NM_031459,ENST00000645231,23,16,480,0.00145,0.49674,0.52044
NM_031459,ENST00000253063,23,16,480,0.00145,0.49674,0.52044
NM_001143913,ENST00000234549,29,23,312,0.00254,0.51857,0.52996
NM_152304,ENST00000373826,10,9,105,0.00857,0.57619,0.56825
NM_001856,ENST00000373672,91,57,1604,0.00039,0.48711,0.4578
NM_004437,ENST00000373800,30,28,588,0.00159,0.52778,0.53025
NM_001099434,ENST00000409358,24,20,349,0.00239,0.57032,0.56905
NM_001160042,ENST00000537469,44,37,546,0.00154,0.45459,0.47827
NM_001198972,ENST00000373480,55,32,1035,0.00056,0.49284,0.4962
NM_001171940,ENST00000373471,11,10,212,0.00429,0.53345,0.53726
NM_005095,ENST00000314607,98,83,1548,0.00055,0.49635,0.50561
NM_001161708,ENST00000373484,54,40,476,0.00156,0.62842,0.65037
NM_014466,ENST00000207457,34,24,430,0.00164,0.43523,0.46589
NM_177422,ENST00000246314,51,43,626,0.00135,0.49568,0.4945
NM_001199780,ENST00000621781,4,3,84,0.00893,0.65774,0.62699
NM_005955,ENST00000373036,57,45,753,0.00105,0.57454,0.57736
NM_001242908,ENST00000356545,16,11,263,0.00261,0.71269,0.77152
NM_001242909,ENST00000615459,16,11,236,0.00291,0.68035,0.74538
NM_001038633,ENST00000356545,16,11,263,0.00261,0.71269,0.77152
NM_181809,ENST00000331593,23,17,402,0.00184,0.46626,0.43357
NM_022774,ENST00000296380,15,9,373,0.00161,0.58034,0.51117
NM_004700,ENST00000347132,28,21,695,0.00108,0.52045,0.51559
NM_001101376,ENST00000335282,8,7,134,0.00653,0.34888,0.31876
NM_001167965,ENST00000528956,34,29,698,0.00122,0.36394,0.37763
NM_001195831,ENST00000610710,97,79,1283,0.00063,0.5646,0.55532
NM_153274,ENST00000372207,26,18,473,0.00146,0.53488,0.52008
NM_020883,ENST00000359600,78,61,1185,0.00066,0.49791,0.49469
NM_003738,ENST00000372192,70,52,1203,0.00062,0.42521,0.42942
NM_001190182,ENST00000421127,46,34,613,0.00121,0.4295,0.4168
NM_001114938,ENST00000528266,48,35,622,0.00117,0.42283,0.41387
NM_001048173,ENST00000355498,49,36,521,0.00141,0.49156,0.46732
NM_001128425,ENST00000710952,49,36,549,0.00134,0.51489,0.49165
NR_045791,ENST00000307089,11,10,151,0.00602,0.58519,0.56887
NM_001048166,ENST00000371877,74,67,1288,0.0007,0.55467,0.56372
NM_002867,ENST00000371655,11,9,219,0.00374,0.59485,0.5723
NM_004153,ENST00000371568,57,38,861,0.00077,0.54551,0.54915
NM_152265,ENST00000313334,8,8,158,0.00633,0.37816,0.37816
NM_006671,ENST00000371494,18,9,560,0.00089,0.57669,0.56667
NM_001031672,ENST00000534324,19,12,315,0.00201,0.47402,0.47804
NM_001199080,ENST00000312553,25,19,613,0.00124,0.48653,0.44707
NM_148908,ENST00000371714,31,28,723,0.00125,0.40396,0.39824
NR_036662,ENST00000495776,2,2,19,0.05263,0.55264,0.55264
NR_026782,ENST00000421030,65,52,1323,0.0006,0.57221,0.57573
NM_152377,ENST00000371201,33,28,546,0.00155,0.44544,0.46965
NM_001083592,ENST00000371080,14,11,393,0.002,0.55089,0.55147
NM_152665,ENST00000282670,9,6,179,0.00372,0.49597,0.47859
NM_024763,ENST00000371026,40,35,848,0.00103,0.47385,0.49212
NM_004675,ENST00000646789,6,5,229,0.00364,0.57715,0.50655
NM_001077702,ENST00000371016,22,20,450,0.00202,0.55424,0.54678
NM_030965,ENST00000477717,28,23,336,0.00244,0.32749,0.31962
NM_001199328,ENST00000534056,14,12,340,0.00252,0.32206,0.31912
NR_027962,ENST00000370867,14,10,259,0.00276,0.38803,0.39189
NM_001039585,ENST00000370756,13,12,297,0.00311,0.55115,0.53114
NM_145172,ENST00000294664,42,34,891,0.00091,0.49086,0.49033
NM_002731,ENST00000370689,14,13,351,0.00265,0.46703,0.44686
NM_001017975,ENST00000370425,68,64,1435,0.00066,0.52295,0.52832
NM_024813,ENST00000610020,33,29,612,0.00144,0.46366,0.44884
NM_001164391,ENST00000545708,22,18,491,0.00167,0.43779,0.40462
NM_022049,ENST00000315033,17,10,384,0.00153,0.60187,0.53151
NM_001013660,ENST00000287474,27,23,626,0.00136,0.51089,0.48534
NM_015958,ENST00000370109,14,13,285,0.00326,0.6188,0.65911
NM_001190709,ENST00000353414,89,77,1767,0.00049,0.50311,0.48991
NM_004038,ENST00000370083,18,15,511,0.00163,0.41313,0.43105
NM_001008218,ENST00000330330,18,15,511,0.00163,0.41313,0.43105
NM_001008221,ENST00000370083,18,15,511,0.00163,0.41313,0.43105
NM_001008219,ENST00000622339,18,15,511,0.00163,0.41313,0.43105
NM_001122961,ENST00000369949,8,7,157,0.00557,0.49841,0.48954
NM_001142368,ENST00000442650,10,7,191,0.00366,0.61937,0.58041
NM_139156,ENST00000342115,38,25,798,0.00082,0.43827,0.46852
NM_001134400,ENST00000369868,7,4,251,0.00228,0.59818,0.66135
NR_024537,ENST00000361066,13,12,225,0.0041,0.57641,0.54407
NM_032414,ENST00000271331,3,1,105,0.00317,0.25079,0.28571
NM_018372,ENST00000369763,50,47,769,0.00122,0.47657,0.46629
NM_002557,ENST00000369732,21,17,678,0.00119,0.64925,0.68046
NM_001201548,ENST00000437429,11,11,382,0.00262,0.48786,0.48786
NM_001201549,ENST00000369781,8,8,319,0.00313,0.40792,0.40792
NM_004696,ENST00000369779,13,13,487,0.00205,0.45775,0.45775
NM_001242673,ENST00000393614,27,22,483,0.00169,0.42896,0.46273
NM_001242675,ENST00000359172,27,22,483,0.00169,0.42896,0.46273
NM_004185,ENST00000369686,23,13,372,0.00152,0.42391,0.44893
NM_024494,ENST00000369684,21,10,391,0.00122,0.47875,0.58158
NM_138728,ENST00000360743,25,18,544,0.00132,0.53081,0.54647
NM_017744,ENST00000358039,25,18,575,0.00125,0.50866,0.52299
NM_001004440,ENST00000369630,7,3,169,0.00254,0.44548,0.66667
NM_001253772,ENST00000610222,13,9,510,0.00136,0.41433,0.49477
NM_002506,ENST00000369512,9,8,241,0.00369,0.37437,0.40405
NM_206996,ENST00000336338,132,118,2223,0.0004,0.46148,0.4582
NM_004258,ENST00000682167,64,57,1021,0.00087,0.41747,0.42286
NM_001256106,ENST00000682167,64,57,1021,0.00087,0.41747,0.42286
NM_001039888,ENST00000606888,24,16,496,0.00134,0.52873,0.5029
NM_001024599,ENST00000369167,3,3,126,0.00794,0.43386,0.43386
NM_001123375,ENST00000331491,8,8,136,0.00735,0.48346,0.48346
NM_181873,ENST00000369140,48,33,640,0.00107,0.45514,0.48059
