NCBI_RefSeqID,ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate
NM_153254,ENST00000379288,18,1,404,0.00014,0.47731,0.5
NM_024848,ENST00000378531,25,5,497,0.0004,0.50849,0.40966
NM_001242672,ENST00000611612,41,3,566,0.00013,0.47445,0.67432
NM_001242672,ENST00000401095,72,4,1079,5e-05,0.50441,0.65269
NM_001042478,ENST00000378190,23,3,411,0.00032,0.46144,0.22871
NM_018836,ENST00000378191,23,3,411,0.00032,0.46144,0.22871
NM_001204186,ENST00000604074,26,4,403,0.00038,0.60594,0.58623
NM_001204184,ENST00000354437,30,5,499,0.00033,0.53995,0.53988
NM_001204185,ENST00000378295,41,6,636,0.00023,0.54268,0.48769
NM_005427,ENST00000378295,41,6,636,0.00023,0.54268,0.48769
NM_001204190,ENST00000378288,39,6,587,0.00026,0.53318,0.44492
NM_001126241,ENST00000378285,28,5,450,0.0004,0.52992,0.48978
NM_001126242,ENST00000378280,35,6,426,0.0004,0.6216,0.57707
NM_001126240,ENST00000378288,39,6,587,0.00026,0.53318,0.44492
NM_001204192,ENST00000378290,38,6,565,0.00028,0.52892,0.4233
NM_148967,ENST00000348333,21,0,372,0.0,0.58436,
NM_001042665,ENST00000400913,44,6,1006,0.00014,0.59583,0.51425
NM_005957,ENST00000376590,23,2,656,0.00013,0.55567,0.58003
NM_001127325,ENST00000376667,12,1,211,0.00039,0.39613,0.02844
NM_001243,ENST00000263932,29,4,595,0.00023,0.43379,0.15294
NM_152290,ENST00000614859,10,3,194,0.00155,0.48247,0.47423
NM_052929,ENST00000358897,125,16,1412,9e-05,0.51705,0.42338
NM_033440,ENST00000359621,9,0,269,0.0,0.53697,
NM_015849,ENST00000375910,10,0,269,0.0,0.45056,
NM_001229,ENST00000333868,21,1,416,0.00011,0.44448,0.95673
NM_001136216,ENST00000376014,13,0,253,0.0,0.53846,
NM_017940,ENST00000430580,191,30,1139,0.00014,0.38726,0.424
NM_017940,ENST00000713538,284,51,1704,0.00011,0.46632,0.54045
NM_014675,ENST00000375541,232,15,2017,3e-05,0.48599,0.43689
NM_001135248,ENST00000375534,17,4,182,0.00129,0.38849,0.46978
NM_001204085,ENST00000618761,9,2,181,0.00123,0.53837,0.37016
NM_001204086,ENST00000615215,12,2,215,0.00078,0.47248,0.46976
NM_001256416,ENST00000342104,50,8,621,0.00026,0.45192,0.40841
NM_030761,ENST00000290167,18,3,351,0.00047,0.52058,0.54416
NM_001083621,ENST00000404138,72,10,1239,0.00011,0.53994,0.4226
NM_004442,ENST00000374632,46,1,987,2e-05,0.56997,0.38399
NM_017449,ENST00000374630,46,1,986,2e-05,0.57011,0.38438
NM_001143778,ENST00000635198,56,4,894,8e-05,0.41914,0.42701
NM_001143778,ENST00000437606,56,4,894,8e-05,0.41914,0.42701
NM_017707,ENST00000634561,57,5,903,0.0001,0.41837,0.3763
NM_017707,ENST00000336689,57,5,903,0.0001,0.41837,0.3763
NM_001077195,ENST00000314011,29,3,470,0.00022,0.49707,0.14965
NM_001077195,ENST00000635400,29,3,470,0.00022,0.49707,0.14965
NM_001195010,ENST00000356046,18,3,556,0.0003,0.57664,0.3693
NM_001251978,ENST00000538532,16,2,241,0.00052,0.48885,0.69917
NM_178422,ENST00000675840,23,1,346,0.00013,0.46607,0.97399
NM_207397,ENST00000374027,8,2,173,0.00145,0.4711,0.59827
NM_001029882,ENST00000374011,72,6,1603,5e-05,0.48579,0.48295
NM_031459,ENST00000645231,23,1,480,9e-05,0.49674,0.49167
NM_031459,ENST00000253063,23,1,480,9e-05,0.49674,0.49167
NM_001143913,ENST00000234549,29,2,312,0.00022,0.51857,0.66827
NM_152304,ENST00000373826,10,0,105,0.0,0.57619,
NM_001856,ENST00000373672,91,10,1604,7e-05,0.48711,0.41633
NM_004437,ENST00000373800,30,5,588,0.00028,0.52778,0.52279
NM_001099434,ENST00000409358,24,2,349,0.00024,0.57032,0.61031
NM_001160042,ENST00000537469,44,12,546,0.0005,0.45459,0.62698
NM_001198972,ENST00000373480,55,5,1035,9e-05,0.49284,0.40831
NM_001171940,ENST00000373471,11,1,212,0.00043,0.53345,0.69811
NM_005095,ENST00000314607,98,24,1548,0.00016,0.49635,0.42768
NM_001161708,ENST00000373484,54,6,476,0.00023,0.62842,0.67087
NM_014466,ENST00000207457,34,4,430,0.00027,0.43523,0.43488
NM_177422,ENST00000246314,51,13,626,0.00041,0.49568,0.53269
NM_001199780,ENST00000621781,4,1,84,0.00298,0.65774,0.96429
NM_005955,ENST00000373036,57,12,753,0.00028,0.57454,0.6504
NM_001242908,ENST00000356545,16,1,263,0.00024,0.71269,0.93536
NM_001242909,ENST00000615459,16,1,236,0.00026,0.68035,0.92797
