ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000304952,5,0,221,0.0,0.49955,,v32_lung
ENST00000428771,7,0,247,0.0,0.46154,,v32_lung
ENST00000379268,15,2,241,0.00055,0.56957,0.21162,v32_lung
ENST00000378567,25,4,592,0.00027,0.51426,0.79772,v32_lung
ENST00000377507,14,5,255,0.0014,0.52913,0.56863,v32_lung
ENST00000054668,4,2,139,0.0036,0.58094,0.6295,v32_lung
ENST00000354437,30,5,499,0.00033,0.53995,0.53988,v32_lung
ENST00000376753,19,2,293,0.00036,0.68996,0.82423,v32_lung
ENST00000614859,10,3,194,0.00155,0.48247,0.47423,v32_lung
ENST00000400797,26,3,327,0.00035,0.43707,0.62895,v32_lung
ENST00000375448,30,2,663,0.0001,0.50593,0.50302,v32_lung
ENST00000628229,30,2,663,0.0001,0.50593,0.50302,v32_lung
ENST00000375534,17,4,182,0.00129,0.38849,0.46978,v32_lung
ENST00000375105,11,0,145,0.0,0.58809,,v32_lung
ENST00000289749,10,2,216,0.00093,0.55509,0.47222,v32_lung
ENST00000615215,12,2,215,0.00078,0.47248,0.46976,v32_lung
ENST00000566855,4,0,121,0.0,0.49587,,v32_lung
ENST00000617979,17,2,348,0.00034,0.59179,0.47845,v32_lung
ENST00000374421,22,2,491,0.00019,0.44918,0.38086,v32_lung
ENST00000308873,17,0,415,0.0,0.545,,v32_lung
ENST00000328664,11,0,417,0.0,0.4371,,v32_lung
ENST00000618490,6,1,116,0.00144,0.51437,0.77586,v32_lung
ENST00000374395,16,2,241,0.00052,0.48885,0.69917,v32_lung
ENST00000346452,9,0,266,0.0,0.45614,,v32_lung
ENST00000349438,12,0,354,0.0,0.50494,,v32_lung
ENST00000339276,11,0,248,0.0,0.49707,,v32_lung
ENST00000374168,30,5,735,0.00023,0.61116,0.60082,v32_lung
ENST00000629832,30,5,735,0.00023,0.61116,0.60082,v32_lung
ENST00000374027,8,2,173,0.00145,0.4711,0.59827,v32_lung
ENST00000374024,8,0,330,0.0,0.76856,,v32_lung
ENST00000354982,11,0,288,0.0,0.50947,,v32_lung
ENST00000270879,12,0,299,0.0,0.5014,,v32_lung
ENST00000362020,2,0,134,0.0,0.3806,,v32_lung
ENST00000361157,2,0,130,0.0,0.37692,,v32_lung
ENST00000399173,24,3,529,0.00024,0.61256,0.93384,v32_lung
ENST00000374005,24,3,529,0.00024,0.61256,0.93384,v32_lung
ENST00000373888,13,0,373,0.0,0.57393,,v32_lung
ENST00000234549,29,2,312,0.00022,0.51857,0.66827,v32_lung
ENST00000539896,14,0,342,0.0,0.55806,,v32_lung
ENST00000373765,23,0,496,0.0,0.48545,,v32_lung
ENST00000398958,21,4,421,0.00045,0.53489,0.67399,v32_lung
ENST00000373831,24,4,452,0.00037,0.50913,0.69635,v32_lung
ENST00000409358,24,2,349,0.00024,0.57032,0.61031,v32_lung
ENST00000336890,26,2,509,0.00015,0.51368,0.33399,v32_lung
ENST00000526031,16,3,335,0.00056,0.36735,0.52736,v32_lung
ENST00000339480,5,1,266,0.00075,0.32181,0.29699,v32_lung
ENST00000373362,12,0,270,0.0,0.5179,,v32_lung
ENST00000615459,16,1,236,0.00026,0.68035,0.92797,v32_lung
ENST00000372587,11,3,178,0.00153,0.57712,0.7397,v32_lung
