Gene,OptionalDataColumns
ENST00000617400,0.0
ENST00000537325,0.0
ENST00000377845,0.00019
ENST00000377855,0.00015
ENST00000376637,0.0
ENST00000375375,0.00025
ENST00000400661,0.00025
ENST00000635198,8e-05
ENST00000437606,8e-05
ENST00000419687,0.00019
ENST00000373857,0.0
ENST00000345512,3e-05
ENST00000536384,0.00022
ENST00000373484,0.00023
ENST00000373091,0.00011
ENST00000373048,4e-05
ENST00000347132,0.0001
ENST00000355498,0.00024
ENST00000307089,0.0
ENST00000334793,0.0
ENST00000357083,0.00012
ENST00000306052,6e-05
ENST00000414150,4e-05
ENST00000371116,0.00026
ENST00000498273,0.00028
ENST00000371060,0.00017
ENST00000357692,0.00025
ENST00000370931,0.0
ENST00000370563,0.00027
ENST00000370689,0.00041
ENST00000370103,0.00015
ENST00000512756,0.00012
ENST00000370068,0.00028
ENST00000369909,0.00016
ENST00000361852,0.00026
ENST00000361965,0.00024
ENST00000369805,0.00024
ENST00000359785,0.00021
ENST00000369510,0.00023
ENST00000682167,0.00014
ENST00000544913,0.00021
ENST00000369259,0.00024
ENST00000431239,0.00021
ENST00000618040,6e-05
ENST00000417934,0.00013
ENST00000618489,0.00039
ENST00000428024,0.00039
ENST00000368356,0.00035
ENST00000361897,0.0001
ENST00000367868,0.0
ENST00000530507,0.0
ENST00000263733,0.00013
ENST00000444639,0.0
ENST00000341785,0.0
ENST00000502732,0.00018
ENST00000511413,0.00017
ENST00000294732,0.0001
ENST00000367362,0.00038
ENST00000367342,0.0002
ENST00000403080,0.0
ENST00000367030,4e-05
ENST00000639952,0.00021
ENST00000680073,0.0
ENST00000360212,0.00035
ENST00000535273,0.0
ENST00000366992,0.00027
ENST00000272134,0.0002
ENST00000366820,0.0002
ENST00000271971,9e-05
ENST00000354537,9e-05
ENST00000391854,0.0
ENST00000318160,0.0
ENST00000264187,7e-05
ENST00000317586,0.00025
ENST00000439617,0.00023
ENST00000479214,0.0
ENST00000487338,0.0
ENST00000381312,8e-05
ENST00000704303,0.00023
ENST00000397176,0.00021
ENST00000377495,0.00018
ENST00000396576,0.00021
ENST00000442986,0.00023
ENST00000452305,0.00024
ENST00000355710,2e-05
ENST00000374312,0.00038
ENST00000537517,0.00021
ENST00000351556,0.0
ENST00000395562,0.0
ENST00000435790,0.00021
ENST00000433211,0.00017
ENST00000373306,0.0
ENST00000644591,0.0
ENST00000351293,0.00032
ENST00000372724,0.00011
ENST00000628523,0.00011
ENST00000286627,8e-05
ENST00000626620,7e-05
ENST00000286628,8e-05
ENST00000623527,0.00012
ENST00000332904,0.0001
ENST00000652092,0.0
ENST00000322191,0.00035
ENST00000652046,0.0004
ENST00000371418,0.00014
ENST00000371481,0.00021
ENST00000358308,0.00042
ENST00000265992,0.0004
ENST00000344586,0.00024
ENST00000628193,0.0
ENST00000370546,7e-05
ENST00000517724,0.00018
ENST00000020673,2e-05
ENST00000369849,7e-05
ENST00000263054,0.0001
ENST00000263054,0.0001
ENST00000263054,0.0001
ENST00000357555,0.00012
ENST00000368671,0.00044
ENST00000397542,0.00022
ENST00000617105,0.00022
ENST00000713550,0.00017
ENST00000630886,8e-05
ENST00000529681,4e-05
ENST00000528841,9e-05
ENST00000707535,9e-05
ENST00000396950,0.00039
ENST00000336906,0.0
ENST00000330597,0.0
ENST00000525074,0.00019
ENST00000396751,0.0002
ENST00000335425,0.0
ENST00000477358,0.0
ENST00000379556,0.00011
ENST00000318024,5e-05
ENST00000450654,0.00019
ENST00000531794,0.00016
ENST00000352818,0.0
ENST00000352508,0.0
ENST00000278853,0.00021
ENST00000332539,0.0
ENST00000532787,0.0002
ENST00000529873,0.0002
ENST00000530748,0.00021
ENST00000361391,0.00022
ENST00000682287,0.00016
ENST00000425950,0.00021
ENST00000350490,0.00012
ENST00000325234,7e-05
ENST00000301886,0.0
ENST00000308639,5e-05
ENST00000322147,2e-05
ENST00000311034,9e-05
ENST00000335385,0.0
ENST00000265643,0.0
ENST00000309099,0.0
ENST00000393801,0.00024
ENST00000298223,0.0
ENST00000263671,0.00029
ENST00000622824,0.00014
ENST00000260229,0.0
ENST00000504030,8e-05
ENST00000504030,8e-05
ENST00000299961,9e-05
ENST00000621128,0.0001
ENST00000389586,0.00021
ENST00000375478,7e-05
ENST00000424261,0.0
ENST00000523251,0.00013
ENST00000534111,0.00012
ENST00000539526,0.0
ENST00000260282,0.0
ENST00000355547,0.00035
ENST00000525704,0.00023
ENST00000438015,0.00021
ENST00000358825,0.00012
ENST00000397196,0.0
ENST00000646030,0.00014
ENST00000299194,0.00014
ENST00000252318,0.00037
ENST00000382545,0.00012
ENST00000252321,0.0
ENST00000647521,3e-05
ENST00000399595,3e-05
ENST00000710487,4e-05
ENST00000682686,3e-05
ENST00000540656,0.0
ENST00000308721,0.00029
ENST00000631317,0.00029
ENST00000261170,0.00025
ENST00000546331,0.0
ENST00000354662,0.0
ENST00000441439,0.0
ENST00000538315,0.0
ENST00000261177,0.0
ENST00000545668,5e-05
ENST00000228567,0.00032
ENST00000402685,5e-05
ENST00000539469,8e-05
ENST00000613694,0.00041
ENST00000257860,6e-05
ENST00000312377,0.00037
ENST00000266980,0.00031
ENST00000300119,0.00011
ENST00000442789,0.00011
ENST00000378778,0.00035
ENST00000342084,0.00028
ENST00000319106,0.00038
ENST00000549396,0.00019
ENST00000548729,0.00029
ENST00000359972,0.00016
ENST00000552995,0.0
ENST00000228510,0.0
ENST00000537466,0.00019
ENST00000683047,0.0
ENST00000257604,0.00024
ENST00000454402,0.00033
ENST00000392542,0.00042
ENST00000317775,7e-05
ENST00000317775,7e-05
ENST00000324038,0.0
ENST00000350048,0.0003
ENST00000348800,0.00023
ENST00000381527,0.0004
ENST00000381020,0.00037
ENST00000282397,0.00018
ENST00000615840,0.00034
ENST00000338947,0.00032
ENST00000313640,0.00043
ENST00000690772,0.00028
ENST00000219022,9e-05
ENST00000706274,0.0
ENST00000647374,0.0003
ENST00000377211,0.00021
ENST00000397379,0.00015
ENST00000397118,5e-05
ENST00000346562,0.0002
ENST00000358385,0.00026
ENST00000298355,0.00024
ENST00000420622,0.00013
ENST00000315266,0.0003
ENST00000557164,0.0001
ENST00000312994,0.0002
ENST00000281127,0.00041
ENST00000629961,0.0
ENST00000393140,0.0
ENST00000262233,0.0002
ENST00000448921,0.0004
ENST00000614317,0.0004
ENST00000299155,0.0
ENST00000333244,1e-05
ENST00000447393,0.00014
ENST00000619401,0.00029
ENST00000651154,0.00036
ENST00000651081,0.00036
ENST00000300177,0.00036
ENST00000651154,0.00036
ENST00000651081,0.00036
ENST00000300177,0.00036
ENST00000299174,0.0
ENST00000453182,0.00014
ENST00000456763,0.0001
ENST00000300283,0.0001
