Gene,OptionalDataColumns
ENST00000377939,634
ENST00000343090,1302
ENST00000377093,1153
ENST00000235329,757
ENST00000613099,4363
ENST00000374434,1437
ENST00000252992,762
ENST00000372597,591
ENST00000343744,594
ENST00000343433,728
ENST00000371158,1801
ENST00000371083,580
ENST00000370899,843
ENST00000326637,835
ENST00000334785,675
ENST00000465892,850
ENST00000370163,1532
ENST00000294724,1532
ENST00000369697,636
ENST00000369530,813
ENST00000610726,844
ENST00000369356,2362
ENST00000618462,2240
ENST00000369349,969
ENST00000368914,930
ENST00000541576,947
ENST00000295566,796
ENST00000361200,1158
ENST00000367797,2224
ENST00000367843,880
ENST00000367840,951
ENST00000367661,827
ENST00000251507,815
ENST00000367589,631
ENST00000608999,982
ENST00000367135,791
ENST00000284548,6620
ENST00000422127,7968
ENST00000674635,1722
ENST00000366578,894
ENST00000366574,4967
ENST00000439617,854
ENST00000407071,2108
ENST00000282343,632
ENST00000377329,606
ENST00000377122,1014
ENST00000436985,1709
ENST00000452305,818
ENST00000374144,1435
ENST00000419399,953
ENST00000579039,630
ENST00000583565,614
ENST00000395433,1932
ENST00000373827,1861
ENST00000337910,696
ENST00000433211,895
ENST00000354393,1045
ENST00000613327,1320
ENST00000358913,1320
ENST00000298596,989
ENST00000372873,753
ENST00000394810,977
ENST00000623056,732
ENST00000361373,727
ENST00000429277,617
ENST00000357947,1015
ENST00000371247,1292
ENST00000370033,689
ENST00000369519,1227
ENST00000263054,1168
ENST00000277900,674
ENST00000369301,726
ENST00000360478,1695
ENST00000392955,718
ENST00000513429,1094
ENST00000369005,2948
ENST00000260733,1026
ENST00000369060,705
ENST00000707536,674
ENST00000531197,674
ENST00000527275,630
ENST00000527619,801
ENST00000620009,867
ENST00000324559,913
ENST00000324559,913
ENST00000328224,653
ENST00000396087,2488
ENST00000545968,1274
ENST00000311027,1647
ENST00000534579,879
ENST00000361128,719
ENST00000354024,609
ENST00000436757,1243
ENST00000325455,933
ENST00000280346,647
ENST00000003302,1077
ENST00000357685,579
ENST00000621128,726
ENST00000621850,761
ENST00000316851,858
ENST00000347735,948
ENST00000315939,2382
ENST00000647521,2146
ENST00000399595,2146
ENST00000399603,2138
ENST00000647327,2138
ENST00000644369,2138
ENST00000399641,2138
ENST00000399621,2157
ENST00000645584,2157
ENST00000399638,2166
ENST00000644048,2166
ENST00000359062,1141
ENST00000359062,1141
ENST00000261201,1549
ENST00000395901,599
ENST00000537927,858
ENST00000318304,1011
ENST00000228425,1005
ENST00000298892,1077
ENST00000340811,837
ENST00000070846,881
ENST00000361961,1661
ENST00000361418,1674
ENST00000344862,701
ENST00000547587,780
ENST00000312352,780
ENST00000357869,1168
ENST00000327443,785
ENST00000550952,925
ENST00000536007,1127
ENST00000525566,647
ENST00000308664,997
ENST00000612955,1369
ENST00000542859,3013
ENST00000261491,1164
ENST00000337343,1220
ENST00000280057,582
ENST00000377865,1237
ENST00000196169,651
ENST00000375741,803
ENST00000405093,1939
ENST00000280979,2319
ENST00000396165,775
ENST00000453196,2046
ENST00000343279,687
ENST00000395311,1306
ENST00000389722,2328
