ENST_ID,Total substrate,Effective substrate,Peptide length,Effective substrate density,Mean position of Substrate,Mean position of Effective substrate,Tissue
ENST00000377507,14,13,255,0.00364,0.52913,0.49653,v32_lung
ENST00000054668,4,4,139,0.00719,0.58094,0.58094,v32_lung
ENST00000614859,10,9,194,0.00464,0.48247,0.50974,v32_lung
ENST00000375534,17,14,182,0.00452,0.38849,0.36264,v32_lung
ENST00000375105,11,7,145,0.00439,0.58809,0.5803,v32_lung
ENST00000289749,10,9,216,0.00417,0.55509,0.51646,v32_lung
ENST00000615215,12,8,215,0.0031,0.47248,0.575,v32_lung
ENST00000566855,4,2,121,0.00413,0.49587,0.54958,v32_lung
ENST00000618490,6,3,116,0.00431,0.51437,0.58046,v32_lung
ENST00000374395,16,10,241,0.00259,0.48885,0.44647,v32_lung
ENST00000346452,9,7,266,0.00292,0.45614,0.45972,v32_lung
ENST00000374027,8,6,173,0.00434,0.4711,0.57322,v32_lung
ENST00000354982,11,8,288,0.00253,0.50947,0.41406,v32_lung
ENST00000362020,2,2,134,0.00746,0.3806,0.3806,v32_lung
ENST00000361157,2,2,130,0.00769,0.37692,0.37692,v32_lung
ENST00000234549,29,23,312,0.00254,0.51857,0.52996,v32_lung
ENST00000339480,5,4,266,0.00301,0.32181,0.17669,v32_lung
ENST00000373362,12,9,270,0.00278,0.5179,0.4321,v32_lung
ENST00000615459,16,11,236,0.00291,0.68035,0.74538,v32_lung
ENST00000372587,11,7,178,0.00358,0.57712,0.74238,v32_lung
ENST00000335282,8,7,134,0.00653,0.34888,0.31876,v32_lung
ENST00000523677,3,1,113,0.00295,0.68142,0.84071,v32_lung
ENST00000621943,12,12,279,0.00358,0.57497,0.57497,v32_lung
ENST00000262746,9,7,199,0.00391,0.64154,0.60732,v32_lung
ENST00000271139,9,9,216,0.00463,0.4748,0.4748,v32_lung
ENST00000528077,7,7,106,0.00943,0.72642,0.72642,v32_lung
ENST00000495776,2,2,19,0.05263,0.55264,0.55264,v32_lung
ENST00000282670,9,6,179,0.00372,0.49597,0.47859,v32_lung
ENST00000361321,7,7,105,0.00952,0.38368,0.38368,v32_lung
ENST00000342173,14,13,284,0.00327,0.62022,0.66062,v32_lung
